16
{'composition': {'Au': 16}, 'crystal structure': 'fcc', 'shape': 'ellipsoid', 'MOI': array([6.237, 6.237, 6.237]), 'MOInormalized': array([6.237, 6.237, 6.237]), 'MOI_dim': array([7.897, 7.897, 7.897]), 'main_dim': array([3.382, 0.   ]), 'secondary_dim': {'edges': {'edge_1': {'length': None, 'atoms_per_edge': None}, 'edge_2': {'length': None, 'atoms_per_edge': None}}}, 'truncation': False, 'number_of_atoms': 16, 'wulff': False, 'crystallization': {'state': 'crystalline', 'type': 'monocrystalline', 'subtype': 'random'}, 'wire_description': {'nRot': None, 'plane_rotated': None}}
# q,fq
1.000000000000000000e+00,-3.605125546455383301e-01
1.049999952316284180e+00,-4.121623039245605469e-01
1.100000023841857910e+00,-4.384442567825317383e-01
1.149999976158142090e+00,-4.461449980735778809e-01
1.200000047683715820e+00,-4.426537454128265381e-01
1.250000000000000000e+00,-4.352216422557830811e-01
1.299999952316284180e+00,-4.302907288074493408e-01
1.350000023841857910e+00,-4.329478144645690918e-01
1.399999976158142090e+00,-4.465361535549163818e-01
1.449999928474426270e+00,-4.724604189395904541e-01
1.500000000000000000e+00,-5.101717710494995117e-01
1.549999952316284180e+00,-5.573353767395019531e-01
1.600000023841857910e+00,-6.101448535919189453e-01
1.649999976158142090e+00,-6.637462973594665527e-01
1.699999928474426270e+00,-7.127268314361572266e-01
1.750000000000000000e+00,-7.516184449195861816e-01
1.799999952316284180e+00,-7.753710746765136719e-01
1.849999904632568359e+00,-7.797583937644958496e-01
1.899999976158142090e+00,-7.616840004920959473e-01
1.949999928474426270e+00,-7.193717360496520996e-01
2.000000000000000000e+00,-6.524358987808227539e-01
2.049999952316284180e+00,-5.618375539779663086e-01
2.099999904632568359e+00,-4.497478306293487549e-01
2.149999856948852539e+00,-3.193335533142089844e-01
2.200000047683715820e+00,-1.745084375143051147e-01
2.250000000000000000e+00,-1.966430805623531342e-02
2.299999952316284180e+00,1.405778974294662476e-01
2.350000143051147461e+00,3.015917539596557617e-01
2.400000095367431641e+00,4.589058458805084229e-01
2.450000047683715820e+00,6.083269119262695312e-01
2.500000000000000000e+00,7.460000514984130859e-01
2.549999952316284180e+00,8.684309720993041992e-01
2.599999904632568359e+00,9.724816679954528809e-01
2.649999856948852539e+00,1.055359601974487305e+00
2.699999809265136719e+00,1.114612340927124023e+00
2.750000000000000000e+00,1.148141980171203613e+00
2.799999952316284180e+00,1.154258966445922852e+00
2.849999904632568359e+00,1.131761670112609863e+00
2.899999856948852539e+00,1.080053091049194336e+00
2.949999809265136719e+00,9.992738366127014160e-01
3.000000000000000000e+00,8.904322385787963867e-01
3.049999952316284180e+00,7.555233836174011230e-01
3.099999904632568359e+00,5.976002812385559082e-01
3.150000095367431641e+00,4.207873046398162842e-01
3.200000047683715820e+00,2.302197068929672241e-01
3.250000000000000000e+00,3.189364820718765259e-02
3.299999952316284180e+00,-1.675674468278884888e-01
3.349999904632568359e+00,-3.612145483493804932e-01
3.400000095367431641e+00,-5.421400070190429688e-01
3.450000047683715820e+00,-7.038667798042297363e-01
3.500000000000000000e+00,-8.407495021820068359e-01
3.550000190734863281e+00,-9.483261108398437500e-01
3.600000143051147461e+00,-1.023608088493347168e+00
3.650000095367431641e+00,-1.065278053283691406e+00
3.700000047683715820e+00,-1.073764562606811523e+00
3.750000000000000000e+00,-1.051187038421630859e+00
3.799999952316284180e+00,-1.001176834106445312e+00
3.849999904632568359e+00,-9.285726547241210938e-01
3.899999856948852539e+00,-8.390327692031860352e-01
3.950000047683715820e+00,-7.385742664337158203e-01
4.000000000000000000e+00,-6.330984234809875488e-01
4.050000190734863281e+00,-5.279239416122436523e-01
4.099999904632568359e+00,-4.273937344551086426e-01
4.150000095367431641e+00,-3.345604240894317627e-01
4.199999809265136719e+00,-2.510110735893249512e-01
4.250000000000000000e+00,-1.768189817667007446e-01
4.299999713897705078e+00,-1.106525585055351257e-01
4.349999904632568359e+00,-4.999858886003494263e-02
4.399999618530273438e+00,8.472529239952564240e-03
4.449999809265136719e+00,6.849450618028640747e-02
4.500000000000000000e+00,1.337165087461471558e-01
4.549999713897705078e+00,2.072495520114898682e-01
4.599999904632568359e+00,2.912343740463256836e-01
4.650000095367431641e+00,3.865075111389160156e-01
4.699999809265136719e+00,4.923779666423797607e-01
4.750000000000000000e+00,6.065473556518554688e-01
4.799999713897705078e+00,7.251700758934020996e-01
4.849999904632568359e+00,8.430643081665039062e-01
4.900000095367431641e+00,9.540363550186157227e-01
4.949999809265136719e+00,1.051308631896972656e+00
5.000000000000000000e+00,1.128018856048583984e+00
5.050000190734863281e+00,1.177713394165039062e+00
5.099999904632568359e+00,1.194848179817199707e+00
5.150000095367431641e+00,1.175213336944580078e+00
5.199999809265136719e+00,1.116278529167175293e+00
5.250000000000000000e+00,1.017398953437805176e+00
5.300000190734863281e+00,8.799254298210144043e-01
5.349999904632568359e+00,7.071508169174194336e-01
5.400000095367431641e+00,5.041485428810119629e-01
5.450000286102294922e+00,2.775161862373352051e-01
5.500000000000000000e+00,3.500477224588394165e-02
5.550000190734863281e+00,-2.148691117763519287e-01
5.599999904632568359e+00,-4.632464051246643066e-01
5.650000095367431641e+00,-7.013583779335021973e-01
5.700000286102294922e+00,-9.208806753158569336e-01
5.750000000000000000e+00,-1.114289402961730957e+00
5.800000190734863281e+00,-1.275112748146057129e+00
5.850000381469726562e+00,-1.398131370544433594e+00
5.900000095367431641e+00,-1.479502916336059570e+00
5.950000286102294922e+00,-1.516829729080200195e+00
6.000000000000000000e+00,-1.509170532226562500e+00
6.050000190734863281e+00,-1.457012057304382324e+00
6.100000381469726562e+00,-1.362215280532836914e+00
6.150000095367431641e+00,-1.227933406829833984e+00
6.199999809265136719e+00,-1.058524608612060547e+00
6.250000000000000000e+00,-8.594303131103515625e-01
6.299999713897705078e+00,-6.370580196380615234e-01
6.349999904632568359e+00,-3.986319899559020996e-01
6.399999618530273438e+00,-1.519956737756729126e-01
6.449999809265136719e+00,9.459642320871353149e-02
6.500000000000000000e+00,3.327429294586181641e-01
6.549999713897705078e+00,5.542027354240417480e-01
6.599999904632568359e+00,7.512315511703491211e-01
6.650000095367431641e+00,9.169414639472961426e-01
6.699999809265136719e+00,1.045667529106140137e+00
6.750000000000000000e+00,1.133299350738525391e+00
6.799999713897705078e+00,1.177585601806640625e+00
6.849999904632568359e+00,1.178322792053222656e+00
6.900000095367431641e+00,1.137480258941650391e+00
6.949999809265136719e+00,1.059153676033020020e+00
7.000000000000000000e+00,9.494053125381469727e-01
7.050000190734863281e+00,8.159410953521728516e-01
7.099999904632568359e+00,6.676679849624633789e-01
7.150000095367431641e+00,5.141196250915527344e-01
7.199999809265136719e+00,3.648240864276885986e-01
7.250000000000000000e+00,2.286231219768524170e-01
7.300000190734863281e+00,1.130250394344329834e-01
7.349999904632568359e+00,2.361613139510154724e-02
7.400000095367431641e+00,-3.638694807887077332e-02
7.450000286102294922e+00,-6.643030047416687012e-02
7.500000000000000000e+00,-6.868970394134521484e-02
7.550000190734863281e+00,-4.795028269290924072e-02
7.599999904632568359e+00,-1.123186107724905014e-02
7.650000095367431641e+00,3.277412056922912598e-02
7.700000286102294922e+00,7.440935820341110229e-02
7.750000000000000000e+00,1.039044931530952454e-01
7.800000190734863281e+00,1.122345253825187683e-01
7.850000381469726562e+00,9.197816997766494751e-02
7.900000095367431641e+00,3.806005418300628662e-02
7.950000286102294922e+00,-5.168067663908004761e-02
8.000000000000000000e+00,-1.761317253112792969e-01
8.050000190734863281e+00,-3.308169245719909668e-01
8.100000381469726562e+00,-5.080896019935607910e-01
8.150000572204589844e+00,-6.975793838500976562e-01
8.199999809265136719e+00,-8.869040012359619141e-01
8.250000000000000000e+00,-1.062564969062805176e+00
8.300000190734863281e+00,-1.210944175720214844e+00
8.349999427795410156e+00,-1.319363713264465332e+00
8.399999618530273438e+00,-1.377115607261657715e+00
8.449999809265136719e+00,-1.376323223114013672e+00
8.500000000000000000e+00,-1.312642097473144531e+00
8.550000190734863281e+00,-1.185680031776428223e+00
8.600000381469726562e+00,-9.991291165351867676e-01
8.650000572204589844e+00,-7.605847120285034180e-01
8.700000762939453125e+00,-4.810801744461059570e-01
8.750000000000000000e+00,-1.743440330028533936e-01
8.800000190734863281e+00,1.441562175750732422e-01
8.850000381469726562e+00,4.582400918006896973e-01
8.900000572204589844e+00,7.521408796310424805e-01
8.950000762939453125e+00,1.011558055877685547e+00
9.000000000000000000e+00,1.224597573280334473e+00
9.050000190734863281e+00,1.382501721382141113e+00
9.100000381469726562e+00,1.480115771293640137e+00
