16
{'composition': {'Au': 16}, 'crystal structure': 'fcc', 'shape': 'ellipsoid', 'MOI': array([6.237, 6.237, 6.237]), 'MOInormalized': array([6.237, 6.237, 6.237]), 'MOI_dim': array([7.897, 7.897, 7.897]), 'main_dim': array([3.382, 0.   ]), 'secondary_dim': {'edges': {'edge_1': {'length': None, 'atoms_per_edge': None}, 'edge_2': {'length': None, 'atoms_per_edge': None}}}, 'truncation': False, 'number_of_atoms': 16, 'wulff': False, 'crystallization': {'state': 'crystalline', 'type': 'monocrystalline', 'subtype': 'random'}, 'wire_description': {'nRot': None, 'plane_rotated': None}}
# r,gr
0.000000000000000000e+00,0.000000000000000000e+00
9.999999776482582092e-03,-3.408823534846305847e-02
1.999999955296516418e-02,-6.695389002561569214e-02
2.999999932944774628e-02,-9.742116928100585938e-02
3.999999910593032837e-02,-1.244050636887550354e-01
5.000000074505805969e-02,-1.469534188508987427e-01
5.999999865889549255e-02,-1.642830073833465576e-01
7.000000029802322388e-02,-1.758090555667877197e-01
7.999999821186065674e-02,-1.811676621437072754e-01
8.999999612569808960e-02,-1.802303344011306763e-01
1.000000014901161194e-01,-1.731082946062088013e-01
1.099999994039535522e-01,-1.601485162973403931e-01
1.199999973177909851e-01,-1.419209688901901245e-01
1.299999952316284180e-01,-1.191969215869903564e-01
1.400000005960464478e-01,-9.291977435350418091e-02
1.499999910593032837e-01,-6.416908651590347290e-02
1.599999964237213135e-01,-3.411958739161491394e-02
1.700000017881393433e-01,-3.997258841991424561e-03
1.799999922513961792e-01,2.496775612235069275e-02
1.899999976158142090e-01,5.158883333206176758e-02
2.000000029802322388e-01,7.476671785116195679e-02
2.099999934434890747e-01,9.353171288967132568e-02
2.199999988079071045e-01,1.070819944143295288e-01
2.299999892711639404e-01,1.148125156760215759e-01
2.399999946355819702e-01,1.163405776023864746e-01
2.500000000000000000e-01,1.115185916423797607e-01
2.599999904632568359e-01,1.004411727190017700e-01
2.699999809265136719e-01,8.344209939241409302e-02
2.800000011920928955e-01,6.108192354440689087e-02
2.899999916553497314e-01,3.412597626447677612e-02
2.999999821186065674e-01,3.517556702718138695e-03
3.100000023841857910e-01,-2.965969219803810120e-02
3.199999928474426270e-01,-6.422083824872970581e-02
3.299999833106994629e-01,-9.892590343952178955e-02
3.400000035762786865e-01,-1.325268447399139404e-01
