16
{'composition': {'Au': 16}, 'crystal structure': 'fcc', 'shape': 'ellipsoid', 'MOI': array([6.237, 6.237, 6.237]), 'MOInormalized': array([6.237, 6.237, 6.237]), 'MOI_dim': array([7.897, 7.897, 7.897]), 'main_dim': array([3.382, 0.   ]), 'secondary_dim': {'edges': {'edge_1': {'length': None, 'atoms_per_edge': None}, 'edge_2': {'length': None, 'atoms_per_edge': None}}}, 'truncation': False, 'number_of_atoms': 16, 'wulff': False, 'crystallization': {'state': 'crystalline', 'type': 'monocrystalline', 'subtype': 'random'}, 'wire_description': {'nRot': None, 'plane_rotated': None}}
# q,sq
1.000000000000000000e+00,1.305065625000000000e+04
1.049999952316284180e+00,9.992250000000000000e+03
1.100000023841857910e+00,9.369070312500000000e+03
1.149999976158142090e+00,1.028258984375000000e+04
1.200000047683715820e+00,1.195039062500000000e+04
1.250000000000000000e+00,1.373918164062500000e+04
1.299999952316284180e+00,1.518311328125000000e+04
1.350000023841857910e+00,1.598748437500000000e+04
1.399999976158142090e+00,1.602002148437500000e+04
1.449999928474426270e+00,1.529087890625000000e+04
1.500000000000000000e+00,1.392530468750000000e+04
1.549999952316284180e+00,1.213136718750000000e+04
1.600000023841857910e+00,1.016599804687500000e+04
1.649999976158142090e+00,8.302484375000000000e+03
1.699999928474426270e+00,6.801375000000000000e+03
1.750000000000000000e+00,5.887050781250000000e+03
1.799999952316284180e+00,5.730699218750000000e+03
1.849999904632568359e+00,6.440375000000000000e+03
1.899999976158142090e+00,8.057722656250000000e+03
1.949999928474426270e+00,1.056088867187500000e+04
2.000000000000000000e+00,1.387206640625000000e+04
2.049999952316284180e+00,1.786866601562500000e+04
2.099999904632568359e+00,2.239608398437500000e+04
2.149999856948852539e+00,2.728132812500000000e+04
2.200000047683715820e+00,3.234547656250000000e+04
2.250000000000000000e+00,3.741463671875000000e+04
2.299999952316284180e+00,4.232828906250000000e+04
2.350000143051147461e+00,4.694525000000000000e+04
2.400000095367431641e+00,5.114658593750000000e+04
2.450000047683715820e+00,5.483669531250000000e+04
2.500000000000000000e+00,5.794223437500000000e+04
2.549999952316284180e+00,6.040998437500000000e+04
2.599999904632568359e+00,6.220423437500000000e+04
2.649999856948852539e+00,6.330433593750000000e+04
2.699999809265136719e+00,6.370259375000000000e+04
2.750000000000000000e+00,6.340295312500000000e+04
2.799999952316284180e+00,6.242079687500000000e+04
2.849999904632568359e+00,6.078330859375000000e+04
2.899999856948852539e+00,5.853057812500000000e+04
2.949999809265136719e+00,5.571672265625000000e+04
3.000000000000000000e+00,5.241081640625000000e+04
3.049999952316284180e+00,4.869719531250000000e+04
3.099999904632568359e+00,4.467484375000000000e+04
3.150000095367431641e+00,4.045532812500000000e+04
3.200000047683715820e+00,3.615977734375000000e+04
3.250000000000000000e+00,3.191419140625000000e+04
3.299999952316284180e+00,2.784415625000000000e+04
3.349999904632568359e+00,2.406876562500000000e+04
3.400000095367431641e+00,2.069441015625000000e+04
3.450000047683715820e+00,1.780912109375000000e+04
3.500000000000000000e+00,1.547745703125000000e+04
3.550000190734863281e+00,1.373715234375000000e+04
3.600000143051147461e+00,1.259731054687500000e+04
3.650000095367431641e+00,1.203848242187500000e+04
3.700000047683715820e+00,1.201476367187500000e+04
3.750000000000000000e+00,1.245768359375000000e+04
3.799999952316284180e+00,1.328157617187500000e+04
3.849999904632568359e+00,1.439019335937500000e+04
3.899999856948852539e+00,1.568354492187500000e+04
3.950000047683715820e+00,1.706508007812500000e+04
4.000000000000000000e+00,1.844795507812500000e+04
4.050000190734863281e+00,1.976048046875000000e+04
4.099999904632568359e+00,2.094980468750000000e+04
4.150000095367431641e+00,2.198410156250000000e+04
4.199999809265136719e+00,2.285254687500000000e+04
4.250000000000000000e+00,2.356390234375000000e+04
4.299999713897705078e+00,2.414305664062500000e+04
4.349999904632568359e+00,2.462678320312500000e+04
4.399999618530273438e+00,2.505829882812500000e+04
4.449999809265136719e+00,2.548184375000000000e+04
4.500000000000000000e+00,2.593718359375000000e+04
4.549999713897705078e+00,2.645509765625000000e+04
4.599999904632568359e+00,2.705366015625000000e+04
4.650000095367431641e+00,2.773605078125000000e+04
4.699999809265136719e+00,2.848972460937500000e+04
4.750000000000000000e+00,2.928721679687500000e+04
4.799999713897705078e+00,3.008823046875000000e+04
4.849999904632568359e+00,3.084298437500000000e+04
4.900000095367431641e+00,3.149619140625000000e+04
4.949999809265136719e+00,3.199167382812500000e+04
5.000000000000000000e+00,3.227699023437500000e+04
5.050000190734863281e+00,3.230755273437500000e+04
5.099999904632568359e+00,3.205026953125000000e+04
5.150000095367431641e+00,3.148612890625000000e+04
5.199999809265136719e+00,3.061182031250000000e+04
5.250000000000000000e+00,2.943998046875000000e+04
5.300000190734863281e+00,2.799854687500000000e+04
5.349999904632568359e+00,2.632892187500000000e+04
5.400000095367431641e+00,2.448346289062500000e+04
5.450000286102294922e+00,2.252241601562500000e+04
5.500000000000000000e+00,2.051038671875000000e+04
5.550000190734863281e+00,1.851300000000000000e+04
5.599999904632568359e+00,1.659366015625000000e+04
5.650000095367431641e+00,1.481059277343750000e+04
5.700000286102294922e+00,1.321476171875000000e+04
5.750000000000000000e+00,1.184796289062500000e+04
5.800000190734863281e+00,1.074188769531250000e+04
5.850000381469726562e+00,9.917583984375000000e+03
5.900000095367431641e+00,9.385572265625000000e+03
5.950000286102294922e+00,9.146211914062500000e+03
6.000000000000000000e+00,9.190560546875000000e+03
6.050000190734863281e+00,9.501253906250000000e+03
6.100000381469726562e+00,1.005363085937500000e+04
6.150000095367431641e+00,1.081679101562500000e+04
6.199999809265136719e+00,1.175472070312500000e+04
6.250000000000000000e+00,1.282742871093750000e+04
6.299999713897705078e+00,1.399200000000000000e+04
6.349999904632568359e+00,1.520372656250000000e+04
6.399999618530273438e+00,1.641740039062500000e+04
6.449999809265136719e+00,1.758852343750000000e+04
6.500000000000000000e+00,1.867472265625000000e+04
6.549999713897705078e+00,1.963721679687500000e+04
6.599999904632568359e+00,2.044230078125000000e+04
6.650000095367431641e+00,2.106278906250000000e+04
6.699999809265136719e+00,2.147937109375000000e+04
6.750000000000000000e+00,2.168159570312500000e+04
6.799999713897705078e+00,2.166870312500000000e+04
6.849999904632568359e+00,2.144967773437500000e+04
6.900000095367431641e+00,2.104319140625000000e+04
6.949999809265136719e+00,2.047650000000000000e+04
7.000000000000000000e+00,1.978415625000000000e+04
7.050000190734863281e+00,1.900589648437500000e+04
7.099999904632568359e+00,1.818438867187500000e+04
7.150000095367431641e+00,1.736240625000000000e+04
7.199999809265136719e+00,1.658019140625000000e+04
7.250000000000000000e+00,1.587271093750000000e+04
7.300000190734863281e+00,1.526742578125000000e+04
7.349999904632568359e+00,1.478239160156250000e+04
7.400000095367431641e+00,1.442518164062500000e+04
7.450000286102294922e+00,1.419247167968750000e+04
7.500000000000000000e+00,1.407059765625000000e+04
7.550000190734863281e+00,1.403675000000000000e+04
7.599999904632568359e+00,1.406105078125000000e+04
7.650000095367431641e+00,1.410918261718750000e+04
7.700000286102294922e+00,1.414526171875000000e+04
7.750000000000000000e+00,1.413505371093750000e+04
7.800000190734863281e+00,1.404891210937500000e+04
7.850000381469726562e+00,1.386446582031250000e+04
7.900000095367431641e+00,1.356866015625000000e+04
7.950000286102294922e+00,1.315903613281250000e+04
8.000000000000000000e+00,1.264421875000000000e+04
8.050000190734863281e+00,1.204339648437500000e+04
8.100000381469726562e+00,1.138497265625000000e+04
8.150000572204589844e+00,1.070447656250000000e+04
8.199999809265136719e+00,1.004178515625000000e+04
8.250000000000000000e+00,9.438052734375000000e+03
8.300000190734863281e+00,8.932483398437500000e+03
8.349999427795410156e+00,8.559256835937500000e+03
8.399999618530273438e+00,8.344781250000000000e+03
8.449999809265136719e+00,8.305637695312500000e+03
8.500000000000000000e+00,8.447214843750000000e+03
8.550000190734863281e+00,8.763244140625000000e+03
8.600000381469726562e+00,9.236213867187500000e+03
8.650000572204589844e+00,9.838640625000000000e+03
8.700000762939453125e+00,1.053501074218750000e+04
8.750000000000000000e+00,1.128439648437500000e+04
8.800000190734863281e+00,1.204333496093750000e+04
8.850000381469726562e+00,1.276880468750000000e+04
8.900000572204589844e+00,1.342112695312500000e+04
8.950000762939453125e+00,1.396648730468750000e+04
9.000000000000000000e+00,1.437897460937500000e+04
9.050000190734863281e+00,1.464191113281250000e+04
9.100000381469726562e+00,1.474840917968750000e+04
9.149999618530273438e+00,1.470125976562500000e+04
9.199999809265136719e+00,1.451206835937500000e+04
9.250000000000000000e+00,1.419978222656250000e+04
9.300000190734863281e+00,1.378882910156250000e+04
9.350000381469726562e+00,1.330687109375000000e+04
9.399999618530273438e+00,1.278264355468750000e+04
9.449999809265136719e+00,1.224370996093750000e+04
9.500000000000000000e+00,1.171466894531250000e+04
9.549999237060546875e+00,1.121566894531250000e+04
9.599999427795410156e+00,1.076137109375000000e+04
9.649999618530273438e+00,1.036063183593750000e+04
9.699999809265136719e+00,1.001651757812500000e+04
9.750000000000000000e+00,9.726927734375000000e+03
9.800000190734863281e+00,9.485570312500000000e+03
9.850000381469726562e+00,9.283157226562500000e+03
9.900000572204589844e+00,9.108833984375000000e+03
9.949999809265136719e+00,8.951542968750000000e+03
1.000000000000000000e+01,8.801266601562500000e+03
1.005000019073486328e+01,8.650065429687500000e+03
1.010000038146972656e+01,8.492792968750000000e+03
1.015000057220458984e+01,8.327466796875000000e+03
1.019999980926513672e+01,8.155286621093750000e+03
1.025000000000000000e+01,7.980312011718750000e+03
1.030000019073486328e+01,7.808916015625000000e+03
1.034999942779541016e+01,7.648982421875000000e+03
1.039999961853027344e+01,7.509012695312500000e+03
1.044999980926513672e+01,7.397266601562500000e+03
1.050000000000000000e+01,7.320911621093750000e+03
1.055000019073486328e+01,7.285348144531250000e+03
1.060000038146972656e+01,7.293757324218750000e+03
1.065000057220458984e+01,7.346802734375000000e+03
1.070000076293945312e+01,7.442627441406250000e+03
1.075000000000000000e+01,7.577049804687500000e+03
1.080000019073486328e+01,7.743922851562500000e+03
1.085000038146972656e+01,7.935593261718750000e+03
1.090000057220458984e+01,8.143506347656250000e+03
1.095000076293945312e+01,8.358755859375000000e+03
1.100000000000000000e+01,8.572575195312500000e+03
1.105000019073486328e+01,8.776807617187500000e+03
1.110000038146972656e+01,8.964208984375000000e+03
1.114999961853027344e+01,9.128634765625000000e+03
1.119999980926513672e+01,9.265129882812500000e+03
1.125000000000000000e+01,9.369872070312500000e+03
1.130000019073486328e+01,9.440059570312500000e+03
1.135000038146972656e+01,9.473758789062500000e+03
1.139999961853027344e+01,9.469750976562500000e+03
1.144999980926513672e+01,9.427366210937500000e+03
1.150000000000000000e+01,9.346444335937500000e+03
1.154999923706054688e+01,9.227272460937500000e+03
1.159999942779541016e+01,9.070654296875000000e+03
1.164999961853027344e+01,8.878020507812500000e+03
1.169999980926513672e+01,8.651581054687500000e+03
1.175000000000000000e+01,8.394472656250000000e+03
1.180000019073486328e+01,8.110932128906250000e+03
1.185000038146972656e+01,7.806335449218750000e+03
1.190000057220458984e+01,7.487239257812500000e+03
1.194999980926513672e+01,7.161281250000000000e+03
1.200000000000000000e+01,6.836924316406250000e+03
1.205000019073486328e+01,6.523181152343750000e+03
1.210000038146972656e+01,6.229179199218750000e+03
1.215000057220458984e+01,5.963665527343750000e+03
1.219999980926513672e+01,5.734505371093750000e+03
1.225000000000000000e+01,5.548144531250000000e+03
1.230000019073486328e+01,5.409207031250000000e+03
1.234999942779541016e+01,5.320118164062500000e+03
1.239999961853027344e+01,5.280899414062500000e+03
1.244999980926513672e+01,5.289113769531250000e+03
1.250000000000000000e+01,5.339977050781250000e+03
1.255000019073486328e+01,5.426674316406250000e+03
1.260000038146972656e+01,5.540747070312500000e+03
1.265000057220458984e+01,5.672682617187500000e+03
1.270000076293945312e+01,5.812537109375000000e+03
1.275000000000000000e+01,5.950572265625000000e+03
1.280000019073486328e+01,6.077920898437500000e+03
1.285000038146972656e+01,6.187115234375000000e+03
1.290000057220458984e+01,6.272544433593750000e+03
1.295000076293945312e+01,6.330735351562500000e+03
1.300000000000000000e+01,6.360490722656250000e+03
1.305000019073486328e+01,6.362813964843750000e+03
1.310000038146972656e+01,6.340692871093750000e+03
1.314999961853027344e+01,6.298731445312500000e+03
1.319999980926513672e+01,6.242678710937500000e+03
1.325000000000000000e+01,6.178863281250000000e+03
1.330000019073486328e+01,6.113653808593750000e+03
1.335000038146972656e+01,6.052877929687500000e+03
1.339999961853027344e+01,6.001365722656250000e+03
1.344999980926513672e+01,5.962571289062500000e+03
1.350000000000000000e+01,5.938336425781250000e+03
1.354999923706054688e+01,5.928776367187500000e+03
1.359999942779541016e+01,5.932315917968750000e+03
1.364999961853027344e+01,5.945890136718750000e+03
1.369999980926513672e+01,5.965209472656250000e+03
1.375000000000000000e+01,5.985138183593750000e+03
1.380000019073486328e+01,6.000140625000000000e+03
1.385000038146972656e+01,6.004686523437500000e+03
1.390000057220458984e+01,5.993706054687500000e+03
1.394999980926513672e+01,5.962943359375000000e+03
1.400000000000000000e+01,5.909247070312500000e+03
1.405000019073486328e+01,5.830799316406250000e+03
1.410000038146972656e+01,5.727206054687500000e+03
1.415000057220458984e+01,5.599514160156250000e+03
1.419999980926513672e+01,5.450125976562500000e+03
1.425000000000000000e+01,5.282628906250000000e+03
1.430000019073486328e+01,5.101602050781250000e+03
1.434999942779541016e+01,4.912330566406250000e+03
1.439999961853027344e+01,4.720541503906250000e+03
1.444999980926513672e+01,4.532106933593750000e+03
1.450000000000000000e+01,4.352793457031250000e+03
1.455000019073486328e+01,4.188005371093750000e+03
1.460000038146972656e+01,4.042575683593750000e+03
1.465000057220458984e+01,3.920613281250000000e+03
1.470000076293945312e+01,3.825347167968750000e+03
1.475000000000000000e+01,3.759045410156250000e+03
1.480000019073486328e+01,3.722945800781250000e+03
1.485000038146972656e+01,3.717238037109375000e+03
1.490000057220458984e+01,3.741062988281250000e+03
1.495000076293945312e+01,3.792530273437500000e+03
1.500000000000000000e+01,3.868782714843750000e+03
1.505000019073486328e+01,3.966085937500000000e+03
1.510000038146972656e+01,4.079932128906250000e+03
1.514999961853027344e+01,4.205195312500000000e+03
1.519999980926513672e+01,4.336303222656250000e+03
1.525000000000000000e+01,4.467441894531250000e+03
1.530000019073486328e+01,4.592787597656250000e+03
1.535000038146972656e+01,4.706753906250000000e+03
1.539999961853027344e+01,4.804249023437500000e+03
1.544999980926513672e+01,4.880907714843750000e+03
1.550000000000000000e+01,4.933326660156250000e+03
1.554999923706054688e+01,4.959241699218750000e+03
1.559999942779541016e+01,4.957661132812500000e+03
1.564999961853027344e+01,4.928912597656250000e+03
1.569999980926513672e+01,4.874645996093750000e+03
1.575000000000000000e+01,4.797733886718750000e+03
1.580000019073486328e+01,4.702079589843750000e+03
1.585000038146972656e+01,4.592385742187500000e+03
1.590000057220458984e+01,4.473851074218750000e+03
1.594999980926513672e+01,4.351825195312500000e+03
1.600000000000000000e+01,4.231458007812500000e+03
1.604999923706054688e+01,4.117367187500000000e+03
1.610000038146972656e+01,4.013328857421875000e+03
1.614999961853027344e+01,3.922062255859375000e+03
1.620000076293945312e+01,3.845055664062500000e+03
1.625000000000000000e+01,3.782529785156250000e+03
1.630000114440917969e+01,3.733475341796875000e+03
1.635000038146972656e+01,3.695803710937500000e+03
1.640000152587890625e+01,3.666578613281250000e+03
1.645000076293945312e+01,3.642323730468750000e+03
1.650000000000000000e+01,3.619367187500000000e+03
1.655000114440917969e+01,3.594196289062500000e+03
1.660000038146972656e+01,3.563818847656250000e+03
1.664999961853027344e+01,3.526044677734375000e+03
1.670000076293945312e+01,3.479724609375000000e+03
1.675000000000000000e+01,3.424878662109375000e+03
1.680000114440917969e+01,3.362721679687500000e+03
1.685000038146972656e+01,3.295596679687500000e+03
1.689999961853027344e+01,3.226774414062500000e+03
1.695000076293945312e+01,3.160191406250000000e+03
1.700000000000000000e+01,3.100127929687500000e+03
1.704999923706054688e+01,3.050813476562500000e+03
1.710000038146972656e+01,3.016070312500000000e+03
1.714999961853027344e+01,2.998956054687500000e+03
1.720000076293945312e+01,3.001469238281250000e+03
1.725000000000000000e+01,3.024348632812500000e+03
