16
{'composition': {'Au': 16}, 'crystal structure': 'fcc', 'shape': 'ellipsoid', 'MOI': array([6.237, 6.237, 6.237]), 'MOInormalized': array([6.237, 6.237, 6.237]), 'MOI_dim': array([7.897, 7.897, 7.897]), 'main_dim': array([3.382, 0.   ]), 'secondary_dim': {'edges': {'edge_1': {'length': None, 'atoms_per_edge': None}, 'edge_2': {'length': None, 'atoms_per_edge': None}}}, 'truncation': False, 'number_of_atoms': 16, 'wulff': False, 'crystallization': {'state': 'crystalline', 'type': 'monocrystalline', 'subtype': 'random'}, 'wire_description': {'nRot': None, 'plane_rotated': None}}
# q,sq
1.000000000000000000e+00,-3.605125546455383301e-01
1.049999952316284180e+00,-3.925355374813079834e-01
1.100000023841857910e+00,-3.985856771469116211e-01
1.149999976158142090e+00,-3.879521787166595459e-01
1.200000047683715820e+00,-3.688780963420867920e-01
1.250000000000000000e+00,-3.481773138046264648e-01
1.299999952316284180e+00,-3.309928774833679199e-01
1.350000023841857910e+00,-3.207020759582519531e-01
1.399999976158142090e+00,-3.189544081687927246e-01
1.449999928474426270e+00,-3.258347809314727783e-01
1.500000000000000000e+00,-3.401145339012145996e-01
1.549999952316284180e+00,-3.595712184906005859e-01
1.600000023841857910e+00,-3.813405334949493408e-01
1.649999976158142090e+00,-4.022704958915710449e-01
1.699999928474426270e+00,-4.192510843276977539e-01
1.750000000000000000e+00,-4.294962584972381592e-01
1.799999952316284180e+00,-4.307617247104644775e-01
1.849999904632568359e+00,-4.214910566806793213e-01
1.899999976158142090e+00,-4.008863270282745361e-01
1.949999928474426270e+00,-3.689085841178894043e-01
2.000000000000000000e+00,-3.262179493904113770e-01
2.049999952316284180e+00,-2.740671038627624512e-01
2.099999904632568359e+00,-2.141656428575515747e-01
2.149999856948852539e+00,-1.485272496938705444e-01
2.200000047683715820e+00,-7.932201772928237915e-02
2.250000000000000000e+00,-8.739692158997058868e-03
2.299999952316284180e+00,6.112082302570343018e-02
2.350000143051147461e+00,1.283369064331054688e-01
2.400000095367431641e+00,1.912107616662979126e-01
2.450000047683715820e+00,2.482966929674148560e-01
2.500000000000000000e+00,2.984000146389007568e-01
2.549999952316284180e+00,3.405611813068389893e-01
2.599999904632568359e+00,3.740314245223999023e-01
2.649999856948852539e+00,3.982489407062530518e-01
2.699999809265136719e+00,4.128194153308868408e-01
2.750000000000000000e+00,4.175061881542205811e-01
2.799999952316284180e+00,4.122353494167327881e-01
2.849999904632568359e+00,3.971093595027923584e-01
2.899999856948852539e+00,3.724321126937866211e-01
2.949999809265136719e+00,3.387369215488433838e-01
3.000000000000000000e+00,2.968107461929321289e-01
3.049999952316284180e+00,2.477125823497772217e-01
3.099999904632568359e+00,1.927742809057235718e-01
3.150000095367431641e+00,1.335832625627517700e-01
3.200000047683715820e+00,7.194365561008453369e-02
3.250000000000000000e+00,9.813430719077587128e-03
3.299999952316284180e+00,-5.077801272273063660e-02
3.349999904632568359e+00,-1.078252419829368591e-01
3.400000095367431641e+00,-1.594529449939727783e-01
3.450000047683715820e+00,-2.040193527936935425e-01
3.500000000000000000e+00,-2.402141392230987549e-01
3.550000190734863281e+00,-2.671341001987457275e-01
3.600000143051147461e+00,-2.843355536460876465e-01
3.650000095367431641e+00,-2.918570041656494141e-01
3.700000047683715820e+00,-2.902066409587860107e-01
3.750000000000000000e+00,-2.803165316581726074e-01
3.799999952316284180e+00,-2.634675800800323486e-01
3.849999904632568359e+00,-2.411877065896987915e-01
3.899999856948852539e+00,-2.151366174221038818e-01
3.950000047683715820e+00,-1.869808286428451538e-01
4.000000000000000000e+00,-1.582746058702468872e-01
4.050000190734863281e+00,-1.303515881299972534e-01
4.099999904632568359e+00,-1.042423769831657410e-01
4.150000095367431641e+00,-8.061696588993072510e-02
4.199999809265136719e+00,-5.976454541087150574e-02
4.250000000000000000e+00,-4.160446673631668091e-02
