147
{'composition': {'Au': 147}, 'crystal structure': 'fcc', 'shape': 'epbpyM', 'MOI': array([25.58050138, 30.95936867, 30.95936867]), 'MOInormalized': array([25.58050138, 30.95936867, 30.95936867]), 'MOI_dim': None, 'main_dim': array([9.096, 5.954]), 'secondary_dim': {'edges': {'edge_1': {'length': 8.651274691122111, 'atoms_per_edge': 4}, 'edge_2': {'length': 9.096488529223484, 'atoms_per_edge': 4}}}, 'truncation': False, 'number_of_atoms': 147, 'wulff': False, 'crystallization': {'state': 'crystalline', 'type': 'monocrystalline', 'subtype': 'twinned'}}
# q,fq
1.000000000000000000e+00,-3.839000761508941650e-01
1.049999952316284180e+00,-4.120323956012725830e-01
1.100000023841857910e+00,-4.556334614753723145e-01
1.149999976158142090e+00,-5.040470361709594727e-01
1.200000047683715820e+00,-5.426886081695556641e-01
1.250000000000000000e+00,-5.646993517875671387e-01
1.299999952316284180e+00,-5.753408074378967285e-01
1.350000023841857910e+00,-5.873313546180725098e-01
1.399999976158142090e+00,-6.114249229431152344e-01
1.449999928474426270e+00,-6.490887999534606934e-01
1.500000000000000000e+00,-6.919749975204467773e-01
1.549999952316284180e+00,-7.280310988426208496e-01
1.600000023841857910e+00,-7.497705817222595215e-01
1.649999976158142090e+00,-7.590712308883666992e-01
1.699999928474426270e+00,-7.654311656951904297e-01
1.750000000000000000e+00,-7.789476513862609863e-01
1.799999952316284180e+00,-8.026451468467712402e-01
1.849999904632568359e+00,-8.292393684387207031e-01
1.899999976158142090e+00,-8.445851206779479980e-01
1.949999928474426270e+00,-8.359577655792236328e-01
2.000000000000000000e+00,-8.001919984817504883e-01
2.049999952316284180e+00,-7.465513348579406738e-01
2.099999904632568359e+00,-6.919460892677307129e-01
2.149999856948852539e+00,-6.503586173057556152e-01
2.200000047683715820e+00,-6.216841340065002441e-01
2.250000000000000000e+00,-5.858475565910339355e-01
2.299999952316284180e+00,-5.058752298355102539e-01
2.350000143051147461e+00,-3.394723236560821533e-01
2.400000095367431641e+00,-5.492141470313072205e-02
2.450000047683715820e+00,3.548533320426940918e-01
2.500000000000000000e+00,8.653219938278198242e-01
2.549999952316284180e+00,1.422920823097229004e+00
2.599999904632568359e+00,1.956070303916931152e+00
2.649999856948852539e+00,2.390826225280761719e+00
2.699999809265136719e+00,2.666448116302490234e+00
2.750000000000000000e+00,2.746927499771118164e+00
2.799999952316284180e+00,2.626408338546752930e+00
2.849999904632568359e+00,2.328290462493896484e+00
2.899999856948852539e+00,1.899173974990844727e+00
2.949999809265136719e+00,1.399378538131713867e+00
3.000000000000000000e+00,8.917930126190185547e-01
3.049999952316284180e+00,4.308423399925231934e-01
3.099999904632568359e+00,5.335578322410583496e-02
3.150000095367431641e+00,-2.267666012048721313e-01
3.200000047683715820e+00,-4.185901284217834473e-01
3.250000000000000000e+00,-5.484697818756103516e-01
3.299999952316284180e+00,-6.498473882675170898e-01
3.349999904632568359e+00,-7.515355348587036133e-01
3.400000095367431641e+00,-8.684265017509460449e-01
3.450000047683715820e+00,-9.980127215385437012e-01
3.500000000000000000e+00,-1.124029994010925293e+00
3.550000190734863281e+00,-1.225551724433898926e+00
3.600000143051147461e+00,-1.287382006645202637e+00
3.650000095367431641e+00,-1.306885123252868652e+00
3.700000047683715820e+00,-1.294009089469909668e+00
3.750000000000000000e+00,-1.264540433883666992e+00
3.799999952316284180e+00,-1.230183243751525879e+00
3.849999904632568359e+00,-1.190791964530944824e+00
3.899999856948852539e+00,-1.133285641670227051e+00
3.950000047683715820e+00,-1.038382649421691895e+00
4.000000000000000000e+00,-8.922477364540100098e-01
4.050000190734863281e+00,-6.973429322242736816e-01
4.099999904632568359e+00,-4.767839014530181885e-01
4.150000095367431641e+00,-2.694448530673980713e-01
4.199999809265136719e+00,-1.173923760652542114e-01
4.250000000000000000e+00,-5.072840303182601929e-02
4.299999713897705078e+00,-7.601700723171234131e-02
4.349999904632568359e+00,-1.726548373699188232e-01
4.399999618530273438e+00,-2.979338765144348145e-01
4.449999809265136719e+00,-3.981609046459197998e-01
4.500000000000000000e+00,-4.215744733810424805e-01
4.549999713897705078e+00,-3.292758762836456299e-01
4.599999904632568359e+00,-1.023323386907577515e-01
4.650000095367431641e+00,2.549067139625549316e-01
4.699999809265136719e+00,7.146339416503906250e-01
4.750000000000000000e+00,1.228244185447692871e+00
4.799999713897705078e+00,1.732339382171630859e+00
4.849999904632568359e+00,2.158693790435791016e+00
4.900000095367431641e+00,2.447289943695068359e+00
4.949999809265136719e+00,2.559767723083496094e+00
5.000000000000000000e+00,2.488965034484863281e+00
5.050000190734863281e+00,2.260602712631225586e+00
5.099999904632568359e+00,1.925563931465148926e+00
5.150000095367431641e+00,1.544684648513793945e+00
5.199999809265136719e+00,1.171238660812377930e+00
5.250000000000000000e+00,8.372099995613098145e-01
5.300000190734863281e+00,5.481782555580139160e-01
5.349999904632568359e+00,2.879266738891601562e-01
5.400000095367431641e+00,3.030540607869625092e-02
5.450000286102294922e+00,-2.468389421701431274e-01
5.500000000000000000e+00,-5.510393977165222168e-01
5.550000190734863281e+00,-8.715679645538330078e-01
5.599999904632568359e+00,-1.183264851570129395e+00
5.650000095367431641e+00,-1.455769300460815430e+00
5.700000286102294922e+00,-1.664058566093444824e+00
5.750000000000000000e+00,-1.796456336975097656e+00
5.800000190734863281e+00,-1.857300400733947754e+00
5.850000381469726562e+00,-1.863649368286132812e+00
