147
{'composition': {'Au': 147}, 'crystal structure': 'fcc', 'shape': 'epbpyM', 'MOI': array([25.58050138, 30.95936867, 30.95936867]), 'MOInormalized': array([25.58050138, 30.95936867, 30.95936867]), 'MOI_dim': None, 'main_dim': array([9.096, 5.954]), 'secondary_dim': {'edges': {'edge_1': {'length': 8.651274691122111, 'atoms_per_edge': 4}, 'edge_2': {'length': 9.096488529223484, 'atoms_per_edge': 4}}}, 'truncation': False, 'number_of_atoms': 147, 'wulff': False, 'crystallization': {'state': 'crystalline', 'type': 'monocrystalline', 'subtype': 'twinned'}}
# r,gr
0.000000000000000000e+00,0.000000000000000000e+00
9.999999776482582092e-03,-1.170833595097064972e-02
1.999999955296516418e-02,-2.310556545853614807e-02
2.999999932944774628e-02,-3.389025852084159851e-02
3.999999910593032837e-02,-4.378072172403335571e-02
5.000000074505805969e-02,-5.252355337142944336e-02
5.999999865889549255e-02,-5.990207567811012268e-02
7.000000029802322388e-02,-6.574285775423049927e-02
7.999999821186065674e-02,-6.992233544588088989e-02
8.999999612569808960e-02,-7.237047702074050903e-02
1.000000014901161194e-01,-7.307395339012145996e-02
1.099999994039535522e-01,-7.207577675580978394e-02
1.199999973177909851e-01,-6.947629898786544800e-02
1.299999952316284180e-01,-6.542842835187911987e-02
1.400000005960464478e-01,-6.013567745685577393e-02
1.499999910593032837e-01,-5.384333804249763489e-02
1.599999964237213135e-01,-4.683348536491394043e-02
1.700000017881393433e-01,-3.941538929939270020e-02
1.799999922513961792e-01,-3.191452100872993469e-02
1.899999976158142090e-01,-2.466428652405738831e-02
2.000000029802322388e-01,-1.799358241260051727e-02
2.099999934434890747e-01,-1.221642363816499710e-02
2.199999988079071045e-01,-7.621086668223142624e-03
2.299999892711639404e-01,-4.460355266928672791e-03
2.399999946355819702e-01,-2.941724378615617752e-03
2.500000000000000000e-01,-3.220851533114910126e-03
2.599999904632568359e-01,-5.393933039158582687e-03
2.699999809265136719e-01,-9.494626894593238831e-03
2.800000011920928955e-01,-1.549035590142011642e-02
2.899999916553497314e-01,-2.328347787261009216e-02
2.999999821186065674e-01,-3.271218389272689819e-02
3.100000023841857910e-01,-4.355509951710700989e-02
3.199999928474426270e-01,-5.553800240159034729e-02
3.299999833106994629e-01,-6.834156811237335205e-02
3.400000035762786865e-01,-8.161135017871856689e-02
3.499999940395355225e-01,-9.497049450874328613e-02
3.599999845027923584e-01,-1.080307960510253906e-01
3.700000047683715820e-01,-1.204077079892158508e-01
3.799999952316284180e-01,-1.317314654588699341e-01
3.899999856948852539e-01,-1.416640877723693848e-01
4.000000059604644775e-01,-1.499083191156387329e-01
4.099999964237213135e-01,-1.562211215496063232e-01
4.200000166893005371e-01,-1.604239493608474731e-01
4.300000071525573730e-01,-1.624094098806381226e-01
4.399999976158142090e-01,-1.621468961238861084e-01
4.500000178813934326e-01,-1.596867442131042480e-01
4.600000083446502686e-01,-1.551592499017715454e-01
4.699999988079071045e-01,-1.487720310688018799e-01
4.799999892711639404e-01,-1.408046633005142212e-01
4.899999797344207764e-01,-1.316004544496536255e-01
5.000000000000000000e-01,-1.215546727180480957e-01
5.099999904632568359e-01,-1.111022233963012695e-01
5.199999809265136719e-01,-1.007036119699478149e-01
5.299999713897705078e-01,-9.082565456628799438e-02
5.399999618530273438e-01,-8.192837983369827271e-02
5.500000119209289551e-01,-7.444474846124649048e-02
5.600000023841857910e-01,-6.876620650291442871e-02
