147
{'composition': {'Au': 147}, 'crystal structure': 'fcc', 'shape': 'epbpyM', 'MOI': array([25.58050138, 30.95936867, 30.95936867]), 'MOInormalized': array([25.58050138, 30.95936867, 30.95936867]), 'MOI_dim': None, 'main_dim': array([9.096, 5.954]), 'secondary_dim': {'edges': {'edge_1': {'length': 8.651274691122111, 'atoms_per_edge': 4}, 'edge_2': {'length': 9.096488529223484, 'atoms_per_edge': 4}}}, 'truncation': False, 'number_of_atoms': 147, 'wulff': False, 'crystallization': {'state': 'crystalline', 'type': 'monocrystalline', 'subtype': 'twinned'}}
# q,sq
1.000000000000000000e+00,9.979912500000000000e+04
1.049999952316284180e+00,9.190940625000000000e+04
1.100000023841857910e+00,7.281478125000000000e+04
1.149999976158142090e+00,5.201990625000000000e+04
1.200000047683715820e+00,3.999121875000000000e+04
1.250000000000000000e+00,4.010828125000000000e+04
1.299999952316284180e+00,4.740159375000000000e+04
1.350000023841857910e+00,5.320018750000000000e+04
1.399999976158142090e+00,5.143465625000000000e+04
1.449999928474426270e+00,4.222859375000000000e+04
1.500000000000000000e+00,3.095400000000000000e+04
1.549999952316284180e+00,2.405081250000000000e+04
1.600000023841857910e+00,2.471050000000000000e+04
1.649999976158142090e+00,3.118678125000000000e+04
1.699999928474426270e+00,3.849618750000000000e+04
1.750000000000000000e+00,4.210687500000000000e+04
1.799999952316284180e+00,4.112853125000000000e+04
1.849999904632568359e+00,3.901259375000000000e+04
1.899999976158142090e+00,4.144046875000000000e+04
1.949999928474426270e+00,5.277596875000000000e+04
2.000000000000000000e+00,7.326837500000000000e+04
2.049999952316284180e+00,9.869640625000000000e+04
2.099999904632568359e+00,1.227394843750000000e+05
2.149999856948852539e+00,1.408494062500000000e+05
2.200000047683715820e+00,1.535866093750000000e+05
2.250000000000000000e+00,1.676703125000000000e+05
2.299999952316284180e+00,1.940947812500000000e+05
2.350000143051147461e+00,2.440559531250000000e+05
2.400000095367431641e+00,3.243601562500000000e+05
2.450000047683715820e+00,4.341556250000000000e+05
2.500000000000000000e+00,5.641681250000000000e+05
2.549999952316284180e+00,6.985955000000000000e+05
2.599999904632568359e+00,8.188618750000000000e+05
2.649999856948852539e+00,9.079117500000000000e+05
2.699999809265136719e+00,9.537795000000000000e+05
2.750000000000000000e+00,9.516242500000000000e+05
2.799999952316284180e+00,9.040231250000000000e+05
2.849999904632568359e+00,8.197918750000000000e+05
2.899999856948852539e+00,7.118496250000000000e+05
2.949999809265136719e+00,5.946742500000000000e+05
3.000000000000000000e+00,4.817985000000000000e+05
3.049999952316284180e+00,3.837078750000000000e+05
3.099999904632568359e+00,3.064339375000000000e+05
3.150000095367431641e+00,2.510867968750000000e+05
3.200000047683715820e+00,2.144472343750000000e+05
3.250000000000000000e+00,1.905078125000000000e+05
3.299999952316284180e+00,1.725928281250000000e+05
3.349999904632568359e+00,1.554343750000000000e+05
3.400000095367431641e+00,1.365509687500000000e+05
3.450000047683715820e+00,1.164887656250000000e+05
3.500000000000000000e+00,9.789642187500000000e+04
3.550000190734863281e+00,8.388548437500000000e+04
3.600000143051147461e+00,7.641665625000000000e+04
3.650000095367431641e+00,7.542937500000000000e+04
3.700000047683715820e+00,7.906548437500000000e+04
3.750000000000000000e+00,8.481314062500000000e+04
3.799999952316284180e+00,9.093445312500000000e+04
3.849999904632568359e+00,9.741756250000000000e+04
3.899999856948852539e+00,1.059279375000000000e+05
3.950000047683715820e+00,1.187681250000000000e+05
4.000000000000000000e+00,1.373570937500000000e+05
4.050000190734863281e+00,1.610040937500000000e+05
4.099999904632568359e+00,1.866175625000000000e+05
4.150000095367431641e+00,2.095356250000000000e+05
4.199999809265136719e+00,2.251305312500000000e+05
4.250000000000000000e+00,2.305052812500000000e+05
4.299999713897705078e+00,2.255815312500000000e+05
4.349999904632568359e+00,2.131988125000000000e+05
4.399999618530273438e+00,1.982816875000000000e+05
4.449999809265136719e+00,1.864793750000000000e+05
4.500000000000000000e+00,1.827859687500000000e+05
4.549999713897705078e+00,1.905208750000000000e+05
4.599999904632568359e+00,2.108039531250000000e+05
4.650000095367431641e+00,2.424572031250000000e+05
4.699999809265136719e+00,2.822164687500000000e+05
4.750000000000000000e+00,3.251826875000000000e+05
4.799999713897705078e+00,3.655243750000000000e+05
4.849999904632568359e+00,3.974465625000000000e+05
4.900000095367431641e+00,4.163101250000000000e+05
4.949999809265136719e+00,4.196560000000000000e+05
5.000000000000000000e+00,4.077850625000000000e+05
5.050000190734863281e+00,3.836347500000000000e+05
5.099999904632568359e+00,3.519189375000000000e+05
5.150000095367431641e+00,3.177785937500000000e+05
5.199999809265136719e+00,2.854054375000000000e+05
5.250000000000000000e+00,2.570992031250000000e+05
5.300000190734863281e+00,2.330612187500000000e+05
5.349999904632568359e+00,2.119133593750000000e+05
5.400000095367431641e+00,1.916764531250000000e+05
5.450000286102294922e+00,1.707876718750000000e+05
5.500000000000000000e+00,1.487862187500000000e+05
5.550000190734863281e+00,1.264589140625000000e+05
5.599999904632568359e+00,1.054789140625000000e+05
5.650000095367431641e+00,8.773345312500000000e+04
5.700000286102294922e+00,7.463817187500000000e+04
5.750000000000000000e+00,6.667928125000000000e+04
5.800000190734863281e+00,6.333069531250000000e+04
5.850000381469726562e+00,6.333743750000000000e+04
5.900000095367431641e+00,6.523108593750000000e+04
5.950000286102294922e+00,6.787572656250000000e+04
6.000000000000000000e+00,7.084071875000000000e+04
6.050000190734863281e+00,7.447072656250000000e+04
6.100000381469726562e+00,7.964056250000000000e+04
6.150000095367431641e+00,8.730101562500000000e+04
6.199999809265136719e+00,9.800668750000000000e+04
6.250000000000000000e+00,1.116167968750000000e+05
6.299999713897705078e+00,1.272815000000000000e+05
6.349999904632568359e+00,1.437092500000000000e+05
6.399999618530273438e+00,1.595849531250000000e+05
6.449999809265136719e+00,1.739544687500000000e+05
6.500000000000000000e+00,1.864167343750000000e+05
6.549999713897705078e+00,1.970590937500000000e+05
6.599999904632568359e+00,2.061944375000000000e+05
6.650000095367431641e+00,2.140353125000000000e+05
6.699999809265136719e+00,2.204616562500000000e+05
6.750000000000000000e+00,2.249730000000000000e+05
6.799999713897705078e+00,2.268315468750000000e+05
6.849999904632568359e+00,2.253180000000000000e+05
6.900000095367431641e+00,2.199946875000000000e+05
6.949999809265136719e+00,2.108802500000000000e+05
7.000000000000000000e+00,1.985055000000000000e+05
7.050000190734863281e+00,1.838530625000000000e+05
7.099999904632568359e+00,1.682255156250000000e+05
7.150000095367431641e+00,1.530701250000000000e+05
7.199999809265136719e+00,1.397888750000000000e+05
7.250000000000000000e+00,1.295409843750000000e+05
7.300000190734863281e+00,1.230651250000000000e+05
7.349999904632568359e+00,1.205480546875000000e+05
7.400000095367431641e+00,1.215842109375000000e+05
7.450000286102294922e+00,1.252451015625000000e+05
7.500000000000000000e+00,1.302561640625000000e+05
7.550000190734863281e+00,1.352355625000000000e+05
7.599999904632568359e+00,1.389362500000000000e+05
7.650000095367431641e+00,1.404412187500000000e+05
7.700000286102294922e+00,1.392813906250000000e+05
7.750000000000000000e+00,1.354751406250000000e+05
7.800000190734863281e+00,1.294971171875000000e+05
7.850000381469726562e+00,1.221768593750000000e+05
7.900000095367431641e+00,1.145249687500000000e+05
7.950000286102294922e+00,1.074939609375000000e+05
8.000000000000000000e+00,1.017183281250000000e+05
8.050000190734863281e+00,9.731401562500000000e+04
8.100000381469726562e+00,9.383741406250000000e+04
8.150000572204589844e+00,9.046580468750000000e+04
8.199999809265136719e+00,8.636728125000000000e+04
8.250000000000000000e+00,8.113671875000000000e+04
8.300000190734863281e+00,7.509976562500000000e+04
8.349999427795410156e+00,6.932471875000000000e+04
8.399999618530273438e+00,6.529137109375000000e+04
8.449999809265136719e+00,6.433452343750000000e+04
8.500000000000000000e+00,6.709813281250000000e+04
8.550000190734863281e+00,7.325707812500000000e+04
8.600000381469726562e+00,8.164814062500000000e+04
8.650000572204589844e+00,9.076294531250000000e+04
8.700000762939453125e+00,9.937678125000000000e+04
8.750000000000000000e+00,1.070140078125000000e+05
8.800000190734863281e+00,1.140263437500000000e+05
8.850000381469726562e+00,1.212469453125000000e+05
8.900000572204589844e+00,1.293923750000000000e+05
8.950000762939453125e+00,1.385042968750000000e+05
9.000000000000000000e+00,1.477056562500000000e+05
9.050000190734863281e+00,1.553933593750000000e+05
9.100000381469726562e+00,1.597836250000000000e+05
9.149999618530273438e+00,1.595738281250000000e+05
9.199999809265136719e+00,1.544381562500000000e+05
9.250000000000000000e+00,1.451680937500000000e+05
9.300000190734863281e+00,1.334263281250000000e+05
9.350000381469726562e+00,1.212397265625000000e+05
9.399999618530273438e+00,1.104416093750000000e+05
9.449999809265136719e+00,1.022504062500000000e+05
9.500000000000000000e+00,9.709596875000000000e+04
9.549999237060546875e+00,9.468313281250000000e+04
9.599999427795410156e+00,9.421521875000000000e+04
9.649999618530273438e+00,9.467155468750000000e+04
9.699999809265136719e+00,9.505399218750000000e+04
9.750000000000000000e+00,9.456442187500000000e+04
9.800000190734863281e+00,9.270632812500000000e+04
9.850000381469726562e+00,8.932423437500000000e+04
9.900000572204589844e+00,8.459110156250000000e+04
9.949999809265136719e+00,7.895103906250000000e+04
1.000000000000000000e+01,7.302221875000000000e+04
1.005000019073486328e+01,6.747596875000000000e+04
1.010000038146972656e+01,6.291167968750000000e+04
1.015000057220458984e+01,5.975524609375000000e+04
1.019999980926513672e+01,5.820050000000000000e+04
1.025000000000000000e+01,5.820283593750000000e+04
1.030000019073486328e+01,5.951711718750000000e+04
1.034999942779541016e+01,6.176644531250000000e+04
1.039999961853027344e+01,6.452318750000000000e+04
1.044999980926513672e+01,6.738685937500000000e+04
1.050000000000000000e+01,7.004645312500000000e+04
1.055000019073486328e+01,7.231856250000000000e+04
1.060000038146972656e+01,7.415537500000000000e+04
1.065000057220458984e+01,7.562054687500000000e+04
1.070000076293945312e+01,7.683977343750000000e+04
1.075000000000000000e+01,7.793685937500000000e+04
1.080000019073486328e+01,7.897607031250000000e+04
1.085000038146972656e+01,7.992932812500000000e+04
1.090000057220458984e+01,8.068445312500000000e+04
1.095000076293945312e+01,8.109649218750000000e+04
1.100000000000000000e+01,8.106803125000000000e+04
1.105000019073486328e+01,8.063474218750000000e+04
1.110000038146972656e+01,8.001791406250000000e+04
1.114999961853027344e+01,7.961634375000000000e+04
1.119999980926513672e+01,7.992148437500000000e+04
1.125000000000000000e+01,8.136750000000000000e+04
1.130000019073486328e+01,8.415613281250000000e+04
1.135000038146972656e+01,8.811534375000000000e+04
1.139999961853027344e+01,9.265125000000000000e+04
1.144999980926513672e+01,9.683002343750000000e+04
1.150000000000000000e+01,9.958323437500000000e+04
1.154999923706054688e+01,9.998360937500000000e+04
1.159999942779541016e+01,9.750812500000000000e+04
1.164999961853027344e+01,9.219646875000000000e+04
1.169999980926513672e+01,8.465391406250000000e+04
1.175000000000000000e+01,7.589485937500000000e+04
1.180000019073486328e+01,6.708452343750000000e+04
1.185000038146972656e+01,5.926855859375000000e+04
1.190000057220458984e+01,5.317595703125000000e+04
1.194999980926513672e+01,4.914104687500000000e+04
1.200000000000000000e+01,4.714029687500000000e+04
1.205000019073486328e+01,4.689510156250000000e+04
1.210000038146972656e+01,4.798078515625000000e+04
1.215000057220458984e+01,4.990282421875000000e+04
1.219999980926513672e+01,5.213891406250000000e+04
1.225000000000000000e+01,5.417424218750000000e+04
1.230000019073486328e+01,5.556285546875000000e+04
1.234999942779541016e+01,5.601956250000000000e+04
1.239999961853027344e+01,5.551391015625000000e+04
1.244999980926513672e+01,5.431078515625000000e+04
1.250000000000000000e+01,5.291385156250000000e+04
1.255000019073486328e+01,5.190694921875000000e+04
1.260000038146972656e+01,5.174329687500000000e+04
1.265000057220458984e+01,5.256756640625000000e+04
1.270000076293945312e+01,5.415239843750000000e+04
1.275000000000000000e+01,5.598159765625000000e+04
1.280000019073486328e+01,5.744943750000000000e+04
1.285000038146972656e+01,5.808848828125000000e+04
1.290000057220458984e+01,5.772956250000000000e+04
1.295000076293945312e+01,5.653271093750000000e+04
1.300000000000000000e+01,5.489075390625000000e+04
1.305000019073486328e+01,5.326562500000000000e+04
1.310000038146972656e+01,5.203964453125000000e+04
1.314999961853027344e+01,5.144092578125000000e+04
1.319999980926513672e+01,5.155300781250000000e+04
1.325000000000000000e+01,5.237018750000000000e+04
