147
{'composition': {'Au': 147}, 'crystal structure': 'fcc', 'shape': 'epbpyM', 'MOI': array([25.58050138, 30.95936867, 30.95936867]), 'MOInormalized': array([25.58050138, 30.95936867, 30.95936867]), 'MOI_dim': None, 'main_dim': array([9.096, 5.954]), 'secondary_dim': {'edges': {'edge_1': {'length': 8.651274691122111, 'atoms_per_edge': 4}, 'edge_2': {'length': 9.096488529223484, 'atoms_per_edge': 4}}}, 'truncation': False, 'number_of_atoms': 147, 'wulff': False, 'crystallization': {'state': 'crystalline', 'type': 'monocrystalline', 'subtype': 'twinned'}}
# q,sq
1.000000000000000000e+00,-3.839000761508941650e-01
1.049999952316284180e+00,-3.924118280410766602e-01
1.100000023841857910e+00,-4.142122268676757812e-01
1.149999976158142090e+00,-4.383018016815185547e-01
1.200000047683715820e+00,-4.522404670715332031e-01
1.250000000000000000e+00,-4.517594873905181885e-01
1.299999952316284180e+00,-4.425698518753051758e-01
1.350000023841857910e+00,-4.350602626800537109e-01
1.399999976158142090e+00,-4.367320835590362549e-01
1.449999928474426270e+00,-4.476474523544311523e-01
1.500000000000000000e+00,-4.613166451454162598e-01
1.549999952316284180e+00,-4.696975052356719971e-01
1.600000023841857910e+00,-4.686065912246704102e-01
1.649999976158142090e+00,-4.600431621074676514e-01
1.699999928474426270e+00,-4.502536356449127197e-01
1.750000000000000000e+00,-4.451129436492919922e-01
1.799999952316284180e+00,-4.459139704704284668e-01
1.849999904632568359e+00,-4.482375085353851318e-01
1.899999976158142090e+00,-4.445184767246246338e-01
1.949999928474426270e+00,-4.286963045597076416e-01
2.000000000000000000e+00,-4.000959992408752441e-01
2.049999952316284180e+00,-3.641713857650756836e-01
2.099999904632568359e+00,-3.294981420040130615e-01
2.149999856948852539e+00,-3.024924099445343018e-01
2.200000047683715820e+00,-2.825836837291717529e-01
2.250000000000000000e+00,-2.603766918182373047e-01
2.299999952316284180e+00,-2.199457585811614990e-01
2.350000143051147461e+00,-1.444562971591949463e-01
2.400000095367431641e+00,-2.288392186164855957e-02
2.450000047683715820e+00,1.448380947113037109e-01
2.500000000000000000e+00,3.461287915706634521e-01
2.549999952316284180e+00,5.580081939697265625e-01
2.599999904632568359e+00,7.523347735404968262e-01
2.649999856948852539e+00,9.021986126899719238e-01
2.699999809265136719e+00,9.875734448432922363e-01
2.750000000000000000e+00,9.988827109336853027e-01
2.799999952316284180e+00,9.380030035972595215e-01
2.849999904632568359e+00,8.169440627098083496e-01
2.899999856948852539e+00,6.548876166343688965e-01
2.949999809265136719e+00,4.743656516075134277e-01
3.000000000000000000e+00,2.972643375396728516e-01
3.049999952316284180e+00,1.412597894668579102e-01
3.099999904632568359e+00,1.721154339611530304e-02
3.150000095367431641e+00,-7.198939472436904907e-02
3.200000047683715820e+00,-1.308094114065170288e-01
3.250000000000000000e+00,-1.687599271535873413e-01
3.299999952316284180e+00,-1.969234496355056763e-01
3.349999904632568359e+00,-2.243389785289764404e-01
3.400000095367431641e+00,-2.554195523262023926e-01
3.450000047683715820e+00,-2.892790436744689941e-01
3.500000000000000000e+00,-3.211514353752136230e-01
3.550000190734863281e+00,-3.452258110046386719e-01
3.600000143051147461e+00,-3.576060831546783447e-01
3.650000095367431641e+00,-3.580507040023803711e-01
3.700000047683715820e+00,-3.497321903705596924e-01
3.750000000000000000e+00,-3.372107744216918945e-01
3.799999952316284180e+00,-3.237324357032775879e-01
3.849999904632568359e+00,-3.092966079711914062e-01
3.899999856948852539e+00,-2.905860841274261475e-01
3.950000047683715820e+00,-2.628816664218902588e-01
4.000000000000000000e+00,-2.230619341135025024e-01
4.050000190734863281e+00,-1.721834391355514526e-01
4.099999904632568359e+00,-1.162887588143348694e-01
4.150000095367431641e+00,-6.492646783590316772e-02
4.199999809265136719e+00,-2.795056626200675964e-02
4.250000000000000000e+00,-1.193609461188316345e-02
4.299999713897705078e+00,-1.767837442457675934e-02
4.349999904632568359e+00,-3.969076648354530334e-02
4.399999618530273438e+00,-6.771224737167358398e-02
4.449999809265136719e+00,-8.947436511516571045e-02
4.500000000000000000e+00,-9.368321299552917480e-02
4.549999713897705078e+00,-7.236833125352859497e-02
4.599999904632568359e+00,-2.224616147577762604e-02
4.650000095367431641e+00,5.481864511966705322e-02
4.699999809265136719e+00,1.520497798919677734e-01
4.750000000000000000e+00,2.585777342319488525e-01
