13
{'composition': {'Au': 13}, 'crystal structure': 'fcc', 'shape': 'fccCubo', 'MOI': array([5.11757633, 5.11757633, 5.11757633]), 'MOInormalized': array([5.11757633, 5.11757633, 5.11757633]), 'MOI_dim': array([7.837, 7.837, 7.837]), 'main_dim': array([2.884, 2.163]), 'secondary_dim': {'edges': {'edge_1': {'length': 2.8837582303740374, 'atoms_per_edge': 2}, 'edge_2': {'length': None, 'atoms_per_edge': None}}}, 'truncation': False, 'number_of_atoms': 13, 'wulff': False, 'crystallization': {'state': 'crystalline', 'type': 'monocrystalline', 'subtype': 'random'}}
# r,gr
0.000000000000000000e+00,0.000000000000000000e+00
9.999999776482582092e-03,-3.510188311338424683e-02
1.999999955296516418e-02,-6.893870234489440918e-02
2.999999932944774628e-02,-1.002935841679573059e-01
3.999999910593032837e-02,-1.280448734760284424e-01
5.000000074505805969e-02,-1.512083858251571655e-01
5.999999865889549255e-02,-1.689756810665130615e-01
7.000000029802322388e-02,-1.807446777820587158e-01
7.999999821186065674e-02,-1.861424595117568970e-01
8.999999612569808960e-02,-1.850406527519226074e-01
1.000000014901161194e-01,-1.775590777397155762e-01
1.099999994039535522e-01,-1.640623360872268677e-01
1.199999973177909851e-01,-1.451458185911178589e-01
1.299999952316284180e-01,-1.216124519705772400e-01
1.400000005960464478e-01,-9.444320201873779297e-02
1.499999910593032837e-01,-6.475812196731567383e-02
1.599999964237213135e-01,-3.377566114068031311e-02
1.700000017881393433e-01,-2.764248521998524666e-03
1.799999922513961792e-01,2.700496278703212738e-02
1.899999976158142090e-01,5.430740118026733398e-02
2.000000029802322388e-01,7.801175862550735474e-02
2.099999934434890747e-01,9.712298214435577393e-02
2.199999988079071045e-01,1.108206585049629211e-01
2.299999892711639404e-01,1.184919774532318115e-01
2.399999946355819702e-01,1.197531595826148987e-01
2.500000000000000000e-01,1.144657880067825317e-01
2.599999904632568359e-01,1.027426421642303467e-01
2.699999809265136719e-01,8.494309335947036743e-02
2.800000011920928955e-01,6.165995821356773376e-02
2.899999916553497314e-01,3.369737416505813599e-02
2.999999821186065674e-01,2.040253253653645515e-03
3.100000023841857910e-01,-3.218316659331321716e-02
3.199999928474426270e-01,-6.774413585662841797e-02
3.299999833106994629e-01,-1.033602505922317505e-01
3.400000035762786865e-01,-1.377445161342620850e-01
3.499999940395355225e-01,-1.696541309356689453e-01
3.599999845027923584e-01,-1.979393512010574341e-01
3.700000047683715820e-01,-2.215858250856399536e-01
3.799999952316284180e-01,-2.397551238536834717e-01
3.899999856948852539e-01,-2.518171370029449463e-01
4.000000059604644775e-01,-2.573741674423217773e-01
4.099999964237213135e-01,-2.562762498855590820e-01
4.200000166893005371e-01,-2.486292421817779541e-01
4.300000071525573730e-01,-2.347894161939620972e-01
4.399999976158142090e-01,-2.153514921665191650e-01
4.500000178813934326e-01,-1.911264657974243164e-01
4.600000083446502686e-01,-1.631109565496444702e-01
4.699999988079071045e-01,-1.324495226144790649e-01
4.799999892711639404e-01,-1.003910750150680542e-01
4.899999797344207764e-01,-6.824205070734024048e-02
5.000000000000000000e-01,-3.731588646769523621e-02
5.099999904632568359e-01,-8.883006870746612549e-03
5.199999809265136719e-01,1.587822474539279938e-02
5.299999713897705078e-01,3.592608124017715454e-02
5.399999618530273438e-01,5.039676651358604431e-02
5.500000119209289551e-01,5.863774195313453674e-02
5.600000023841857910e-01,6.023294106125831604e-02
5.699999928474426270e-01,5.502030253410339355e-02
5.799999833106994629e-01,4.309810325503349304e-02
5.899999737739562988e-01,2.482261322438716888e-02
6.000000238418579102e-01,7.948726997710764408e-04
6.100000143051147461e-01,-2.816016599535942078e-02
6.200000047683715820e-01,-6.102661788463592529e-02
6.299999952316284180e-01,-9.663391858339309692e-02
6.399999856948852539e-01,-1.337014436721801758e-01
6.499999761581420898e-01,-1.708878278732299805e-01
6.599999666213989258e-01,-2.068415880203247070e-01
6.699999570846557617e-01,-2.402527332305908203e-01
6.800000071525573730e-01,-2.699038982391357422e-01
6.899999976158142090e-01,-2.947148382663726807e-01
6.999999880790710449e-01,-3.137891888618469238e-01
7.099999785423278809e-01,-3.264435529708862305e-01
7.200000286102294922e-01,-3.322398066520690918e-01
7.300000190734863281e-01,-3.310005962848663330e-01
7.400000095367431641e-01,-3.228165209293365479e-01
7.500000000000000000e-01,-3.080456256866455078e-01
7.600000500679016113e-01,-2.872999906539916992e-01
7.700000405311584473e-01,-2.614241540431976318e-01
7.800000309944152832e-01,-2.314628958702087402e-01
7.900000214576721191e-01,-1.986228972673416138e-01
8.000000119209289551e-01,-1.642275303602218628e-01
8.100000023841857910e-01,-1.296652853488922119e-01
8.199999928474426270e-01,-9.633918851613998413e-02
8.299999833106994629e-01,-6.561119109392166138e-02
8.400000333786010742e-01,-3.875054419040679932e-02
8.500000238418579102e-01,-1.688538491725921631e-02
8.600000143051147461e-01,-9.577157907187938690e-04
8.700000047683715820e-01,8.314768783748149872e-03
8.799999952316284180e-01,1.046346966177225113e-02
8.899999856948852539e-01,5.292495246976613998e-03
8.999999761581420898e-01,-7.114789448678493500e-03
9.099999666213989258e-01,-2.639600448310375214e-02
9.200000166893005371e-01,-5.192397907376289368e-02
9.300000071525573730e-01,-8.282503485679626465e-02
9.399999976158142090e-01,-1.180182248353958130e-01
9.499999880790710449e-01,-1.562466621398925781e-01
9.599999785423278809e-01,-1.961320489645004272e-01
9.699999690055847168e-01,-2.362223416566848755e-01
9.799999594688415527e-01,-2.750484049320220947e-01
9.899999499320983887e-01,-3.111805915832519531e-01
1.000000000000000000e+00,-3.432830870151519775e-01
1.009999990463256836e+00,-3.701649606227874756e-01
1.019999980926513672e+00,-3.908287882804870605e-01
1.029999971389770508e+00,-4.045085310935974121e-01
1.039999961853027344e+00,-4.107001721858978271e-01
1.049999952316284180e+00,-4.091846644878387451e-01
1.059999942779541016e+00,-4.000360071659088135e-01
1.069999933242797852e+00,-3.836218714714050293e-01
1.079999923706054688e+00,-3.605919778347015381e-01
1.089999914169311523e+00,-3.318531215190887451e-01
1.099999904632568359e+00,-2.985383570194244385e-01
1.110000014305114746e+00,-2.619646489620208740e-01
1.120000004768371582e+00,-2.235838174819946289e-01
1.129999995231628418e+00,-1.849269121885299683e-01
1.139999985694885254e+00,-1.475476920604705811e-01
1.149999976158142090e+00,-1.129624471068382263e-01
1.159999966621398926e+00,-8.259201049804687500e-02
1.169999957084655762e+00,-5.770507827401161194e-02
1.179999947547912598e+00,-3.937205299735069275e-02
1.190000057220458984e+00,-2.841821499168872833e-02
1.200000047683715820e+00,-2.539289742708206177e-02
1.210000038146972656e+00,-3.054509870707988739e-02
1.220000028610229492e+00,-4.381147027015686035e-02
1.230000019073486328e+00,-6.481672823429107666e-02
1.240000009536743164e+00,-9.288531541824340820e-02
1.250000000000000000e+00,-1.270636022090911865e-01
1.259999990463256836e+00,-1.661563664674758911e-01
1.270000100135803223e+00,-2.087681889533996582e-01
1.279999971389770508e+00,-2.533533275127410889e-01
1.289999961853027344e+00,-2.982816994190216064e-01
1.299999952316284180e+00,-3.418904542922973633e-01
1.309999942779541016e+00,-3.825528919696807861e-01
1.319999933242797852e+00,-4.187415838241577148e-01
1.329999923706054688e+00,-4.490846991539001465e-01
1.339999914169311523e+00,-4.724212884902954102e-01
1.350000023841857910e+00,-4.878496527671813965e-01
1.360000014305114746e+00,-4.947608709335327148e-01
1.370000004768371582e+00,-4.928673505783081055e-01
1.379999995231628418e+00,-4.822168648242950439e-01
1.389999985694885254e+00,-4.631929695606231689e-01
1.399999976158142090e+00,-4.365043640136718750e-01
1.409999966621398926e+00,-4.031610190868377686e-01
1.419999957084655762e+00,-3.644376397132873535e-01
1.430000066757202148e+00,-3.218294680118560791e-01
1.440000057220458984e+00,-2.769968807697296143e-01
1.450000047683715820e+00,-2.317011952400207520e-01
1.460000038146972656e+00,-1.877414733171463013e-01
1.470000028610229492e+00,-1.468850076198577881e-01
1.480000019073486328e+00,-1.107982546091079712e-01
1.490000009536743164e+00,-8.098345994949340820e-02
1.500000000000000000e+00,-5.871922895312309265e-02
1.510000109672546387e+00,-4.500834643840789795e-02
1.519999980926513672e+00,-4.053607210516929626e-02
1.529999971389770508e+00,-4.564137011766433716e-02
1.539999961853027344e+00,-6.030020862817764282e-02
1.549999952316284180e+00,-8.412052690982818604e-02
1.559999942779541016e+00,-1.163536533713340759e-01
1.569999933242797852e+00,-1.559198349714279175e-01
1.579999923706054688e+00,-2.014431655406951904e-01
1.590000033378601074e+00,-2.513042688369750977e-01
1.600000023841857910e+00,-3.036932051181793213e-01
1.610000014305114746e+00,-3.566828966140747070e-01
1.620000004768371582e+00,-4.082967638969421387e-01
1.629999995231628418e+00,-4.565857946872711182e-01
1.639999985694885254e+00,-4.997029602527618408e-01
1.649999976158142090e+00,-5.359736680984497070e-01
1.659999966621398926e+00,-5.639637112617492676e-01
1.670000076293945312e+00,-5.825369954109191895e-01
1.679999947547912598e+00,-5.909019112586975098e-01
1.689999938011169434e+00,-5.886475443840026855e-01
1.699999928474426270e+00,-5.757638216018676758e-01
1.709999918937683105e+00,-5.526474118232727051e-01
1.719999909400939941e+00,-5.200933218002319336e-01
1.729999899864196777e+00,-4.792665839195251465e-01
1.739999890327453613e+00,-4.316695928573608398e-01
1.750000000000000000e+00,-3.790834248065948486e-01
1.759999990463256836e+00,-3.235090970993041992e-01
1.769999980926513672e+00,-2.670893073081970215e-01
1.779999971389770508e+00,-2.120333909988403320e-01
1.789999961853027344e+00,-1.605312526226043701e-01
1.799999952316284180e+00,-1.146716028451919556e-01
1.809999942779541016e+00,-7.635864615440368652e-02
1.819999933242797852e+00,-4.723939672112464905e-02
1.830000042915344238e+00,-2.863326109945774078e-02
1.840000033378601074e+00,-2.148098126053810120e-02
1.850000023841857910e+00,-2.629852294921875000e-02
1.860000014305114746e+00,-4.315261170268058777e-02
1.870000004768371582e+00,-7.164946943521499634e-02
1.879999995231628418e+00,-1.109450757503509521e-01
1.889999985694885254e+00,-1.597650200128555298e-01
1.899999976158142090e+00,-2.164489477872848511e-01
1.910000085830688477e+00,-2.790066599845886230e-01
1.919999957084655762e+00,-3.451838195323944092e-01
1.929999947547912598e+00,-4.125516116619110107e-01
1.939999938011169434e+00,-4.785851538181304932e-01
1.949999928474426270e+00,-5.407670736312866211e-01
1.959999918937683105e+00,-5.966763496398925781e-01
1.969999909400939941e+00,-6.440858840942382812e-01
1.979999899864196777e+00,-6.810489892959594727e-01
1.990000009536743164e+00,-7.059805393218994141e-01
2.000000000000000000e+00,-7.177197337150573730e-01
2.009999990463256836e+00,-7.155880928039550781e-01
2.019999980926513672e+00,-6.994207501411437988e-01
2.029999971389770508e+00,-6.695853471755981445e-01
2.039999961853027344e+00,-6.269765496253967285e-01
2.049999952316284180e+00,-5.729964375495910645e-01
2.059999942779541016e+00,-5.095089077949523926e-01
2.069999933242797852e+00,-4.387826323509216309e-01
2.079999923706054688e+00,-3.634079396724700928e-01
2.089999914169311523e+00,-2.862151563167572021e-01
2.099999904632568359e+00,-2.101652473211288452e-01
2.109999895095825195e+00,-1.382444202899932861e-01
2.119999885559082031e+00,-7.335163652896881104e-02
2.129999876022338867e+00,-1.818803325295448303e-02
2.139999866485595703e+00,2.485016174614429474e-02
2.149999856948852539e+00,5.377032235264778137e-02
2.160000085830688477e+00,6.706354022026062012e-02
2.170000076293945312e+00,6.377871334552764893e-02
2.180000066757202148e+00,4.356795176863670349e-02
2.190000057220458984e+00,6.718097720295190811e-03
2.200000047683715820e+00,-4.584686458110809326e-02
2.210000038146972656e+00,-1.125804483890533447e-01
2.220000028610229492e+00,-1.913615763187408447e-01
2.230000019073486328e+00,-2.795490920543670654e-01
2.240000009536743164e+00,-3.740737438201904297e-01
2.250000000000000000e+00,-4.715383052825927734e-01
2.259999990463256836e+00,-5.683336853981018066e-01
2.269999980926513672e+00,-6.607703566551208496e-01
2.279999971389770508e+00,-7.452095150947570801e-01
2.289999961853027344e+00,-8.182023763656616211e-01
2.299999952316284180e+00,-8.766219019889831543e-01
2.309999942779541016e+00,-9.177909493446350098e-01
2.319999933242797852e+00,-9.395902156829833984e-01
2.329999923706054688e+00,-9.405602216720581055e-01
2.339999914169311523e+00,-9.199704527854919434e-01
2.349999904632568359e+00,-8.778759241104125977e-01
2.359999895095825195e+00,-8.151313066482543945e-01
2.369999885559082031e+00,-7.333998680114746094e-01
2.379999876022338867e+00,-6.351097822189331055e-01
2.389999866485595703e+00,-5.233961343765258789e-01
2.400000095367431641e+00,-4.020092487335205078e-01
2.410000085830688477e+00,-2.752113640308380127e-01
2.420000076293945312e+00,-1.476258188486099243e-01
2.430000066757202148e+00,-2.409390918910503387e-02
2.440000057220458984e+00,9.049465507268905640e-02
2.450000047683715820e+00,1.913729310035705566e-01
2.460000038146972656e+00,2.740733325481414795e-01
2.470000028610229492e+00,3.345980644226074219e-01
2.480000019073486328e+00,3.695797622203826904e-01
2.490000009536743164e+00,3.764288723468780518e-01
2.500000000000000000e+00,3.534539341926574707e-01
2.509999990463256836e+00,2.999630868434906006e-01
2.519999980926513672e+00,2.163327932357788086e-01
2.529999971389770508e+00,1.040417626500129700e-01
2.539999961853027344e+00,-3.432769328355789185e-02
2.549999952316284180e+00,-1.951230913400650024e-01
2.559999942779541016e+00,-3.736974000930786133e-01
2.569999933242797852e+00,-5.645105838775634766e-01
2.579999923706054688e+00,-7.612681388854980469e-01
2.589999914169311523e+00,-9.570892453193664551e-01
2.599999904632568359e+00,-1.144695401191711426e+00
2.609999895095825195e+00,-1.316619992256164551e+00
2.619999885559082031e+00,-1.465429306030273438e+00
2.629999876022338867e+00,-1.583949923515319824e+00
2.640000104904174805e+00,-1.665496587753295898e+00
2.650000095367431641e+00,-1.704084515571594238e+00
2.660000085830688477e+00,-1.694641351699829102e+00
2.670000076293945312e+00,-1.633183717727661133e+00
2.680000066757202148e+00,-1.516972184181213379e+00
2.690000057220458984e+00,-1.344633340835571289e+00
2.700000047683715820e+00,-1.116244316101074219e+00
2.710000038146972656e+00,-8.333798646926879883e-01
2.720000028610229492e+00,-4.991086125373840332e-01
2.730000019073486328e+00,-1.179610043764114380e-01
2.740000009536743164e+00,3.041595518589019775e-01
2.750000000000000000e+00,7.601000666618347168e-01
2.759999990463256836e+00,1.241615056991577148e+00
2.769999980926513672e+00,1.739563465118408203e+00
2.779999971389770508e+00,2.244134664535522461e+00
2.789999961853027344e+00,2.745084762573242188e+00
2.799999952316284180e+00,3.232005596160888672e+00
2.809999942779541016e+00,3.694583415985107422e+00
2.819999933242797852e+00,4.122871875762939453e+00
2.829999923706054688e+00,4.507551193237304688e+00
2.839999914169311523e+00,4.840169429779052734e+00
2.849999904632568359e+00,5.113368988037109375e+00
2.859999895095825195e+00,5.321081638336181641e+00
2.869999885559082031e+00,5.458683490753173828e+00
2.880000114440917969e+00,5.523125171661376953e+00
2.890000104904174805e+00,5.512996196746826172e+00
2.900000095367431641e+00,5.428581714630126953e+00
2.910000085830688477e+00,5.271831989288330078e+00
2.920000076293945312e+00,5.046320915222167969e+00
2.930000066757202148e+00,4.757142066955566406e+00
2.940000057220458984e+00,4.410767078399658203e+00
2.950000047683715820e+00,4.014880180358886719e+00
2.960000038146972656e+00,3.578165054321289062e+00
2.970000028610229492e+00,3.110079765319824219e+00
2.980000019073486328e+00,2.620602369308471680e+00
2.990000009536743164e+00,2.119980812072753906e+00
3.000000000000000000e+00,1.618461251258850098e+00
3.009999990463256836e+00,1.126033306121826172e+00
3.019999980926513672e+00,6.521817445755004883e-01
3.029999971389770508e+00,2.056539505720138550e-01
3.039999961853027344e+00,-2.057371288537979126e-01
3.049999952316284180e+00,-5.753040909767150879e-01
3.059999942779541016e+00,-8.976125121116638184e-01
3.069999933242797852e+00,-1.168593883514404297e+00
3.079999923706054688e+00,-1.385606169700622559e+00
3.089999914169311523e+00,-1.547461986541748047e+00
3.099999904632568359e+00,-1.654405355453491211e+00
3.109999895095825195e+00,-1.708062648773193359e+00
3.119999885559082031e+00,-1.711343884468078613e+00
3.129999876022338867e+00,-1.668319821357727051e+00
3.139999866485595703e+00,-1.584064841270446777e+00
3.149999856948852539e+00,-1.464480519294738770e+00
3.159999847412109375e+00,-1.316098928451538086e+00
3.169999837875366211e+00,-1.145868659019470215e+00
3.179999828338623047e+00,-9.609524607658386230e-01
3.189999818801879883e+00,-7.685059309005737305e-01
3.200000047683715820e+00,-5.754733681678771973e-01
3.210000038146972656e+00,-3.884117305278778076e-01
3.220000028610229492e+00,-2.132927626371383667e-01
3.230000019073486328e+00,-5.537006631493568420e-02
3.240000009536743164e+00,8.094699680805206299e-02
3.250000000000000000e+00,1.921866387128829956e-01
3.259999990463256836e+00,2.758761942386627197e-01
3.269999980926513672e+00,3.305716514587402344e-01
3.279999971389770508e+00,3.558516204357147217e-01
3.289999961853027344e+00,3.522855937480926514e-01
3.299999952316284180e+00,3.213721513748168945e-01
3.309999942779541016e+00,2.654444277286529541e-01
3.319999933242797852e+00,1.875609308481216431e-01
3.329999923706054688e+00,9.137745201587677002e-02
3.339999914169311523e+00,-1.899874024093151093e-02
3.349999904632568359e+00,-1.391624361276626587e-01
3.359999895095825195e+00,-2.645622193813323975e-01
3.369999885559082031e+00,-3.906580507755279541e-01
3.379999876022338867e+00,-5.130667090415954590e-01
3.389999866485595703e+00,-6.277024149894714355e-01
3.399999856948852539e+00,-7.308937907218933105e-01
3.409999847412109375e+00,-8.194934725761413574e-01
3.419999837875366211e+00,-8.909602165222167969e-01
3.429999828338623047e+00,-9.434174299240112305e-01
3.440000057220458984e+00,-9.756942987442016602e-01
3.450000047683715820e+00,-9.873366951942443848e-01
3.460000038146972656e+00,-9.785974621772766113e-01
3.470000028610229492e+00,-9.504033327102661133e-01
3.480000019073486328e+00,-9.043000340461730957e-01
3.490000009536743164e+00,-8.423826694488525391e-01
3.500000000000000000e+00,-7.672059535980224609e-01
3.509999990463256836e+00,-6.816873550415039062e-01
3.519999980926513672e+00,-5.889983177185058594e-01
3.529999971389770508e+00,-4.924533069133758545e-01
3.539999961853027344e+00,-3.953969478607177734e-01
3.549999952316284180e+00,-3.010946512222290039e-01
3.559999942779541016e+00,-2.126285731792449951e-01
3.569999933242797852e+00,-1.328037977218627930e-01
3.579999923706054688e+00,-6.406823545694351196e-02
3.589999914169311523e+00,-8.441620506346225739e-03
3.599999904632568359e+00,3.253287449479103088e-02
3.609999895095825195e+00,5.782650411128997803e-02
3.619999885559082031e+00,6.693858653306961060e-02
3.629999876022338867e+00,5.989954248070716858e-02
3.639999866485595703e+00,3.725215420126914978e-02
3.649999856948852539e+00,2.003522058657836169e-05
3.659999847412109375e+00,-5.033833906054496765e-02
3.669999837875366211e+00,-1.119878515601158142e-01
3.680000066757202148e+00,-1.827855706214904785e-01
3.690000057220458984e+00,-2.603497207164764404e-01
3.700000047683715820e+00,-3.421473205089569092e-01
3.710000038146972656e+00,-4.255692958831787109e-01
3.720000028610229492e+00,-5.080096125602722168e-01
3.730000019073486328e+00,-5.869456529617309570e-01
3.740000009536743164e+00,-6.600031852722167969e-01
3.750000000000000000e+00,-7.250236868858337402e-01
3.759999990463256836e+00,-7.801184654235839844e-01
3.769999980926513672e+00,-8.237072825431823730e-01
3.779999971389770508e+00,-8.545560240745544434e-01
3.789999961853027344e+00,-8.717921972274780273e-01
3.799999952316284180e+00,-8.749179840087890625e-01
3.809999942779541016e+00,-8.638029098510742188e-01
3.819999933242797852e+00,-8.386729955673217773e-01
3.829999923706054688e+00,-8.000888824462890625e-01
3.839999914169311523e+00,-7.489104866981506348e-01
3.849999904632568359e+00,-6.862610578536987305e-01
3.859999895095825195e+00,-6.134837269783020020e-01
3.869999885559082031e+00,-5.320959091186523438e-01
3.879999876022338867e+00,-4.437344670295715332e-01
3.889999866485595703e+00,-3.501134812831878662e-01
3.899999856948852539e+00,-2.529722750186920166e-01
3.909999847412109375e+00,-1.540340781211853027e-01
3.920000076293945312e+00,-5.495956912636756897e-02
3.930000066757202148e+00,4.267475381493568420e-02
3.940000057220458984e+00,1.374273896217346191e-01
3.950000047683715820e+00,2.279968708753585815e-01
3.960000038146972656e+00,3.132469356060028076e-01
3.970000028610229492e+00,3.922169208526611328e-01
3.980000019073486328e+00,4.641218185424804688e-01
3.990000009536743164e+00,5.283522605895996094e-01
4.000000000000000000e+00,5.844692587852478027e-01
4.010000228881835938e+00,6.321926712989807129e-01
4.019999980926513672e+00,6.713799238204956055e-01
4.030000209808349609e+00,7.020229697227478027e-01
4.039999961853027344e+00,7.242123484611511230e-01
4.050000190734863281e+00,7.381315827369689941e-01
4.059999942779541016e+00,7.440317273139953613e-01
4.070000171661376953e+00,7.422155141830444336e-01
4.079999923706054688e+00,7.330237627029418945e-01
4.090000152587890625e+00,7.168154120445251465e-01
4.099999904632568359e+00,6.939678192138671875e-01
4.110000133514404297e+00,6.648572087287902832e-01
4.119999885559082031e+00,6.298664212226867676e-01
4.130000114440917969e+00,5.893717408180236816e-01
4.139999866485595703e+00,5.437578558921813965e-01
4.150000095367431641e+00,4.934040904045104980e-01
4.159999847412109375e+00,4.387114048004150391e-01
4.170000076293945312e+00,3.800870776176452637e-01
4.179999828338623047e+00,3.179748952388763428e-01
4.190000057220458984e+00,2.528379261493682861e-01
4.199999809265136719e+00,1.851912736892700195e-01
4.210000038146972656e+00,1.155839413404464722e-01
4.219999790191650391e+00,4.462439566850662231e-02
4.230000019073486328e+00,-2.704104967415332794e-02
4.239999771118164062e+00,-9.870228916406631470e-02
4.250000000000000000e+00,-1.696199029684066772e-01
4.259999752044677734e+00,-2.390006184577941895e-01
4.269999980926513672e+00,-3.060364425182342529e-01
4.279999732971191406e+00,-3.698927462100982666e-01
4.289999961853027344e+00,-4.297415614128112793e-01
4.299999713897705078e+00,-4.847645461559295654e-01
4.309999942779541016e+00,-5.341900587081909180e-01
4.320000171661376953e+00,-5.772901177406311035e-01
4.330000400543212891e+00,-6.134185194969177246e-01
4.340000152587890625e+00,-6.420221924781799316e-01
4.350000381469726562e+00,-6.626667380332946777e-01
