13
{'composition': {'Au': 13}, 'crystal structure': 'fcc', 'shape': 'fccCubo', 'MOI': array([5.11757633, 5.11757633, 5.11757633]), 'MOInormalized': array([5.11757633, 5.11757633, 5.11757633]), 'MOI_dim': array([7.837, 7.837, 7.837]), 'main_dim': array([2.884, 2.163]), 'secondary_dim': {'edges': {'edge_1': {'length': 2.8837582303740374, 'atoms_per_edge': 2}, 'edge_2': {'length': None, 'atoms_per_edge': None}}}, 'truncation': False, 'number_of_atoms': 13, 'wulff': False, 'crystallization': {'state': 'crystalline', 'type': 'monocrystalline', 'subtype': 'random'}}
# q,sq
1.000000000000000000e+00,1.277817187500000000e+04
1.049999952316284180e+00,6.594306640625000000e+03
1.100000023841857910e+00,2.915453125000000000e+03
1.149999976158142090e+00,1.258878906250000000e+03
1.200000047683715820e+00,1.139132812500000000e+03
1.250000000000000000e+00,2.093250000000000000e+03
1.299999952316284180e+00,3.702078125000000000e+03
1.350000023841857910e+00,5.606671875000000000e+03
1.399999976158142090e+00,7.519726562500000000e+03
1.449999928474426270e+00,9.231259765625000000e+03
1.500000000000000000e+00,1.060927539062500000e+04
1.549999952316284180e+00,1.159557421875000000e+04
1.600000023841857910e+00,1.219740625000000000e+04
1.649999976158142090e+00,1.247613281250000000e+04
1.699999928474426270e+00,1.253360937500000000e+04
1.750000000000000000e+00,1.249755273437500000e+04
1.799999952316284180e+00,1.250675781250000000e+04
1.849999904632568359e+00,1.269730859375000000e+04
1.899999976158142090e+00,1.319028515625000000e+04
1.949999928474426270e+00,1.408199804687500000e+04
2.000000000000000000e+00,1.543667773437500000e+04
2.049999952316284180e+00,1.728239843750000000e+04
2.099999904632568359e+00,1.960953125000000000e+04
2.149999856948852539e+00,2.237240429687500000e+04
2.200000047683715820e+00,2.549301171875000000e+04
2.250000000000000000e+00,2.886692968750000000e+04
2.299999952316284180e+00,3.237046875000000000e+04
2.350000143051147461e+00,3.586886718750000000e+04
2.400000095367431641e+00,3.922446093750000000e+04
2.450000047683715820e+00,4.230487500000000000e+04
2.500000000000000000e+00,4.499023437500000000e+04
2.549999952316284180e+00,4.717917578125000000e+04
2.599999904632568359e+00,4.879359375000000000e+04
2.649999856948852539e+00,4.978170312500000000e+04
2.699999809265136719e+00,5.011941406250000000e+04
2.750000000000000000e+00,4.981007031250000000e+04
2.799999952316284180e+00,4.888283593750000000e+04
2.849999904632568359e+00,4.738976562500000000e+04
2.899999856948852539e+00,4.540196093750000000e+04
2.949999809265136719e+00,4.300501171875000000e+04
3.000000000000000000e+00,4.029410156250000000e+04
3.049999952316284180e+00,3.736905078125000000e+04
3.099999904632568359e+00,3.432969921875000000e+04
3.150000095367431641e+00,3.127151757812500000e+04
3.200000047683715820e+00,2.828213085937500000e+04
3.250000000000000000e+00,2.543828515625000000e+04
3.299999952316284180e+00,2.280391015625000000e+04
3.349999904632568359e+00,2.042886328125000000e+04
3.400000095367431641e+00,1.834852343750000000e+04
3.450000047683715820e+00,1.658418554687500000e+04
3.500000000000000000e+00,1.514382128906250000e+04
3.550000190734863281e+00,1.402366406250000000e+04
3.600000143051147461e+00,1.320993750000000000e+04
3.650000095367431641e+00,1.268089453125000000e+04
3.700000047683715820e+00,1.240890234375000000e+04
3.750000000000000000e+00,1.236252441406250000e+04
3.799999952316284180e+00,1.250848242187500000e+04
3.849999904632568359e+00,1.281345312500000000e+04
3.899999856948852539e+00,1.324544726562500000e+04
3.950000047683715820e+00,1.377511328125000000e+04
4.000000000000000000e+00,1.437647753906250000e+04
4.050000190734863281e+00,1.502758593750000000e+04
4.099999904632568359e+00,1.571061621093750000e+04
4.150000095367431641e+00,1.641192968750000000e+04
4.199999809265136719e+00,1.712160546875000000e+04
4.250000000000000000e+00,1.783306250000000000e+04
4.299999713897705078e+00,1.854219921875000000e+04
4.349999904632568359e+00,1.924674804687500000e+04
4.399999618530273438e+00,1.994528906250000000e+04
4.449999809265136719e+00,2.063647070312500000e+04
4.500000000000000000e+00,2.131810546875000000e+04
4.549999713897705078e+00,2.198650195312500000e+04
4.599999904632568359e+00,2.263586914062500000e+04
4.650000095367431641e+00,2.325790820312500000e+04
4.699999809265136719e+00,2.384161328125000000e+04
4.750000000000000000e+00,2.437332031250000000e+04
4.799999713897705078e+00,2.483699804687500000e+04
4.849999904632568359e+00,2.521480468750000000e+04
4.900000095367431641e+00,2.548775195312500000e+04
4.949999809265136719e+00,2.563672656250000000e+04
5.000000000000000000e+00,2.564357031250000000e+04
5.050000190734863281e+00,2.549221875000000000e+04
5.099999904632568359e+00,2.516992382812500000e+04
5.150000095367431641e+00,2.466837500000000000e+04
5.199999809265136719e+00,2.398481640625000000e+04
5.250000000000000000e+00,2.312273242187500000e+04
5.300000190734863281e+00,2.209252148437500000e+04
5.349999904632568359e+00,2.091162500000000000e+04
5.400000095367431641e+00,1.960443945312500000e+04
5.450000286102294922e+00,1.820183984375000000e+04
5.500000000000000000e+00,1.674015820312500000e+04
5.550000190734863281e+00,1.526002343750000000e+04
5.599999904632568359e+00,1.380477734375000000e+04
5.650000095367431641e+00,1.241858593750000000e+04
5.700000286102294922e+00,1.114464355468750000e+04
5.750000000000000000e+00,1.002302343750000000e+04
5.800000190734863281e+00,9.088823242187500000e+03
5.850000381469726562e+00,8.370386718750000000e+03
5.900000095367431641e+00,7.887858886718750000e+03
5.950000286102294922e+00,7.652028320312500000e+03
6.000000000000000000e+00,7.663733886718750000e+03
6.050000190734863281e+00,7.913665527343750000e+03
6.100000381469726562e+00,8.382760742187500000e+03
6.150000095367431641e+00,9.043028320312500000e+03
6.199999809265136719e+00,9.858916015625000000e+03
6.250000000000000000e+00,1.078905859375000000e+04
6.299999713897705078e+00,1.178827148437500000e+04
6.349999904632568359e+00,1.280979296875000000e+04
6.399999618530273438e+00,1.380762304687500000e+04
6.449999809265136719e+00,1.473871777343750000e+04
6.500000000000000000e+00,1.556505371093750000e+04
6.549999713897705078e+00,1.625536132812500000e+04
6.599999904632568359e+00,1.678645703125000000e+04
6.650000095367431641e+00,1.714410546875000000e+04
6.699999809265136719e+00,1.732339062500000000e+04
6.750000000000000000e+00,1.732846093750000000e+04
6.799999713897705078e+00,1.717194140625000000e+04
6.849999904632568359e+00,1.687361718750000000e+04
6.900000095367431641e+00,1.645910156250000000e+04
6.949999809265136719e+00,1.595786914062500000e+04
7.000000000000000000e+00,1.540138085937500000e+04
7.050000190734863281e+00,1.482104785156250000e+04
7.099999904632568359e+00,1.424639355468750000e+04
7.150000095367431641e+00,1.370327929687500000e+04
7.199999809265136719e+00,1.321259375000000000e+04
7.250000000000000000e+00,1.278920703125000000e+04
7.300000190734863281e+00,1.244145996093750000e+04
7.349999904632568359e+00,1.217101855468750000e+04
7.400000095367431641e+00,1.197326367187500000e+04
7.450000286102294922e+00,1.183800781250000000e+04
7.500000000000000000e+00,1.175066601562500000e+04
7.550000190734863281e+00,1.169355078125000000e+04
7.599999904632568359e+00,1.164744726562500000e+04
7.650000095367431641e+00,1.159321289062500000e+04
7.700000286102294922e+00,1.151322363281250000e+04
7.750000000000000000e+00,1.139281152343750000e+04
7.800000190734863281e+00,1.122132714843750000e+04
7.850000381469726562e+00,1.099296484375000000e+04
7.900000095367431641e+00,1.070717578125000000e+04
7.950000286102294922e+00,1.036869531250000000e+04
8.000000000000000000e+00,9.987248046875000000e+03
8.050000190734863281e+00,9.576826171875000000e+03
8.100000381469726562e+00,9.154728515625000000e+03
8.150000572204589844e+00,8.740385742187500000e+03
8.199999809265136719e+00,8.353995117187500000e+03
8.250000000000000000e+00,8.015174804687500000e+03
8.300000190734863281e+00,7.741641601562500000e+03
8.349999427795410156e+00,7.548044433593750000e+03
8.399999618530273438e+00,7.444973632812500000e+03
8.449999809265136719e+00,7.438296875000000000e+03
8.500000000000000000e+00,7.528761230468750000e+03
8.550000190734863281e+00,7.711946289062500000e+03
8.600000381469726562e+00,7.978546875000000000e+03
8.650000572204589844e+00,8.314940429687500000e+03
8.700000762939453125e+00,8.703980468750000000e+03
8.750000000000000000e+00,9.126058593750000000e+03
8.800000190734863281e+00,9.560228515625000000e+03
8.850000381469726562e+00,9.985362304687500000e+03
8.900000572204589844e+00,1.038132421875000000e+04
8.950000762939453125e+00,1.072999902343750000e+04
9.000000000000000000e+00,1.101621679687500000e+04
9.050000190734863281e+00,1.122841015625000000e+04
9.100000381469726562e+00,1.135902734375000000e+04
9.149999618530273438e+00,1.140472656250000000e+04
9.199999809265136719e+00,1.136629882812500000e+04
9.250000000000000000e+00,1.124833203125000000e+04
9.300000190734863281e+00,1.105871777343750000e+04
9.350000381469726562e+00,1.080793457031250000e+04
9.399999618530273438e+00,1.050831933593750000e+04
9.449999809265136719e+00,1.017317187500000000e+04
9.500000000000000000e+00,9.815995117187500000e+03
9.549999237060546875e+00,9.449711914062500000e+03
9.599999427795410156e+00,9.085975585937500000e+03
9.649999618530273438e+00,8.734729492187500000e+03
9.699999809265136719e+00,8.403790039062500000e+03
9.750000000000000000e+00,8.098714843750000000e+03
9.800000190734863281e+00,7.822793457031250000e+03
9.850000381469726562e+00,7.577165039062500000e+03
9.900000572204589844e+00,7.361155273437500000e+03
9.949999809265136719e+00,7.172632812500000000e+03
1.000000000000000000e+01,7.008463378906250000e+03
1.005000019073486328e+01,6.864995605468750000e+03
1.010000038146972656e+01,6.738510742187500000e+03
1.015000057220458984e+01,6.625643554687500000e+03
1.019999980926513672e+01,6.523708496093750000e+03
1.025000000000000000e+01,6.430946289062500000e+03
1.030000019073486328e+01,6.346659667968750000e+03
1.034999942779541016e+01,6.271214843750000000e+03
1.039999961853027344e+01,6.205944335937500000e+03
1.044999980926513672e+01,6.152979492187500000e+03
1.050000000000000000e+01,6.114964843750000000e+03
1.055000019073486328e+01,6.094751953125000000e+03
1.060000038146972656e+01,6.095079589843750000e+03
1.065000057220458984e+01,6.118211914062500000e+03
1.070000076293945312e+01,6.165646972656250000e+03
1.075000000000000000e+01,6.237874511718750000e+03
1.080000019073486328e+01,6.334190429687500000e+03
1.085000038146972656e+01,6.452584960937500000e+03
1.090000057220458984e+01,6.589769531250000000e+03
1.095000076293945312e+01,6.741245117187500000e+03
1.100000000000000000e+01,6.901450683593750000e+03
1.105000019073486328e+01,7.064030273437500000e+03
1.110000038146972656e+01,7.222109863281250000e+03
1.114999961853027344e+01,7.368619628906250000e+03
1.119999980926513672e+01,7.496660644531250000e+03
1.125000000000000000e+01,7.599830078125000000e+03
1.130000019073486328e+01,7.672526855468750000e+03
1.135000038146972656e+01,7.710241210937500000e+03
1.139999961853027344e+01,7.709766113281250000e+03
1.144999980926513672e+01,7.669333984375000000e+03
1.150000000000000000e+01,7.588720703125000000e+03
1.154999923706054688e+01,7.469221679687500000e+03
1.159999942779541016e+01,7.313593750000000000e+03
1.164999961853027344e+01,7.125916503906250000e+03
1.169999980926513672e+01,6.911411621093750000e+03
1.175000000000000000e+01,6.676186523437500000e+03
1.180000019073486328e+01,6.426990722656250000e+03
1.185000038146972656e+01,6.170896972656250000e+03
1.190000057220458984e+01,5.915033203125000000e+03
1.194999980926513672e+01,5.666297851562500000e+03
1.200000000000000000e+01,5.431065917968750000e+03
1.205000019073486328e+01,5.214998535156250000e+03
1.210000038146972656e+01,5.022827636718750000e+03
1.215000057220458984e+01,4.858209960937500000e+03
1.219999980926513672e+01,4.723639160156250000e+03
1.225000000000000000e+01,4.620376464843750000e+03
1.230000019073486328e+01,4.548490234375000000e+03
1.234999942779541016e+01,4.506888183593750000e+03
1.239999961853027344e+01,4.493423339843750000e+03
1.244999980926513672e+01,4.505032714843750000e+03
1.250000000000000000e+01,4.537906738281250000e+03
1.255000019073486328e+01,4.587708984375000000e+03
1.260000038146972656e+01,4.649754394531250000e+03
