13
{'composition': {'Au': 13}, 'crystal structure': 'fcc', 'shape': 'fccCubo', 'MOI': array([5.11757633, 5.11757633, 5.11757633]), 'MOInormalized': array([5.11757633, 5.11757633, 5.11757633]), 'MOI_dim': array([7.837, 7.837, 7.837]), 'main_dim': array([2.884, 2.163]), 'secondary_dim': {'edges': {'edge_1': {'length': 2.8837582303740374, 'atoms_per_edge': 2}, 'edge_2': {'length': None, 'atoms_per_edge': None}}}, 'truncation': False, 'number_of_atoms': 13, 'wulff': False, 'crystallization': {'state': 'crystalline', 'type': 'monocrystalline', 'subtype': 'random'}}
# q,sq
1.000000000000000000e+00,-3.319076299667358398e-01
1.049999952316284180e+00,-4.127134084701538086e-01
1.100000023841857910e+00,-4.611593782901763916e-01
1.149999976158142090e+00,-4.831165969371795654e-01
1.200000047683715820e+00,-4.846169352531433105e-01
1.250000000000000000e+00,-4.715309441089630127e-01
1.299999952316284180e+00,-4.492815136909484863e-01
1.350000023841857910e+00,-4.226114451885223389e-01
1.399999976158142090e+00,-3.954067528247833252e-01
1.449999928474426270e+00,-3.705903887748718262e-01
1.500000000000000000e+00,-3.500775992870330811e-01
1.549999952316284180e+00,-3.347980678081512451e-01
1.600000023841857910e+00,-3.247748911380767822e-01
1.649999976158142090e+00,-3.192515969276428223e-01
1.699999928474426270e+00,-3.168560862541198730e-01
1.750000000000000000e+00,-3.157888948917388916e-01
1.799999952316284180e+00,-3.140228688716888428e-01
1.849999904632568359e+00,-3.094993829727172852e-01
1.899999976158142090e+00,-3.003120422363281250e-01
1.949999928474426270e+00,-2.848632037639617920e-01
2.000000000000000000e+00,-2.619905173778533936e-01
2.049999952316284180e+00,-2.310522198677062988e-01
2.099999904632568359e+00,-1.919748187065124512e-01
2.149999856948852539e+00,-1.452557444572448730e-01
2.200000047683715820e+00,-9.193067252635955811e-02
2.250000000000000000e+00,-3.350460901856422424e-02
2.299999952316284180e+00,2.814271859824657440e-02
2.350000143051147461e+00,9.087444841861724854e-02
2.400000095367431641e+00,1.524202376604080200e-01
2.450000047683715820e+00,2.105090618133544922e-01
2.500000000000000000e+00,2.629923820495605469e-01
2.549999952316284180e+00,3.079558014869689941e-01
2.599999904632568359e+00,3.438136875629425049e-01
2.649999856948852539e+00,3.693799674510955811e-01
2.699999809265136719e+00,3.839147686958312988e-01
2.750000000000000000e+00,3.871423304080963135e-01
2.799999952316284180e+00,3.792465329170227051e-01
2.849999904632568359e+00,3.608396351337432861e-01
2.899999856948852539e+00,3.329138457775115967e-01
2.949999809265136719e+00,2.967753708362579346e-01
3.000000000000000000e+00,2.539670169353485107e-01
3.049999952316284180e+00,2.061865478754043579e-01
3.099999904632568359e+00,1.552021801471710205e-01
3.150000095367431641e+00,1.027726456522941589e-01
3.200000047683715820e+00,5.057471245527267456e-02
3.250000000000000000e+00,1.403637579642236233e-04
3.299999952316284180e+00,-4.719324409961700439e-02
3.349999904632568359e+00,-9.031816571950912476e-02
3.400000095367431641e+00,-1.283776462078094482e-01
3.450000047683715820e+00,-1.607720851898193359e-01
3.500000000000000000e+00,-1.871558576822280884e-01
3.550000190734863281e+00,-2.074181437492370605e-01
3.600000143051147461e+00,-2.216583937406539917e-01
3.650000095367431641e+00,-2.301536649465560913e-01
3.700000047683715820e+00,-2.333224862813949585e-01
3.750000000000000000e+00,-2.316856384277343750e-01
3.799999952316284180e+00,-2.258285582065582275e-01
3.849999904632568359e+00,-2.163642048835754395e-01
3.899999856948852539e+00,-2.039018720388412476e-01
3.950000047683715820e+00,-1.890185922384262085e-01
4.000000000000000000e+00,-1.722383201122283936e-01
4.050000190734863281e+00,-1.540150791406631470e-01
4.099999904632568359e+00,-1.347257047891616821e-01
4.150000095367431641e+00,-1.146650239825248718e-01
4.199999809265136719e+00,-9.405095875263214111e-02
4.250000000000000000e+00,-7.303157448768615723e-02
4.299999713897705078e+00,-5.170036852359771729e-02
4.349999904632568359e+00,-3.010992519557476044e-02
4.399999618530273438e+00,-8.294978179037570953e-03
4.449999809265136719e+00,1.371109392493963242e-02
4.500000000000000000e+00,3.585155308246612549e-02
4.549999713897705078e+00,5.802983790636062622e-02
4.599999904632568359e+00,8.009162545204162598e-02
4.650000095367431641e+00,1.018116176128387451e-01
4.699999809265136719e+00,1.228852346539497375e-01
4.750000000000000000e+00,1.429265439510345459e-01
4.799999713897705078e+00,1.614720821380615234e-01
4.849999904632568359e+00,1.779921948909759521e-01
4.900000095367431641e+00,1.919078081846237183e-01
4.949999809265136719e+00,2.026149183511734009e-01
5.000000000000000000e+00,2.095150947570800781e-01
5.050000190734863281e+00,2.120474129915237427e-01
5.099999904632568359e+00,2.097262293100357056e-01
5.150000095367431641e+00,2.021771073341369629e-01
5.199999809265136719e+00,1.891738325357437134e-01
5.250000000000000000e+00,1.706663519144058228e-01
5.300000190734863281e+00,1.468090862035751343e-01
5.349999904632568359e+00,1.179745122790336609e-01
5.400000095367431641e+00,8.475931733846664429e-02
5.450000286102294922e+00,4.798138886690139771e-02
5.500000000000000000e+00,8.657639846205711365e-03
5.550000190734863281e+00,-3.202334791421890259e-02
5.599999904632568359e+00,-7.274341583251953125e-02
5.650000095367431641e+00,-1.121095046401023865e-01
5.700000286102294922e+00,-1.487084478139877319e-01
5.750000000000000000e+00,-1.811754703521728516e-01
5.800000190734863281e+00,-2.082579880952835083e-01
5.850000381469726562e+00,-2.288796752691268921e-01
5.900000095367431641e+00,-2.421974539756774902e-01
5.950000286102294922e+00,-2.476500570774078369e-01
6.000000000000000000e+00,-2.449931502342224121e-01
6.050000190734863281e+00,-2.343188226222991943e-01
6.100000381469726562e+00,-2.160590291023254395e-01
6.150000095367431641e+00,-1.909708082675933838e-01
6.199999809265136719e+00,-1.601040959358215332e-01
6.250000000000000000e+00,-1.247523725032806396e-01
6.299999713897705078e+00,-8.639205247163772583e-02
6.349999904632568359e+00,-4.660993069410324097e-02
6.399999618530273438e+00,-7.022914476692676544e-03
6.449999809265136719e+00,3.080199845135211945e-02
6.500000000000000000e+00,6.542553007602691650e-02
6.549999713897705078e+00,9.560780972242355347e-02
6.599999904632568359e+00,1.203675121068954468e-01
6.650000095367431641e+00,1.390261501073837280e-01
6.699999809265136719e+00,1.512354314327239990e-01
6.750000000000000000e+00,1.569833755493164062e-01
6.799999713897705078e+00,1.565846055746078491e-01
6.849999904632568359e+00,1.506462395191192627e-01
6.900000095367431641e+00,1.400240808725357056e-01
6.949999809265136719e+00,1.257591396570205688e-01
7.000000000000000000e+00,1.090075969696044922e-01
7.050000190734863281e+00,9.096526354551315308e-02
7.099999904632568359e+00,7.279196381568908691e-02
