 INDEX SURFACE/CORE REORDERING -> INITIAL ORDERING
 NAT           65
           1           1
           2           2
           3           3
           4           5
           5           6
           6           7
           7           8
           8           9
           9          11
          10          12
          11          13
          12          14
          13          15
          14          18
          15          19
          16          21
          17          22
          18          23
          19          24
          20          25
          21          26
          22          28
          23          29
          24          30
          25          31
          26          32
          27          34
          28          36
          29          37
          30          38
          31          39
          32          40
          33          41
          34          43
          35          45
          36          46
          37          47
          38          48
          39          49
          40          51
          41          53
          42          54
          43          57
          44          58
          45          60
          46          61
          47          62
          48          63
          49          64
          50          65
          51          59
          52          56
          53          55
          54          52
          55          50
          56          44
          57          42
          58          35
          59          33
          60          27
          61          20
          62          17
          63          16
          64          10
          65           4
 POLYGONS. AFTER SURFACE/CORE REORDERING
 NPOLYG234:         240
 2       2    1
 2       3    1
 2       3    2
 2       5    4
 2       6    2
 2       6    3
 2       6    4
 2       7    4
 2       7    5
 2       7    6
 2       8    3
 2       8    6
 2       8    7
 2      10    9
 2      11    5
 2      11    7
 2      11    9
 2      12    9
 2      12   10
 2      12   11
 2      13    7
 2      13    8
 2      13   11
 2      13   12
 2      15   14
 2      16   10
 2      16   12
 2      16   14
 2      17   14
 2      17   15
 2      17   16
 2      18    1
 2      18    3
 2      18   15
 2      18   17
 2      19   12
 2      19   13
 2      19   16
 2      19   17
 2      20    3
 2      20    8
 2      20   17
 2      20   18
 2      20   19
 2      21    8
 2      21   13
 2      21   19
 2      21   20
 2      22    1
 2      22    2
 2      23    1
 2      23   22
 2      24    2
 2      24   22
 2      24   23
 2      25   23
 2      25   24
 2      26    2
 2      26    4
 2      26    6
 2      26   24
 2      27    4
 2      27    5
 2      28    4
 2      28   26
 2      28   27
 2      29    5
 2      29   27
 2      29   28
 2      30   24
 2      30   25
 2      30   26
 2      30   28
 2      31   28
 2      31   29
 2      31   30
 2      32   25
 2      32   30
 2      32   31
 2      33    5
 2      33    9
 2      33   11
 2      33   29
 2      34    9
 2      34   10
 2      35    9
 2      35   33
 2      35   34
 2      36   10
 2      36   34
 2      36   35
 2      37   29
 2      37   31
 2      37   33
 2      37   35
 2      38   35
 2      38   36
 2      38   37
 2      39   31
 2      39   32
 2      39   37
 2      39   38
 2      40   10
 2      40   14
 2      40   16
 2      40   36
 2      41    1
 2      41   15
 2      41   18
 2      41   23
 2      42   14
 2      42   15
 2      43   14
 2      43   40
 2      43   42
 2      44   15
 2      44   41
 2      44   42
 2      44   43
 2      45   36
 2      45   38
 2      45   40
 2      45   43
 2      46   43
 2      46   44
 2      46   45
 2      47   23
 2      47   25
 2      47   41
 2      47   44
 2      47   46
 2      48   38
 2      48   39
 2      48   45
 2      48   46
 2      49   25
 2      49   32
 2      49   46
 2      49   47
 2      49   48
 2      50   32
 2      50   39
 2      50   48
 2      50   49
 3       2    1    3
 3       2    1   22
 3       3    1   18
 3       3    2    6
 3       5    4    7
 3       5    4   27
 3       6    2   26
 3       6    3    8
 3       6    4    7
 3       6    4   26
 3       7    5   11
 3       7    6    8
 3       8    3   20
 3       8    7   13
 3      10    9   12
 3      10    9   34
 3      11    5   33
 3      11    7   13
 3      11    9   12
 3      11    9   33
 3      12   10   16
 3      12   11   13
 3      13    8   21
 3      13   12   19
 3      15   14   17
 3      15   14   42
 3      16   10   40
 3      16   12   19
 3      16   14   17
 3      16   14   40
 3      17   15   18
 3      17   16   19
 3      18    1   41
 3      18    3   20
 3      18   15   41
 3      18   17   20
 3      19   13   21
 3      19   17   20
 3      20    8   21
 3      20   19   21
 3      22    1   23
 3      22    2   24
 3      23    1   41
 3      23   22   24
 3      24    2   26
 3      24   23   25
 3      25   23   47
 3      25   24   30
 3      26    4   28
 3      26   24   30
 3      27    4   28
 3      27    5   29
 3      28   26   30
 3      28   27   29
 3      29    5   33
 3      29   28   31
 3      30   25   32
 3      30   28   31
 3      31   29   37
 3      31   30   32
 3      32   25   49
 3      32   31   39
 3      33    9   35
 3      33   29   37
 3      34    9   35
 3      34   10   36
 3      35   33   37
 3      35   34   36
 3      36   10   40
 3      36   35   38
 3      37   31   39
 3      37   35   38
 3      38   36   45
 3      38   37   39
 3      39   32   50
 3      39   38   48
 3      40   14   43
 3      40   36   45
 3      41   15   44
 3      41   23   47
 3      42   14   43
 3      42   15   44
 3      43   40   45
 3      43   42   44
 3      44   41   47
 3      44   43   46
 3      45   38   48
 3      45   43   46
 3      46   44   47
 3      46   45   48
 3      47   25   49
 3      47   46   49
 3      48   39   50
 3      48   46   49
 3      49   32   50
 3      49   48   50
