# q,iq
1.000000000000000000e+00,3.432432500000000000e+05
1.049999952316284180e+00,3.127673750000000000e+05
1.100000023841857910e+00,2.366362500000000000e+05
1.149999976158142090e+00,1.688778750000000000e+05
1.200000047683715820e+00,1.259668750000000000e+05
1.250000000000000000e+00,1.075832500000000000e+05
1.299999952316284180e+00,1.165951250000000000e+05
1.350000023841857910e+00,1.421121250000000000e+05
1.399999976158142090e+00,1.503573750000000000e+05
1.449999928474426270e+00,1.169458750000000000e+05
1.500000000000000000e+00,6.281850000000000000e+04
1.549999952316284180e+00,3.818550000000000000e+04
1.600000023841857910e+00,6.510575000000000000e+04
1.649999976158142090e+00,1.084683750000000000e+05
1.699999928474426270e+00,1.148085000000000000e+05
1.750000000000000000e+00,7.492025000000000000e+04
1.799999952316284180e+00,3.465125000000000000e+04
1.849999904632568359e+00,3.999475000000000000e+04
1.899999976158142090e+00,8.219800000000000000e+04
1.949999928474426270e+00,1.092037500000000000e+05
2.000000000000000000e+00,8.983275000000000000e+04
2.049999952316284180e+00,5.353487500000000000e+04
2.099999904632568359e+00,5.732987500000000000e+04
2.149999856948852539e+00,1.188751250000000000e+05
2.200000047683715820e+00,1.957348750000000000e+05
2.250000000000000000e+00,2.373580000000000000e+05
2.299999952316284180e+00,2.480242500000000000e+05
2.350000143051147461e+00,2.830540625000000000e+05
2.400000095367431641e+00,3.780979375000000000e+05
2.450000047683715820e+00,4.974570625000000000e+05
2.500000000000000000e+00,5.784216250000000000e+05
2.549999952316284180e+00,6.431888750000000000e+05
2.599999904632568359e+00,8.570248750000000000e+05
2.649999856948852539e+00,1.437228750000000000e+06
2.699999809265136719e+00,2.453799000000000000e+06
2.750000000000000000e+00,3.683835500000000000e+06
2.799999952316284180e+00,4.666993000000000000e+06
2.849999904632568359e+00,4.957816500000000000e+06
2.899999856948852539e+00,4.407872500000000000e+06
2.949999809265136719e+00,3.276008000000000000e+06
3.000000000000000000e+00,2.086794875000000000e+06
3.049999952316284180e+00,1.336082250000000000e+06
3.099999904632568359e+00,1.238487875000000000e+06
3.150000095367431641e+00,1.662649125000000000e+06
3.200000047683715820e+00,2.260155000000000000e+06
3.250000000000000000e+00,2.676344750000000000e+06
3.299999952316284180e+00,2.710843000000000000e+06
3.349999904632568359e+00,2.361988000000000000e+06
3.400000095367431641e+00,1.772570750000000000e+06
3.450000047683715820e+00,1.136406625000000000e+06
3.500000000000000000e+00,6.163305000000000000e+05
3.550000190734863281e+00,2.962328125000000000e+05
3.600000143051147461e+00,1.705126250000000000e+05
3.650000095367431641e+00,1.677573750000000000e+05
3.700000047683715820e+00,1.976867500000000000e+05
3.750000000000000000e+00,1.990085625000000000e+05
3.799999952316284180e+00,1.621440625000000000e+05
3.849999904632568359e+00,1.157973750000000000e+05
3.899999856948852539e+00,9.182575000000000000e+04
3.950000047683715820e+00,9.777287500000000000e+04
4.000000000000000000e+00,1.165492500000000000e+05
4.050000190734863281e+00,1.277278125000000000e+05
4.099999904632568359e+00,1.270086875000000000e+05
4.150000095367431641e+00,1.254875625000000000e+05
4.199999809265136719e+00,1.322800000000000000e+05
4.250000000000000000e+00,1.425486250000000000e+05
4.299999713897705078e+00,1.490562500000000000e+05
4.349999904632568359e+00,1.705482500000000000e+05
4.399999618530273438e+00,2.658636250000000000e+05
4.449999809265136719e+00,5.058969687500000000e+05
4.500000000000000000e+00,9.110525000000000000e+05
4.549999713897705078e+00,1.401577125000000000e+06
4.599999904632568359e+00,1.812021750000000000e+06
4.650000095367431641e+00,1.975185625000000000e+06
4.699999809265136719e+00,1.821604250000000000e+06
4.750000000000000000e+00,1.421734500000000000e+06
4.799999713897705078e+00,9.408486875000000000e+05
4.849999904632568359e+00,5.431176250000000000e+05
4.900000095367431641e+00,3.131677812500000000e+05
4.949999809265136719e+00,2.382406875000000000e+05
5.000000000000000000e+00,2.453429375000000000e+05
5.050000190734863281e+00,2.590829062500000000e+05
5.099999904632568359e+00,2.501008437500000000e+05
5.150000095367431641e+00,2.568820312500000000e+05
5.199999809265136719e+00,3.698035000000000000e+05
5.250000000000000000e+00,6.750213750000000000e+05
5.300000190734863281e+00,1.181545500000000000e+06
5.349999904632568359e+00,1.781337250000000000e+06
5.400000095367431641e+00,2.284165000000000000e+06
5.450000286102294922e+00,2.516846000000000000e+06
5.500000000000000000e+00,2.420986500000000000e+06
5.550000190734863281e+00,2.078116250000000000e+06
5.599999904632568359e+00,1.646958750000000000e+06
5.650000095367431641e+00,1.264647875000000000e+06
5.700000286102294922e+00,9.841918750000000000e+05
5.750000000000000000e+00,7.814226250000000000e+05
