# q,iq
1.000000000000000000e+00,4.146988750000000000e+05
1.049999952316284180e+00,5.181682500000000000e+05
1.100000023841857910e+00,3.852703750000000000e+05
1.149999976158142090e+00,1.578833750000000000e+05
1.200000047683715820e+00,3.500650000000000000e+04
1.250000000000000000e+00,7.826287500000000000e+04
1.299999952316284180e+00,1.890763750000000000e+05
1.350000023841857910e+00,2.349645000000000000e+05
1.399999976158142090e+00,1.744547500000000000e+05
1.449999928474426270e+00,7.228775000000000000e+04
1.500000000000000000e+00,1.995475000000000000e+04
1.549999952316284180e+00,5.034837500000000000e+04
1.600000023841857910e+00,1.185731250000000000e+05
1.649999976158142090e+00,1.529246250000000000e+05
1.699999928474426270e+00,1.224648750000000000e+05
1.750000000000000000e+00,6.030500000000000000e+04
1.799999952316284180e+00,2.620875000000000000e+04
1.849999904632568359e+00,4.853925000000000000e+04
1.899999976158142090e+00,1.010340000000000000e+05
1.949999928474426270e+00,1.326207500000000000e+05
2.000000000000000000e+00,1.176162500000000000e+05
2.049999952316284180e+00,7.910862500000000000e+04
2.099999904632568359e+00,6.788675000000000000e+04
2.149999856948852539e+00,1.200043750000000000e+05
2.200000047683715820e+00,2.303382500000000000e+05
2.250000000000000000e+00,3.599388750000000000e+05
2.299999952316284180e+00,4.664592500000000000e+05
2.350000143051147461e+00,5.361366250000000000e+05
2.400000095367431641e+00,5.960361875000000000e+05
2.450000047683715820e+00,6.895420625000000000e+05
2.500000000000000000e+00,8.279063750000000000e+05
2.549999952316284180e+00,9.863731250000000000e+05
2.599999904632568359e+00,1.200216000000000000e+06
2.649999856948852539e+00,1.666569250000000000e+06
2.699999809265136719e+00,2.640251500000000000e+06
2.750000000000000000e+00,4.091372250000000000e+06
2.799999952316284180e+00,5.470036000000000000e+06
2.849999904632568359e+00,5.976241500000000000e+06
2.899999856948852539e+00,5.216600500000000000e+06
2.949999809265136719e+00,3.603654750000000000e+06
3.000000000000000000e+00,2.049203750000000000e+06
3.049999952316284180e+00,1.262378750000000000e+06
3.099999904632568359e+00,1.349225875000000000e+06
3.150000095367431641e+00,1.974574875000000000e+06
3.200000047683715820e+00,2.725306000000000000e+06
3.250000000000000000e+00,3.280016500000000000e+06
3.299999952316284180e+00,3.409201000000000000e+06
3.349999904632568359e+00,3.019500000000000000e+06
3.400000095367431641e+00,2.238725250000000000e+06
3.450000047683715820e+00,1.369922000000000000e+06
3.500000000000000000e+00,6.974894375000000000e+05
3.550000190734863281e+00,3.303530625000000000e+05
3.600000143051147461e+00,2.102850625000000000e+05
3.650000095367431641e+00,2.177631875000000000e+05
3.700000047683715820e+00,2.510253750000000000e+05
3.750000000000000000e+00,2.503016250000000000e+05
3.799999952316284180e+00,2.040543750000000000e+05
3.849999904632568359e+00,1.445724375000000000e+05
3.899999856948852539e+00,1.164333125000000000e+05
3.950000047683715820e+00,1.335598750000000000e+05
4.000000000000000000e+00,1.673073750000000000e+05
4.050000190734863281e+00,1.783616250000000000e+05
4.099999904632568359e+00,1.582365000000000000e+05
4.150000095367431641e+00,1.375880625000000000e+05
4.199999809265136719e+00,1.526020000000000000e+05
4.250000000000000000e+00,2.030610625000000000e+05
4.299999713897705078e+00,2.495921250000000000e+05
4.349999904632568359e+00,2.668088750000000000e+05
4.399999618530273438e+00,3.077082500000000000e+05
4.449999809265136719e+00,5.004333125000000000e+05
4.500000000000000000e+00,9.456588750000000000e+05
4.549999713897705078e+00,1.586972750000000000e+06
4.599999904632568359e+00,2.184209000000000000e+06
4.650000095367431641e+00,2.447567250000000000e+06
4.699999809265136719e+00,2.239988250000000000e+06
4.750000000000000000e+00,1.676314750000000000e+06
4.799999713897705078e+00,1.033593750000000000e+06
4.849999904632568359e+00,5.571223750000000000e+05
4.900000095367431641e+00,3.290038750000000000e+05
4.949999809265136719e+00,2.831468750000000000e+05
5.000000000000000000e+00,3.079979375000000000e+05
5.050000190734863281e+00,3.280947500000000000e+05
5.099999904632568359e+00,3.254815625000000000e+05
5.150000095367431641e+00,3.369209375000000000e+05
5.199999809265136719e+00,4.523004375000000000e+05
5.250000000000000000e+00,7.841658750000000000e+05
5.300000190734863281e+00,1.381262000000000000e+06
5.349999904632568359e+00,2.136193500000000000e+06
5.400000095367431641e+00,2.790126250000000000e+06
