# q,sq
1.000000000000000000e+00,-4.528650939464569092e-01
1.049999952316284180e+00,-4.586503207683563232e-01
1.100000023841857910e+00,-4.558125734329223633e-01
1.149999976158142090e+00,-4.505607187747955322e-01
1.200000047683715820e+00,-4.505205154418945312e-01
1.250000000000000000e+00,-4.561256766319274902e-01
1.299999952316284180e+00,-4.654628038406372070e-01
1.350000023841857910e+00,-4.736306369304656982e-01
1.399999976158142090e+00,-4.752507507801055908e-01
1.449999928474426270e+00,-4.718237817287445068e-01
1.500000000000000000e+00,-4.672174155712127686e-01
1.549999952316284180e+00,-4.673712849617004395e-01
1.600000023841857910e+00,-4.700260162353515625e-01
1.649999976158142090e+00,-4.728272557258605957e-01
1.699999928474426270e+00,-4.717790484428405762e-01
1.750000000000000000e+00,-4.718935191631317139e-01
1.799999952316284180e+00,-4.712381064891815186e-01
1.849999904632568359e+00,-4.663189947605133057e-01
1.899999976158142090e+00,-4.651964604854583740e-01
1.949999928474426270e+00,-4.655588567256927490e-01
2.000000000000000000e+00,-4.639939665794372559e-01
2.049999952316284180e+00,-4.598479568958282471e-01
2.099999904632568359e+00,-4.532550871372222900e-01
2.149999856948852539e+00,-4.483422636985778809e-01
2.200000047683715820e+00,-4.494229555130004883e-01
2.250000000000000000e+00,-4.466675817966461182e-01
2.299999952316284180e+00,-4.378892779350280762e-01
2.350000143051147461e+00,-4.285531938076019287e-01
2.400000095367431641e+00,-4.131436049938201904e-01
2.450000047683715820e+00,-3.845116794109344482e-01
2.500000000000000000e+00,-3.201186358928680420e-01
2.549999952316284180e+00,-1.914779990911483765e-01
2.599999904632568359e+00,-3.564152121543884277e-02
2.649999856948852539e+00,6.784879416227340698e-02
2.699999809265136719e+00,9.061517566442489624e-02
2.750000000000000000e+00,5.650910362601280212e-02
2.799999952316284180e+00,-1.793962321244180202e-03
2.849999904632568359e+00,3.713487088680267334e-02
2.899999856948852539e+00,1.117085695266723633e+00
2.949999809265136719e+00,2.786880731582641602e+00
3.000000000000000000e+00,1.936818003654479980e+00
3.049999952316284180e+00,2.173006057739257812e+00
3.099999904632568359e+00,1.799870133399963379e+00
3.150000095367431641e+00,1.046234846115112305e+00
3.200000047683715820e+00,3.330695927143096924e-01
3.250000000000000000e+00,-1.055679097771644592e-01
3.299999952316284180e+00,-2.873171567916870117e-01
3.349999904632568359e+00,-3.501215577125549316e-01
3.400000095367431641e+00,-3.829753398895263672e-01
3.450000047683715820e+00,-4.059354662895202637e-01
3.500000000000000000e+00,-4.182659983634948730e-01
3.550000190734863281e+00,-4.266856908798217773e-01
3.600000143051147461e+00,-4.289182424545288086e-01
3.650000095367431641e+00,-4.337015748023986816e-01
3.700000047683715820e+00,-4.376541376113891602e-01
3.750000000000000000e+00,-4.249600470066070557e-01
3.799999952316284180e+00,-3.979366421699523926e-01
3.849999904632568359e+00,-3.027168214321136475e-01
3.899999856948852539e+00,-8.477631211280822754e-02
3.950000047683715820e+00,1.257676780223846436e-01
4.000000000000000000e+00,1.256407648324966431e-01
4.050000190734863281e+00,-7.622975111007690430e-02
4.099999904632568359e+00,-2.872650325298309326e-01
4.150000095367431641e+00,-3.907754123210906982e-01
4.199999809265136719e+00,-4.166115224361419678e-01
4.250000000000000000e+00,-4.277315139770507812e-01
4.299999713897705078e+00,-4.355499744415283203e-01
4.349999904632568359e+00,-4.222092926502227783e-01
4.399999618530273438e+00,-3.830809593200683594e-01
4.449999809265136719e+00,-3.215848207473754883e-01
4.500000000000000000e+00,-2.174321860074996948e-01
4.549999713897705078e+00,-4.643110185861587524e-02
4.599999904632568359e+00,1.409358978271484375e-01
4.650000095367431641e+00,2.167297303676605225e-01
4.699999809265136719e+00,1.190271452069282532e-01
4.750000000000000000e+00,-7.247272878885269165e-02
4.799999713897705078e+00,-2.346214056015014648e-01
4.849999904632568359e+00,-3.109922111034393311e-01
4.900000095367431641e+00,-3.537622392177581787e-01
4.949999809265136719e+00,-3.605188429355621338e-01
5.000000000000000000e+00,-3.183113634586334229e-01
5.050000190734863281e+00,-8.692510426044464111e-02
5.099999904632568359e+00,5.404198169708251953e-01
5.150000095367431641e+00,9.905804991722106934e-01
5.199999809265136719e+00,6.815019845962524414e-01
5.250000000000000000e+00,1.410528868436813354e-01
5.300000190734863281e+00,-2.636587060987949371e-02
5.349999904632568359e+00,1.234415471553802490e-01
5.400000095367431641e+00,4.888653755187988281e-01
5.450000286102294922e+00,9.984736442565917969e-01
5.500000000000000000e+00,1.309891700744628906e+00
5.550000190734863281e+00,1.163954615592956543e+00
5.599999904632568359e+00,7.265830039978027344e-01
5.650000095367431641e+00,2.912410199642181396e-01
5.700000286102294922e+00,-3.554877266287803650e-02
5.750000000000000000e+00,-2.458961457014083862e-01
5.800000190734863281e+00,-3.295635581016540527e-01
5.850000381469726562e+00,4.831286787521094084e-04
5.900000095367431641e+00,-6.997169554233551025e-02
5.950000286102294922e+00,-3.534366190433502197e-01
6.000000000000000000e+00,-3.247470855712890625e-01
6.050000190734863281e+00,-2.691796720027923584e-01
6.100000381469726562e+00,-2.353040575981140137e-01
6.150000095367431641e+00,-2.549412846565246582e-01
6.199999809265136719e+00,-3.108187019824981689e-01
6.250000000000000000e+00,-3.730665445327758789e-01
6.299999713897705078e+00,-4.057497084140777588e-01
6.349999904632568359e+00,-3.912219405174255371e-01
6.399999618530273438e+00,-2.455554455518722534e-01
6.449999809265136719e+00,-1.059848815202713013e-01
6.500000000000000000e+00,-2.105219066143035889e-01
6.549999713897705078e+00,-3.724866807460784912e-01
6.599999904632568359e+00,-4.206948280334472656e-01
6.650000095367431641e+00,-4.200279116630554199e-01
6.699999809265136719e+00,-4.108234643936157227e-01
6.750000000000000000e+00,-3.828201889991760254e-01
6.799999713897705078e+00,-2.921800613403320312e-01
6.849999904632568359e+00,-1.123968288302421570e-01
6.900000095367431641e+00,8.257159590721130371e-02
6.949999809265136719e+00,1.743554770946502686e-01
7.000000000000000000e+00,1.360616683959960938e-01
7.050000190734863281e+00,6.000578776001930237e-02
7.099999904632568359e+00,7.605100423097610474e-02
7.150000095367431641e+00,2.281205654144287109e-01
7.199999809265136719e+00,4.149386584758758545e-01
7.250000000000000000e+00,4.676690697669982910e-01
7.300000190734863281e+00,3.479146659374237061e-01
7.349999904632568359e+00,1.802305430173873901e-01
7.400000095367431641e+00,1.732292771339416504e-01
7.450000286102294922e+00,3.832985460758209229e-01
7.500000000000000000e+00,4.426983594894409180e-01
7.550000190734863281e+00,1.850769817829132080e-01
7.599999904632568359e+00,-3.017964586615562439e-02
7.650000095367431641e+00,-7.103445380926132202e-02
7.700000286102294922e+00,-7.770699262619018555e-02
7.750000000000000000e+00,1.205951124429702759e-01
7.800000190734863281e+00,5.032889246940612793e-01
7.850000381469726562e+00,3.018079996109008789e-01
7.900000095367431641e+00,-5.678330734372138977e-02
7.950000286102294922e+00,-8.239415287971496582e-02
8.000000000000000000e+00,-7.938170433044433594e-02
8.050000190734863281e+00,-1.254723221063613892e-01
8.100000381469726562e+00,-1.803743988275527954e-01
8.150000572204589844e+00,-2.113721668720245361e-01
8.199999809265136719e+00,-1.807346045970916748e-01
8.250000000000000000e+00,-3.898624330759048462e-02
8.300000190734863281e+00,1.818527132272720337e-01
8.349999427795410156e+00,3.141965270042419434e-01
8.399999618530273438e+00,2.598726451396942139e-01
8.449999809265136719e+00,1.250797808170318604e-01
8.500000000000000000e+00,5.225215107202529907e-02
8.550000190734863281e+00,2.833650633692741394e-02
8.600000381469726562e+00,-3.338849544525146484e-02
8.650000572204589844e+00,-1.495800018310546875e-01
8.700000762939453125e+00,-2.658420503139495850e-01
8.750000000000000000e+00,-3.208400011062622070e-01
8.800000190734863281e+00,-1.806058883666992188e-01
8.850000381469726562e+00,-3.374457955360412598e-01
8.900000572204589844e+00,-3.966276645660400391e-01
8.950000762939453125e+00,-3.763139545917510986e-01
9.000000000000000000e+00,-2.535885870456695557e-01
9.050000190734863281e+00,-4.929600656032562256e-02
9.100000381469726562e+00,7.397203892469406128e-02
9.149999618530273438e+00,1.249007359147071838e-01
9.199999809265136719e+00,1.808292567729949951e-01
9.250000000000000000e+00,4.901313036680221558e-02
9.300000190734863281e+00,-1.167191639542579651e-01
9.350000381469726562e+00,-2.201833575963973999e-01
9.399999618530273438e+00,-3.033362627029418945e-01
9.449999809265136719e+00,-3.440000414848327637e-01
9.500000000000000000e+00,-3.346430361270904541e-01
