# q,sq
1.000000000000000000e+00,-1.197805553674697876e-01
1.049999952316284180e+00,-1.941533982753753662e-01
1.100000023841857910e+00,-2.497557252645492554e-01
1.149999976158142090e+00,-2.908344864845275879e-01
1.200000047683715820e+00,-3.206357955932617188e-01
1.250000000000000000e+00,-3.415699601173400879e-01
1.299999952316284180e+00,-3.554275631904602051e-01
1.350000023841857910e+00,-3.635983765125274658e-01
1.399999976158142090e+00,-3.672534823417663574e-01
1.449999928474426270e+00,-3.674713969230651855e-01
1.500000000000000000e+00,-3.652925193309783936e-01
1.549999952316284180e+00,-3.617106378078460693e-01
1.600000023841857910e+00,-3.576160073280334473e-01
1.649999976158142090e+00,-3.537126183509826660e-01
1.699999928474426270e+00,-3.504329323768615723e-01
1.750000000000000000e+00,-3.478745520114898682e-01
1.799999952316284180e+00,-3.457717001438140869e-01
1.849999904632568359e+00,-3.435125946998596191e-01
1.899999976158142090e+00,-3.401995301246643066e-01
1.949999928474426270e+00,-3.347449898719787598e-01
2.000000000000000000e+00,-3.259904384613037109e-01
2.049999952316284180e+00,-3.128305077552795410e-01
2.099999904632568359e+00,-2.943283021450042725e-01
2.149999856948852539e+00,-2.698086202144622803e-01
2.200000047683715820e+00,-2.389206588268280029e-01
2.250000000000000000e+00,-2.016696333885192871e-01
2.299999952316284180e+00,-1.584148406982421875e-01
2.350000143051147461e+00,-1.098457872867584229e-01
2.400000095367431641e+00,-5.694069713354110718e-02
2.450000047683715820e+00,-9.153577266260981560e-04
2.500000000000000000e+00,5.682937055826187134e-02
2.549999952316284180e+00,1.147591099143028259e-01
2.599999904632568359e+00,1.712545901536941528e-01
2.649999856948852539e+00,2.246600240468978882e-01
2.699999809265136719e+00,2.733336091041564941e-01
2.750000000000000000e+00,3.157037496566772461e-01
2.799999952316284180e+00,3.503318428993225098e-01
2.849999904632568359e+00,3.759837150573730469e-01
2.899999856948852539e+00,3.917030394077301025e-01
2.949999809265136719e+00,3.968821167945861816e-01
3.000000000000000000e+00,3.913215994834899902e-01
3.049999952316284180e+00,3.752688765525817871e-01
3.099999904632568359e+00,3.494281172752380371e-01
3.150000095367431641e+00,3.149347603321075439e-01
3.200000047683715820e+00,2.732956409454345703e-01
3.250000000000000000e+00,2.262938469648361206e-01
3.299999952316284180e+00,1.758705675601959229e-01
3.349999904632568359e+00,1.239927038550376892e-01
3.400000095367431641e+00,7.252192497253417969e-02
3.450000047683715820e+00,2.309941314160823822e-02
3.500000000000000000e+00,-2.294250018894672394e-02
3.550000190734863281e+00,-6.463050097227096558e-02
3.600000143051147461e+00,-1.013595014810562134e-01
3.650000095367431641e+00,-1.328636407852172852e-01
3.700000047683715820e+00,-1.591550409793853760e-01
3.750000000000000000e+00,-1.804418563842773438e-01
3.799999952316284180e+00,-1.970398575067520142e-01
3.849999904632568359e+00,-2.092918604612350464e-01
3.899999856948852539e+00,-2.175055742263793945e-01
3.950000047683715820e+00,-2.219190299510955811e-01
4.000000000000000000e+00,-2.226964235305786133e-01
4.050000190734863281e+00,-2.199509441852569580e-01
4.099999904632568359e+00,-2.137886136770248413e-01
4.150000095367431641e+00,-2.043603956699371338e-01
4.199999809265136719e+00,-1.919122934341430664e-01
4.250000000000000000e+00,-1.768193095922470093e-01
4.299999713897705078e+00,-1.595967859029769897e-01
4.349999904632568359e+00,-1.408810168504714966e-01
4.399999618530273438e+00,-1.213844493031501770e-01
4.449999809265136719e+00,-1.018255129456520081e-01
4.500000000000000000e+00,-8.284876495599746704e-02
4.549999713897705078e+00,-6.494487076997756958e-02
4.599999904632568359e+00,-4.838417097926139832e-02
4.650000095367431641e+00,-3.317881748080253601e-02
4.699999809265136719e+00,-1.907813362777233124e-02
4.750000000000000000e+00,-5.602403078228235245e-03
4.799999713897705078e+00,7.886175066232681274e-03
4.849999904632568359e+00,2.208632417023181915e-02
4.900000095367431641e+00,3.764379769563674927e-02
4.949999809265136719e+00,5.503764376044273376e-02
5.000000000000000000e+00,7.448340952396392822e-02
5.050000190734863281e+00,9.586233645677566528e-02
5.099999904632568359e+00,1.186940297484397888e-01
5.150000095367431641e+00,1.421522051095962524e-01
5.199999809265136719e+00,1.651229262351989746e-01
5.250000000000000000e+00,1.863027364015579224e-01
5.300000190734863281e+00,2.043183743953704834e-01
5.349999904632568359e+00,2.178603112697601318e-01
5.400000095367431641e+00,2.258100211620330811e-01
5.450000286102294922e+00,2.273461520671844482e-01
5.500000000000000000e+00,2.220201641321182251e-01
5.550000190734863281e+00,2.097924947738647461e-01
5.599999904632568359e+00,1.910267621278762817e-01
5.650000095367431641e+00,1.664454191923141479e-01
5.700000286102294922e+00,1.370550692081451416e-01
5.750000000000000000e+00,1.040522977709770203e-01
5.800000190734863281e+00,6.871883571147918701e-02
5.850000381469726562e+00,3.232654184103012085e-02
5.900000095367431641e+00,-3.946155775338411331e-03
5.950000286102294922e+00,-3.907366469502449036e-02
6.000000000000000000e+00,-7.221359014511108398e-02
6.050000190734863281e+00,-1.027138531208038330e-01
6.100000381469726562e+00,-1.300927251577377319e-01
6.150000095367431641e+00,-1.540053635835647583e-01
6.199999809265136719e+00,-1.742018610239028931e-01
6.250000000000000000e+00,-1.904834657907485962e-01
