1956
{'Au': 1956}
# q,sq
1.000000000000000000e+00,-4.752537906169891357e-01
1.049999952316284180e+00,-4.719142913818359375e-01
1.100000023841857910e+00,-4.471682608127593994e-01
1.149999976158142090e+00,-4.748428165912628174e-01
1.200000047683715820e+00,-4.796772003173828125e-01
1.250000000000000000e+00,-4.598605036735534668e-01
1.299999952316284180e+00,-4.717301428318023682e-01
1.350000023841857910e+00,-4.808141887187957764e-01
1.399999976158142090e+00,-4.706226885318756104e-01
1.449999928474426270e+00,-4.761894345283508301e-01
1.500000000000000000e+00,-4.821269512176513672e-01
1.549999952316284180e+00,-4.710367619991302490e-01
1.600000023841857910e+00,-4.697104096412658691e-01
1.649999976158142090e+00,-4.775272309780120850e-01
1.699999928474426270e+00,-4.745431244373321533e-01
1.750000000000000000e+00,-4.713778495788574219e-01
1.799999952316284180e+00,-4.742400646209716797e-01
1.849999904632568359e+00,-4.711955189704895020e-01
1.899999976158142090e+00,-4.662920832633972168e-01
1.949999928474426270e+00,-4.670608341693878174e-01
2.000000000000000000e+00,-4.649065732955932617e-01
2.049999952316284180e+00,-4.569049477577209473e-01
2.099999904632568359e+00,-4.510040879249572754e-01
2.149999856948852539e+00,-4.448182880878448486e-01
2.200000047683715820e+00,-4.317073822021484375e-01
2.250000000000000000e+00,-4.236293733119964600e-01
2.299999952316284180e+00,-4.240973889827728271e-01
2.350000143051147461e+00,-3.950470387935638428e-01
2.400000095367431641e+00,-3.376270532608032227e-01
2.450000047683715820e+00,-3.214799463748931885e-01
2.500000000000000000e+00,-2.157232612371444702e-01
2.549999952316284180e+00,4.088185727596282959e-01
2.599999904632568359e+00,1.620376944541931152e+00
2.649999856948852539e+00,2.578768491744995117e+00
2.699999809265136719e+00,2.362944602966308594e+00
2.750000000000000000e+00,1.209351181983947754e+00
2.799999952316284180e+00,1.757607311010360718e-01
2.849999904632568359e+00,-2.254844456911087036e-01
2.899999856948852539e+00,-2.448368221521377563e-01
2.949999809265136719e+00,-2.016052417457103729e-02
3.000000000000000000e+00,5.539063811302185059e-01
3.049999952316284180e+00,1.176011085510253906e+00
3.099999904632568359e+00,1.238882541656494141e+00
3.150000095367431641e+00,6.585935950279235840e-01
3.200000047683715820e+00,-1.185777224600315094e-02
3.250000000000000000e+00,-3.368042409420013428e-01
3.299999952316284180e+00,-3.915393054485321045e-01
3.349999904632568359e+00,-4.055914282798767090e-01
3.400000095367431641e+00,-4.346699416637420654e-01
3.450000047683715820e+00,-4.471900463104248047e-01
3.500000000000000000e+00,-4.508038759231567383e-01
3.550000190734863281e+00,-4.576328396797180176e-01
3.600000143051147461e+00,-4.599521756172180176e-01
3.650000095367431641e+00,-4.593127667903900146e-01
3.700000047683715820e+00,-4.612739384174346924e-01
3.750000000000000000e+00,-4.622928500175476074e-01
3.799999952316284180e+00,-4.614247679710388184e-01
3.849999904632568359e+00,-4.584153294563293457e-01
3.899999856948852539e+00,-4.513693749904632568e-01
3.950000047683715820e+00,-4.486823976039886475e-01
4.000000000000000000e+00,-4.483485817909240723e-01
4.050000190734863281e+00,-4.261247813701629639e-01
4.099999904632568359e+00,-3.959879875183105469e-01
4.150000095367431641e+00,-3.920900225639343262e-01
4.199999809265136719e+00,-2.945683002471923828e-01
4.250000000000000000e+00,1.369032412767410278e-01
4.299999713897705078e+00,8.381782770156860352e-01
4.349999904632568359e+00,1.270341277122497559e+00
4.399999618530273438e+00,1.007947325706481934e+00
4.449999809265136719e+00,3.148146569728851318e-01
4.500000000000000000e+00,-2.130965441465377808e-01
4.549999713897705078e+00,-3.740054965019226074e-01
4.599999904632568359e+00,-3.802801072597503662e-01
4.650000095367431641e+00,-3.940919041633605957e-01
4.699999809265136719e+00,-4.097963869571685791e-01
4.750000000000000000e+00,-4.106804132461547852e-01
4.799999713897705078e+00,-3.868429660797119141e-01
4.849999904632568359e+00,-3.475585877895355225e-01
4.900000095367431641e+00,-3.375920653343200684e-01
4.949999809265136719e+00,-2.121495902538299561e-01
5.000000000000000000e+00,3.889867365360260010e-01
5.050000190734863281e+00,1.417720556259155273e+00
5.099999904632568359e+00,2.084653139114379883e+00
5.150000095367431641e+00,1.746865630149841309e+00
5.199999809265136719e+00,8.423120975494384766e-01
5.250000000000000000e+00,3.073546886444091797e-01
5.300000190734863281e+00,3.416177928447723389e-01
5.349999904632568359e+00,3.952626287937164307e-01
5.400000095367431641e+00,1.395489722490310669e-01
5.450000286102294922e+00,-2.020899951457977295e-01
5.500000000000000000e+00,-3.760924041271209717e-01
5.550000190734863281e+00,-4.138700067996978760e-01
5.599999904632568359e+00,-4.286685883998870850e-01
5.650000095367431641e+00,-4.431349039077758789e-01
5.700000286102294922e+00,-4.471091032028198242e-01
5.750000000000000000e+00,-4.491823017597198486e-01
5.800000190734863281e+00,-4.534207582473754883e-01
5.850000381469726562e+00,-4.525821208953857422e-01
5.900000095367431641e+00,-4.470839798450469971e-01
5.950000286102294922e+00,-4.452801942825317383e-01
6.000000000000000000e+00,-4.262591302394866943e-01
6.050000190734863281e+00,-3.294026255607604980e-01
6.100000381469726562e+00,-1.528568863868713379e-01
6.150000095367431641e+00,-2.850406430661678314e-02
6.199999809265136719e+00,-7.858096063137054443e-02
6.250000000000000000e+00,-2.430624961853027344e-01
6.299999713897705078e+00,-3.753800690174102783e-01
6.349999904632568359e+00,-4.232553243637084961e-01
6.399999618530273438e+00,-4.118421971797943115e-01
6.449999809265136719e+00,-3.820718228816986084e-01
6.500000000000000000e+00,-3.793337941169738770e-01
6.549999713897705078e+00,-3.240058422088623047e-01
6.599999904632568359e+00,6.275327876210212708e-03
6.650000095367431641e+00,6.000541448593139648e-01
6.699999809265136719e+00,1.042809963226318359e+00
6.750000000000000000e+00,1.068152189254760742e+00
6.799999713897705078e+00,9.581218957901000977e-01
6.849999904632568359e+00,1.006960511207580566e+00
6.900000095367431641e+00,9.880224466323852539e-01
6.949999809265136719e+00,5.953982472419738770e-01
7.000000000000000000e+00,2.658755891025066376e-02
7.050000190734863281e+00,-3.137316703796386719e-01
7.099999904632568359e+00,-3.779864311218261719e-01
7.150000095367431641e+00,-3.837023079395294189e-01
7.199999809265136719e+00,-4.140621125698089600e-01
7.250000000000000000e+00,-4.123012721538543701e-01
7.300000190734863281e+00,-3.935898542404174805e-01
7.349999904632568359e+00,-3.959110677242279053e-01
7.400000095367431641e+00,-3.042973279953002930e-01
7.450000286102294922e+00,3.433739021420478821e-02
7.500000000000000000e+00,4.989566504955291748e-01
7.550000190734863281e+00,7.060008645057678223e-01
7.599999904632568359e+00,4.509257078170776367e-01
7.650000095367431641e+00,-1.481874193996191025e-02
7.700000286102294922e+00,-3.055650889873504639e-01
7.750000000000000000e+00,-3.608667850494384766e-01
7.800000190734863281e+00,-3.617138564586639404e-01
7.850000381469726562e+00,-2.986885309219360352e-01
7.900000095367431641e+00,3.809785842895507812e-02
7.950000286102294922e+00,5.934314131736755371e-01
8.000000000000000000e+00,9.147090315818786621e-01
8.050000190734863281e+00,6.827971339225769043e-01
