# r,gr
0.000000000000000000e+00,0.000000000000000000e+00
9.999999776482582092e-03,-1.176670752465724945e-02
1.999999955296516418e-02,-2.324604988098144531e-02
2.999999932944774628e-02,-3.416008129715919495e-02
3.999999910593032837e-02,-4.424896091222763062e-02
5.000000074505805969e-02,-5.327995866537094116e-02
5.999999865889549255e-02,-6.105473637580871582e-02
7.000000029802322388e-02,-6.741542369127273560e-02
7.999999821186065674e-02,-7.225117832422256470e-02
8.999999612569808960e-02,-7.550024241209030151e-02
1.000000014901161194e-01,-7.715383172035217285e-02
1.099999994039535522e-01,-7.725489884614944458e-02
1.199999973177909851e-01,-7.589849829673767090e-02
1.299999952316284180e-01,-7.322789728641510010e-02
1.400000005960464478e-01,-6.943137198686599731e-02
1.499999910593032837e-01,-6.473410129547119141e-02
1.599999964237213135e-01,-5.939401313662528992e-02
1.700000017881393433e-01,-5.369101464748382568e-02
1.799999922513961792e-01,-4.791942983865737915e-02
1.899999976158142090e-01,-4.237768054008483887e-02
2.000000029802322388e-01,-3.735919669270515442e-02
2.099999934434890747e-01,-3.314222022891044617e-02
2.199999988079071045e-01,-2.998071536421775818e-02
2.299999892711639404e-01,-2.809562720358371735e-02
2.399999946355819702e-01,-2.766762487590312958e-02
2.500000000000000000e-01,-2.882966026663780212e-02
2.599999904632568359e-01,-3.166442736983299255e-02
2.699999809265136719e-01,-3.619756177067756653e-02
2.800000011920928955e-01,-4.239943996071815491e-02
2.899999916553497314e-01,-5.018397793173789978e-02
2.999999821186065674e-01,-5.941030010581016541e-02
3.100000023841857910e-01,-6.988763064146041870e-02
3.199999928474426270e-01,-8.138124644756317139e-02
3.299999833106994629e-01,-9.361902624368667603e-02
3.400000035762786865e-01,-1.062997505068778992e-01
3.499999940395355225e-01,-1.191039830446243286e-01
3.599999845027923584e-01,-1.317032277584075928e-01
3.700000047683715820e-01,-1.437717974185943604e-01
3.799999952316284180e-01,-1.549977213144302368e-01
3.899999856948852539e-01,-1.650917530059814453e-01
