# q,iq
1.000000000000000000e+00,2.319206250000000000e+05
1.049999952316284180e+00,1.716855000000000000e+05
1.100000023841857910e+00,1.617377500000000000e+05
1.149999976158142090e+00,1.818420000000000000e+05
1.200000047683715820e+00,1.990937500000000000e+05
1.250000000000000000e+00,1.925578750000000000e+05
1.299999952316284180e+00,1.667927500000000000e+05
1.350000023841857910e+00,1.413262500000000000e+05
1.399999976158142090e+00,1.286643750000000000e+05
1.449999928474426270e+00,1.249660000000000000e+05
1.500000000000000000e+00,1.210285000000000000e+05
1.549999952316284180e+00,1.166248750000000000e+05
1.600000023841857910e+00,1.192550000000000000e+05
1.649999976158142090e+00,1.304155000000000000e+05
1.699999928474426270e+00,1.391610000000000000e+05
1.750000000000000000e+00,1.334920000000000000e+05
1.799999952316284180e+00,1.164772500000000000e+05
1.849999904632568359e+00,1.057810000000000000e+05
1.899999976158142090e+00,1.144997500000000000e+05
1.949999928474426270e+00,1.354942500000000000e+05
2.000000000000000000e+00,1.493408750000000000e+05
2.049999952316284180e+00,1.483211250000000000e+05
2.099999904632568359e+00,1.481410000000000000e+05
2.149999856948852539e+00,1.708532500000000000e+05
2.200000047683715820e+00,2.154436250000000000e+05
2.250000000000000000e+00,2.514216875000000000e+05
2.299999952316284180e+00,2.530985000000000000e+05
2.350000143051147461e+00,2.511285625000000000e+05
2.400000095367431641e+00,3.514349375000000000e+05
2.450000047683715820e+00,6.889233750000000000e+05
2.500000000000000000e+00,1.335425500000000000e+06
2.549999952316284180e+00,2.222987500000000000e+06
2.599999904632568359e+00,3.137658500000000000e+06
2.649999856948852539e+00,3.797337250000000000e+06
2.699999809265136719e+00,3.984027500000000000e+06
2.750000000000000000e+00,3.660501500000000000e+06
2.799999952316284180e+00,2.984911750000000000e+06
2.849999904632568359e+00,2.214389000000000000e+06
2.899999856948852539e+00,1.607929250000000000e+06
2.949999809265136719e+00,1.388538750000000000e+06
3.000000000000000000e+00,1.649162000000000000e+06
3.049999952316284180e+00,2.178152250000000000e+06
3.099999904632568359e+00,2.497261000000000000e+06
3.150000095367431641e+00,2.274131250000000000e+06
3.200000047683715820e+00,1.663808625000000000e+06
3.250000000000000000e+00,1.086368875000000000e+06
3.299999952316284180e+00,7.420550000000000000e+05
3.349999904632568359e+00,5.304762500000000000e+05
