# q,fq
1.000000000000000000e+00,-4.651080369949340820e-01
1.049999952316284180e+00,-5.069839358329772949e-01
1.100000023841857910e+00,-4.881672263145446777e-01
1.149999976158142090e+00,-5.041803717613220215e-01
1.200000047683715820e+00,-5.694481730461120605e-01
1.250000000000000000e+00,-6.111576557159423828e-01
1.299999952316284180e+00,-6.073614358901977539e-01
1.350000023841857910e+00,-6.150454878807067871e-01
1.399999976158142090e+00,-6.672146320343017578e-01
1.449999928474426270e+00,-7.151275873184204102e-01
1.500000000000000000e+00,-7.162737846374511719e-01
1.549999952316284180e+00,-7.182227373123168945e-01
1.600000023841857910e+00,-7.684332132339477539e-01
1.649999976158142090e+00,-8.166002631187438965e-01
1.699999928474426270e+00,-8.147619962692260742e-01
1.750000000000000000e+00,-8.153268694877624512e-01
1.799999952316284180e+00,-8.644859194755554199e-01
1.849999904632568359e+00,-9.103556275367736816e-01
1.899999976158142090e+00,-9.050431847572326660e-01
1.949999928474426270e+00,-8.960032463073730469e-01
2.000000000000000000e+00,-9.404324293136596680e-01
2.049999952316284180e+00,-9.960254430770874023e-01
2.099999904632568359e+00,-9.821762442588806152e-01
2.149999856948852539e+00,-9.353631138801574707e-01
2.200000047683715820e+00,-9.736679196357727051e-01
2.250000000000000000e+00,-1.059987902641296387e+00
2.299999952316284180e+00,-1.005398154258728027e+00
2.350000143051147461e+00,-8.217620253562927246e-01
2.400000095367431641e+00,-7.663101553916931152e-01
2.450000047683715820e+00,-7.831883430480957031e-01
2.500000000000000000e+00,-1.936409771442413330e-01
2.549999952316284180e+00,1.624723792076110840e+00
2.599999904632568359e+00,4.218560218811035156e+00
2.649999856948852539e+00,6.022104740142822266e+00
2.699999809265136719e+00,5.679641723632812500e+00
2.750000000000000000e+00,3.455695629119873047e+00
2.799999952316284180e+00,9.976804256439208984e-01
2.849999904632568359e+00,-3.586200475692749023e-01
2.899999856948852539e+00,-4.992889463901519775e-01
2.949999809265136719e+00,2.371727675199508667e-01
3.000000000000000000e+00,1.640712499618530273e+00
3.049999952316284180e+00,3.019050598144531250e+00
3.099999904632568359e+00,3.188419580459594727e+00
3.150000095367431641e+00,1.844998002052307129e+00
3.200000047683715820e+00,1.040251776576042175e-01
3.250000000000000000e+00,-8.979632258415222168e-01
3.299999952316284180e+00,-1.168735504150390625e+00
3.349999904632568359e+00,-1.272309541702270508e+00
3.400000095367431641e+00,-1.411322712898254395e+00
3.450000047683715820e+00,-1.501551032066345215e+00
3.500000000000000000e+00,-1.545217275619506836e+00
3.550000190734863281e+00,-1.588321089744567871e+00
3.600000143051147461e+00,-1.623007059097290039e+00
3.650000095367431641e+00,-1.653561830520629883e+00
3.700000047683715820e+00,-1.692092776298522949e+00
3.750000000000000000e+00,-1.718148946762084961e+00
3.799999952316284180e+00,-1.729163885116577148e+00
3.849999904632568359e+00,-1.750822901725769043e+00
3.899999856948852539e+00,-1.779591202735900879e+00
3.950000047683715820e+00,-1.785346388816833496e+00
4.000000000000000000e+00,-1.749505043029785156e+00
4.050000190734863281e+00,-1.697942495346069336e+00
4.099999904632568359e+00,-1.703884363174438477e+00
4.150000095367431641e+00,-1.664044737815856934e+00
4.199999809265136719e+00,-1.019940614700317383e+00
4.250000000000000000e+00,7.949870824813842773e-01
4.299999713897705078e+00,3.274953842163085938e+00
4.349999904632568359e+00,4.752775192260742188e+00
4.399999618530273438e+00,4.013461589813232422e+00
4.449999809265136719e+00,1.685063958168029785e+00
4.500000000000000000e+00,-5.004200935363769531e-01
4.549999713897705078e+00,-1.525880932807922363e+00
4.599999904632568359e+00,-1.690009236335754395e+00
4.650000095367431641e+00,-1.711390733718872070e+00
4.699999809265136719e+00,-1.832677721977233887e+00
4.750000000000000000e+00,-1.848546743392944336e+00
4.799999713897705078e+00,-1.680694937705993652e+00
4.849999904632568359e+00,-1.587250351905822754e+00
4.900000095367431641e+00,-1.518964290618896484e+00
4.949999809265136719e+00,-4.871020913124084473e-01
5.000000000000000000e+00,2.525373935699462891e+00
5.050000190734863281e+00,6.633132934570312500e+00
5.099999904632568359e+00,9.042108535766601562e+00
5.150000095367431641e+00,7.939486980438232422e+00
5.199999809265136719e+00,4.724889755249023438e+00
5.250000000000000000e+00,2.312373399734497070e+00
5.300000190734863281e+00,1.747913718223571777e+00
5.349999904632568359e+00,1.668701052665710449e+00
5.400000095367431641e+00,7.297915220260620117e-01
5.450000286102294922e+00,-7.881107330322265625e-01
5.500000000000000000e+00,-1.889003753662109375e+00
5.550000190734863281e+00,-2.260209083557128906e+00
