# r,gr
0.000000000000000000e+00,0.000000000000000000e+00
9.999999776482582092e-03,-8.671521395444869995e-02
1.999999955296516418e-02,-1.701737791299819946e-01
2.999999932944774628e-02,-2.472445666790008545e-01
3.999999910593032837e-02,-3.150438964366912842e-01
5.000000074505805969e-02,-3.710458278656005859e-01
5.999999865889549255e-02,-4.131803214550018311e-01
7.000000029802322388e-02,-4.399130344390869141e-01
7.999999821186065674e-02,-4.503056704998016357e-01
8.999999612569808960e-02,-4.440519809722900391e-01
1.000000014901161194e-01,-4.214885234832763672e-01
1.099999994039535522e-01,-3.835830688476562500e-01
1.199999973177909851e-01,-3.318977355957031250e-01
1.299999952316284180e-01,-2.685280740261077881e-01
1.400000005960464478e-01,-1.960233896970748901e-01
1.499999910593032837e-01,-1.172859668731689453e-01
1.599999964237213135e-01,-3.546349704265594482e-02
1.700000017881393433e-01,4.617727547883987427e-02
1.799999922513961792e-01,1.243740618228912354e-01
1.899999976158142090e-01,1.959927976131439209e-01
2.000000029802322388e-01,2.581565678119659424e-01
2.099999934434890747e-01,3.083471953868865967e-01
2.199999988079071045e-01,3.445103168487548828e-01
2.299999892711639404e-01,3.651311099529266357e-01
2.399999946355819702e-01,3.692954778671264648e-01
2.500000000000000000e-01,3.567245304584503174e-01
2.599999904632568359e-01,3.277871906757354736e-01
2.699999809265136719e-01,2.834842503070831299e-01
2.800000011920928955e-01,2.254144847393035889e-01
2.899999916553497314e-01,1.557083874940872192e-01
2.999999821186065674e-01,7.695197314023971558e-02
3.100000023841857910e-01,-7.918835617601871490e-03
3.199999928474426270e-01,-9.572588652372360229e-02
3.299999833106994629e-01,-1.831717938184738159e-01
3.400000035762786865e-01,-2.669726610183715820e-01
3.499999940395355225e-01,-3.439778387546539307e-01
3.599999845027923584e-01,-4.112972021102905273e-01
3.700000047683715820e-01,-4.664101600646972656e-01
3.799999952316284180e-01,-5.072631239891052246e-01
3.899999856948852539e-01,-5.323552489280700684e-01
4.000000059604644775e-01,-5.407891273498535156e-01
4.099999964237213135e-01,-5.323117375373840332e-01
4.200000166893005371e-01,-5.073228478431701660e-01
4.300000071525573730e-01,-4.668643474578857422e-01
4.399999976158142090e-01,-4.125754833221435547e-01
4.500000178813934326e-01,-3.466344475746154785e-01
4.600000083446502686e-01,-2.716764211654663086e-01
4.699999988079071045e-01,-1.906878948211669922e-01
4.799999892711639404e-01,-1.068950295448303223e-01
4.899999797344207764e-01,-2.363987267017364502e-02
5.000000000000000000e-01,5.574997514486312866e-02
5.099999904632568359e-01,1.280893385410308838e-01
5.199999809265136719e-01,1.904592812061309814e-01
5.299999713897705078e-01,2.403198182582855225e-01
5.399999618530273438e-01,2.756088078022003174e-01
5.500000119209289551e-01,2.948235571384429932e-01
5.600000023841857910e-01,2.970792055130004883e-01
5.699999928474426270e-01,2.821437716484069824e-01
5.799999833106994629e-01,2.504529356956481934e-01
5.899999737739562988e-01,2.030857652425765991e-01
6.000000238418579102e-01,1.417350023984909058e-01
6.100000143051147461e-01,6.863812357187271118e-02
6.200000047683715820e-01,-1.351094804704189301e-02
6.299999952316284180e-01,-1.016562059521675110e-01
6.399999856948852539e-01,-1.925054043531417847e-01
6.499999761581420898e-01,-2.826499342918395996e-01
6.599999666213989258e-01,-3.687033951282501221e-01
6.699999570846557617e-01,-4.474239647388458252e-01
6.800000071525573730e-01,-5.158435106277465820e-01
6.899999976158142090e-01,-5.713848471641540527e-01
6.999999880790710449e-01,-6.119640469551086426e-01
7.099999785423278809e-01,-6.360659599304199219e-01
7.200000286102294922e-01,-6.428079605102539062e-01
7.300000190734863281e-01,-6.319770216941833496e-01
7.400000095367431641e-01,-6.040394902229309082e-01
7.500000000000000000e-01,-5.601226687431335449e-01
7.600000500679016113e-01,-5.019755363464355469e-01
7.700000405311584473e-01,-4.319079518318176270e-01
