1385
{'Au': 1385}
# q,sq
1.000000000000000000e+00,2.825867500000000000e+05
1.049999952316284180e+00,1.381020000000000000e+05
1.100000023841857910e+00,4.495242500000000000e+05
1.149999976158142090e+00,4.891987500000000000e+05
1.200000047683715820e+00,2.008602500000000000e+05
1.250000000000000000e+00,8.674675000000000000e+04
1.299999952316284180e+00,2.550620000000000000e+05
1.350000023841857910e+00,3.427862500000000000e+05
1.399999976158142090e+00,1.793727500000000000e+05
1.449999928474426270e+00,5.174375000000000000e+04
1.500000000000000000e+00,1.695117500000000000e+05
1.549999952316284180e+00,2.739215000000000000e+05
1.600000023841857910e+00,1.463137500000000000e+05
1.649999976158142090e+00,3.743650000000000000e+04
1.699999928474426270e+00,1.511295000000000000e+05
1.750000000000000000e+00,2.464650000000000000e+05
1.799999952316284180e+00,1.413570000000000000e+05
1.849999904632568359e+00,5.621100000000000000e+04
1.899999976158142090e+00,1.665140000000000000e+05
1.949999928474426270e+00,2.825082500000000000e+05
2.000000000000000000e+00,2.058002500000000000e+05
2.049999952316284180e+00,9.676250000000000000e+04
2.099999904632568359e+00,2.190542500000000000e+05
2.149999856948852539e+00,4.363802500000000000e+05
2.200000047683715820e+00,3.821947500000000000e+05
2.250000000000000000e+00,1.904890000000000000e+05
2.299999952316284180e+00,4.105350000000000000e+05
2.350000143051147461e+00,9.721395000000000000e+05
2.400000095367431641e+00,1.157453875000000000e+06
2.450000047683715820e+00,1.143926000000000000e+06
2.500000000000000000e+00,2.654459000000000000e+06
2.549999952316284180e+00,7.074335000000000000e+06
2.599999904632568359e+00,1.307600700000000000e+07
2.649999856948852539e+00,1.691363600000000000e+07
2.699999809265136719e+00,1.572792600000000000e+07
2.750000000000000000e+00,1.050769000000000000e+07
2.799999952316284180e+00,5.072072500000000000e+06
2.849999904632568359e+00,2.194501250000000000e+06
2.899999856948852539e+00,1.903845500000000000e+06
2.949999809265136719e+00,3.337453000000000000e+06
3.000000000000000000e+00,5.960771000000000000e+06
3.049999952316284180e+00,8.399286000000000000e+06
3.099999904632568359e+00,8.532433000000000000e+06
3.150000095367431641e+00,6.000910000000000000e+06
3.200000047683715820e+00,2.914260000000000000e+06
3.250000000000000000e+00,1.212203250000000000e+06
3.299999952316284180e+00,7.824788750000000000e+05
3.349999904632568359e+00,6.386028750000000000e+05
3.400000095367431641e+00,4.466205000000000000e+05
3.450000047683715820e+00,3.373395000000000000e+05
3.500000000000000000e+00,3.017445000000000000e+05
3.550000190734863281e+00,2.685275000000000000e+05
3.600000143051147461e+00,2.485895000000000000e+05
3.650000095367431641e+00,2.351552500000000000e+05
3.700000047683715820e+00,2.115692500000000000e+05
3.750000000000000000e+00,2.053180000000000000e+05
3.799999952316284180e+00,2.185160000000000000e+05
3.849999904632568359e+00,2.177412500000000000e+05
3.899999856948852539e+00,2.082402500000000000e+05
3.950000047683715820e+00,2.265850000000000000e+05
4.000000000000000000e+00,2.926446250000000000e+05
4.050000190734863281e+00,3.736870000000000000e+05
4.099999904632568359e+00,3.868271250000000000e+05
4.150000095367431641e+00,4.493396250000000000e+05
4.199999809265136719e+00,1.155520375000000000e+06
4.250000000000000000e+00,3.057233750000000000e+06
4.299999713897705078e+00,5.559386500000000000e+06
4.349999904632568359e+00,6.949796000000000000e+06
4.399999618530273438e+00,6.102714000000000000e+06
4.449999809265136719e+00,3.760510750000000000e+06
4.500000000000000000e+00,1.647903750000000000e+06
4.549999713897705078e+00,6.911053750000000000e+05
4.599999904632568359e+00,5.512798750000000000e+05
4.650000095367431641e+00,5.433198750000000000e+05
4.699999809265136719e+00,4.488460000000000000e+05
4.750000000000000000e+00,4.476371250000000000e+05
4.799999713897705078e+00,5.994675000000000000e+05
4.849999904632568359e+00,6.844000000000000000e+05
4.900000095367431641e+00,7.456928750000000000e+05
4.949999809265136719e+00,1.561135250000000000e+06
5.000000000000000000e+00,3.870095250000000000e+06
5.050000190734863281e+00,6.917046000000000000e+06
5.099999904632568359e+00,8.587954000000000000e+06
5.150000095367431641e+00,7.641544000000000000e+06
5.199999809265136719e+00,5.222901000000000000e+06
5.250000000000000000e+00,3.454425000000000000e+06
5.300000190734863281e+00,3.019579500000000000e+06
5.349999904632568359e+00,2.927047750000000000e+06
5.400000095367431641e+00,2.268598750000000000e+06
5.450000286102294922e+00,1.257662875000000000e+06
5.500000000000000000e+00,5.488821250000000000e+05
5.550000190734863281e+00,3.222373750000000000e+05
5.599999904632568359e+00,3.077190000000000000e+05
5.650000095367431641e+00,2.794621250000000000e+05
5.700000286102294922e+00,2.252748750000000000e+05
5.750000000000000000e+00,1.926657500000000000e+05
5.800000190734863281e+00,1.868020000000000000e+05
5.850000381469726562e+00,1.978675000000000000e+05
5.900000095367431641e+00,2.144485000000000000e+05
5.950000286102294922e+00,2.299033750000000000e+05
6.000000000000000000e+00,3.113683750000000000e+05
6.050000190734863281e+00,5.817276250000000000e+05
6.100000381469726562e+00,1.006601000000000000e+06
6.150000095367431641e+00,1.295486375000000000e+06
6.199999809265136719e+00,1.189282625000000000e+06
6.250000000000000000e+00,7.813817500000000000e+05
6.299999713897705078e+00,4.089642500000000000e+05
6.349999904632568359e+00,2.842173750000000000e+05
6.399999618530273438e+00,3.294656250000000000e+05
6.449999809265136719e+00,3.434557500000000000e+05
6.500000000000000000e+00,3.344883750000000000e+05
6.549999713897705078e+00,6.730203125000000000e+05
6.599999904632568359e+00,1.696238250000000000e+06
6.650000095367431641e+00,3.098636250000000000e+06
6.699999809265136719e+00,4.085642500000000000e+06
6.750000000000000000e+00,4.302735500000000000e+06
6.799999713897705078e+00,4.169613750000000000e+06
6.849999904632568359e+00,4.063799000000000000e+06
6.900000095367431641e+00,3.712203000000000000e+06
6.949999809265136719e+00,2.776802000000000000e+06
7.000000000000000000e+00,1.568473375000000000e+06
7.050000190734863281e+00,7.070148750000000000e+05
7.099999904632568359e+00,3.802281250000000000e+05
7.150000095367431641e+00,3.307934375000000000e+05
7.199999809265136719e+00,3.277112500000000000e+05
7.250000000000000000e+00,3.099913750000000000e+05
7.300000190734863281e+00,2.669386250000000000e+05
7.349999904632568359e+00,2.954155000000000000e+05
7.400000095367431641e+00,6.482768125000000000e+05
7.450000286102294922e+00,1.435692250000000000e+06
7.500000000000000000e+00,2.304377000000000000e+06
7.550000190734863281e+00,2.643568500000000000e+06
7.599999904632568359e+00,2.191992000000000000e+06
7.650000095367431641e+00,1.327449875000000000e+06
7.700000286102294922e+00,6.524798750000000000e+05
7.750000000000000000e+00,3.921993750000000000e+05
7.800000190734863281e+00,3.992610625000000000e+05
7.850000381469726562e+00,6.590085625000000000e+05
7.900000095367431641e+00,1.358629000000000000e+06
7.950000286102294922e+00,2.321338000000000000e+06
8.000000000000000000e+00,2.840280500000000000e+06
8.050000190734863281e+00,2.430660000000000000e+06
8.100000381469726562e+00,1.447042875000000000e+06
8.150000572204589844e+00,6.304672500000000000e+05
8.199999809265136719e+00,2.923666250000000000e+05
8.250000000000000000e+00,2.293148125000000000e+05
8.300000190734863281e+00,1.995948750000000000e+05
8.349999427795410156e+00,1.615565625000000000e+05
8.399999618530273438e+00,1.463145625000000000e+05
8.449999809265136719e+00,1.441561250000000000e+05
8.500000000000000000e+00,1.463103750000000000e+05
8.550000190734863281e+00,2.092910000000000000e+05
8.600000381469726562e+00,4.105191250000000000e+05
8.650000572204589844e+00,7.102515000000000000e+05
8.700000762939453125e+00,9.192216250000000000e+05
8.750000000000000000e+00,8.864608125000000000e+05
8.800000190734863281e+00,6.644972500000000000e+05
8.850000381469726562e+00,4.248857500000000000e+05
8.900000572204589844e+00,3.286056250000000000e+05
8.950000762939453125e+00,5.515013750000000000e+05
9.000000000000000000e+00,1.235560250000000000e+06
9.050000190734863281e+00,2.244416500000000000e+06
9.100000381469726562e+00,3.110436750000000000e+06
9.149999618530273438e+00,3.398295000000000000e+06
9.199999809265136719e+00,3.057217000000000000e+06
9.250000000000000000e+00,2.349641500000000000e+06
9.300000190734863281e+00,1.564608250000000000e+06
9.350000381469726562e+00,8.951470000000000000e+05
9.399999618530273438e+00,4.607328437500000000e+05
9.449999809265136719e+00,2.809866250000000000e+05
9.500000000000000000e+00,2.513308125000000000e+05
9.549999237060546875e+00,2.677269375000000000e+05
9.599999427795410156e+00,3.736215937500000000e+05
9.649999618530273438e+00,6.638223750000000000e+05
9.699999809265136719e+00,1.032974562500000000e+06
9.750000000000000000e+00,1.181673250000000000e+06
9.800000190734863281e+00,9.565215625000000000e+05
9.850000381469726562e+00,5.571153750000000000e+05
9.900000572204589844e+00,3.118836250000000000e+05
9.949999809265136719e+00,3.589081875000000000e+05
1.000000000000000000e+01,6.267870625000000000e+05
1.005000019073486328e+01,9.943220000000000000e+05
1.010000038146972656e+01,1.340059875000000000e+06
1.015000057220458984e+01,1.516690125000000000e+06
1.019999980926513672e+01,1.416369375000000000e+06
1.025000000000000000e+01,1.076397000000000000e+06
1.030000019073486328e+01,6.673826250000000000e+05
1.034999942779541016e+01,3.583930312500000000e+05
1.039999961853027344e+01,2.015470000000000000e+05
