# q,sq
1.000000000000000000e+00,-4.651080369949340820e-01
1.049999952316284180e+00,-4.828418493270874023e-01
1.100000023841857910e+00,-4.437883794307708740e-01
1.149999976158142090e+00,-4.384177327156066895e-01
1.200000047683715820e+00,-4.745401442050933838e-01
1.250000000000000000e+00,-4.889261424541473389e-01
1.299999952316284180e+00,-4.672011137008666992e-01
1.350000023841857910e+00,-4.555892348289489746e-01
1.399999976158142090e+00,-4.765819013118743896e-01
1.449999928474426270e+00,-4.931914806365966797e-01
1.500000000000000000e+00,-4.775158762931823730e-01
1.549999952316284180e+00,-4.633695185184478760e-01
1.600000023841857910e+00,-4.802707433700561523e-01
1.649999976158142090e+00,-4.949092566967010498e-01
1.699999928474426270e+00,-4.792717993259429932e-01
1.750000000000000000e+00,-4.659010767936706543e-01
1.799999952316284180e+00,-4.802699685096740723e-01
1.849999904632568359e+00,-4.920841455459594727e-01
1.899999976158142090e+00,-4.763385355472564697e-01
1.949999928474426270e+00,-4.594888687133789062e-01
2.000000000000000000e+00,-4.702162146568298340e-01
2.049999952316284180e+00,-4.858660697937011719e-01
2.099999904632568359e+00,-4.677029848098754883e-01
2.149999856948852539e+00,-4.350526332855224609e-01
2.200000047683715820e+00,-4.425763189792633057e-01
2.250000000000000000e+00,-4.711057245731353760e-01
2.299999952316284180e+00,-4.371296465396881104e-01
2.350000143051147461e+00,-3.496859371662139893e-01
2.400000095367431641e+00,-3.192958831787109375e-01
2.450000047683715820e+00,-3.196687102317810059e-01
2.500000000000000000e+00,-7.745639234781265259e-02
2.549999952316284180e+00,6.371465921401977539e-01
2.599999904632568359e+00,1.622523307800292969e+00
2.649999856948852539e+00,2.272492408752441406e+00
2.699999809265136719e+00,2.103571176528930664e+00
2.750000000000000000e+00,1.256616592407226562e+00
2.799999952316284180e+00,3.563144505023956299e-01
2.849999904632568359e+00,-1.258316040039062500e-01
2.899999856948852539e+00,-1.721686124801635742e-01
2.949999809265136719e+00,8.039755374193191528e-02
3.000000000000000000e+00,5.469041466712951660e-01
3.049999952316284180e+00,9.898526668548583984e-01
3.099999904632568359e+00,1.028522491455078125e+00
3.150000095367431641e+00,5.857136249542236328e-01
3.200000047683715820e+00,3.250786662101745605e-02
3.250000000000000000e+00,-2.762963771820068359e-01
3.299999952316284180e+00,-3.541622757911682129e-01
3.349999904632568359e+00,-3.797939121723175049e-01
3.400000095367431641e+00,-4.150949120521545410e-01
3.450000047683715820e+00,-4.352321922779083252e-01
3.500000000000000000e+00,-4.414906501770019531e-01
3.550000190734863281e+00,-4.474143683910369873e-01
3.600000143051147461e+00,-4.508352875709533691e-01
3.650000095367431641e+00,-4.530306160449981689e-01
3.700000047683715820e+00,-4.573223590850830078e-01
3.750000000000000000e+00,-4.581730663776397705e-01
3.799999952316284180e+00,-4.550431370735168457e-01
3.849999904632568359e+00,-4.547592103481292725e-01
3.899999856948852539e+00,-4.563054442405700684e-01
