91
{'composition': {'Au': 91}, 'crystal structure': 'bcc', 'shape': 'cube', 'size': 10}
# q,sq
1.000000000000000000e+00,8.363921875000000000e+04
1.049999952316284180e+00,4.535076562500000000e+04
1.100000023841857910e+00,2.293720312500000000e+04
1.149999976158142090e+00,1.562198437500000000e+04
1.200000047683715820e+00,1.934001562500000000e+04
1.250000000000000000e+00,2.859471875000000000e+04
1.299999952316284180e+00,3.805959375000000000e+04
1.350000023841857910e+00,4.374889062500000000e+04
1.399999976158142090e+00,4.368485937500000000e+04
1.449999928474426270e+00,3.804884375000000000e+04
1.500000000000000000e+00,2.884482812500000000e+04
1.549999952316284180e+00,1.918207812500000000e+04
1.600000023841857910e+00,1.235220312500000000e+04
1.649999976158142090e+00,1.093706250000000000e+04
1.699999928474426270e+00,1.617679687500000000e+04
1.750000000000000000e+00,2.775137500000000000e+04
1.799999952316284180e+00,4.399848437500000000e+04
1.849999904632568359e+00,6.245845312500000000e+04
1.899999976158142090e+00,8.053737500000000000e+04
1.949999928474426270e+00,9.606893750000000000e+04
2.000000000000000000e+00,1.076268281250000000e+05
2.049999952316284180e+00,1.145634765625000000e+05
2.099999904632568359e+00,1.168887109375000000e+05
2.149999856948852539e+00,1.151540156250000000e+05
2.200000047683715820e+00,1.104858281250000000e+05
2.250000000000000000e+00,1.047789765625000000e+05
2.299999952316284180e+00,1.009304296875000000e+05
2.350000143051147461e+00,1.028702343750000000e+05
2.400000095367431641e+00,1.151740703125000000e+05
2.450000047683715820e+00,1.421624375000000000e+05
2.500000000000000000e+00,1.866277031250000000e+05
2.549999952316284180e+00,2.485337187500000000e+05
2.599999904632568359e+00,3.241440937500000000e+05
2.649999856948852539e+00,4.059833750000000000e+05
2.699999809265136719e+00,4.838016250000000000e+05
2.750000000000000000e+00,5.464172500000000000e+05
2.799999952316284180e+00,5.840090000000000000e+05
2.849999904632568359e+00,5.902698750000000000e+05
2.899999856948852539e+00,5.638378750000000000e+05
2.949999809265136719e+00,5.086275625000000000e+05
3.000000000000000000e+00,4.329665000000000000e+05
3.049999952316284180e+00,3.477768125000000000e+05
3.099999904632568359e+00,2.642626875000000000e+05
3.150000095367431641e+00,1.916900625000000000e+05
3.200000047683715820e+00,1.357839531250000000e+05
3.250000000000000000e+00,9.809311718750000000e+04
3.299999952316284180e+00,7.641367968750000000e+04
3.349999904632568359e+00,6.608375781250000000e+04
3.400000095367431641e+00,6.173693750000000000e+04
3.450000047683715820e+00,5.899234375000000000e+04
3.500000000000000000e+00,5.559400781250000000e+04
3.550000190734863281e+00,5.169911718750000000e+04
3.600000143051147461e+00,4.929161718750000000e+04
3.650000095367431641e+00,5.098295312500000000e+04
3.700000047683715820e+00,5.866978125000000000e+04
3.750000000000000000e+00,7.254407031250000000e+04
3.799999952316284180e+00,9.080817187500000000e+04
3.849999904632568359e+00,1.101705000000000000e+05
3.899999856948852539e+00,1.268940000000000000e+05
3.950000047683715820e+00,1.379713125000000000e+05
4.000000000000000000e+00,1.419754687500000000e+05
4.050000190734863281e+00,1.392917500000000000e+05
4.099999904632568359e+00,1.317100156250000000e+05
4.150000095367431641e+00,1.216141640625000000e+05
4.199999809265136719e+00,1.111538984375000000e+05
4.250000000000000000e+00,1.017391250000000000e+05
4.299999713897705078e+00,9.402633593750000000e+04
4.349999904632568359e+00,8.830996875000000000e+04
4.399999618530273438e+00,8.505662500000000000e+04
4.449999809265136719e+00,8.526031250000000000e+04
4.500000000000000000e+00,9.040151562500000000e+04
4.549999713897705078e+00,1.019877968750000000e+05
4.599999904632568359e+00,1.208592265625000000e+05
4.650000095367431641e+00,1.465460312500000000e+05
4.699999809265136719e+00,1.769583125000000000e+05
4.750000000000000000e+00,2.085546093750000000e+05
4.799999713897705078e+00,2.369544375000000000e+05
4.849999904632568359e+00,2.578186250000000000e+05
4.900000095367431641e+00,2.677365000000000000e+05
4.949999809265136719e+00,2.649020312500000000e+05
5.000000000000000000e+00,2.494370312500000000e+05
5.050000190734863281e+00,2.233339687500000000e+05
5.099999904632568359e+00,1.900808437500000000e+05
5.150000095367431641e+00,1.540632812500000000e+05
5.199999809265136719e+00,1.198617656250000000e+05
5.250000000000000000e+00,9.153299218750000000e+04
5.300000190734863281e+00,7.198509375000000000e+04
5.349999904632568359e+00,6.252687109375000000e+04
5.400000095367431641e+00,6.268824609375000000e+04
5.450000286102294922e+00,7.036659375000000000e+04
5.500000000000000000e+00,8.229659375000000000e+04
5.550000190734863281e+00,9.476828125000000000e+04
5.599999904632568359e+00,1.044358984375000000e+05
5.650000095367431641e+00,1.090292031250000000e+05
5.700000286102294922e+00,1.077857343750000000e+05
5.750000000000000000e+00,1.015046484375000000e+05
5.800000190734863281e+00,9.221854687500000000e+04
5.850000381469726562e+00,8.259599218750000000e+04
5.900000095367431641e+00,7.524510156250000000e+04
5.950000286102294922e+00,7.210838281250000000e+04
6.000000000000000000e+00,7.409181250000000000e+04
6.050000190734863281e+00,8.098034375000000000e+04
6.100000381469726562e+00,9.161403125000000000e+04
6.150000095367431641e+00,1.042259687500000000e+05
6.199999809265136719e+00,1.168304531250000000e+05
6.250000000000000000e+00,1.275617031250000000e+05
6.299999713897705078e+00,1.349178906250000000e+05
6.349999904632568359e+00,1.379057500000000000e+05
6.399999618530273438e+00,1.361104375000000000e+05
6.449999809265136719e+00,1.297148906250000000e+05
6.500000000000000000e+00,1.194759218750000000e+05
6.549999713897705078e+00,1.066387968750000000e+05
6.599999904632568359e+00,9.276777343750000000e+04
6.650000095367431641e+00,7.949406250000000000e+04
6.699999809265136719e+00,6.821370312500000000e+04
6.750000000000000000e+00,5.981521093750000000e+04
6.799999713897705078e+00,5.452866796875000000e+04
6.849999904632568359e+00,5.196307812500000000e+04
6.900000095367431641e+00,5.134153125000000000e+04
6.949999809265136719e+00,5.186475390625000000e+04
7.000000000000000000e+00,5.307493750000000000e+04
7.050000190734863281e+00,5.507544531250000000e+04
7.099999904632568359e+00,5.851153125000000000e+04
7.150000095367431641e+00,6.429795312500000000e+04
7.199999809265136719e+00,7.318545312500000000e+04
7.250000000000000000e+00,8.532401562500000000e+04
7.300000190734863281e+00,9.998951562500000000e+04
7.349999904632568359e+00,1.155874062500000000e+05
7.400000095367431641e+00,1.299442031250000000e+05
7.450000286102294922e+00,1.407965781250000000e+05
7.500000000000000000e+00,1.463232031250000000e+05
7.550000190734863281e+00,1.455557812500000000e+05
7.599999904632568359e+00,1.385568593750000000e+05
7.650000095367431641e+00,1.263416953125000000e+05
7.700000286102294922e+00,1.105982968750000000e+05
7.750000000000000000e+00,9.331310937500000000e+04
7.800000190734863281e+00,7.641043750000000000e+04
7.850000381469726562e+00,6.148915625000000000e+04
7.900000095367431641e+00,4.967906250000000000e+04
7.950000286102294922e+00,4.160687890625000000e+04
8.000000000000000000e+00,3.743575000000000000e+04
8.050000190734863281e+00,3.693899218750000000e+04
8.100000381469726562e+00,3.958946093750000000e+04
8.150000572204589844e+00,4.465437890625000000e+04
8.199999809265136719e+00,5.129053906250000000e+04
8.250000000000000000e+00,5.864188281250000000e+04
8.300000190734863281e+00,6.592285937500000000e+04
8.349999427795410156e+00,7.248121093750000000e+04
8.399999618530273438e+00,7.783148437500000000e+04
8.449999809265136719e+00,8.166086718750000000e+04
8.500000000000000000e+00,8.381918750000000000e+04
8.550000190734863281e+00,8.430339062500000000e+04
8.600000381469726562e+00,8.324598437500000000e+04
8.650000572204589844e+00,8.090235156250000000e+04
8.700000762939453125e+00,7.763079687500000000e+04
8.750000000000000000e+00,7.385640625000000000e+04
8.800000190734863281e+00,7.001435937500000000e+04
8.850000381469726562e+00,6.648670312500000000e+04
8.900000572204589844e+00,6.354369531250000000e+04
8.950000762939453125e+00,6.131044140625000000e+04
9.000000000000000000e+00,5.976624218750000000e+04
9.050000190734863281e+00,5.877505859375000000e+04
9.100000381469726562e+00,5.813567578125000000e+04
9.149999618530273438e+00,5.763337109375000000e+04
9.199999809265136719e+00,5.708181250000000000e+04
9.250000000000000000e+00,5.634743359375000000e+04
9.300000190734863281e+00,5.535857812500000000e+04
9.350000381469726562e+00,5.410424218750000000e+04
9.399999618530273438e+00,5.262663281250000000e+04
9.449999809265136719e+00,5.101172656250000000e+04
9.500000000000000000e+00,4.937664843750000000e+04
9.549999237060546875e+00,4.785635937500000000e+04
9.599999427795410156e+00,4.659142968750000000e+04
9.649999618530273438e+00,4.572263671875000000e+04
9.699999809265136719e+00,4.539506640625000000e+04
9.750000000000000000e+00,4.576775781250000000e+04
9.800000190734863281e+00,4.702036328125000000e+04
9.850000381469726562e+00,4.934160937500000000e+04
9.900000572204589844e+00,5.288839062500000000e+04
9.949999809265136719e+00,5.771400000000000000e+04
1.000000000000000000e+01,6.368094140625000000e+04
1.005000019073486328e+01,7.038691406250000000e+04
1.010000038146972656e+01,7.714017968750000000e+04
1.015000057220458984e+01,8.301321093750000000e+04
1.019999980926513672e+01,8.698206250000000000e+04
1.025000000000000000e+01,8.813360156250000000e+04
1.030000019073486328e+01,8.589021875000000000e+04
1.034999942779541016e+01,8.019413281250000000e+04
1.039999961853027344e+01,7.158907812500000000e+04
1.044999980926513672e+01,6.116657031250000000e+04
1.050000000000000000e+01,5.037548046875000000e+04
1.055000019073486328e+01,4.073639843750000000e+04
1.060000038146972656e+01,3.353092578125000000e+04
1.065000057220458984e+01,2.954426757812500000e+04
1.070000076293945312e+01,2.892731640625000000e+04
1.075000000000000000e+01,3.120855468750000000e+04
1.080000019073486328e+01,3.544484375000000000e+04
1.085000038146972656e+01,4.046223437500000000e+04
1.090000057220458984e+01,4.511765625000000000e+04
1.095000076293945312e+01,4.851599609375000000e+04
1.100000000000000000e+01,5.013717968750000000e+04
1.105000019073486328e+01,4.986281250000000000e+04
1.110000038146972656e+01,4.791908984375000000e+04
1.114999961853027344e+01,4.477286718750000000e+04
1.119999980926513672e+01,4.101649218750000000e+04
1.125000000000000000e+01,3.726682031250000000e+04
1.130000019073486328e+01,3.408612109375000000e+04
1.135000038146972656e+01,3.192067187500000000e+04
1.139999961853027344e+01,3.105085156250000000e+04
1.144999980926513672e+01,3.155310546875000000e+04
1.150000000000000000e+01,3.328188281250000000e+04
1.154999923706054688e+01,3.588498046875000000e+04
1.159999942779541016e+01,3.886261718750000000e+04
1.164999961853027344e+01,4.166359765625000000e+04
1.169999980926513672e+01,4.380291796875000000e+04
1.175000000000000000e+01,4.496679296875000000e+04
1.180000019073486328e+01,4.507892968750000000e+04
1.185000038146972656e+01,4.430678515625000000e+04
1.190000057220458984e+01,4.300992578125000000e+04
1.194999980926513672e+01,4.164574218750000000e+04
1.200000000000000000e+01,4.066100000000000000e+04
1.205000019073486328e+01,4.039473437500000000e+04
1.210000038146972656e+01,4.101241015625000000e+04
1.215000057220458984e+01,4.247749609375000000e+04
1.219999980926513672e+01,4.456058203125000000e+04
1.225000000000000000e+01,4.688044140625000000e+04
1.230000019073486328e+01,4.897043750000000000e+04
1.234999942779541016e+01,5.036466406250000000e+04
1.239999961853027344e+01,5.069283203125000000e+04
1.244999980926513672e+01,4.976754296875000000e+04
1.250000000000000000e+01,4.764303125000000000e+04
1.255000019073486328e+01,4.462330078125000000e+04
1.260000038146972656e+01,4.120741406250000000e+04
1.265000057220458984e+01,3.797810156250000000e+04
1.270000076293945312e+01,3.545802343750000000e+04
1.275000000000000000e+01,3.397426953125000000e+04
1.280000019073486328e+01,3.357264062500000000e+04
1.285000038146972656e+01,3.401207812500000000e+04
1.290000057220458984e+01,3.484192968750000000e+04
1.295000076293945312e+01,3.554076562500000000e+04
1.300000000000000000e+01,3.567269531250000000e+04
1.305000019073486328e+01,3.501199218750000000e+04
1.310000038146972656e+01,3.359886328125000000e+04
1.314999961853027344e+01,3.171168750000000000e+04
1.319999980926513672e+01,2.976810937500000000e+04
1.325000000000000000e+01,2.819034179687500000e+04
1.330000019073486328e+01,2.727726757812500000e+04
1.335000038146972656e+01,2.712079492187500000e+04
1.339999961853027344e+01,2.758883593750000000e+04
1.344999980926513672e+01,2.837401953125000000e+04
1.350000000000000000e+01,2.908963281250000000e+04
1.354999923706054688e+01,2.938272070312500000e+04
1.359999942779541016e+01,2.903200000000000000e+04
1.364999961853027344e+01,2.800660546875000000e+04
1.369999980926513672e+01,2.647311523437500000e+04
1.375000000000000000e+01,2.475248046875000000e+04
1.380000019073486328e+01,2.324051171875000000e+04
1.385000038146972656e+01,2.231173828125000000e+04
1.390000057220458984e+01,2.223052734375000000e+04
1.394999980926513672e+01,2.308821875000000000e+04
1.400000000000000000e+01,2.478077343750000000e+04
1.405000019073486328e+01,2.703087890625000000e+04
1.410000038146972656e+01,2.945026757812500000e+04
1.415000057220458984e+01,3.162793750000000000e+04
1.419999980926513672e+01,3.322450781250000000e+04
1.425000000000000000e+01,3.405018750000000000e+04
1.430000019073486328e+01,3.410580859375000000e+04
1.434999942779541016e+01,3.357649609375000000e+04
1.439999961853027344e+01,3.277736718750000000e+04
1.444999980926513672e+01,3.206491796875000000e+04
1.450000000000000000e+01,3.173832421875000000e+04
1.455000019073486328e+01,3.195748242187500000e+04
1.460000038146972656e+01,3.270245507812500000e+04
1.465000057220458984e+01,3.378481640625000000e+04
1.470000076293945312e+01,3.490638671875000000e+04
1.475000000000000000e+01,3.574591015625000000e+04
1.480000019073486328e+01,3.604563671875000000e+04
1.485000038146972656e+01,3.567089062500000000e+04
1.490000057220458984e+01,3.462631640625000000e+04
1.495000076293945312e+01,3.302920703125000000e+04
1.500000000000000000e+01,3.105429296875000000e+04
1.505000019073486328e+01,2.887345703125000000e+04
1.510000038146972656e+01,2.661395898437500000e+04
1.514999961853027344e+01,2.434840625000000000e+04
1.519999980926513672e+01,2.211485156250000000e+04
1.525000000000000000e+01,1.995508593750000000e+04
1.530000019073486328e+01,1.794997656250000000e+04
1.535000038146972656e+01,1.623330468750000000e+04
1.539999961853027344e+01,1.497642089843750000e+04
1.544999980926513672e+01,1.434524414062500000e+04
1.550000000000000000e+01,1.444589648437500000e+04
1.554999923706054688e+01,1.527714648437500000e+04
1.559999942779541016e+01,1.670845117187500000e+04
1.564999961853027344e+01,1.849351757812500000e+04
1.569999980926513672e+01,2.031836132812500000e+04
1.575000000000000000e+01,2.187122656250000000e+04
1.580000019073486328e+01,2.291612500000000000e+04
1.585000038146972656e+01,2.334876171875000000e+04
1.590000057220458984e+01,2.321867968750000000e+04
1.594999980926513672e+01,2.271111718750000000e+04
1.600000000000000000e+01,2.209297656250000000e+04
1.604999923706054688e+01,2.163768359375000000e+04
1.610000038146972656e+01,2.155065234375000000e+04
1.614999961853027344e+01,2.191639648437500000e+04
1.620000076293945312e+01,2.268220703125000000e+04
1.625000000000000000e+01,2.368137304687500000e+04
1.630000114440917969e+01,2.468727148437500000e+04
1.635000038146972656e+01,2.547907617187500000e+04
1.640000152587890625e+01,2.589824414062500000e+04
1.645000076293945312e+01,2.587882421875000000e+04
1.650000000000000000e+01,2.544596875000000000e+04
1.655000114440917969e+01,2.468855468750000000e+04
1.660000038146972656e+01,2.372104687500000000e+04
1.664999961853027344e+01,2.265122656250000000e+04
1.670000076293945312e+01,2.156571484375000000e+04
1.675000000000000000e+01,2.053491796875000000e+04
1.680000114440917969e+01,1.962854882812500000e+04
1.685000038146972656e+01,1.892960742187500000e+04
1.689999961853027344e+01,1.853347656250000000e+04
1.695000076293945312e+01,1.852867187500000000e+04
1.700000000000000000e+01,1.896449218750000000e+04
1.704999923706054688e+01,1.981885351562500000e+04
1.710000038146972656e+01,2.098144140625000000e+04
1.714999961853027344e+01,2.226206640625000000e+04
1.720000076293945312e+01,2.342566406250000000e+04
1.725000000000000000e+01,2.424306054687500000e+04
1.729999923706054688e+01,2.454353515625000000e+04
1.735000038146972656e+01,2.425137109375000000e+04
1.739999961853027344e+01,2.339714843750000000e+04
1.744999885559082031e+01,2.210206445312500000e+04
1.750000000000000000e+01,2.054266406250000000e+04
1.754999923706054688e+01,1.890850976562500000e+04
1.760000038146972656e+01,1.736496093750000000e+04
1.764999961853027344e+01,1.603031250000000000e+04
1.769999885559082031e+01,1.496831835937500000e+04
1.775000000000000000e+01,1.419428027343750000e+04
1.779999923706054688e+01,1.368778320312500000e+04
1.784999847412109375e+01,1.340704589843750000e+04
1.789999961853027344e+01,1.330113867187500000e+04
1.794999885559082031e+01,1.331983789062500000e+04
1.800000000000000000e+01,1.342165625000000000e+04
1.804999923706054688e+01,1.358100781250000000e+04
1.809999847412109375e+01,1.379316210937500000e+04
1.814999961853027344e+01,1.407551171875000000e+04
1.820000076293945312e+01,1.446128222656250000e+04
1.825000000000000000e+01,1.498658984375000000e+04
1.830000114440917969e+01,1.567219824218750000e+04
1.835000038146972656e+01,1.650603320312500000e+04
1.840000152587890625e+01,1.743399804687500000e+04
1.845000076293945312e+01,1.836367968750000000e+04
1.850000000000000000e+01,1.918320898437500000e+04
1.855000114440917969e+01,1.978977343750000000e+04
1.860000038146972656e+01,2.011895507812500000e+04
1.864999961853027344e+01,2.016437890625000000e+04
1.870000076293945312e+01,1.997891796875000000e+04
1.875000000000000000e+01,1.965694140625000000e+04
1.880000114440917969e+01,1.930214257812500000e+04
1.885000038146972656e+01,1.899333593750000000e+04
1.889999961853027344e+01,1.876005078125000000e+04
1.895000076293945312e+01,1.857730859375000000e+04
1.900000000000000000e+01,1.838075585937500000e+04
1.904999923706054688e+01,1.809612109375000000e+04
1.910000038146972656e+01,1.767108203125000000e+04
1.914999961853027344e+01,1.709757617187500000e+04
1.920000076293945312e+01,1.641648046875000000e+04
1.925000000000000000e+01,1.570452148437500000e+04
1.929999923706054688e+01,1.504926855468750000e+04
1.935000038146972656e+01,1.452280761718750000e+04
1.939999961853027344e+01,1.416383593750000000e+04
1.945000076293945312e+01,1.397341015625000000e+04
1.950000000000000000e+01,1.392354882812500000e+04
1.954999923706054688e+01,1.397316210937500000e+04
1.960000038146972656e+01,1.408364648437500000e+04
1.964999961853027344e+01,1.422753808593750000e+04
1.970000076293945312e+01,1.438885742187500000e+04
1.975000000000000000e+01,1.455637500000000000e+04
1.979999923706054688e+01,1.471530468750000000e+04
1.985000038146972656e+01,1.484212304687500000e+04
1.989999961853027344e+01,1.490577929687500000e+04
1.995000076293945312e+01,1.487521582031250000e+04
