# q,fq
1.000000000000000000e+00,-3.428221642971038818e-01
1.049999952316284180e+00,-4.349561333656311035e-01
1.100000023841857910e+00,-5.019809007644653320e-01
1.149999976158142090e+00,-5.405798554420471191e-01
1.200000047683715820e+00,-5.552277565002441406e-01
1.250000000000000000e+00,-5.555534958839416504e-01
1.299999952316284180e+00,-5.531654953956604004e-01
1.350000023841857910e+00,-5.585407018661499023e-01
1.399999976158142090e+00,-5.784759521484375000e-01
1.449999928474426270e+00,-6.145115494728088379e-01
1.500000000000000000e+00,-6.626541018486022949e-01
1.549999952316284180e+00,-7.144864797592163086e-01
1.600000023841857910e+00,-7.594401240348815918e-01
1.649999976158142090e+00,-7.876508831977844238e-01
1.699999928474426270e+00,-7.925934791564941406e-01
1.750000000000000000e+00,-7.727376818656921387e-01
1.799999952316284180e+00,-7.317607402801513672e-01
1.849999904632568359e+00,-6.773436665534973145e-01
1.899999976158142090e+00,-6.190588474273681641e-01
1.949999928474426270e+00,-5.661443471908569336e-01
2.000000000000000000e+00,-5.258749723434448242e-01
2.049999952316284180e+00,-5.028852224349975586e-01
2.099999904632568359e+00,-4.991761147975921631e-01
2.149999856948852539e+00,-5.141814947128295898e-01
2.200000047683715820e+00,-5.441673398017883301e-01
2.250000000000000000e+00,-5.807411670684814453e-01
2.299999952316284180e+00,-6.089290976524353027e-01
2.350000143051147461e+00,-6.060985326766967773e-01
2.400000095367431641e+00,-5.431919097900390625e-01
2.450000047683715820e+00,-3.893350362777709961e-01
2.500000000000000000e+00,-1.196316182613372803e-01
2.549999952316284180e+00,2.754747867584228516e-01
2.599999904632568359e+00,7.820788621902465820e-01
2.649999856948852539e+00,1.359083056449890137e+00
2.699999809265136719e+00,1.941072463989257812e+00
2.750000000000000000e+00,2.448272228240966797e+00
2.799999952316284180e+00,2.801784276962280273e+00
2.849999904632568359e+00,2.940510988235473633e+00
2.899999856948852539e+00,2.835284709930419922e+00
2.949999809265136719e+00,2.496372938156127930e+00
3.000000000000000000e+00,1.972069501876831055e+00
3.049999952316284180e+00,1.338582992553710938e+00
3.099999904632568359e+00,6.835973262786865234e-01
3.150000095367431641e+00,8.771079033613204956e-02
3.200000047683715820e+00,-3.916172385215759277e-01
3.250000000000000000e+00,-7.295776605606079102e-01
3.299999952316284180e+00,-9.346959590911865234e-01
3.349999904632568359e+00,-1.040774226188659668e+00
3.400000095367431641e+00,-1.092666983604431152e+00
3.450000047683715820e+00,-1.130277633666992188e+00
3.500000000000000000e+00,-1.175763845443725586e+00
3.550000190734863281e+00,-1.227985024452209473e+00
3.600000143051147461e+00,-1.265860438346862793e+00
3.650000095367431641e+00,-1.259299755096435547e+00
3.700000047683715820e+00,-1.183544516563415527e+00
3.750000000000000000e+00,-1.031525850296020508e+00
3.799999952316284180e+00,-8.194916248321533203e-01
3.849999904632568359e+00,-5.837092399597167969e-01
3.899999856948852539e+00,-3.695648610591888428e-01
3.950000047683715820e+00,-2.173714190721511841e-01
4.000000000000000000e+00,-1.503868252038955688e-01
4.050000190734863281e+00,-1.695455014705657959e-01
4.099999904632568359e+00,-2.563794851303100586e-01
4.150000095367431641e+00,-3.821713626384735107e-01
4.199999809265136719e+00,-5.187410712242126465e-01
4.250000000000000000e+00,-6.460663676261901855e-01
4.299999713897705078e+00,-7.535446286201477051e-01
4.349999904632568359e+00,-8.352002501487731934e-01
4.399999618530273438e+00,-8.819640874862670898e-01
4.449999809265136719e+00,-8.757501840591430664e-01
4.500000000000000000e+00,-7.892158031463623047e-01
4.549999713897705078e+00,-5.924696922302246094e-01
4.599999904632568359e+00,-2.646501064300537109e-01
4.650000095367431641e+00,1.939458996057510376e-01
4.699999809265136719e+00,7.541531324386596680e-01
4.750000000000000000e+00,1.358034491539001465e+00
4.799999713897705078e+00,1.927334427833557129e+00
4.849999904632568359e+00,2.378160715103149414e+00
4.900000095367431641e+00,2.637709379196166992e+00
4.949999809265136719e+00,2.658898115158081055e+00
5.000000000000000000e+00,2.429649591445922852e+00
5.050000190734863281e+00,1.975382089614868164e+00
5.099999904632568359e+00,1.354985833168029785e+00
5.150000095367431641e+00,6.513720154762268066e-01
5.199999809265136719e+00,-4.154153168201446533e-02
5.250000000000000000e+00,-6.338395476341247559e-01
5.300000190734863281e+00,-1.054300427436828613e+00
5.349999904632568359e+00,-1.262771010398864746e+00
5.400000095367431641e+00,-1.257537722587585449e+00
5.450000286102294922e+00,-1.075639963150024414e+00
5.500000000000000000e+00,-7.852262854576110840e-01
5.550000190734863281e+00,-4.707641303539276123e-01
5.599999904632568359e+00,-2.141751646995544434e-01
5.650000095367431641e+00,-7.628177851438522339e-02
5.700000286102294922e+00,-8.344275504350662231e-02
5.750000000000000000e+00,-2.227847576141357422e-01
5.800000190734863281e+00,-4.473277628421783447e-01
5.850000381469726562e+00,-6.891977787017822266e-01
5.900000095367431641e+00,-8.771862387657165527e-01
5.950000286102294922e+00,-9.536976218223571777e-01
6.000000000000000000e+00,-8.868279457092285156e-01
6.050000190734863281e+00,-6.752590537071228027e-01
6.100000381469726562e+00,-3.458254337310791016e-01
6.150000095367431641e+00,5.423800647258758545e-02
6.199999809265136719e+00,4.675201475620269775e-01
6.250000000000000000e+00,8.362907767295837402e-01
6.299999713897705078e+00,1.110404133796691895e+00
6.349999904632568359e+00,1.252799868583679199e+00
6.399999618530273438e+00,1.243050098419189453e+00
6.449999809265136719e+00,1.079515814781188965e+00
6.500000000000000000e+00,7.801431417465209961e-01
6.549999713897705078e+00,3.811351954936981201e-01
6.599999904632568359e+00,-6.754088401794433594e-02
6.650000095367431641e+00,-5.101060271263122559e-01
6.699999809265136719e+00,-8.955542445182800293e-01
6.750000000000000000e+00,-1.188187003135681152e+00
6.799999713897705078e+00,-1.374617576599121094e+00
6.849999904632568359e+00,-1.464241623878479004e+00
6.900000095367431641e+00,-1.482068657875061035e+00
6.949999809265136719e+00,-1.455743432044982910e+00
7.000000000000000000e+00,-1.401289939880371094e+00
7.050000190734863281e+00,-1.313269734382629395e+00
7.099999904632568359e+00,-1.163871645927429199e+00
7.150000095367431641e+00,-9.124631881713867188e-01
7.199999809265136719e+00,-5.229272842407226562e-01
7.250000000000000000e+00,1.723532006144523621e-02
7.300000190734863281e+00,6.831566691398620605e-01
7.349999904632568359e+00,1.409914731979370117e+00
7.400000095367431641e+00,2.102615833282470703e+00
7.450000286102294922e+00,2.656518459320068359e+00
7.500000000000000000e+00,2.981031894683837891e+00
7.550000190734863281e+00,3.020269870758056641e+00
7.599999904632568359e+00,2.764276027679443359e+00
7.650000095367431641e+00,2.248796463012695312e+00
7.700000286102294922e+00,1.544986367225646973e+00
7.750000000000000000e+00,7.433545589447021484e-01
7.800000190734863281e+00,-6.314930319786071777e-02
7.850000381469726562e+00,-7.926272153854370117e-01
7.900000095367431641e+00,-1.382700085639953613e+00
7.950000286102294922e+00,-1.793911099433898926e+00
8.000000000000000000e+00,-2.009436130523681641e+00
8.050000190734863281e+00,-2.032799482345581055e+00
8.100000381469726562e+00,-1.884472131729125977e+00
