559
{'composition': {'Au': 559}, 'crystal structure': 'bcc', 'shape': 'cube', 'size': 20}
# q,fq
1.000000000000000000e+00,-4.399703741073608398e-01
1.049999952316284180e+00,-4.219954013824462891e-01
1.100000023841857910e+00,-4.441885650157928467e-01
1.149999976158142090e+00,-5.073673725128173828e-01
1.200000047683715820e+00,-5.748449563980102539e-01
1.250000000000000000e+00,-6.120078563690185547e-01
1.299999952316284180e+00,-6.166546344757080078e-01
1.350000023841857910e+00,-6.154992580413818359e-01
1.399999976158142090e+00,-6.359854936599731445e-01
1.449999928474426270e+00,-6.815209388732910156e-01
1.500000000000000000e+00,-7.311673164367675781e-01
1.549999952316284180e+00,-7.615085840225219727e-01
1.600000023841857910e+00,-7.693789005279541016e-01
1.649999976158142090e+00,-7.739650607109069824e-01
1.699999928474426270e+00,-7.967874407768249512e-01
1.750000000000000000e+00,-8.389425873756408691e-01
1.799999952316284180e+00,-8.768384456634521484e-01
1.849999904632568359e+00,-8.800443410873413086e-01
1.899999976158142090e+00,-8.361474275588989258e-01
1.949999928474426270e+00,-7.635412216186523438e-01
2.000000000000000000e+00,-7.021671533584594727e-01
2.049999952316284180e+00,-6.868773698806762695e-01
2.099999904632568359e+00,-7.214919924736022949e-01
2.149999856948852539e+00,-7.762519717216491699e-01
2.200000047683715820e+00,-8.149310350418090820e-01
2.250000000000000000e+00,-8.263117671012878418e-01
2.299999952316284180e+00,-8.239488005638122559e-01
2.350000143051147461e+00,-8.147726655006408691e-01
2.400000095367431641e+00,-7.831396460533142090e-01
2.450000047683715820e+00,-7.204903364181518555e-01
2.500000000000000000e+00,-6.508675217628479004e-01
2.549999952316284180e+00,-5.716792941093444824e-01
2.599999904632568359e+00,-3.323973715305328369e-01
2.649999856948852539e+00,3.830592036247253418e-01
2.699999809265136719e+00,1.831848144531250000e+00
2.750000000000000000e+00,3.860011816024780273e+00
2.799999952316284180e+00,5.769313335418701172e+00
2.849999904632568359e+00,6.649635314941406250e+00
2.899999856948852539e+00,5.999503612518310547e+00
2.949999809265136719e+00,4.120097637176513672e+00
3.000000000000000000e+00,1.912219047546386719e+00
3.049999952316284180e+00,2.396333217620849609e-01
3.099999904632568359e+00,-5.907821655273437500e-01
3.150000095367431641e+00,-8.353312015533447266e-01
3.200000047683715820e+00,-9.183473587036132812e-01
3.250000000000000000e+00,-1.064926147460937500e+00
3.299999952316284180e+00,-1.246214389801025391e+00
3.349999904632568359e+00,-1.358750462532043457e+00
3.400000095367431641e+00,-1.382202506065368652e+00
3.450000047683715820e+00,-1.377640485763549805e+00
3.500000000000000000e+00,-1.395421266555786133e+00
3.550000190734863281e+00,-1.431434273719787598e+00
3.600000143051147461e+00,-1.471304297447204590e+00
3.650000095367431641e+00,-1.535293936729431152e+00
3.700000047683715820e+00,-1.636056184768676758e+00
3.750000000000000000e+00,-1.692633628845214844e+00
3.799999952316284180e+00,-1.535526990890502930e+00
3.849999904632568359e+00,-1.045652508735656738e+00
3.899999856948852539e+00,-2.945700287818908691e-01
3.950000047683715820e+00,4.688508510589599609e-01
4.000000000000000000e+00,9.693704247474670410e-01
4.050000190734863281e+00,1.044218182563781738e+00
4.099999904632568359e+00,6.830829381942749023e-01
4.150000095367431641e+00,8.169308304786682129e-03
4.199999809265136719e+00,-7.629028558731079102e-01
4.250000000000000000e+00,-1.393556952476501465e+00
4.299999713897705078e+00,-1.738557338714599609e+00
4.349999904632568359e+00,-1.801249146461486816e+00
4.399999618530273438e+00,-1.680802702903747559e+00
4.449999809265136719e+00,-1.481580018997192383e+00
4.500000000000000000e+00,-1.287480115890502930e+00
4.549999713897705078e+00,-1.179020524024963379e+00
4.599999904632568359e+00,-1.184354901313781738e+00
4.650000095367431641e+00,-1.158014059066772461e+00
4.699999809265136719e+00,-7.459793090820312500e-01
4.750000000000000000e+00,4.183796346187591553e-01
4.799999713897705078e+00,2.367393732070922852e+00
4.849999904632568359e+00,4.590678215026855469e+00
4.900000095367431641e+00,6.209712505340576172e+00
4.949999809265136719e+00,6.480657577514648438e+00
5.000000000000000000e+00,5.269254684448242188e+00
5.050000190734863281e+00,3.129623413085937500e+00
5.099999904632568359e+00,9.323313236236572266e-01
5.150000095367431641e+00,-6.536945104598999023e-01
5.199999809265136719e+00,-1.446145296096801758e+00
5.250000000000000000e+00,-1.672363519668579102e+00
5.300000190734863281e+00,-1.691941857337951660e+00
5.349999904632568359e+00,-1.752714872360229492e+00
5.400000095367431641e+00,-1.886003732681274414e+00
5.450000286102294922e+00,-1.927786469459533691e+00
5.500000000000000000e+00,-1.636841654777526855e+00
5.550000190734863281e+00,-8.819529414176940918e-01
5.599999904632568359e+00,1.913550794124603271e-01
5.650000095367431641e+00,1.157546281814575195e+00
5.700000286102294922e+00,1.535681962966918945e+00
5.750000000000000000e+00,1.114460825920104980e+00
5.800000190734863281e+00,1.207630187273025513e-01
5.850000381469726562e+00,-9.332032203674316406e-01
5.900000095367431641e+00,-1.622420191764831543e+00
5.950000286102294922e+00,-1.888082981109619141e+00
6.000000000000000000e+00,-1.974117636680603027e+00
6.050000190734863281e+00,-2.084827899932861328e+00
6.100000381469726562e+00,-2.100916862487792969e+00
6.150000095367431641e+00,-1.643396019935607910e+00
6.199999809265136719e+00,-4.375390708446502686e-01
6.250000000000000000e+00,1.359772920608520508e+00
6.299999713897705078e+00,3.160972595214843750e+00
6.349999904632568359e+00,4.263688564300537109e+00
6.399999618530273438e+00,4.228416919708251953e+00
6.449999809265136719e+00,3.082762479782104492e+00
6.500000000000000000e+00,1.282850384712219238e+00
6.549999713897705078e+00,-5.152394771575927734e-01
6.599999904632568359e+00,-1.772660732269287109e+00
6.650000095367431641e+00,-2.318320989608764648e+00
6.699999809265136719e+00,-2.358443260192871094e+00
6.750000000000000000e+00,-2.216209411621093750e+00
6.799999713897705078e+00,-2.033719301223754883e+00
6.849999904632568359e+00,-1.740766167640686035e+00
6.900000095367431641e+00,-1.304069280624389648e+00
6.949999809265136719e+00,-9.184637665748596191e-01
7.000000000000000000e+00,-8.612172007560729980e-01
7.050000190734863281e+00,-1.177585601806640625e+00
7.099999904632568359e+00,-1.614538311958312988e+00
7.150000095367431641e+00,-1.898936629295349121e+00
7.199999809265136719e+00,-1.978530526161193848e+00
7.250000000000000000e+00,-1.883104801177978516e+00
7.300000190734863281e+00,-1.400629997253417969e+00
7.349999904632568359e+00,-7.676352560520172119e-02
7.400000095367431641e+00,2.312381744384765625e+00
7.450000286102294922e+00,5.268678188323974609e+00
7.500000000000000000e+00,7.632555484771728516e+00
7.550000190734863281e+00,8.260176658630371094e+00
7.599999904632568359e+00,6.795689582824707031e+00
7.650000095367431641e+00,3.918912887573242188e+00
7.700000286102294922e+00,8.818999528884887695e-01
7.750000000000000000e+00,-1.283588647842407227e+00
7.800000190734863281e+00,-2.278303384780883789e+00
7.850000381469726562e+00,-2.445476055145263672e+00
7.900000095367431641e+00,-2.291128873825073242e+00
7.950000286102294922e+00,-2.101063489913940430e+00
8.000000000000000000e+00,-1.926113128662109375e+00
8.050000190734863281e+00,-1.785591006278991699e+00
8.100000381469726562e+00,-1.778524041175842285e+00
8.150000572204589844e+00,-1.995172381401062012e+00
8.199999809265136719e+00,-2.373977422714233398e+00
8.250000000000000000e+00,-2.667232036590576172e+00
8.300000190734863281e+00,-2.535557270050048828e+00
8.349999427795410156e+00,-1.704420328140258789e+00
8.399999618530273438e+00,-1.344796866178512573e-01
8.449999809265136719e+00,1.848106145858764648e+00
8.500000000000000000e+00,3.577184200286865234e+00
8.550000190734863281e+00,4.318806171417236328e+00
8.600000381469726562e+00,3.689337491989135742e+00
8.650000572204589844e+00,1.930797219276428223e+00
8.700000762939453125e+00,-1.867417544126510620e-01
8.750000000000000000e+00,-1.777334213256835938e+00
8.800000190734863281e+00,-2.278620719909667969e+00
8.850000381469726562e+00,-1.666702747344970703e+00
8.900000572204589844e+00,-3.970556557178497314e-01
