559
{'composition': {'Au': 559}, 'crystal structure': 'bcc', 'shape': 'cube', 'size': 20}
# q,sq
1.000000000000000000e+00,-4.399703741073608398e-01
1.049999952316284180e+00,-4.019004106521606445e-01
1.100000023841857910e+00,-4.038077890872955322e-01
1.149999976158142090e+00,-4.411890506744384766e-01
1.200000047683715820e+00,-4.790374338626861572e-01
1.250000000000000000e+00,-4.896062910556793213e-01
1.299999952316284180e+00,-4.743497371673583984e-01
1.350000023841857910e+00,-4.559253752231597900e-01
1.399999976158142090e+00,-4.542753696441650391e-01
1.449999928474426270e+00,-4.700144827365875244e-01
1.500000000000000000e+00,-4.874448776245117188e-01
1.549999952316284180e+00,-4.912958741188049316e-01
1.600000023841857910e+00,-4.808618128299713135e-01
1.649999976158142090e+00,-4.690697491168975830e-01
1.699999928474426270e+00,-4.686985313892364502e-01
1.750000000000000000e+00,-4.793957769870758057e-01
1.799999952316284180e+00,-4.871324896812438965e-01
1.849999904632568359e+00,-4.756996631622314453e-01
1.899999976158142090e+00,-4.400776028633117676e-01
1.949999928474426270e+00,-3.915596008300781250e-01
2.000000000000000000e+00,-3.510835766792297363e-01
2.049999952316284180e+00,-3.350621461868286133e-01
2.099999904632568359e+00,-3.435676395893096924e-01
2.149999856948852539e+00,-3.610474467277526855e-01
2.200000047683715820e+00,-3.704231977462768555e-01
2.250000000000000000e+00,-3.672496676445007324e-01
2.299999952316284180e+00,-3.582386076450347900e-01
2.350000143051147461e+00,-3.467117547988891602e-01
2.400000095367431641e+00,-3.263081610202789307e-01
2.450000047683715820e+00,-2.940776944160461426e-01
2.500000000000000000e+00,-2.603470087051391602e-01
2.549999952316284180e+00,-2.241879552602767944e-01
2.599999904632568359e+00,-1.278451532125473022e-01
2.649999856948852539e+00,1.445506513118743896e-01
2.699999809265136719e+00,6.784623265266418457e-01
2.750000000000000000e+00,1.403640627861022949e+00
2.799999952316284180e+00,2.060469150543212891e+00
2.849999904632568359e+00,2.333205461502075195e+00
2.899999856948852539e+00,2.068794488906860352e+00
2.949999809265136719e+00,1.396643400192260742e+00
3.000000000000000000e+00,6.374063491821289062e-01
3.049999952316284180e+00,7.856830209493637085e-02
3.099999904632568359e+00,-1.905748993158340454e-01
3.150000095367431641e+00,-2.651844918727874756e-01
3.200000047683715820e+00,-2.869835495948791504e-01
3.250000000000000000e+00,-3.276695907115936279e-01
3.299999952316284180e+00,-3.776407241821289062e-01
3.349999904632568359e+00,-4.055971801280975342e-01
3.400000095367431641e+00,-4.065301418304443359e-01
3.450000047683715820e+00,-3.993160724639892578e-01
3.500000000000000000e+00,-3.986917734146118164e-01
3.550000190734863281e+00,-4.032208919525146484e-01
3.600000143051147461e+00,-4.086956381797790527e-01
3.650000095367431641e+00,-4.206284582614898682e-01
3.700000047683715820e+00,-4.421773552894592285e-01
3.750000000000000000e+00,-4.513689577579498291e-01
3.799999952316284180e+00,-4.040860533714294434e-01
3.849999904632568359e+00,-2.715980708599090576e-01
3.899999856948852539e+00,-7.553078234195709229e-02
3.950000047683715820e+00,1.186964139342308044e-01
4.000000000000000000e+00,2.423426061868667603e-01
4.050000190734863281e+00,2.578316330909729004e-01
4.099999904632568359e+00,1.666055917739868164e-01
4.150000095367431641e+00,1.968507887795567513e-03
4.199999809265136719e+00,-1.816435456275939941e-01
4.250000000000000000e+00,-3.278957605361938477e-01
4.299999713897705078e+00,-4.043156802654266357e-01
4.349999904632568359e+00,-4.140802621841430664e-01
4.399999618530273438e+00,-3.820006549358367920e-01
4.449999809265136719e+00,-3.329393565654754639e-01
4.500000000000000000e+00,-2.861067056655883789e-01
4.549999713897705078e+00,-2.591254115104675293e-01
4.599999904632568359e+00,-2.574684619903564453e-01
4.650000095367431641e+00,-2.490352839231491089e-01
4.699999809265136719e+00,-1.587190032005310059e-01
4.750000000000000000e+00,8.807992190122604370e-02
4.799999713897705078e+00,4.932070374488830566e-01
4.849999904632568359e+00,9.465315937995910645e-01
4.900000095367431641e+00,1.267288208007812500e+00
4.949999809265136719e+00,1.309223771095275879e+00
5.000000000000000000e+00,1.053850889205932617e+00
5.050000190734863281e+00,6.197273731231689453e-01
5.099999904632568359e+00,1.828100681304931641e-01
5.150000095367431641e+00,-1.269309669733047485e-01
5.199999809265136719e+00,-2.781048715114593506e-01
5.250000000000000000e+00,-3.185454308986663818e-01
5.300000190734863281e+00,-3.192343115806579590e-01
5.349999904632568359e+00,-3.276102542877197266e-01
5.400000095367431641e+00,-3.492599427700042725e-01
5.450000286102294922e+00,-3.537222743034362793e-01
5.500000000000000000e+00,-2.976075708866119385e-01
5.550000190734863281e+00,-1.589104384183883667e-01
5.599999904632568359e+00,3.417054936289787292e-02
5.650000095367431641e+00,2.048754543066024780e-01
5.700000286102294922e+00,2.694178819656372070e-01
5.750000000000000000e+00,1.938192695379257202e-01
5.800000190734863281e+00,2.082120999693870544e-02
5.850000381469726562e+00,-1.595219075679779053e-01
