# r,gr
0.000000000000000000e+00,0.000000000000000000e+00
9.999999776482582092e-03,2.372969686985015869e-02
1.999999955296516418e-02,4.644012078642845154e-02
2.999999932944774628e-02,6.715127825736999512e-02
3.999999910593032837e-02,8.495951443910598755e-02
5.000000074505805969e-02,9.907272458076477051e-02
5.999999865889549255e-02,1.088393628597259521e-01
7.000000029802322388e-02,1.137759983539581299e-01
7.999999821186065674e-02,1.135823577642440796e-01
8.999999612569808960e-02,1.081565320491790771e-01
1.000000014901161194e-01,9.759575128555297852e-02
1.099999994039535522e-01,8.219579607248306274e-02
1.199999973177909851e-01,6.243707239627838135e-02
1.299999952316284180e-01,3.896850347518920898e-02
1.400000005960464478e-01,1.258013583719730377e-02
1.499999910593032837e-01,-1.582257449626922607e-02
1.599999964237213135e-01,-4.525875672698020935e-02
1.700000017881393433e-01,-7.470554113388061523e-02
1.799999922513961792e-01,-1.031385660171508789e-01
1.899999976158142090e-01,-1.295722126960754395e-01
2.000000029802322388e-01,-1.530949026346206665e-01
2.099999934434890747e-01,-1.729067564010620117e-01
2.199999988079071045e-01,-1.883492767810821533e-01
2.299999892711639404e-01,-1.989300847053527832e-01
2.399999946355819702e-01,-2.043425440788269043e-01
2.500000000000000000e-01,-2.044786661863327026e-01
2.599999904632568359e-01,-1.994323730468750000e-01
2.699999809265136719e-01,-1.894963830709457397e-01
2.800000011920928955e-01,-1.751518994569778442e-01
2.899999916553497314e-01,-1.570485383272171021e-01
2.999999821186065674e-01,-1.359845101833343506e-01
3.100000023841857910e-01,-1.128703877329826355e-01
3.199999928474426270e-01,-8.869877457618713379e-02
3.299999833106994629e-01,-6.450402736663818359e-02
3.400000035762786865e-01,-4.132382571697235107e-02
3.499999940395355225e-01,-2.016018889844417572e-02
3.599999845027923584e-01,-1.938820234499871731e-03
3.700000047683715820e-01,1.252511516213417053e-02
3.799999952316284180e-01,2.255820669233798981e-02
3.899999856948852539e-01,2.765434421598911285e-02
4.000000059604644775e-01,2.749687060713768005e-02
4.099999964237213135e-01,2.196999453008174896e-02
4.200000166893005371e-01,1.116275787353515625e-02
4.300000071525573730e-01,-4.633438773453235626e-03
4.399999976158142090e-01,-2.493466623127460480e-02
4.500000178813934326e-01,-4.908109083771705627e-02
4.600000083446502686e-01,-7.626577466726303101e-02
4.699999988079071045e-01,-1.055632084608078003e-01
4.799999892711639404e-01,-1.359616219997406006e-01
4.899999797344207764e-01,-1.664040982723236084e-01
5.000000000000000000e-01,-1.958306729793548584e-01
5.099999904632568359e-01,-2.232145071029663086e-01
5.199999809265136719e-01,-2.476050108671188354e-01
5.299999713897705078e-01,-2.681625485420227051e-01
5.399999618530273438e-01,-2.841911017894744873e-01
5.500000119209289551e-01,-2.951665818691253662e-01
5.600000023841857910e-01,-3.007558286190032959e-01
5.699999928474426270e-01,-3.008306324481964111e-01
5.799999833106994629e-01,-2.954759001731872559e-01
5.899999737739562988e-01,-2.849830985069274902e-01
6.000000238418579102e-01,-2.698414623737335205e-01
6.100000143051147461e-01,-2.507235109806060791e-01
6.200000047683715820e-01,-2.284544110298156738e-01
6.299999952316284180e-01,-2.039826363325119019e-01
6.399999856948852539e-01,-1.783486902713775635e-01
6.499999761581420898e-01,-1.526434868574142456e-01
6.599999666213989258e-01,-1.279588490724563599e-01
6.699999570846557617e-01,-1.053604036569595337e-01
6.800000071525573730e-01,-8.583237230777740479e-02
6.899999976158142090e-01,-7.025295495986938477e-02
6.999999880790710449e-01,-5.934843048453330994e-02
7.099999785423278809e-01,-5.367019027471542358e-02
7.200000286102294922e-01,-5.357540398836135864e-02
7.300000190734863281e-01,-5.920485407114028931e-02
7.400000095367431641e-01,-7.048426568508148193e-02
7.500000000000000000e-01,-8.712112903594970703e-02
7.600000500679016113e-01,-1.086162850260734558e-01
7.700000405311584473e-01,-1.342815160751342773e-01
7.800000309944152832e-01,-1.632648110389709473e-01
7.900000214576721191e-01,-1.945837587118148804e-01
8.000000119209289551e-01,-2.271578162908554077e-01
8.100000023841857910e-01,-2.598541975021362305e-01
8.199999928474426270e-01,-2.915272712707519531e-01
8.299999833106994629e-01,-3.210656344890594482e-01
8.400000333786010742e-01,-3.474299907684326172e-01
8.500000238418579102e-01,-3.696967363357543945e-01
8.600000143051147461e-01,-3.870948553085327148e-01
8.700000047683715820e-01,-3.990328013896942139e-01
8.799999952316284180e-01,-4.051259458065032959e-01
8.899999856948852539e-01,-4.052067697048187256e-01
8.999999761581420898e-01,-3.993434906005859375e-01
9.099999666213989258e-01,-3.878275454044342041e-01
9.200000166893005371e-01,-3.711692988872528076e-01
9.300000071525573730e-01,-3.500826656818389893e-01
9.399999976158142090e-01,-3.254521787166595459e-01
9.499999880790710449e-01,-2.983084917068481445e-01
9.599999785423278809e-01,-2.697848975658416748e-01
9.699999690055847168e-01,-2.410761415958404541e-01
9.799999594688415527e-01,-2.133934646844863892e-01
9.899999499320983887e-01,-1.879195719957351685e-01
1.000000000000000000e+00,-1.657602936029434204e-01
1.009999990463256836e+00,-1.479058861732482910e-01
1.019999980926513672e+00,-1.351886838674545288e-01
1.029999971389770508e+00,-1.282528489828109741e-01
1.039999961853027344e+00,-1.275252848863601685e-01
1.049999952316284180e+00,-1.332003921270370483e-01
1.059999942779541016e+00,-1.452276110649108887e-01
1.069999933242797852e+00,-1.633174419403076172e-01
1.079999923706054688e+00,-1.869383305311203003e-01
1.089999914169311523e+00,-2.153490483760833740e-01
1.099999904632568359e+00,-2.476154416799545288e-01
1.110000014305114746e+00,-2.826470136642456055e-01
1.120000004768371582e+00,-3.192378282546997070e-01
1.129999995231628418e+00,-3.561090528964996338e-01
1.139999985694885254e+00,-3.919615149497985840e-01
1.149999976158142090e+00,-4.255163967609405518e-01
1.159999966621398926e+00,-4.555764198303222656e-01
1.169999957084655762e+00,-4.810633957386016846e-01
1.179999947547912598e+00,-5.010606050491333008e-01
1.190000057220458984e+00,-5.148540735244750977e-01
1.200000047683715820e+00,-5.219588279724121094e-01
1.210000038146972656e+00,-5.221402645111083984e-01
1.220000028610229492e+00,-5.154252648353576660e-01
1.230000019073486328e+00,-5.021083354949951172e-01
1.240000009536743164e+00,-4.827352166175842285e-01
1.250000000000000000e+00,-4.580957591533660889e-01
1.259999990463256836e+00,-4.291821420192718506e-01
1.270000100135803223e+00,-3.971686959266662598e-01
1.279999971389770508e+00,-3.633622825145721436e-01
1.289999961853027344e+00,-3.291487693786621094e-01
1.299999952316284180e+00,-2.959533631801605225e-01
1.309999942779541016e+00,-2.651771903038024902e-01
1.319999933242797852e+00,-2.381441742181777954e-01
1.329999923706054688e+00,-2.160571962594985962e-01
1.339999914169311523e+00,-1.999426633119583130e-01
1.350000023841857910e+00,-1.906118988990783691e-01
1.360000014305114746e+00,-1.886287629604339600e-01
1.370000004768371582e+00,-1.942829340696334839e-01
1.379999995231628418e+00,-2.075780928134918213e-01
1.389999985694885254e+00,-2.282208949327468872e-01
1.399999976158142090e+00,-2.556370496749877930e-01
1.409999966621398926e+00,-2.889842391014099121e-01
1.419999957084655762e+00,-3.271798491477966309e-01
1.430000066757202148e+00,-3.689398765563964844e-01
1.440000057220458984e+00,-4.128242731094360352e-01
1.450000047683715820e+00,-4.572954475879669189e-01
1.460000038146972656e+00,-5.007622838020324707e-01
1.470000028610229492e+00,-5.416492223739624023e-01
1.480000019073486328e+00,-5.784600377082824707e-01
