1729
{'composition': {'Au': 1729}, 'crystal structure': 'bcc', 'shape': 'cube', 'size': 30}
# q,sq
1.000000000000000000e+00,6.693460000000000000e+05
1.049999952316284180e+00,1.222905000000000000e+05
1.100000023841857910e+00,2.351750000000000000e+05
1.149999976158142090e+00,5.375605000000000000e+05
1.200000047683715820e+00,4.101540000000000000e+05
1.250000000000000000e+00,9.868250000000000000e+04
1.299999952316284180e+00,9.852600000000000000e+04
1.350000023841857910e+00,2.897635000000000000e+05
1.399999976158142090e+00,2.740375000000000000e+05
1.449999928474426270e+00,8.980800000000000000e+04
1.500000000000000000e+00,5.553150000000000000e+04
1.549999952316284180e+00,1.794695000000000000e+05
1.600000023841857910e+00,2.007380000000000000e+05
1.649999976158142090e+00,8.615750000000000000e+04
1.699999928474426270e+00,5.512800000000000000e+04
1.750000000000000000e+00,1.522015000000000000e+05
1.799999952316284180e+00,1.788215000000000000e+05
1.849999904632568359e+00,9.283500000000000000e+04
1.899999976158142090e+00,1.556280000000000000e+05
1.949999928474426270e+00,5.256555000000000000e+05
2.000000000000000000e+00,9.454717500000000000e+05
2.049999952316284180e+00,1.071919500000000000e+06
2.099999904632568359e+00,9.272640000000000000e+05
2.149999856948852539e+00,7.773542500000000000e+05
2.200000047683715820e+00,7.584807500000000000e+05
2.250000000000000000e+00,8.037540000000000000e+05
2.299999952316284180e+00,8.030322500000000000e+05
2.350000143051147461e+00,8.049917500000000000e+05
2.400000095367431641e+00,9.577037500000000000e+05
2.450000047683715820e+00,1.150767750000000000e+06
2.500000000000000000e+00,1.254218250000000000e+06
2.549999952316284180e+00,1.621964500000000000e+06
2.599999904632568359e+00,2.299986500000000000e+06
2.649999856948852539e+00,2.898369500000000000e+06
2.699999809265136719e+00,5.272164000000000000e+06
2.750000000000000000e+00,1.310658600000000000e+07
2.799999952316284180e+00,2.465283000000000000e+07
2.849999904632568359e+00,3.044643200000000000e+07
2.899999856948852539e+00,2.440496000000000000e+07
2.949999809265136719e+00,1.255382500000000000e+07
3.000000000000000000e+00,4.658894000000000000e+06
3.049999952316284180e+00,2.484630000000000000e+06
3.099999904632568359e+00,1.942635000000000000e+06
3.150000095367431641e+00,1.147802750000000000e+06
3.200000047683715820e+00,7.945245000000000000e+05
3.250000000000000000e+00,8.024295000000000000e+05
3.299999952316284180e+00,6.210540000000000000e+05
3.349999904632568359e+00,4.223545000000000000e+05
3.400000095367431641e+00,4.145485000000000000e+05
3.450000047683715820e+00,4.601495000000000000e+05
3.500000000000000000e+00,4.626185000000000000e+05
3.550000190734863281e+00,3.907692500000000000e+05
3.600000143051147461e+00,2.611310000000000000e+05
3.650000095367431641e+00,2.569362500000000000e+05
3.700000047683715820e+00,4.601192500000000000e+05
3.750000000000000000e+00,5.281237500000000000e+05
3.799999952316284180e+00,2.430472500000000000e+05
3.849999904632568359e+00,2.873240000000000000e+05
3.899999856948852539e+00,1.587133750000000000e+06
3.950000047683715820e+00,3.942461750000000000e+06
4.000000000000000000e+00,5.959002000000000000e+06
4.050000190734863281e+00,6.234114000000000000e+06
4.099999904632568359e+00,4.587663000000000000e+06
4.150000095367431641e+00,2.265083000000000000e+06
4.199999809265136719e+00,7.087381250000000000e+05
4.250000000000000000e+00,3.040660000000000000e+05
4.299999713897705078e+00,4.657177500000000000e+05
4.349999904632568359e+00,5.226787500000000000e+05
4.399999618530273438e+00,4.045165000000000000e+05
4.449999809265136719e+00,4.858325000000000000e+05
4.500000000000000000e+00,7.712776250000000000e+05
4.549999713897705078e+00,8.593908750000000000e+05
4.599999904632568359e+00,8.125535000000000000e+05
