# q,sq
1.000000000000000000e+00,-4.337968826293945312e-01
1.049999952316284180e+00,-4.878292083740234375e-01
1.100000023841857910e+00,-4.764430522918701172e-01
1.149999976158142090e+00,-4.457933306694030762e-01
1.200000047683715820e+00,-4.583548307418823242e-01
1.250000000000000000e+00,-4.899088740348815918e-01
1.299999952316284180e+00,-4.898511469364166260e-01
1.350000023841857910e+00,-4.699279665946960449e-01
1.399999976158142090e+00,-4.713410735130310059e-01
1.449999928474426270e+00,-4.905339777469635010e-01
1.500000000000000000e+00,-4.940996766090393066e-01
1.549999952316284180e+00,-4.807751476764678955e-01
1.600000023841857910e+00,-4.783174693584442139e-01
1.649999976158142090e+00,-4.906149804592132568e-01
1.699999928474426270e+00,-4.939431548118591309e-01
1.750000000000000000e+00,-4.831321537494659424e-01
1.799999952316284180e+00,-4.800066351890563965e-01
1.849999904632568359e+00,-4.895277023315429688e-01
1.899999976158142090e+00,-4.822853207588195801e-01
1.949999928474426270e+00,-4.396191835403442383e-01
2.000000000000000000e+00,-3.903932571411132812e-01
2.049999952316284180e+00,-3.745777904987335205e-01
2.099999904632568359e+00,-3.904858231544494629e-01
2.149999856948852539e+00,-4.073233902454376221e-01
2.200000047683715820e+00,-4.087137281894683838e-01
2.250000000000000000e+00,-4.023395478725433350e-01
2.299999952316284180e+00,-4.014892280101776123e-01
2.350000143051147461e+00,-4.002948999404907227e-01
2.400000095367431641e+00,-3.802293241024017334e-01
2.450000047683715820e+00,-3.546832501888275146e-01
2.500000000000000000e+00,-3.400723934173583984e-01
2.549999952316284180e+00,-2.911536097526550293e-01
2.599999904632568359e+00,-2.009405493736267090e-01
2.649999856948852539e+00,-1.194233298301696777e-01
2.699999809265136719e+00,1.991037726402282715e-01
2.750000000000000000e+00,1.255149364471435547e+00
2.799999952316284180e+00,2.834029197692871094e+00
2.849999904632568359e+00,3.658363342285156250e+00
2.899999856948852539e+00,2.866293430328369141e+00
2.949999809265136719e+00,1.248804450035095215e+00
3.000000000000000000e+00,1.554537862539291382e-01
3.049999952316284180e+00,-1.469654142856597900e-01
3.099999904632568359e+00,-2.212307453155517578e-01
3.150000095367431641e+00,-3.336509168148040771e-01
3.200000047683715820e+00,-3.837053179740905762e-01
3.250000000000000000e+00,-3.813796639442443848e-01
3.299999952316284180e+00,-4.072782397270202637e-01
3.349999904632568359e+00,-4.363164901733398438e-01
3.400000095367431641e+00,-4.368714690208435059e-01
3.450000047683715820e+00,-4.292305409908294678e-01
3.500000000000000000e+00,-4.281438589096069336e-01
3.550000190734863281e+00,-4.387009441852569580e-01
3.600000143051147461e+00,-4.586301445960998535e-01
3.650000095367431641e+00,-4.588906466960906982e-01
3.700000047683715820e+00,-4.256514012813568115e-01
3.750000000000000000e+00,-4.138172864913940430e-01
3.799999952316284180e+00,-4.599448144435882568e-01
3.849999904632568359e+00,-4.521792531013488770e-01
3.899999856948852539e+00,-2.332337349653244019e-01
3.950000047683715820e+00,1.691987067461013794e-01
4.000000000000000000e+00,5.214744806289672852e-01
4.050000190734863281e+00,5.791729092597961426e-01
4.099999904632568359e+00,3.019841313362121582e-01
4.150000095367431641e+00,-1.001370102167129517e-01
4.199999809265136719e+00,-3.736539781093597412e-01
4.250000000000000000e+00,-4.452625215053558350e-01
4.299999713897705078e+00,-4.153400361537933350e-01
4.349999904632568359e+00,-4.040550291538238525e-01
4.399999618530273438e+00,-4.250193536281585693e-01
4.449999809265136719e+00,-4.090678095817565918e-01
4.500000000000000000e+00,-3.542344272136688232e-01
4.549999713897705078e+00,-3.360012173652648926e-01
4.599999904632568359e+00,-3.434330821037292480e-01
4.650000095367431641e+00,-2.992622554302215576e-01
4.699999809265136719e+00,-2.355626821517944336e-01
4.750000000000000000e+00,-1.606083810329437256e-01
4.799999713897705078e+00,1.902234256267547607e-01
4.849999904632568359e+00,1.024331212043762207e+00
4.900000095367431641e+00,1.919814705848693848e+00
4.949999809265136719e+00,2.104913711547851562e+00
5.000000000000000000e+00,1.402345299720764160e+00
5.050000190734863281e+00,4.492115974426269531e-01
5.099999904632568359e+00,-1.139849051833152771e-01
5.150000095367431641e+00,-2.638856470584869385e-01
5.199999809265136719e+00,-3.028785884380340576e-01
5.250000000000000000e+00,-3.597975075244903564e-01
5.300000190734863281e+00,-3.919676244258880615e-01
5.349999904632568359e+00,-3.941754400730133057e-01
5.400000095367431641e+00,-3.918125331401824951e-01
5.450000286102294922e+00,-3.832329213619232178e-01
5.500000000000000000e+00,-3.681217432022094727e-01
5.550000190734863281e+00,-2.936756610870361328e-01
5.599999904632568359e+00,-3.351598605513572693e-02
5.650000095367431641e+00,3.719369173049926758e-01
5.700000286102294922e+00,5.891426205635070801e-01
5.750000000000000000e+00,3.831257820129394531e-01
5.800000190734863281e+00,-2.676680870354175568e-02
5.850000381469726562e+00,-2.865901291370391846e-01
5.900000095367431641e+00,-3.611693382263183594e-01
5.950000286102294922e+00,-3.947274088859558105e-01
6.000000000000000000e+00,-4.000616669654846191e-01
6.050000190734863281e+00,-3.531045019626617432e-01
6.100000381469726562e+00,-3.394922018051147461e-01
6.150000095367431641e+00,-3.891416192054748535e-01
6.199999809265136719e+00,-3.312105536460876465e-01
6.250000000000000000e+00,3.553854674100875854e-02
6.299999713897705078e+00,6.513433456420898438e-01
6.349999904632568359e+00,1.137437701225280762e+00
6.399999618530273438e+00,1.117688655853271484e+00
6.449999809265136719e+00,6.117804646492004395e-01
6.500000000000000000e+00,1.152876392006874084e-02
6.549999713897705078e+00,-3.300909101963043213e-01
6.599999904632568359e+00,-3.860084116458892822e-01
6.650000095367431641e+00,-3.507037758827209473e-01
6.699999809265136719e+00,-3.624370396137237549e-01
6.750000000000000000e+00,-3.965807855129241943e-01
6.799999713897705078e+00,-3.879842162132263184e-01
6.849999904632568359e+00,-3.177126348018646240e-01
6.900000095367431641e+00,-1.828188300132751465e-01
6.949999809265136719e+00,-4.263264313340187073e-02
7.000000000000000000e+00,-2.648759074509143829e-02
7.050000190734863281e+00,-1.495418548583984375e-01
7.099999904632568359e+00,-2.831953465938568115e-01
7.150000095367431641e+00,-3.541797399520874023e-01
7.199999809265136719e+00,-3.636605441570281982e-01
7.250000000000000000e+00,-3.114187717437744141e-01
7.300000190734863281e+00,-2.573894560337066650e-01
7.349999904632568359e+00,-2.182492911815643311e-01
7.400000095367431641e+00,4.005397111177444458e-02
7.450000286102294922e+00,7.340934276580810547e-01
7.500000000000000000e+00,1.544501662254333496e+00
7.550000190734863281e+00,1.783890247344970703e+00
7.599999904632568359e+00,1.221824884414672852e+00
7.650000095367431641e+00,3.818858265876770020e-01
7.700000286102294922e+00,-1.376459598541259766e-01
7.750000000000000000e+00,-2.811447381973266602e-01
7.800000190734863281e+00,-3.199096918106079102e-01
7.850000381469726562e+00,-3.790506422519683838e-01
7.900000095367431641e+00,-3.942148387432098389e-01
7.950000286102294922e+00,-3.245120048522949219e-01
8.000000000000000000e+00,-2.223459035158157349e-01
8.050000190734863281e+00,-1.621228605508804321e-01
8.100000381469726562e+00,-1.866735070943832397e-01
8.150000572204589844e+00,-2.811782956123352051e-01
8.199999809265136719e+00,-3.672500252723693848e-01
