63
{'composition': {'Au': 63}, 'crystal structure': 'fcc', 'shape': 'cube', 'size': 10}
# r,gr
0.000000000000000000e+00,0.000000000000000000e+00
9.999999776482582092e-03,1.619291678071022034e-02
1.999999955296516418e-02,3.168150782585144043e-02
2.999999932944774628e-02,4.578738659620285034e-02
3.999999910593032837e-02,5.788298696279525757e-02
5.000000074505805969e-02,6.741444021463394165e-02
5.999999865889549255e-02,7.392270117998123169e-02
7.000000029802322388e-02,7.705974578857421875e-02
7.999999821186065674e-02,7.660170644521713257e-02
8.999999612569808960e-02,7.245802134275436401e-02
1.000000014901161194e-01,6.467378884553909302e-02
1.099999994039535522e-01,5.342930555343627930e-02
1.199999973177909851e-01,3.903396055102348328e-02
1.299999952316284180e-01,2.191321924328804016e-02
1.400000005960464478e-01,2.595832338556647301e-03
1.499999910593032837e-01,-1.830610074102878571e-02
1.599999964237213135e-01,-4.012145847082138062e-02
1.700000017881393433e-01,-6.214130669832229614e-02
1.799999922513961792e-01,-8.364782482385635376e-02
1.899999976158142090e-01,-1.039387136697769165e-01
2.000000029802322388e-01,-1.223546937108039856e-01
2.099999934434890747e-01,-1.383029520511627197e-01
2.199999988079071045e-01,-1.512797921895980835e-01
2.299999892711639404e-01,-1.608898788690567017e-01
2.399999946355819702e-01,-1.668609380722045898e-01
2.500000000000000000e-01,-1.690548360347747803e-01
2.599999904632568359e-01,-1.674732714891433716e-01
2.699999809265136719e-01,-1.622582376003265381e-01
2.800000011920928955e-01,-1.536881476640701294e-01
2.899999916553497314e-01,-1.421681642532348633e-01
2.999999821186065674e-01,-1.282154172658920288e-01
3.100000023841857910e-01,-1.124410331249237061e-01
3.199999928474426270e-01,-9.552863240242004395e-02
3.299999833106994629e-01,-7.820776849985122681e-02
3.400000035762786865e-01,-6.122938171029090881e-02
3.499999940395355225e-01,-4.533615708351135254e-02
3.599999845027923584e-01,-3.123512677848339081e-02
3.700000047683715820e-01,-1.957209594547748566e-02
3.799999952316284180e-01,-1.090682484209537506e-02
3.899999856948852539e-01,-5.689964629709720612e-03
4.000000059604644775e-01,-4.247694276273250580e-03
4.099999964237213135e-01,-6.766668055206537247e-03
4.200000166893005371e-01,-1.328687090426683426e-02
4.300000071525573730e-01,-2.369758673012256622e-02
4.399999976158142090e-01,-3.774210438132286072e-02
4.500000178813934326e-01,-5.502403900027275085e-02
4.600000083446502686e-01,-7.502262294292449951e-02
4.699999988079071045e-01,-9.710898995399475098e-02
4.799999892711639404e-01,-1.205709427595138550e-01
4.899999797344207764e-01,-1.446363776922225952e-01
5.000000000000000000e-01,-1.685042679309844971e-01
5.099999904632568359e-01,-1.913720071315765381e-01
5.199999809265136719e-01,-2.124671041965484619e-01
5.299999713897705078e-01,-2.310761064291000366e-01
5.399999618530273438e-01,-2.465720772743225098e-01
5.500000119209289551e-01,-2.584387063980102539e-01
5.600000023841857910e-01,-2.662921547889709473e-01
5.699999928474426270e-01,-2.698948085308074951e-01
5.799999833106994629e-01,-2.691692411899566650e-01
5.899999737739562988e-01,-2.641990780830383301e-01
6.000000238418579102e-01,-2.552314102649688721e-01
6.100000143051147461e-01,-2.426667660474777222e-01
6.200000047683715820e-01,-2.270470112562179565e-01
6.299999952316284180e-01,-2.090354114770889282e-01
6.399999856948852539e-01,-1.893962770700454712e-01
6.499999761581420898e-01,-1.689633131027221680e-01
6.599999666213989258e-01,-1.486096680164337158e-01
6.699999570846557617e-01,-1.292182207107543945e-01
6.800000071525573730e-01,-1.116442754864692688e-01
6.899999976158142090e-01,-9.668619930744171143e-02
6.999999880790710449e-01,-8.505206555128097534e-02
7.099999785423278809e-01,-7.733152806758880615e-02
7.200000286102294922e-01,-7.397385686635971069e-02
7.300000190734863281e-01,-7.526675611734390259e-02
7.400000095367431641e-01,-8.132375031709671021e-02
7.500000000000000000e-01,-9.207822382450103760e-02
7.600000500679016113e-01,-1.072826236486434937e-01
7.700000405311584473e-01,-1.265146434307098389e-01
7.800000309944152832e-01,-1.491942852735519409e-01
7.900000214576721191e-01,-1.745987087488174438e-01
8.000000119209289551e-01,-2.018923461437225342e-01
8.100000023841857910e-01,-2.301534265279769897e-01
8.199999928474426270e-01,-2.584107816219329834e-01
8.299999833106994629e-01,-2.856798470020294189e-01
8.400000333786010742e-01,-3.109992444515228271e-01
8.500000238418579102e-01,-3.334672451019287109e-01
8.600000143051147461e-01,-3.522794246673583984e-01
8.700000047683715820e-01,-3.667611181735992432e-01
8.799999952316284180e-01,-3.763924241065979004e-01
8.899999856948852539e-01,-3.808325231075286865e-01
8.999999761581420898e-01,-3.799372911453247070e-01
9.099999666213989258e-01,-3.737646937370300293e-01
9.200000166893005371e-01,-3.625773191452026367e-01
9.300000071525573730e-01,-3.468352556228637695e-01
9.399999976158142090e-01,-3.271824717521667480e-01
9.499999880790710449e-01,-3.044242858886718750e-01
9.599999785423278809e-01,-2.794983983039855957e-01
9.699999690055847168e-01,-2.534418106079101562e-01
9.799999594688415527e-01,-2.273522317409515381e-01
9.899999499320983887e-01,-2.023456692695617676e-01
1.000000000000000000e+00,-1.795148551464080811e-01
1.009999990463256836e+00,-1.598867475986480713e-01
1.019999980926513672e+00,-1.443805545568466187e-01
1.029999971389770508e+00,-1.337704956531524658e-01
1.039999961853027344e+00,-1.286545693874359131e-01
1.049999952316284180e+00,-1.294263899326324463e-01
1.059999942779541016e+00,-1.362583935260772705e-01
1.069999933242797852e+00,-1.490898877382278442e-01
1.079999923706054688e+00,-1.676250100135803223e-01
1.089999914169311523e+00,-1.913414448499679565e-01
1.099999904632568359e+00,-2.195047438144683838e-01
1.110000014305114746e+00,-2.511968016624450684e-01
1.120000004768371582e+00,-2.853414118289947510e-01
1.129999995231628418e+00,-3.207505345344543457e-01
1.139999985694885254e+00,-3.561641573905944824e-01
1.149999976158142090e+00,-3.902993798255920410e-01
1.159999966621398926e+00,-4.218991696834564209e-01
1.169999957084655762e+00,-4.497837126255035400e-01
1.179999947547912598e+00,-4.728938341140747070e-01
1.190000057220458984e+00,-4.903399944305419922e-01
1.200000047683715820e+00,-5.014364719390869141e-01
1.210000038146972656e+00,-5.057308077812194824e-01
1.220000028610229492e+00,-5.030314922332763672e-01
1.230000019073486328e+00,-4.934152662754058838e-01
1.240000009536743164e+00,-4.772314727306365967e-01
1.250000000000000000e+00,-4.550951123237609863e-01
1.259999990463256836e+00,-4.278621971607208252e-01
1.270000100135803223e+00,-3.966091871261596680e-01
1.279999971389770508e+00,-3.625922501087188721e-01
1.289999961853027344e+00,-3.271963596343994141e-01
1.299999952316284180e+00,-2.918913960456848145e-01
1.309999942779541016e+00,-2.581734657287597656e-01
1.319999933242797852e+00,-2.275041490793228149e-01
1.329999923706054688e+00,-2.012571245431900024e-01
1.339999914169311523e+00,-1.806589066982269287e-01
1.350000023841857910e+00,-1.667403429746627808e-01
1.360000014305114746e+00,-1.602878868579864502e-01
1.370000004768371582e+00,-1.618145406246185303e-01
1.379999995231628418e+00,-1.715275198221206665e-01
1.389999985694885254e+00,-1.893148124217987061e-01
1.399999976158142090e+00,-2.147455364465713501e-01
1.409999966621398926e+00,-2.470775991678237915e-01
1.419999957084655762e+00,-2.852803468704223633e-01
1.430000066757202148e+00,-3.280718326568603516e-01
1.440000057220458984e+00,-3.739545047283172607e-01
1.450000047683715820e+00,-4.212828278541564941e-01
1.460000038146972656e+00,-4.683135449886322021e-01
1.470000028610229492e+00,-5.132759213447570801e-01
1.480000019073486328e+00,-5.544442534446716309e-01
1.490000009536743164e+00,-5.902001261711120605e-01
1.500000000000000000e+00,-6.191037297248840332e-01
1.510000109672546387e+00,-6.399530172348022461e-01
1.519999980926513672e+00,-6.518342494964599609e-01
1.529999971389770508e+00,-6.541712880134582520e-01
1.539999961853027344e+00,-6.467480063438415527e-01
1.549999952316284180e+00,-6.297318935394287109e-01
1.559999942779541016e+00,-6.036722064018249512e-01
1.569999933242797852e+00,-5.694900751113891602e-01
1.579999923706054688e+00,-5.284513831138610840e-01
1.590000033378601074e+00,-4.821229577064514160e-01
1.600000023841857910e+00,-4.323197603225708008e-01
1.610000014305114746e+00,-3.810401558876037598e-01
1.620000004768371582e+00,-3.303890228271484375e-01
1.629999995231628418e+00,-2.824994325637817383e-01
1.639999985694885254e+00,-2.394497990608215332e-01
1.649999976158142090e+00,-2.031777203083038330e-01
1.659999966621398926e+00,-1.754020899534225464e-01
1.670000076293945312e+00,-1.575490534305572510e-01
1.679999947547912598e+00,-1.506879776716232300e-01
1.689999938011169434e+00,-1.554797589778900146e-01
1.699999928474426270e+00,-1.721393018960952759e-01
1.709999918937683105e+00,-2.004160732030868530e-01
1.719999909400939941e+00,-2.395908981561660767e-01
1.729999899864196777e+00,-2.884945571422576904e-01
1.739999890327453613e+00,-3.455352485179901123e-01
1.750000000000000000e+00,-4.087558388710021973e-01
1.759999990463256836e+00,-4.758967459201812744e-01
1.769999980926513672e+00,-5.444824695587158203e-01
1.779999971389770508e+00,-6.119065880775451660e-01
1.789999961853027344e+00,-6.755365133285522461e-01
1.799999952316284180e+00,-7.328117489814758301e-01
1.809999942779541016e+00,-7.813520431518554688e-01
1.819999933242797852e+00,-8.190531134605407715e-01
1.830000042915344238e+00,-8.441815972328186035e-01
1.840000033378601074e+00,-8.554474711418151855e-01
1.850000023841857910e+00,-8.520783782005310059e-01
1.860000014305114746e+00,-8.338578939437866211e-01
1.870000004768371582e+00,-8.011541366577148438e-01
1.879999995231628418e+00,-7.549235224723815918e-01
1.889999985694885254e+00,-6.966888308525085449e-01
1.899999976158142090e+00,-6.285015940666198730e-01
1.910000085830688477e+00,-5.528719425201416016e-01
1.919999957084655762e+00,-4.726941883563995361e-01
1.929999947547912598e+00,-3.911289572715759277e-01
1.939999938011169434e+00,-3.115020096302032471e-01
1.949999928474426270e+00,-2.371748238801956177e-01
1.959999918937683105e+00,-1.714091300964355469e-01
1.969999909400939941e+00,-1.172386780381202698e-01
1.979999899864196777e+00,-7.734012603759765625e-02
1.990000009536743164e+00,-5.391538515686988831e-02
2.000000000000000000e+00,-4.859261959791183472e-02
2.009999990463256836e+00,-6.233408674597740173e-02
2.019999980926513672e+00,-9.538036584854125977e-02
2.029999971389770508e+00,-1.472127288579940796e-01
2.039999961853027344e+00,-2.165477573871612549e-01
2.049999952316284180e+00,-3.013544976711273193e-01
2.059999942779541016e+00,-3.989118635654449463e-01
2.069999933242797852e+00,-5.058860778808593750e-01
2.079999923706054688e+00,-6.184375882148742676e-01
2.089999914169311523e+00,-7.323536276817321777e-01
2.099999904632568359e+00,-8.431986570358276367e-01
2.109999895095825195e+00,-9.464722275733947754e-01
2.119999885559082031e+00,-1.037792444229125977e+00
2.129999876022338867e+00,-1.113063931465148926e+00
2.139999866485595703e+00,-1.168653130531311035e+00
2.149999856948852539e+00,-1.201550722122192383e+00
2.160000085830688477e+00,-1.209505319595336914e+00
2.170000076293945312e+00,-1.191156744956970215e+00
2.180000066757202148e+00,-1.146121621131896973e+00
2.190000057220458984e+00,-1.075051307678222656e+00
2.200000047683715820e+00,-9.796538352966308594e-01
2.210000038146972656e+00,-8.626800179481506348e-01
2.220000028610229492e+00,-7.278598546981811523e-01
2.230000019073486328e+00,-5.798086524009704590e-01
2.240000009536743164e+00,-4.238983690738677979e-01
2.250000000000000000e+00,-2.660774886608123779e-01
2.259999990463256836e+00,-1.126832440495491028e-01
2.269999980926513672e+00,2.978486008942127228e-02
2.279999971389770508e+00,1.549039036035537720e-01
2.289999961853027344e+00,2.565701305866241455e-01
2.299999952316284180e+00,3.292472958564758301e-01
2.309999942779541016e+00,3.682072758674621582e-01
2.319999933242797852e+00,3.697471022605895996e-01
2.329999923706054688e+00,3.313884735107421875e-01
2.339999914169311523e+00,2.520318329334259033e-01
2.349999904632568359e+00,1.320847719907760620e-01
2.359999895095825195e+00,-2.647320553660392761e-02
2.369999885559082031e+00,-2.200583666563034058e-01
2.379999876022338867e+00,-4.435210525989532471e-01
2.389999866485595703e+00,-6.902274489402770996e-01
2.400000095367431641e+00,-9.522108435630798340e-01
2.410000085830688477e+00,-1.220333099365234375e+00
2.420000076293945312e+00,-1.484562635421752930e+00
2.430000066757202148e+00,-1.734233021736145020e+00
2.440000057220458984e+00,-1.958353400230407715e+00
2.450000047683715820e+00,-2.145955801010131836e+00
2.460000038146972656e+00,-2.286437511444091797e+00
2.470000028610229492e+00,-2.369920015335083008e+00
2.480000019073486328e+00,-2.387588977813720703e+00
2.490000009536743164e+00,-2.332028150558471680e+00
2.500000000000000000e+00,-2.197502136230468750e+00
2.509999990463256836e+00,-1.980220675468444824e+00
2.519999980926513672e+00,-1.678534984588623047e+00
2.529999971389770508e+00,-1.293082237243652344e+00
2.539999961853027344e+00,-8.268632888793945312e-01
2.549999952316284180e+00,-2.852598130702972412e-01
2.559999942779541016e+00,3.240396380424499512e-01
2.569999933242797852e+00,9.911602735519409180e-01
2.579999923706054688e+00,1.704252004623413086e+00
2.589999914169311523e+00,2.449749469757080078e+00
2.599999904632568359e+00,3.212700366973876953e+00
2.609999895095825195e+00,3.977137565612792969e+00
2.619999885559082031e+00,4.726494312286376953e+00
2.629999876022338867e+00,5.444038391113281250e+00
2.640000104904174805e+00,6.113340377807617188e+00
2.650000095367431641e+00,6.718674182891845703e+00
2.660000085830688477e+00,7.245543956756591797e+00
2.670000076293945312e+00,7.681037902832031250e+00
2.680000066757202148e+00,8.014224052429199219e+00
2.690000057220458984e+00,8.236467361450195312e+00
2.700000047683715820e+00,8.341692924499511719e+00
2.710000038146972656e+00,8.326583862304687500e+00
2.720000028610229492e+00,8.190690040588378906e+00
2.730000019073486328e+00,7.936463356018066406e+00
2.740000009536743164e+00,7.569216728210449219e+00
2.750000000000000000e+00,7.096980094909667969e+00
2.759999990463256836e+00,6.530309200286865234e+00
2.769999980926513672e+00,5.881989955902099609e+00
2.779999971389770508e+00,5.166696071624755859e+00
2.789999961853027344e+00,4.400597095489501953e+00
2.799999952316284180e+00,3.600902795791625977e+00
2.809999942779541016e+00,2.785409212112426758e+00
2.819999933242797852e+00,1.971992731094360352e+00
2.829999923706054688e+00,1.178135633468627930e+00
2.839999914169311523e+00,4.204497337341308594e-01
2.849999904632568359e+00,-2.857658565044403076e-01
2.859999895095825195e+00,-9.269316196441650391e-01
2.869999885559082031e+00,-1.491532802581787109e+00
2.880000114440917969e+00,-1.970412015914916992e+00
2.890000104904174805e+00,-2.356942653656005859e+00
2.900000095367431641e+00,-2.647227287292480469e+00
2.910000085830688477e+00,-2.840099811553955078e+00
2.920000076293945312e+00,-2.937117338180541992e+00
2.930000066757202148e+00,-2.942433595657348633e+00
2.940000057220458984e+00,-2.862622022628784180e+00
2.950000047683715820e+00,-2.706414699554443359e+00
2.960000038146972656e+00,-2.484380722045898438e+00
2.970000028610229492e+00,-2.208558082580566406e+00
2.980000019073486328e+00,-1.892050623893737793e+00
2.990000009536743164e+00,-1.548587203025817871e+00
3.000000000000000000e+00,-1.192089438438415527e+00
3.009999990463256836e+00,-8.362258076667785645e-01
3.019999980926513672e+00,-4.939947724342346191e-01
3.029999971389770508e+00,-1.773300766944885254e-01
3.039999961853027344e+00,1.032424047589302063e-01
3.049999952316284180e+00,3.388999998569488525e-01
3.059999942779541016e+00,5.227559208869934082e-01
3.069999933242797852e+00,6.500269770622253418e-01
3.079999923706054688e+00,7.181138992309570312e-01
3.089999914169311523e+00,7.266272306442260742e-01
3.099999904632568359e+00,6.773261427879333496e-01
3.109999895095825195e+00,5.739931464195251465e-01
