63
{'composition': {'Au': 63}, 'crystal structure': 'fcc', 'shape': 'cube', 'size': 10}
# q,sq
1.000000000000000000e+00,1.236259687500000000e+05
1.049999952316284180e+00,1.067199609375000000e+05
1.100000023841857910e+00,8.281015625000000000e+04
1.149999976158142090e+00,5.748663281250000000e+04
1.200000047683715820e+00,3.527148437500000000e+04
1.250000000000000000e+00,1.899831250000000000e+04
1.299999952316284180e+00,9.735421875000000000e+03
1.350000023841857910e+00,7.069343750000000000e+03
1.399999976158142090e+00,9.567375000000000000e+03
1.449999928474426270e+00,1.527514062500000000e+04
1.500000000000000000e+00,2.215370312500000000e+04
1.549999952316284180e+00,2.841642187500000000e+04
1.600000023841857910e+00,3.275431250000000000e+04
1.649999976158142090e+00,3.445584375000000000e+04
1.699999928474426270e+00,3.344051562500000000e+04
1.750000000000000000e+00,3.021265625000000000e+04
1.799999952316284180e+00,2.574385937500000000e+04
1.849999904632568359e+00,2.129628125000000000e+04
1.899999976158142090e+00,1.819889062500000000e+04
1.949999928474426270e+00,1.761245312500000000e+04
2.000000000000000000e+00,2.031995312500000000e+04
2.049999952316284180e+00,2.658901562500000000e+04
2.099999904632568359e+00,3.614348437500000000e+04
2.149999856948852539e+00,4.826104687500000000e+04
2.200000047683715820e+00,6.198125000000000000e+04
2.250000000000000000e+00,7.637684375000000000e+04
2.299999952316284180e+00,9.081665625000000000e+04
2.350000143051147461e+00,1.051419296875000000e+05
2.400000095367431641e+00,1.196945937500000000e+05
2.450000047683715820e+00,1.351768593750000000e+05
2.500000000000000000e+00,1.523686250000000000e+05
2.549999952316284180e+00,1.717755468750000000e+05
2.599999904632568359e+00,1.933155000000000000e+05
2.649999856948852539e+00,2.161399687500000000e+05
2.699999809265136719e+00,2.386644062500000000e+05
2.750000000000000000e+00,2.588158750000000000e+05
2.799999952316284180e+00,2.744497187500000000e+05
2.849999904632568359e+00,2.838257500000000000e+05
2.899999856948852539e+00,2.860161875000000000e+05
2.949999809265136719e+00,2.811300312500000000e+05
3.000000000000000000e+00,2.702845625000000000e+05
3.049999952316284180e+00,2.553310625000000000e+05
3.099999904632568359e+00,2.384068750000000000e+05
3.150000095367431641e+00,2.214366250000000000e+05
3.200000047683715820e+00,2.057225312500000000e+05
3.250000000000000000e+00,1.917262812500000000e+05
3.299999952316284180e+00,1.790998281250000000e+05
3.349999904632568359e+00,1.669370312500000000e+05
3.400000095367431641e+00,1.541651406250000000e+05
3.450000047683715820e+00,1.399516250000000000e+05
3.500000000000000000e+00,1.240086093750000000e+05
3.550000190734863281e+00,1.067122578125000000e+05
3.600000143051147461e+00,8.901327343750000000e+04
3.650000095367431641e+00,7.217801562500000000e+04
3.700000047683715820e+00,5.744976953125000000e+04
3.750000000000000000e+00,4.573250000000000000e+04
3.799999952316284180e+00,3.739239062500000000e+04
3.849999904632568359e+00,3.222664843750000000e+04
3.899999856948852539e+00,2.959632812500000000e+04
3.950000047683715820e+00,2.867596093750000000e+04
4.000000000000000000e+00,2.873341406250000000e+04
4.050000190734863281e+00,2.935900000000000000e+04
4.099999904632568359e+00,3.057317968750000000e+04
4.150000095367431641e+00,3.278768750000000000e+04
4.199999809265136719e+00,3.663478125000000000e+04
4.250000000000000000e+00,4.271764453125000000e+04
4.299999713897705078e+00,5.135311718750000000e+04
4.349999904632568359e+00,6.237985937500000000e+04
4.399999618530273438e+00,7.508423437500000000e+04
4.449999809265136719e+00,8.826500000000000000e+04
4.500000000000000000e+00,1.004251640625000000e+05
4.549999713897705078e+00,1.100469687500000000e+05
4.599999904632568359e+00,1.158910781250000000e+05
4.650000095367431641e+00,1.172521406250000000e+05
4.699999809265136719e+00,1.141215390625000000e+05
4.750000000000000000e+00,1.072197890625000000e+05
4.799999713897705078e+00,9.789505468750000000e+04
4.849999904632568359e+00,8.790803906250000000e+04
4.900000095367431641e+00,7.914390625000000000e+04
4.949999809265136719e+00,7.330492187500000000e+04
5.000000000000000000e+00,7.164016406250000000e+04
5.050000190734863281e+00,7.475739843750000000e+04
5.099999904632568359e+00,8.254575781250000000e+04
5.150000095367431641e+00,9.421600000000000000e+04
5.199999809265136719e+00,1.084423750000000000e+05
5.250000000000000000e+00,1.235756562500000000e+05
5.300000190734863281e+00,1.378833750000000000e+05
5.349999904632568359e+00,1.497787812500000000e+05
5.400000095367431641e+00,1.580033281250000000e+05
5.450000286102294922e+00,1.617413437500000000e+05
5.500000000000000000e+00,1.606646406250000000e+05
5.550000190734863281e+00,1.549125625000000000e+05
5.599999904632568359e+00,1.450240468750000000e+05
5.650000095367431641e+00,1.318413125000000000e+05
5.700000286102294922e+00,1.164009687500000000e+05
5.750000000000000000e+00,9.982675000000000000e+04
5.800000190734863281e+00,8.322789062500000000e+04
5.850000381469726562e+00,6.761260156250000000e+04
5.900000095367431641e+00,5.381360937500000000e+04
5.950000286102294922e+00,4.243242968750000000e+04
6.000000000000000000e+00,3.380665625000000000e+04
6.050000190734863281e+00,2.800072265625000000e+04
6.100000381469726562e+00,2.482657031250000000e+04
6.150000095367431641e+00,2.388864453125000000e+04
6.199999809265136719e+00,2.465022656250000000e+04
6.250000000000000000e+00,2.650979296875000000e+04
6.299999713897705078e+00,2.887919921875000000e+04
6.349999904632568359e+00,3.125112500000000000e+04
6.399999618530273438e+00,3.325131250000000000e+04
6.449999809265136719e+00,3.467107421875000000e+04
6.500000000000000000e+00,3.548055468750000000e+04
6.549999713897705078e+00,3.582394921875000000e+04
6.599999904632568359e+00,3.599716406250000000e+04
6.650000095367431641e+00,3.641025000000000000e+04
6.699999809265136719e+00,3.753235937500000000e+04
6.750000000000000000e+00,3.982266406250000000e+04
6.799999713897705078e+00,4.365026562500000000e+04
6.849999904632568359e+00,4.921420312500000000e+04
6.900000095367431641e+00,5.647632031250000000e+04
6.949999809265136719e+00,6.512303906250000000e+04
