# q,sq
1.000000000000000000e+00,-1.644233018159866333e-01
1.049999952316284180e+00,-2.085077911615371704e-01
1.100000023841857910e+00,-2.723508775234222412e-01
1.149999976158142090e+00,-3.409083485603332520e-01
1.200000047683715820e+00,-4.017129540443420410e-01
1.250000000000000000e+00,-4.466824531555175781e-01
1.299999952316284180e+00,-4.724781513214111328e-01
1.350000023841857910e+00,-4.798649251461029053e-01
1.399999976158142090e+00,-4.725401699542999268e-01
1.449999928474426270e+00,-4.558130800724029541e-01
1.500000000000000000e+00,-4.354003369808197021e-01
1.549999952316284180e+00,-4.164598584175109863e-01
1.600000023841857910e+00,-4.029041826725006104e-01
1.649999976158142090e+00,-3.969945609569549561e-01
1.699999928474426270e+00,-3.991694152355194092e-01
1.750000000000000000e+00,-4.081070125102996826e-01
1.799999952316284180e+00,-4.210064411163330078e-01
1.849999904632568359e+00,-4.340687990188598633e-01
1.899999976158142090e+00,-4.431479871273040771e-01
1.949999928474426270e+00,-4.444770216941833496e-01
2.000000000000000000e+00,-4.353503882884979248e-01
2.049999952316284180e+00,-4.146174788475036621e-01
2.099999904632568359e+00,-3.828474283218383789e-01
2.149999856948852539e+00,-3.420926630496978760e-01
2.200000047683715820e+00,-2.952725887298583984e-01
2.250000000000000000e+00,-2.453103512525558472e-01
2.299999952316284180e+00,-1.942471116781234741e-01
2.350000143051147461e+00,-1.425985544919967651e-01
2.400000095367431641e+00,-8.918354660272598267e-02
2.450000047683715820e+00,-3.152718022465705872e-02
2.500000000000000000e+00,3.321246802806854248e-02
2.549999952316284180e+00,1.070177331566810608e-01
2.599999904632568359e+00,1.898477226495742798e-01
2.649999856948852539e+00,2.788929045200347900e-01
2.699999809265136719e+00,3.685499727725982666e-01
2.750000000000000000e+00,4.511955976486206055e-01
2.799999952316284180e+00,5.186378955841064453e-01
2.849999904632568359e+00,5.638790726661682129e-01
2.899999856948852539e+00,5.827267169952392578e-01
2.949999809265136719e+00,5.747979879379272461e-01
3.000000000000000000e+00,5.436021089553833008e-01
3.049999952316284180e+00,4.956662952899932861e-01
3.099999904632568359e+00,4.389164149761199951e-01
3.150000095367431641e+00,3.807584941387176514e-01
3.200000047683715820e+00,3.263970911502838135e-01
3.250000000000000000e+00,2.778368890285491943e-01
3.299999952316284180e+00,2.338402122259140015e-01
3.349999904632568359e+00,1.908089667558670044e-01
3.400000095367431641e+00,1.443022042512893677e-01
3.450000047683715820e+00,9.071524441242218018e-02
3.500000000000000000e+00,2.862438932061195374e-02
3.550000190734863281e+00,-4.058727249503135681e-02
3.600000143051147461e+00,-1.129786074161529541e-01
3.650000095367431641e+00,-1.830619722604751587e-01
3.700000047683715820e+00,-2.452324032783508301e-01
3.750000000000000000e+00,-2.951837182044982910e-01
3.799999952316284180e+00,-3.308765888214111328e-01
3.849999904632568359e+00,-3.527982532978057861e-01
3.899999856948852539e+00,-3.634757697582244873e-01
3.950000047683715820e+00,-3.664142787456512451e-01
4.000000000000000000e+00,-3.648252189159393311e-01
4.050000190734863281e+00,-3.605199754238128662e-01
4.099999904632568359e+00,-3.533204495906829834e-01
4.150000095367431641e+00,-3.411481976509094238e-01
4.199999809265136719e+00,-3.207647204399108887e-01
4.250000000000000000e+00,-2.889526486396789551e-01
4.299999713897705078e+00,-2.438013702630996704e-01
4.349999904632568359e+00,-1.857421994209289551e-01
4.399999618530273438e+00,-1.180417239665985107e-01
4.449999809265136719e+00,-4.660700261592864990e-02
4.500000000000000000e+00,2.088427543640136719e-02
