# r,gr
0.000000000000000000e+00,0.000000000000000000e+00
9.999999776482582092e-03,1.700591295957565308e-02
1.999999955296516418e-02,3.327178582549095154e-02
2.999999932944774628e-02,4.808467999100685120e-02
3.999999910593032837e-02,6.078352034091949463e-02
5.000000074505805969e-02,7.078360021114349365e-02
5.999999865889549255e-02,7.759851962327957153e-02
7.000000029802322388e-02,8.085536211729049683e-02
7.999999821186065674e-02,8.031150698661804199e-02
8.999999612569808960e-02,7.586216926574707031e-02
1.000000014901161194e-01,6.754320859909057617e-02
1.099999994039535522e-01,5.553342029452323914e-02
1.199999973177909851e-01,4.014424607157707214e-02
1.299999952316284180e-01,2.181319519877433777e-02
1.400000005960464478e-01,1.086417469196021557e-03
1.499999910593032837e-01,-2.140137180685997009e-02
1.599999964237213135e-01,-4.494810849428176880e-02
1.700000017881393433e-01,-6.881100684404373169e-02
1.799999922513961792e-01,-9.222979843616485596e-02
1.899999976158142090e-01,-1.144601255655288696e-01
2.000000029802322388e-01,-1.347944736480712891e-01
2.099999934434890747e-01,-1.525926887989044189e-01
2.199999988079071045e-01,-1.673037260770797729e-01
2.299999892711639404e-01,-1.784849464893341064e-01
2.399999946355819702e-01,-1.858219355344772339e-01
2.500000000000000000e-01,-1.891395300626754761e-01
2.599999904632568359e-01,-1.884067356586456299e-01
2.699999809265136719e-01,-1.837435811758041382e-01
2.800000011920928955e-01,-1.754149049520492554e-01
2.899999916553497314e-01,-1.638210117816925049e-01
2.999999821186065674e-01,-1.494875997304916382e-01
3.100000023841857910e-01,-1.330428719520568848e-01
3.199999928474426270e-01,-1.152008473873138428e-01
3.299999833106994629e-01,-9.673186391592025757e-02
3.400000035762786865e-01,-7.843509316444396973e-02
3.499999940395355225e-01,-6.111172214150428772e-02
3.599999845027923584e-01,-4.553424939513206482e-02
3.700000047683715820e-01,-3.241728991270065308e-02
3.799999952316284180e-01,-2.239032648503780365e-02
3.899999856948852539e-01,-1.597825996577739716e-02
4.000000059604644775e-01,-1.357207819819450378e-02
4.099999964237213135e-01,-1.542074512690305710e-02
4.200000166893005371e-01,-2.161777578294277191e-02
4.300000071525573730e-01,-3.209541738033294678e-02
4.399999976158142090e-01,-4.662708193063735962e-02
4.500000178813934326e-01,-6.482975929975509644e-02
4.600000083446502686e-01,-8.618330210447311401e-02
4.699999988079071045e-01,-1.100402623414993286e-01
4.799999892711639404e-01,-1.356553882360458374e-01
4.899999797344207764e-01,-1.622071564197540283e-01
5.000000000000000000e-01,-1.888299435377120972e-01
5.099999904632568359e-01,-2.146439850330352783e-01
5.199999809265136719e-01,-2.387894243001937866e-01
5.299999713897705078e-01,-2.604584693908691406e-01
5.399999618530273438e-01,-2.789278626441955566e-01
5.500000119209289551e-01,-2.935815453529357910e-01
5.600000023841857910e-01,-3.039416074752807617e-01
5.699999928474426270e-01,-3.096840679645538330e-01
5.799999833106994629e-01,-3.106566071510314941e-01
5.899999737739562988e-01,-3.068809509277343750e-01
6.000000238418579102e-01,-2.985625267028808594e-01
6.100000143051147461e-01,-2.860791981220245361e-01
6.200000047683715820e-01,-2.699697315692901611e-01
6.299999952316284180e-01,-2.509214580059051514e-01
6.399999856948852539e-01,-2.297393977642059326e-01
6.499999761581420898e-01,-2.073246985673904419e-01
6.599999666213989258e-01,-1.846334785223007202e-01
6.699999570846557617e-01,-1.626510769128799438e-01
6.800000071525573730e-01,-1.423484236001968384e-01
6.899999976158142090e-01,-1.246463730931282043e-01
6.999999880790710449e-01,-1.103834435343742371e-01
7.099999785423278809e-01,-1.002786159515380859e-01
7.200000286102294922e-01,-9.490158408880233765e-02
7.300000190734863281e-01,-9.465583413839340210e-02
7.400000095367431641e-01,-9.974976629018783569e-02
7.500000000000000000e-01,-1.101944893598556519e-01
7.600000500679016113e-01,-1.257971525192260742e-01
7.700000405311584473e-01,-1.461618244647979736e-01
7.800000309944152832e-01,-1.707070022821426392e-01
7.900000214576721191e-01,-1.986793875694274902e-01
8.000000119209289551e-01,-2.291833907365798950e-01
8.100000023841857910e-01,-2.612120509147644043e-01
8.199999928474426270e-01,-2.936814129352569580e-01
8.299999833106994629e-01,-3.254730999469757080e-01
8.400000333786010742e-01,-3.554782569408416748e-01
8.500000238418579102e-01,-3.826337158679962158e-01
8.600000143051147461e-01,-4.059706926345825195e-01
8.700000047683715820e-01,-4.246524870395660400e-01
8.799999952316284180e-01,-4.380029439926147461e-01
8.899999856948852539e-01,-4.455426335334777832e-01
8.999999761581420898e-01,-4.470086097717285156e-01
9.099999666213989258e-01,-4.423662424087524414e-01
9.200000166893005371e-01,-4.318170547485351562e-01
9.300000071525573730e-01,-4.157960712909698486e-01
9.399999976158142090e-01,-3.949537873268127441e-01
9.499999880790710449e-01,-3.701441884040832520e-01
9.599999785423278809e-01,-3.423880636692047119e-01
9.699999690055847168e-01,-3.128379285335540771e-01
9.799999594688415527e-01,-2.827399671077728271e-01
9.899999499320983887e-01,-2.533834874629974365e-01
1.000000000000000000e+00,-2.260506451129913330e-01
1.009999990463256836e+00,-2.019727826118469238e-01
1.019999980926513672e+00,-1.822751313447952271e-01
1.029999971389770508e+00,-1.679344177246093750e-01
1.039999961853027344e+00,-1.597381234169006348e-01
1.049999952316284180e+00,-1.582484543323516846e-01
1.059999942779541016e+00,-1.637774556875228882e-01
1.069999933242797852e+00,-1.763704717159271240e-01
1.079999923706054688e+00,-1.957955360412597656e-01
1.089999914169311523e+00,-2.215525656938552856e-01
1.099999904632568359e+00,-2.528811693191528320e-01
1.110000014305114746e+00,-2.887941896915435791e-01
1.120000004768371582e+00,-3.280973136425018311e-01
1.129999995231628418e+00,-3.694451451301574707e-01
1.139999985694885254e+00,-4.113869071006774902e-01
1.149999976158142090e+00,-4.524151980876922607e-01
1.159999966621398926e+00,-4.910307824611663818e-01
1.169999957084655762e+00,-5.257992744445800781e-01
1.179999947547912598e+00,-5.554028749465942383e-01
1.190000057220458984e+00,-5.787075757980346680e-01
1.200000047683715820e+00,-5.947977900505065918e-01
1.210000038146972656e+00,-6.030207276344299316e-01
1.220000028610229492e+00,-6.030259728431701660e-01
1.230000019073486328e+00,-5.947716236114501953e-01
1.240000009536743164e+00,-5.785453319549560547e-01
1.250000000000000000e+00,-5.549556612968444824e-01
1.259999990463256836e+00,-5.249035358428955078e-01
1.270000100135803223e+00,-4.895738661289215088e-01
1.279999971389770508e+00,-4.503868818283081055e-01
1.289999961853027344e+00,-4.089345037937164307e-01
1.299999952316284180e+00,-3.669397234916687012e-01
