1688
{'composition': {'Au': 1688}, 'crystal structure': 'fcc', 'shape': 'cube', 'size': 30}
# q,sq
1.000000000000000000e+00,1.155972500000000000e+06
1.049999952316284180e+00,5.373450000000000000e+05
1.100000023841857910e+00,8.852550000000000000e+04
1.149999976158142090e+00,3.086490000000000000e+05
1.200000047683715820e+00,6.081060000000000000e+05
1.250000000000000000e+00,4.374495000000000000e+05
1.299999952316284180e+00,9.357150000000000000e+04
1.350000023841857910e+00,9.336150000000000000e+04
1.399999976158142090e+00,3.264345000000000000e+05
1.449999928474426270e+00,3.429545000000000000e+05
1.500000000000000000e+00,1.240960000000000000e+05
1.549999952316284180e+00,3.247150000000000000e+04
1.600000023841857910e+00,1.762115000000000000e+05
1.649999976158142090e+00,2.807275000000000000e+05
1.699999928474426270e+00,1.739485000000000000e+05
1.750000000000000000e+00,4.254250000000000000e+04
1.799999952316284180e+00,9.303850000000000000e+04
1.849999904632568359e+00,2.188710000000000000e+05
1.899999976158142090e+00,2.037120000000000000e+05
1.949999928474426270e+00,8.502675000000000000e+04
2.000000000000000000e+00,7.407850000000000000e+04
2.049999952316284180e+00,1.981635000000000000e+05
2.099999904632568359e+00,2.647715000000000000e+05
2.149999856948852539e+00,2.014150000000000000e+05
2.200000047683715820e+00,2.170130000000000000e+05
2.250000000000000000e+00,5.057510000000000000e+05
2.299999952316284180e+00,9.286802500000000000e+05
2.350000143051147461e+00,1.178535500000000000e+06
2.400000095367431641e+00,1.222482000000000000e+06
2.450000047683715820e+00,1.316259250000000000e+06
2.500000000000000000e+00,1.556801750000000000e+06
2.549999952316284180e+00,1.838837750000000000e+06
2.599999904632568359e+00,2.206327750000000000e+06
2.649999856948852539e+00,2.963034000000000000e+06
2.699999809265136719e+00,5.136627000000000000e+06
2.750000000000000000e+00,1.021601400000000000e+07
2.799999952316284180e+00,1.689995800000000000e+07
2.849999904632568359e+00,1.982900600000000000e+07
2.899999856948852539e+00,1.589749600000000000e+07
2.949999809265136719e+00,9.030976000000000000e+06
3.000000000000000000e+00,4.349919500000000000e+06
3.049999952316284180e+00,2.226145750000000000e+06
3.099999904632568359e+00,1.554745125000000000e+06
3.150000095367431641e+00,3.079278000000000000e+06
3.200000047683715820e+00,6.800583000000000000e+06
3.250000000000000000e+00,1.041649200000000000e+07
3.299999952316284180e+00,1.145161500000000000e+07
3.349999904632568359e+00,9.207174000000000000e+06
3.400000095367431641e+00,5.191052000000000000e+06
3.450000047683715820e+00,1.917025250000000000e+06
3.500000000000000000e+00,6.156462500000000000e+05
3.550000190734863281e+00,5.951707500000000000e+05
3.600000143051147461e+00,7.383970000000000000e+05
3.650000095367431641e+00,6.155442500000000000e+05
3.700000047683715820e+00,3.685130000000000000e+05
3.750000000000000000e+00,2.655970000000000000e+05
3.799999952316284180e+00,3.409240000000000000e+05
3.849999904632568359e+00,3.786092500000000000e+05
3.899999856948852539e+00,2.842042500000000000e+05
3.950000047683715820e+00,2.174182500000000000e+05
4.000000000000000000e+00,2.731217500000000000e+05
4.050000190734863281e+00,3.239767500000000000e+05
4.099999904632568359e+00,2.835295000000000000e+05
4.150000095367431641e+00,2.618445000000000000e+05
4.199999809265136719e+00,3.292777500000000000e+05
4.250000000000000000e+00,3.809525000000000000e+05
4.299999713897705078e+00,3.948320000000000000e+05
4.349999904632568359e+00,5.139267500000000000e+05
4.399999618530273438e+00,6.972048750000000000e+05
4.449999809265136719e+00,8.330835000000000000e+05
4.500000000000000000e+00,1.491868500000000000e+06
4.549999713897705078e+00,3.609624000000000000e+06
4.599999904632568359e+00,6.681187000000000000e+06
4.650000095367431641e+00,8.371388000000000000e+06
4.699999809265136719e+00,7.097916500000000000e+06
4.750000000000000000e+00,4.083719000000000000e+06
4.799999713897705078e+00,1.720528250000000000e+06
4.849999904632568359e+00,8.512136250000000000e+05
4.900000095367431641e+00,7.273423750000000000e+05
4.949999809265136719e+00,6.436681250000000000e+05
5.000000000000000000e+00,5.027223750000000000e+05
5.050000190734863281e+00,4.244717500000000000e+05
5.099999904632568359e+00,5.534841250000000000e+05
5.150000095367431641e+00,8.589520000000000000e+05
5.199999809265136719e+00,1.023483125000000000e+06
5.250000000000000000e+00,1.127088875000000000e+06
5.300000190734863281e+00,2.180685750000000000e+06
5.349999904632568359e+00,4.976499000000000000e+06
5.400000095367431641e+00,8.467484000000000000e+06
5.450000286102294922e+00,1.026722400000000000e+07
5.500000000000000000e+00,9.043126000000000000e+06
5.550000190734863281e+00,5.994694000000000000e+06
5.599999904632568359e+00,3.656057000000000000e+06
5.650000095367431641e+00,3.207460250000000000e+06
5.700000286102294922e+00,3.466029250000000000e+06
5.750000000000000000e+00,2.903814000000000000e+06
5.800000190734863281e+00,1.674743375000000000e+06
5.850000381469726562e+00,8.066558750000000000e+05
5.900000095367431641e+00,5.409100000000000000e+05
5.950000286102294922e+00,4.579743750000000000e+05
6.000000000000000000e+00,3.466512500000000000e+05
6.050000190734863281e+00,2.627233750000000000e+05
6.100000381469726562e+00,2.349092500000000000e+05
6.150000095367431641e+00,2.224076250000000000e+05
6.199999809265136719e+00,2.092607500000000000e+05
6.250000000000000000e+00,2.209977500000000000e+05
6.299999713897705078e+00,2.233558750000000000e+05
6.349999904632568359e+00,1.682932500000000000e+05
6.399999618530273438e+00,1.936120000000000000e+05
6.449999809265136719e+00,5.150182500000000000e+05
6.500000000000000000e+00,1.084967000000000000e+06
6.549999713897705078e+00,1.570438000000000000e+06
6.599999904632568359e+00,1.655705125000000000e+06
6.650000095367431641e+00,1.301660875000000000e+06
6.699999809265136719e+00,7.702558125000000000e+05
6.750000000000000000e+00,3.874435000000000000e+05
6.799999713897705078e+00,2.816821250000000000e+05
6.849999904632568359e+00,3.753168750000000000e+05
6.900000095367431641e+00,5.100146250000000000e+05
6.949999809265136719e+00,5.922291250000000000e+05
7.000000000000000000e+00,8.456469375000000000e+05
7.050000190734863281e+00,1.745420375000000000e+06
7.099999904632568359e+00,3.258095250000000000e+06
7.150000095367431641e+00,4.469747000000000000e+06
7.199999809265136719e+00,4.662671000000000000e+06
7.250000000000000000e+00,4.362737000000000000e+06
7.300000190734863281e+00,4.443881000000000000e+06
7.349999904632568359e+00,4.646207000000000000e+06
7.400000095367431641e+00,4.024980500000000000e+06
7.450000286102294922e+00,2.534520000000000000e+06
7.500000000000000000e+00,1.144102750000000000e+06
7.550000190734863281e+00,5.304148750000000000e+05
7.599999904632568359e+00,4.619541875000000000e+05
7.650000095367431641e+00,4.394965625000000000e+05
7.700000286102294922e+00,3.462905000000000000e+05
7.750000000000000000e+00,3.331853750000000000e+05
7.800000190734863281e+00,4.091303125000000000e+05
7.850000381469726562e+00,4.625757500000000000e+05
7.900000095367431641e+00,6.467860000000000000e+05
7.950000286102294922e+00,1.319614000000000000e+06
8.000000000000000000e+00,2.367212750000000000e+06
8.050000190734863281e+00,3.005347250000000000e+06
8.100000381469726562e+00,2.652592500000000000e+06
8.150000572204589844e+00,1.674975625000000000e+06
8.199999809265136719e+00,8.723706250000000000e+05
8.250000000000000000e+00,5.390724375000000000e+05
8.300000190734863281e+00,4.373408125000000000e+05
8.349999427795410156e+00,4.548001250000000000e+05
8.399999618530273438e+00,8.519858750000000000e+05
8.449999809265136719e+00,1.810220750000000000e+06
8.500000000000000000e+00,2.922420500000000000e+06
8.550000190734863281e+00,3.377483250000000000e+06
8.600000381469726562e+00,2.793688500000000000e+06
8.650000572204589844e+00,1.652935000000000000e+06
8.700000762939453125e+00,7.201769375000000000e+05
8.750000000000000000e+00,3.049619375000000000e+05
8.800000190734863281e+00,2.417798125000000000e+05
8.850000381469726562e+00,2.633369375000000000e+05
8.900000572204589844e+00,2.263084375000000000e+05
8.950000762939453125e+00,1.572415625000000000e+05
9.000000000000000000e+00,1.513015625000000000e+05
9.050000190734863281e+00,2.025386875000000000e+05
9.100000381469726562e+00,2.228609375000000000e+05
9.149999618530273438e+00,2.528841250000000000e+05
9.199999809265136719e+00,4.707406875000000000e+05
9.250000000000000000e+00,8.664108750000000000e+05
9.300000190734863281e+00,1.111596250000000000e+06
