1688
{'composition': {'Au': 1688}, 'crystal structure': 'fcc', 'shape': 'cube', 'size': 30}
# q,sq
1.000000000000000000e+00,-3.828890025615692139e-01
1.049999952316284180e+00,-4.452224969863891602e-01
1.100000023841857910e+00,-4.909172356128692627e-01
1.149999976158142090e+00,-4.681204557418823242e-01
1.200000047683715820e+00,-4.367559254169464111e-01
1.250000000000000000e+00,-4.541804194450378418e-01
1.299999952316284180e+00,-4.901273846626281738e-01
1.350000023841857910e+00,-4.900755286216735840e-01
1.399999976158142090e+00,-4.650321602821350098e-01
1.449999928474426270e+00,-4.629735052585601807e-01
1.500000000000000000e+00,-4.864944517612457275e-01
1.549999952316284180e+00,-4.964371323585510254e-01
1.600000023841857910e+00,-4.805043637752532959e-01
1.649999976158142090e+00,-4.686779677867889404e-01
1.699999928474426270e+00,-4.804246127605438232e-01
1.750000000000000000e+00,-4.951706230640411377e-01
1.799999952316284180e+00,-4.893449544906616211e-01
1.849999904632568359e+00,-4.747103750705718994e-01
1.899999976158142090e+00,-4.762488305568695068e-01
1.949999928474426270e+00,-4.899960160255432129e-01
2.000000000000000000e+00,-4.912036061286926270e-01
2.049999952316284180e+00,-4.762503504753112793e-01
2.099999904632568359e+00,-4.679698050022125244e-01
2.149999856948852539e+00,-4.754039645195007324e-01
2.200000047683715820e+00,-4.732472300529479980e-01
2.250000000000000000e+00,-4.370559155941009521e-01
2.299999952316284180e+00,-3.833084404468536377e-01
2.350000143051147461e+00,-3.504827916622161865e-01
2.400000095367431641e+00,-3.434027135372161865e-01
2.450000047683715820e+00,-3.297480940818786621e-01
2.500000000000000000e+00,-2.966678142547607422e-01
2.549999952316284180e+00,-2.574777603149414062e-01
2.599999904632568359e+00,-2.061505764722824097e-01
2.649999856948852539e+00,-1.014823764562606812e-01
2.699999809265136719e+00,1.976752430200576782e-01
2.750000000000000000e+00,9.012916684150695801e-01
2.799999952316284180e+00,1.841050624847412109e+00
2.849999904632568359e+00,2.274019718170166016e+00
2.899999856948852539e+00,1.746079444885253906e+00
2.949999809265136719e+00,7.886126637458801270e-01
3.000000000000000000e+00,1.268490850925445557e-01
3.049999952316284180e+00,-1.760099530220031738e-01
3.099999904632568359e+00,-2.714741230010986328e-01
3.150000095367431641e+00,-4.288607090711593628e-02
3.200000047683715820e+00,5.195797681808471680e-01
3.250000000000000000e+00,1.077235341072082520e+00
3.299999952316284180e+00,1.251222014427185059e+00
3.349999904632568359e+00,9.220004677772521973e-01
3.400000095367431641e+00,3.097052276134490967e-01
3.450000047683715820e+00,-1.980073750019073486e-01
3.500000000000000000e+00,-4.020521938800811768e-01
3.550000190734863281e+00,-4.043692052364349365e-01
3.600000143051147461e+00,-3.801775872707366943e-01
3.650000095367431641e+00,-3.991219103336334229e-01
3.700000047683715820e+00,-4.390072822570800781e-01
3.750000000000000000e+00,-4.556054472923278809e-01
3.799999952316284180e+00,-4.424497485160827637e-01
3.849999904632568359e+00,-4.354557096958160400e-01
3.899999856948852539e+00,-4.510705173015594482e-01
3.950000047683715820e+00,-4.621987342834472656e-01
4.000000000000000000e+00,-4.520452320575714111e-01
4.050000190734863281e+00,-4.425549507141113281e-01
4.099999904632568359e+00,-4.492312371730804443e-01
4.150000095367431641e+00,-4.526530206203460693e-01
4.199999809265136719e+00,-4.398741424083709717e-01
4.250000000000000000e+00,-4.297557175159454346e-01
4.299999713897705078e+00,-4.264825880527496338e-01
4.349999904632568359e+00,-4.033701717853546143e-01
4.399999618530273438e+00,-3.676280379295349121e-01
4.449999809265136719e+00,-3.402861356735229492e-01
4.500000000000000000e+00,-2.111998647451400757e-01
4.549999713897705078e+00,2.055604159832000732e-01
4.599999904632568359e+00,8.186331391334533691e-01
4.650000095367431641e+00,1.168239116668701172e+00
4.699999809265136719e+00,9.281510710716247559e-01
4.750000000000000000e+00,3.296088874340057373e-01
4.799999713897705078e+00,-1.471052914857864380e-01
4.849999904632568359e+00,-3.237299621105194092e-01
4.900000095367431641e+00,-3.479359447956085205e-01
4.949999809265136719e+00,-3.641412854194641113e-01
5.000000000000000000e+00,-3.928771317005157471e-01
5.050000190734863281e+00,-4.086893796920776367e-01
5.099999904632568359e+00,-3.798053562641143799e-01
5.150000095367431641e+00,-3.117020130157470703e-01
5.199999809265136719e+00,-2.735125720500946045e-01
5.250000000000000000e+00,-2.482344061136245728e-01
5.300000190734863281e+00,-8.306224830448627472e-03
5.349999904632568359e+00,6.326026916503906250e-01
5.400000095367431641e+00,1.445127129554748535e+00
5.450000286102294922e+00,1.880534410476684570e+00
5.500000000000000000e+00,1.616194486618041992e+00
5.550000190734863281e+00,9.158163070678710938e-01
5.599999904632568359e+00,3.714514672756195068e-01
5.650000095367431641e+00,2.715590298175811768e-01
5.700000286102294922e+00,3.414041996002197266e-01
5.750000000000000000e+00,2.113654315471649170e-01
5.800000190734863281e+00,-8.599036931991577148e-02
5.850000381469726562e+00,-2.987778484821319580e-01
5.900000095367431641e+00,-3.638481497764587402e-01
5.950000286102294922e+00,-3.836842179298400879e-01
6.000000000000000000e+00,-4.111669957637786865e-01
6.050000190734863281e+00,-4.320713281631469727e-01
6.100000381469726562e+00,-4.387209117412567139e-01
6.150000095367431641e+00,-4.414661526679992676e-01
6.199999809265136719e+00,-4.444382786750793457e-01
6.250000000000000000e+00,-4.408038854598999023e-01
6.299999713897705078e+00,-4.396458864212036133e-01
6.349999904632568359e+00,-4.541260898113250732e-01
