# q,fq
1.000000000000000000e+00,-3.828890025615692139e-01
1.049999952316284180e+00,-4.674836099147796631e-01
1.100000023841857910e+00,-5.400089621543884277e-01
1.149999976158142090e+00,-5.383385419845581055e-01
1.200000047683715820e+00,-5.241071581840515137e-01
1.250000000000000000e+00,-5.677255392074584961e-01
1.299999952316284180e+00,-6.371656060218811035e-01
1.350000023841857910e+00,-6.616019606590270996e-01
1.399999976158142090e+00,-6.510450243949890137e-01
1.449999928474426270e+00,-6.713115572929382324e-01
1.500000000000000000e+00,-7.297416925430297852e-01
1.549999952316284180e+00,-7.694775462150573730e-01
1.600000023841857910e+00,-7.688069939613342285e-01
1.649999976158142090e+00,-7.733186483383178711e-01
1.699999928474426270e+00,-8.167217969894409180e-01
1.750000000000000000e+00,-8.665485978126525879e-01
1.799999952316284180e+00,-8.808208703994750977e-01
1.849999904632568359e+00,-8.782141208648681641e-01
1.899999976158142090e+00,-9.048727750778198242e-01
1.949999928474426270e+00,-9.554921984672546387e-01
2.000000000000000000e+00,-9.824072122573852539e-01
2.049999952316284180e+00,-9.763131737709045410e-01
2.099999904632568359e+00,-9.827365279197692871e-01
2.149999856948852539e+00,-1.022118449211120605e+00
2.200000047683715820e+00,-1.041143894195556641e+00
2.250000000000000000e+00,-9.833757877349853516e-01
2.299999952316284180e+00,-8.816093802452087402e-01
2.350000143051147461e+00,-8.236346244812011719e-01
2.400000095367431641e+00,-8.241665363311767578e-01
2.450000047683715820e+00,-8.078828454017639160e-01
2.500000000000000000e+00,-7.416695356369018555e-01
2.549999952316284180e+00,-6.565682888031005859e-01
2.599999904632568359e+00,-5.359914898872375488e-01
2.649999856948852539e+00,-2.689282894134521484e-01
2.699999809265136719e+00,5.337231159210205078e-01
2.750000000000000000e+00,2.478552103042602539e+00
2.799999952316284180e+00,5.154941558837890625e+00
2.849999904632568359e+00,6.480956077575683594e+00
2.899999856948852539e+00,5.063630104064941406e+00
2.949999809265136719e+00,2.326407194137573242e+00
3.000000000000000000e+00,3.805472552776336670e-01
3.049999952316284180e+00,-5.368303656578063965e-01
3.099999904632568359e+00,-8.415697813034057617e-01
3.150000095367431641e+00,-1.350911259651184082e-01
3.200000047683715820e+00,1.662655234336853027e+00
3.250000000000000000e+00,3.501014947891235352e+00
3.299999952316284180e+00,4.129032611846923828e+00
3.349999904632568359e+00,3.088701486587524414e+00
