# q,iq
1.000000000000000000e+00,1.874656000000000000e+06
1.049999952316284180e+00,1.488418000000000000e+06
1.100000023841857910e+00,1.383680000000000000e+05
1.149999976158142090e+00,1.021441000000000000e+06
1.200000047683715820e+00,1.077555000000000000e+06
1.250000000000000000e+00,1.141470000000000000e+05
1.299999952316284180e+00,5.782970000000000000e+05
1.350000023841857910e+00,8.209920000000000000e+05
1.399999976158142090e+00,1.158420000000000000e+05
1.449999928474426270e+00,3.406640000000000000e+05
1.500000000000000000e+00,6.423860000000000000e+05
1.549999952316284180e+00,1.361200000000000000e+05
1.600000023841857910e+00,2.079940000000000000e+05
1.649999976158142090e+00,5.465220000000000000e+05
1.699999928474426270e+00,1.835380000000000000e+05
1.750000000000000000e+00,1.347830000000000000e+05
1.799999952316284180e+00,4.620920000000000000e+05
1.849999904632568359e+00,2.193280000000000000e+05
1.899999976158142090e+00,1.055070000000000000e+05
1.949999928474426270e+00,4.175930000000000000e+05
2.000000000000000000e+00,2.777900000000000000e+05
2.049999952316284180e+00,1.212370000000000000e+05
2.099999904632568359e+00,4.315260000000000000e+05
2.149999856948852539e+00,4.186320000000000000e+05
2.200000047683715820e+00,2.848590000000000000e+05
2.250000000000000000e+00,8.798350000000000000e+05
2.299999952316284180e+00,1.775847000000000000e+06
2.350000143051147461e+00,2.367396000000000000e+06
2.400000095367431641e+00,2.778365500000000000e+06
2.450000047683715820e+00,2.839205500000000000e+06
2.500000000000000000e+00,2.757436500000000000e+06
2.549999952316284180e+00,3.470312500000000000e+06
2.599999904632568359e+00,4.609193500000000000e+06
2.649999856948852539e+00,6.049381000000000000e+06
2.699999809265136719e+00,9.804886000000000000e+06
2.750000000000000000e+00,2.132816800000000000e+07
2.799999952316284180e+00,5.314037600000000000e+07
2.849999904632568359e+00,7.612134400000000000e+07
2.899999856948852539e+00,5.062056800000000000e+07
2.949999809265136719e+00,1.765138400000000000e+07
3.000000000000000000e+00,7.677100000000000000e+06
3.049999952316284180e+00,6.170336000000000000e+06
3.099999904632568359e+00,4.185089000000000000e+06
3.150000095367431641e+00,2.214722000000000000e+06
3.200000047683715820e+00,1.331105200000000000e+07
3.250000000000000000e+00,3.493745600000000000e+07
3.299999952316284180e+00,4.343664000000000000e+07
3.349999904632568359e+00,2.786414400000000000e+07
3.400000095367431641e+00,8.087158500000000000e+06
3.450000047683715820e+00,1.439869500000000000e+06
3.500000000000000000e+00,2.462334500000000000e+06
3.550000190734863281e+00,1.964161500000000000e+06
3.600000143051147461e+00,6.970610000000000000e+05
3.650000095367431641e+00,1.042286500000000000e+06
3.700000047683715820e+00,9.894975000000000000e+05
3.750000000000000000e+00,5.555175000000000000e+05
3.799999952316284180e+00,6.438905000000000000e+05
3.849999904632568359e+00,6.713150000000000000e+05
3.899999856948852539e+00,5.314710000000000000e+05
3.950000047683715820e+00,4.821570000000000000e+05
4.000000000000000000e+00,6.146105000000000000e+05
4.050000190734863281e+00,5.317385000000000000e+05
4.099999904632568359e+00,4.881885000000000000e+05
4.150000095367431641e+00,6.610050000000000000e+05
4.199999809265136719e+00,6.060530000000000000e+05
4.250000000000000000e+00,6.746245000000000000e+05
4.299999713897705078e+00,8.646710000000000000e+05
4.349999904632568359e+00,1.001223500000000000e+06
4.399999618530273438e+00,1.222066000000000000e+06
4.449999809265136719e+00,1.974489500000000000e+06
4.500000000000000000e+00,2.712523500000000000e+06
4.549999713897705078e+00,6.347306500000000000e+06
4.599999904632568359e+00,2.018516000000000000e+07
4.650000095367431641e+00,3.201682600000000000e+07
4.699999809265136719e+00,2.314218600000000000e+07
4.750000000000000000e+00,7.790134000000000000e+06
4.799999713897705078e+00,2.959494000000000000e+06
4.849999904632568359e+00,2.104335000000000000e+06
4.900000095367431641e+00,1.204480500000000000e+06
4.949999809265136719e+00,1.273048000000000000e+06
5.000000000000000000e+00,9.383025000000000000e+05
5.050000190734863281e+00,8.606590000000000000e+05
5.099999904632568359e+00,1.238431500000000000e+06
5.150000095367431641e+00,1.228677500000000000e+06
5.199999809265136719e+00,1.924297000000000000e+06
5.250000000000000000e+00,3.345484750000000000e+06
5.300000190734863281e+00,3.416012250000000000e+06
5.349999904632568359e+00,8.625688000000000000e+06
5.400000095367431641e+00,2.563018400000000000e+07
5.450000286102294922e+00,3.857464000000000000e+07
5.500000000000000000e+00,3.015604400000000000e+07
5.550000190734863281e+00,1.257371400000000000e+07
5.599999904632568359e+00,5.708927500000000000e+06
5.650000095367431641e+00,9.872118000000000000e+06
5.700000286102294922e+00,1.248777000000000000e+07
5.750000000000000000e+00,7.989869000000000000e+06
5.800000190734863281e+00,3.445312250000000000e+06
5.850000381469726562e+00,1.719157500000000000e+06
5.900000095367431641e+00,1.047134000000000000e+06
5.950000286102294922e+00,8.869525000000000000e+05
6.000000000000000000e+00,6.282990000000000000e+05
6.050000190734863281e+00,5.483475000000000000e+05
6.100000381469726562e+00,4.862240000000000000e+05
6.150000095367431641e+00,4.062860000000000000e+05
6.199999809265136719e+00,4.583795000000000000e+05
6.250000000000000000e+00,3.658410000000000000e+05
6.299999713897705078e+00,3.471300000000000000e+05
6.349999904632568359e+00,5.895330000000000000e+05
6.399999618530273438e+00,4.097200000000000000e+05
6.449999809265136719e+00,4.603205000000000000e+05
6.500000000000000000e+00,2.402133000000000000e+06
6.549999713897705078e+00,5.386668500000000000e+06
6.599999904632568359e+00,5.977674000000000000e+06
6.650000095367431641e+00,3.492419000000000000e+06
6.699999809265136719e+00,1.065768000000000000e+06
6.750000000000000000e+00,5.502002500000000000e+05
6.799999713897705078e+00,7.625720000000000000e+05
6.849999904632568359e+00,8.048605000000000000e+05
6.900000095367431641e+00,8.225432500000000000e+05
6.949999809265136719e+00,1.160128250000000000e+06
7.000000000000000000e+00,1.941884000000000000e+06
7.050000190734863281e+00,2.908143500000000000e+06
7.099999904632568359e+00,8.163117000000000000e+06
7.150000095367431641e+00,1.639729400000000000e+07
7.199999809265136719e+00,1.547357200000000000e+07
7.250000000000000000e+00,9.178584000000000000e+06
7.300000190734863281e+00,1.166185900000000000e+07
7.349999904632568359e+00,1.676033800000000000e+07
7.400000095367431641e+00,1.312555400000000000e+07
7.450000286102294922e+00,5.258676500000000000e+06
7.500000000000000000e+00,1.525755000000000000e+06
7.550000190734863281e+00,1.356986000000000000e+06
7.599999904632568359e+00,1.022301750000000000e+06
7.650000095367431641e+00,6.426905000000000000e+05
7.700000286102294922e+00,7.609677500000000000e+05
7.750000000000000000e+00,7.316490000000000000e+05
7.800000190734863281e+00,6.582897500000000000e+05
7.850000381469726562e+00,1.028798250000000000e+06
7.900000095367431641e+00,1.280669750000000000e+06
7.950000286102294922e+00,2.334062000000000000e+06
8.000000000000000000e+00,6.857118000000000000e+06
8.050000190734863281e+00,1.110416900000000000e+07
8.100000381469726562e+00,8.973856000000000000e+06
