# q,sq
1.000000000000000000e+00,-1.896987706422805786e-01
1.049999952316284180e+00,-2.591074705123901367e-01
1.100000023841857910e+00,-3.048397600650787354e-01
1.149999976158142090e+00,-3.328256905078887939e-01
1.200000047683715820e+00,-3.481711745262145996e-01
1.250000000000000000e+00,-3.550346493721008301e-01
1.299999952316284180e+00,-3.566075563430786133e-01
1.350000023841857910e+00,-3.551777601242065430e-01
1.399999976158142090e+00,-3.522514104843139648e-01
1.449999928474426270e+00,-3.487108051776885986e-01
1.500000000000000000e+00,-3.449801206588745117e-01
1.549999952316284180e+00,-3.411799371242523193e-01
1.600000023841857910e+00,-3.372561037540435791e-01
1.649999976158142090e+00,-3.330720961093902588e-01
1.699999928474426270e+00,-3.284647762775421143e-01
1.750000000000000000e+00,-3.232657611370086670e-01
1.799999952316284180e+00,-3.172955214977264404e-01
1.849999904632568359e+00,-3.103419542312622070e-01
1.899999976158142090e+00,-3.021345436573028564e-01
1.949999928474426270e+00,-2.923232018947601318e-01
2.000000000000000000e+00,-2.804713845252990723e-01
2.049999952316284180e+00,-2.660681009292602539e-01
2.099999904632568359e+00,-2.485587596893310547e-01
2.149999856948852539e+00,-2.273951917886734009e-01
2.200000047683715820e+00,-2.020959258079528809e-01
2.250000000000000000e+00,-1.723144203424453735e-01
2.299999952316284180e+00,-1.379012316465377808e-01
2.350000143051147461e+00,-9.895736724138259888e-02
2.400000095367431641e+00,-5.587067827582359314e-02
2.450000047683715820e+00,-9.327320381999015808e-03
2.500000000000000000e+00,3.969774022698402405e-02
2.549999952316284180e+00,8.997604995965957642e-02
2.599999904632568359e+00,1.400809288024902344e-01
2.649999856948852539e+00,1.884597688913345337e-01
2.699999809265136719e+00,2.335155159235000610e-01
2.750000000000000000e+00,2.736937105655670166e-01
2.799999952316284180e+00,3.075644075870513916e-01
2.849999904632568359e+00,3.338996767997741699e-01
2.899999856948852539e+00,3.517357409000396729e-01
2.949999809265136719e+00,3.604208528995513916e-01
3.000000000000000000e+00,3.596458733081817627e-01
3.049999952316284180e+00,3.494575917720794678e-01
3.099999904632568359e+00,3.302544355392456055e-01
3.150000095367431641e+00,3.027662336826324463e-01
3.200000047683715820e+00,2.680207788944244385e-01
3.250000000000000000e+00,2.272969335317611694e-01
3.299999952316284180e+00,1.820681840181350708e-01
3.349999904632568359e+00,1.339383870363235474e-01
3.400000095367431641e+00,8.457125723361968994e-02
3.450000047683715820e+00,3.561851754784584045e-02
3.500000000000000000e+00,-1.135468203574419022e-02
3.550000190734863281e+00,-5.493833497166633606e-02
3.600000143051147461e+00,-9.394010901451110840e-02
3.650000095367431641e+00,-1.274382174015045166e-01
3.700000047683715820e+00,-1.548182815313339233e-01
3.750000000000000000e+00,-1.757936626672744751e-01
3.799999952316284180e+00,-1.904058456420898438e-01
