# q,fq
1.000000000000000000e+00,-4.528650939464569092e-01
1.049999952316284180e+00,-4.815828204154968262e-01
1.100000023841857910e+00,-5.013938546180725098e-01
1.149999976158142090e+00,-5.181447863578796387e-01
1.200000047683715820e+00,-5.406246185302734375e-01
1.250000000000000000e+00,-5.701571106910705566e-01
1.299999952316284180e+00,-6.051016449928283691e-01
1.350000023841857910e+00,-6.394013762474060059e-01
1.399999976158142090e+00,-6.653510332107543945e-01
1.449999928474426270e+00,-6.841444373130798340e-01
1.500000000000000000e+00,-7.008261084556579590e-01
1.549999952316284180e+00,-7.244254946708679199e-01
1.600000023841857910e+00,-7.520416378974914551e-01
1.649999976158142090e+00,-7.801649570465087891e-01
1.699999928474426270e+00,-8.020243644714355469e-01
1.750000000000000000e+00,-8.258136510848999023e-01
1.799999952316284180e+00,-8.482285737991333008e-01
1.849999904632568359e+00,-8.626900911331176758e-01
1.899999976158142090e+00,-8.838732838630676270e-01
1.949999928474426270e+00,-9.078397154808044434e-01
2.000000000000000000e+00,-9.279879331588745117e-01
2.049999952316284180e+00,-9.426882863044738770e-01
2.099999904632568359e+00,-9.518356323242187500e-01
2.149999856948852539e+00,-9.639357924461364746e-01
2.200000047683715820e+00,-9.887305498123168945e-01
2.250000000000000000e+00,-1.005002021789550781e+00
2.299999952316284180e+00,-1.007145285606384277e+00
2.350000143051147461e+00,-1.007100105285644531e+00
2.400000095367431641e+00,-9.915446639060974121e-01
2.450000047683715820e+00,-9.420536160469055176e-01
2.500000000000000000e+00,-8.002966046333312988e-01
2.549999952316284180e+00,-4.882688820362091064e-01
2.599999904632568359e+00,-9.266795217990875244e-02
2.649999856948852539e+00,1.797992885112762451e-01
2.699999809265136719e+00,2.446609586477279663e-01
2.750000000000000000e+00,1.554000377655029297e-01
2.799999952316284180e+00,-5.023094359785318375e-03
2.849999904632568359e+00,1.058343797922134399e-01
2.899999856948852539e+00,3.239548444747924805e+00
2.949999809265136719e+00,8.221297264099121094e+00
3.000000000000000000e+00,5.810453891754150391e+00
3.049999952316284180e+00,6.627668380737304688e+00
3.099999904632568359e+00,5.579597473144531250e+00
3.150000095367431641e+00,3.295639753341674805e+00
3.200000047683715820e+00,1.065822720527648926e+00
3.250000000000000000e+00,-3.430957198143005371e-01
3.299999952316284180e+00,-9.481465816497802734e-01
3.349999904632568359e+00,-1.172907233238220215e+00
3.400000095367431641e+00,-1.302116155624389648e+00
