# r,gr
0.000000000000000000e+00,0.000000000000000000e+00
9.999999776482582092e-03,3.922431543469429016e-02
1.999999955296516418e-02,7.675815373659133911e-02
2.999999932944774628e-02,1.109776273369789124e-01
3.999999910593032837e-02,1.403896808624267578e-01
5.000000074505805969e-02,1.636917740106582642e-01
5.999999865889549255e-02,1.798221766948699951e-01
7.000000029802322388e-02,1.880033463239669800e-01
7.999999821186065674e-02,1.877717226743698120e-01
8.999999612569808960e-02,1.789960265159606934e-01
1.000000014901161194e-01,1.618851572275161743e-01
1.099999994039535522e-01,1.369747370481491089e-01
1.199999973177909851e-01,1.051132678985595703e-01
1.299999952316284180e-01,6.742253899574279785e-02
1.400000005960464478e-01,2.525798231363296509e-02
1.499999910593032837e-01,-1.984871923923492432e-02
1.599999964237213135e-01,-6.624530255794525146e-02
1.700000017881393433e-01,-1.122285425662994385e-01
1.799999922513961792e-01,-1.561084687709808350e-01
1.899999976158142090e-01,-1.962780058383941650e-01
2.000000029802322388e-01,-2.312714904546737671e-01
2.099999934434890747e-01,-2.598302364349365234e-01
2.199999988079071045e-01,-2.809456586837768555e-01
2.299999892711639404e-01,-2.939041554927825928e-01
2.399999946355819702e-01,-2.983132004737854004e-01
2.500000000000000000e-01,-2.941179871559143066e-01
2.599999904632568359e-01,-2.816060185432434082e-01
2.699999809265136719e-01,-2.613925933837890625e-01
2.800000011920928955e-01,-2.344011962413787842e-01
2.899999916553497314e-01,-2.018243372440338135e-01
2.999999821186065674e-01,-1.650787591934204102e-01
3.100000023841857910e-01,-1.257500797510147095e-01
3.199999928474426270e-01,-8.552891761064529419e-02
3.299999833106994629e-01,-4.614539071917533875e-02
3.400000035762786865e-01,-9.301218204200267792e-03
3.499999940395355225e-01,2.339924126863479614e-02
3.599999845027923584e-01,5.051163583993911743e-02
3.700000047683715820e-01,7.080724090337753296e-02
3.799999952316284180e-01,8.332835882902145386e-02
3.899999856948852539e-01,8.741704374551773071e-02
4.000000059604644775e-01,8.275146037340164185e-02
4.099999964237213135e-01,6.935480237007141113e-02
4.200000166893005371e-01,4.759613424539566040e-02
4.300000071525573730e-01,1.817554980516433716e-02
4.399999976158142090e-01,-1.789820566773414612e-02
4.500000178813934326e-01,-5.935147777199745178e-02
4.600000083446502686e-01,-1.046933084726333618e-01
4.699999988079071045e-01,-1.522726863622665405e-01
4.799999892711639404e-01,-2.003454864025115967e-01
4.899999797344207764e-01,-2.471405565738677979e-01
5.000000000000000000e-01,-2.909311354160308838e-01
5.099999904632568359e-01,-3.301041722297668457e-01
5.199999809265136719e-01,-3.632222115993499756e-01
5.299999713897705078e-01,-3.890822827816009521e-01
5.399999618530273438e-01,-4.067661464214324951e-01
5.500000119209289551e-01,-4.156725704669952393e-01
5.600000023841857910e-01,-4.155496060848236084e-01
5.699999928474426270e-01,-4.064985811710357666e-01
5.799999833106994629e-01,-3.889783322811126709e-01
5.899999737739562988e-01,-3.637821078300476074e-01
6.000000238418579102e-01,-3.320146501064300537e-01
6.100000143051147461e-01,-2.950444817543029785e-01
6.200000047683715820e-01,-2.544509768486022949e-01
6.299999952316284180e-01,-2.119674682617187500e-01
6.399999856948852539e-01,-1.694106608629226685e-01
6.499999761581420898e-01,-1.286070644855499268e-01
6.599999666213989258e-01,-9.132446348667144775e-02
6.699999570846557617e-01,-5.920020863413810730e-02
6.800000071525573730e-01,-3.367611393332481384e-02
6.899999976158142090e-01,-1.593792252242565155e-02
6.999999880790710449e-01,-6.872497964650392532e-03
7.099999785423278809e-01,-7.025257218629121780e-03
7.200000286102294922e-01,-1.658134534955024719e-02
7.300000190734863281e-01,-3.535284847021102905e-02
7.400000095367431641e-01,-6.278540939092636108e-02
7.500000000000000000e-01,-9.797833859920501709e-02
7.600000500679016113e-01,-1.397204697132110596e-01
7.700000405311584473e-01,-1.865287721157073975e-01
7.800000309944152832e-01,-2.367160171270370483e-01
7.900000214576721191e-01,-2.884458005428314209e-01
8.000000119209289551e-01,-3.398121893405914307e-01
8.100000023841857910e-01,-3.889095485210418701e-01
8.199999928474426270e-01,-4.339101314544677734e-01
8.299999833106994629e-01,-4.731370508670806885e-01
8.400000333786010742e-01,-5.051307082176208496e-01
8.500000238418579102e-01,-5.287085175514221191e-01
8.600000143051147461e-01,-5.430112481117248535e-01
8.700000047683715820e-01,-5.475460886955261230e-01
8.799999952316284180e-01,-5.421982407569885254e-01
8.899999856948852539e-01,-5.272477865219116211e-01
8.999999761581420898e-01,-5.033578872680664062e-01
9.099999666213989258e-01,-4.715476334095001221e-01
9.200000166893005371e-01,-4.331621527671813965e-01
9.300000071525573730e-01,-3.898139894008636475e-01
