3076
{'Ru': 3076}
# q,sq
1.000000000000000000e+00,2.534317500000000000e+05
1.049999952316284180e+00,2.202680000000000000e+05
1.100000023841857910e+00,2.331467500000000000e+05
1.149999976158142090e+00,2.583100000000000000e+05
1.200000047683715820e+00,2.559372500000000000e+05
1.250000000000000000e+00,2.246275000000000000e+05
1.299999952316284180e+00,1.749832500000000000e+05
1.350000023841857910e+00,1.321862500000000000e+05
1.399999976158142090e+00,1.227282500000000000e+05
1.449999928474426270e+00,1.381965000000000000e+05
1.500000000000000000e+00,1.590062500000000000e+05
1.549999952316284180e+00,1.564822500000000000e+05
1.600000023841857910e+00,1.421175000000000000e+05
1.649999976158142090e+00,1.273562500000000000e+05
1.699999928474426270e+00,1.307327500000000000e+05
1.750000000000000000e+00,1.286762500000000000e+05
1.799999952316284180e+00,1.301197500000000000e+05
1.849999904632568359e+00,1.505570000000000000e+05
1.899999976158142090e+00,1.537057500000000000e+05
1.949999928474426270e+00,1.502641250000000000e+05
2.000000000000000000e+00,1.551776250000000000e+05
2.049999952316284180e+00,1.709245000000000000e+05
2.099999904632568359e+00,1.965362500000000000e+05
2.149999856948852539e+00,2.144991250000000000e+05
2.200000047683715820e+00,2.073958750000000000e+05
2.250000000000000000e+00,2.159591250000000000e+05
2.299999952316284180e+00,2.483448750000000000e+05
2.350000143051147461e+00,2.820723750000000000e+05
2.400000095367431641e+00,3.385712500000000000e+05
2.450000047683715820e+00,4.444677500000000000e+05
2.500000000000000000e+00,6.834828750000000000e+05
2.549999952316284180e+00,1.157322000000000000e+06
2.599999904632568359e+00,1.719639000000000000e+06
2.649999856948852539e+00,2.075978750000000000e+06
2.699999809265136719e+00,2.131541750000000000e+06
2.750000000000000000e+00,1.982691000000000000e+06
2.799999952316284180e+00,1.752189250000000000e+06
2.849999904632568359e+00,1.864842750000000000e+06
2.899999856948852539e+00,5.542143000000000000e+06
2.949999809265136719e+00,1.112026300000000000e+07
3.000000000000000000e+00,8.138466000000000000e+06
3.049999952316284180e+00,8.812743000000000000e+06
3.099999904632568359e+00,7.485326000000000000e+06
3.150000095367431641e+00,4.968042500000000000e+06
3.200000047683715820e+00,2.642411000000000000e+06
3.250000000000000000e+00,1.235120250000000000e+06
3.299999952316284180e+00,6.575005000000000000e+05
3.349999904632568359e+00,4.574468750000000000e+05
3.400000095367431641e+00,3.526372500000000000e+05
3.450000047683715820e+00,2.798581250000000000e+05
3.500000000000000000e+00,2.400985000000000000e+05
3.550000190734863281e+00,2.126493750000000000e+05
3.600000143051147461e+00,2.035811250000000000e+05
3.650000095367431641e+00,1.875007500000000000e+05
3.700000047683715820e+00,1.741182500000000000e+05
3.750000000000000000e+00,2.069588750000000000e+05
3.799999952316284180e+00,2.779922500000000000e+05
3.849999904632568359e+00,5.306945625000000000e+05
3.899999856948852539e+00,1.103185750000000000e+06
3.950000047683715820e+00,1.642143750000000000e+06
4.000000000000000000e+00,1.621718500000000000e+06
4.050000190734863281e+00,1.085064875000000000e+06
4.099999904632568359e+00,5.380970000000000000e+05
4.150000095367431641e+00,2.729368750000000000e+05
4.199999809265136719e+00,2.058686250000000000e+05
4.250000000000000000e+00,1.762790000000000000e+05
4.299999713897705078e+00,1.553336250000000000e+05
4.349999904632568359e+00,1.852626875000000000e+05
4.399999618530273438e+00,2.751619375000000000e+05
4.449999809265136719e+00,4.149583750000000000e+05
4.500000000000000000e+00,6.495182500000000000e+05
4.549999713897705078e+00,1.030471250000000000e+06
4.599999904632568359e+00,1.439324000000000000e+06
4.650000095367431641e+00,1.591032750000000000e+06
4.699999809265136719e+00,1.358445125000000000e+06
4.750000000000000000e+00,9.275426250000000000e+05
4.799999713897705078e+00,5.692505625000000000e+05
4.849999904632568359e+00,4.008803750000000000e+05
4.900000095367431641e+00,3.067063750000000000e+05
4.949999809265136719e+00,2.892925625000000000e+05
5.000000000000000000e+00,3.726826875000000000e+05
5.050000190734863281e+00,8.380348750000000000e+05
5.099999904632568359e+00,2.087829250000000000e+06
5.150000095367431641e+00,2.958876500000000000e+06
5.199999809265136719e+00,2.320188250000000000e+06
5.250000000000000000e+00,1.245467750000000000e+06
5.300000190734863281e+00,9.104663125000000000e+05
5.349999904632568359e+00,1.185856000000000000e+06
5.400000095367431641e+00,1.861321875000000000e+06
5.450000286102294922e+00,2.791350500000000000e+06
5.500000000000000000e+00,3.336815000000000000e+06
5.550000190734863281e+00,3.036463750000000000e+06
5.599999904632568359e+00,2.215664750000000000e+06
5.650000095367431641e+00,1.414911500000000000e+06
5.700000286102294922e+00,8.222555000000000000e+05
5.750000000000000000e+00,4.454075000000000000e+05
5.800000190734863281e+00,2.958153750000000000e+05
5.850000381469726562e+00,8.601863125000000000e+05
5.900000095367431641e+00,7.319428750000000000e+05
5.950000286102294922e+00,2.470674375000000000e+05
6.000000000000000000e+00,2.926153125000000000e+05
6.050000190734863281e+00,3.817495312500000000e+05
6.100000381469726562e+00,4.336674375000000000e+05
6.150000095367431641e+00,3.977549375000000000e+05
6.199999809265136719e+00,3.042215937500000000e+05
6.250000000000000000e+00,2.022488125000000000e+05
6.299999713897705078e+00,1.488056875000000000e+05
6.349999904632568359e+00,1.701903125000000000e+05
6.399999618530273438e+00,3.945237500000000000e+05
6.449999809265136719e+00,6.054910625000000000e+05
6.500000000000000000e+00,4.409138125000000000e+05
6.549999713897705078e+00,1.925151875000000000e+05
6.599999904632568359e+00,1.186885625000000000e+05
6.650000095367431641e+00,1.186506875000000000e+05
6.699999809265136719e+00,1.311696875000000000e+05
6.750000000000000000e+00,1.708888125000000000e+05
6.799999713897705078e+00,3.005041875000000000e+05
6.849999904632568359e+00,5.557462500000000000e+05
6.900000095367431641e+00,8.283027500000000000e+05
6.949999809265136719e+00,9.508286250000000000e+05
7.000000000000000000e+00,8.894244375000000000e+05
7.050000190734863281e+00,7.766419375000000000e+05
7.099999904632568359e+00,7.923716250000000000e+05
7.150000095367431641e+00,9.934178750000000000e+05
7.199999809265136719e+00,1.238229750000000000e+06
7.250000000000000000e+00,1.299081250000000000e+06
7.300000190734863281e+00,1.129225750000000000e+06
7.349999904632568359e+00,8.987150000000000000e+05
7.400000095367431641e+00,8.824373750000000000e+05
7.450000286102294922e+00,1.148682875000000000e+06
7.500000000000000000e+00,1.216336000000000000e+06
7.550000190734863281e+00,8.770491875000000000e+05
7.599999904632568359e+00,5.968089375000000000e+05
7.650000095367431641e+00,5.407030000000000000e+05
7.700000286102294922e+00,5.281987500000000000e+05
7.750000000000000000e+00,7.702855625000000000e+05
7.800000190734863281e+00,1.235781750000000000e+06
7.850000381469726562e+00,9.800995625000000000e+05
7.900000095367431641e+00,5.376650000000000000e+05
7.950000286102294922e+00,5.027687500000000000e+05
8.000000000000000000e+00,5.025809375000000000e+05
8.050000190734863281e+00,4.441479375000000000e+05
8.100000381469726562e+00,3.762011562500000000e+05
8.150000572204589844e+00,3.371783750000000000e+05
8.199999809265136719e+00,3.701897500000000000e+05
8.250000000000000000e+00,5.305724375000000000e+05
8.300000190734863281e+00,7.789078750000000000e+05
8.349999427795410156e+00,9.232003750000000000e+05
8.399999618530273438e+00,8.552327500000000000e+05
8.449999809265136719e+00,6.983306250000000000e+05
8.500000000000000000e+00,6.124204375000000000e+05
8.550000190734863281e+00,5.815858750000000000e+05
8.600000381469726562e+00,5.098628750000000000e+05
8.650000572204589844e+00,3.800890000000000000e+05
8.700000762939453125e+00,2.521192500000000000e+05
8.750000000000000000e+00,1.914882187500000000e+05
8.800000190734863281e+00,3.388701875000000000e+05
8.850000381469726562e+00,1.712031562500000000e+05
8.900000572204589844e+00,1.080752187500000000e+05
8.950000762939453125e+00,1.283666562500000000e+05
9.000000000000000000e+00,2.538644062500000000e+05
9.050000190734863281e+00,4.609378437500000000e+05
9.100000381469726562e+00,5.827090000000000000e+05
9.149999618530273438e+00,6.297693750000000000e+05
9.199999809265136719e+00,6.811097500000000000e+05
9.250000000000000000e+00,5.452168750000000000e+05
9.300000190734863281e+00,3.778415000000000000e+05
9.350000381469726562e+00,2.738232187500000000e+05
9.399999618530273438e+00,1.910397500000000000e+05
9.449999809265136719e+00,1.504265000000000000e+05
9.500000000000000000e+00,1.582777500000000000e+05
9.549999237060546875e+00,2.096804062500000000e+05
9.599999427795410156e+00,3.124701875000000000e+05
9.649999618530273438e+00,4.863851250000000000e+05
9.699999809265136719e+00,6.979965625000000000e+05
9.750000000000000000e+00,8.272897500000000000e+05
9.800000190734863281e+00,8.201192500000000000e+05
9.850000381469726562e+00,7.873278750000000000e+05
9.900000572204589844e+00,9.037424375000000000e+05
9.949999809265136719e+00,1.039455437500000000e+06
1.000000000000000000e+01,8.421946250000000000e+05
1.005000019073486328e+01,5.618631875000000000e+05
1.010000038146972656e+01,4.918675000000000000e+05
1.015000057220458984e+01,5.867397500000000000e+05
1.019999980926513672e+01,6.746428125000000000e+05
1.025000000000000000e+01,5.949445000000000000e+05
1.030000019073486328e+01,4.128495000000000000e+05
1.034999942779541016e+01,2.548127187500000000e+05
1.039999961853027344e+01,1.657536875000000000e+05
1.044999980926513672e+01,1.551305781250000000e+05
1.050000000000000000e+01,2.243803750000000000e+05
1.055000019073486328e+01,4.045890625000000000e+05
1.060000038146972656e+01,7.713562500000000000e+05
1.065000057220458984e+01,7.093738125000000000e+05
1.070000076293945312e+01,4.262825625000000000e+05
1.075000000000000000e+01,3.393845312500000000e+05
1.080000019073486328e+01,2.995730625000000000e+05
1.085000038146972656e+01,2.869903437500000000e+05
1.090000057220458984e+01,2.964769687500000000e+05
1.095000076293945312e+01,3.214638750000000000e+05
1.100000000000000000e+01,3.188863125000000000e+05
1.105000019073486328e+01,2.659441875000000000e+05
1.110000038146972656e+01,1.991193437500000000e+05
1.114999961853027344e+01,1.648727187500000000e+05
1.119999980926513672e+01,1.755992343750000000e+05
1.125000000000000000e+01,2.281908593750000000e+05
1.130000019073486328e+01,2.747078437500000000e+05
1.135000038146972656e+01,2.473347187500000000e+05
1.139999961853027344e+01,1.794820625000000000e+05
1.144999980926513672e+01,1.490638125000000000e+05
1.150000000000000000e+01,2.071719687500000000e+05
1.154999923706054688e+01,3.517578125000000000e+05
1.159999942779541016e+01,4.310680625000000000e+05
1.164999961853027344e+01,3.795424375000000000e+05
1.169999980926513672e+01,3.604741562500000000e+05
1.175000000000000000e+01,4.141282812500000000e+05
1.180000019073486328e+01,3.525666875000000000e+05
1.185000038146972656e+01,3.542873750000000000e+05
1.190000057220458984e+01,3.617358125000000000e+05
1.194999980926513672e+01,3.458990937500000000e+05
1.200000000000000000e+01,3.571345000000000000e+05
1.205000019073486328e+01,4.022884375000000000e+05
1.210000038146972656e+01,3.894134062500000000e+05
1.215000057220458984e+01,3.919673437500000000e+05
1.219999980926513672e+01,3.651416875000000000e+05
1.225000000000000000e+01,3.144277500000000000e+05
1.230000019073486328e+01,2.787384062500000000e+05
1.234999942779541016e+01,2.796158125000000000e+05
1.239999961853027344e+01,3.581176250000000000e+05
1.244999980926513672e+01,5.159021250000000000e+05
1.250000000000000000e+01,5.964746250000000000e+05
1.255000019073486328e+01,5.664820000000000000e+05
1.260000038146972656e+01,5.984566250000000000e+05
1.265000057220458984e+01,5.442733750000000000e+05
1.270000076293945312e+01,3.713951875000000000e+05
1.275000000000000000e+01,2.934673125000000000e+05
1.280000019073486328e+01,2.598815625000000000e+05
1.285000038146972656e+01,2.312247656250000000e+05
1.290000057220458984e+01,2.147050000000000000e+05
1.295000076293945312e+01,2.050219375000000000e+05
1.300000000000000000e+01,2.062759375000000000e+05
1.305000019073486328e+01,2.115124687500000000e+05
1.310000038146972656e+01,1.876840625000000000e+05
1.314999961853027344e+01,1.354062968750000000e+05
1.319999980926513672e+01,8.755514062500000000e+04
1.325000000000000000e+01,6.439418750000000000e+04
1.330000019073486328e+01,6.323956250000000000e+04
1.335000038146972656e+01,8.062725000000000000e+04
1.339999961853027344e+01,1.172461250000000000e+05
1.344999980926513672e+01,2.671670937500000000e+05
1.350000000000000000e+01,3.179603125000000000e+05
1.354999923706054688e+01,2.431476875000000000e+05
1.359999942779541016e+01,2.667054062500000000e+05
1.364999961853027344e+01,2.888546875000000000e+05
1.369999980926513672e+01,3.039819062500000000e+05
1.375000000000000000e+01,2.947579062500000000e+05
1.380000019073486328e+01,2.633255000000000000e+05
1.385000038146972656e+01,2.235450781250000000e+05
1.390000057220458984e+01,1.823133437500000000e+05
1.394999980926513672e+01,1.586296250000000000e+05
1.400000000000000000e+01,1.764188437500000000e+05
1.405000019073486328e+01,2.353124218750000000e+05
1.410000038146972656e+01,3.026989375000000000e+05
1.415000057220458984e+01,3.560516562500000000e+05
1.419999980926513672e+01,4.241115000000000000e+05
1.425000000000000000e+01,4.506216875000000000e+05
1.430000019073486328e+01,3.373715625000000000e+05
1.434999942779541016e+01,1.956634375000000000e+05
1.439999961853027344e+01,1.294001171875000000e+05
1.444999980926513672e+01,1.056217968750000000e+05
1.450000000000000000e+01,9.641171875000000000e+04
1.455000019073486328e+01,9.686828125000000000e+04
1.460000038146972656e+01,1.048316796875000000e+05
1.465000057220458984e+01,1.319185937500000000e+05
1.470000076293945312e+01,1.353185468750000000e+05
1.475000000000000000e+01,1.331549843750000000e+05
1.480000019073486328e+01,1.774656406250000000e+05
1.485000038146972656e+01,2.360818750000000000e+05
1.490000057220458984e+01,3.309668750000000000e+05
