# q,iq
1.000000000000000000e+00,2.882014687500000000e+05
1.049999952316284180e+00,2.743030000000000000e+05
1.100000023841857910e+00,2.399666875000000000e+05
1.149999976158142090e+00,1.940214375000000000e+05
1.200000047683715820e+00,1.453075937500000000e+05
1.250000000000000000e+00,1.011126875000000000e+05
1.299999952316284180e+00,6.635668750000000000e+04
1.350000023841857910e+00,4.340531250000000000e+04
1.399999976158142090e+00,3.232931250000000000e+04
1.449999928474426270e+00,3.143890625000000000e+04
1.500000000000000000e+00,3.793715625000000000e+04
1.549999952316284180e+00,4.857096875000000000e+04
1.600000023841857910e+00,6.019909375000000000e+04
1.649999976158142090e+00,7.020406250000000000e+04
1.699999928474426270e+00,7.676756250000000000e+04
1.750000000000000000e+00,7.897118750000000000e+04
1.799999952316284180e+00,7.676609375000000000e+04
1.849999904632568359e+00,7.084243750000000000e+04
1.899999976158142090e+00,6.242309375000000000e+04
1.949999928474426270e+00,5.302959375000000000e+04
2.000000000000000000e+00,4.426346875000000000e+04
2.049999952316284180e+00,3.760018750000000000e+04
2.099999904632568359e+00,3.426609375000000000e+04
2.149999856948852539e+00,3.515590625000000000e+04
2.200000047683715820e+00,4.083421875000000000e+04
2.250000000000000000e+00,5.160931250000000000e+04
2.299999952316284180e+00,6.786196875000000000e+04
2.350000143051147461e+00,9.900825000000000000e+04
2.400000095367431641e+00,1.278714687500000000e+05
2.450000047683715820e+00,1.542520625000000000e+05
2.500000000000000000e+00,2.270370781250000000e+05
2.549999952316284180e+00,3.443613750000000000e+05
2.599999904632568359e+00,4.727867500000000000e+05
2.649999856948852539e+00,5.877657500000000000e+05
2.699999809265136719e+00,6.872003750000000000e+05
2.750000000000000000e+00,7.822378125000000000e+05
2.799999952316284180e+00,8.820452500000000000e+05
2.849999904632568359e+00,9.844145000000000000e+05
2.899999856948852539e+00,1.075503375000000000e+06
2.949999809265136719e+00,1.136103625000000000e+06
3.000000000000000000e+00,1.149732625000000000e+06
3.049999952316284180e+00,1.108645000000000000e+06
3.099999904632568359e+00,1.015942500000000000e+06
3.150000095367431641e+00,8.839621250000000000e+05
3.200000047683715820e+00,7.303506250000000000e+05
3.250000000000000000e+00,5.735933750000000000e+05
3.299999952316284180e+00,4.293561875000000000e+05
3.349999904632568359e+00,3.083753437500000000e+05
3.400000095367431641e+00,2.159369375000000000e+05
3.450000047683715820e+00,1.525633906250000000e+05
3.500000000000000000e+00,1.153273437500000000e+05
3.550000190734863281e+00,9.929271875000000000e+04
3.600000143051147461e+00,9.873903125000000000e+04
3.650000095367431641e+00,1.080326406250000000e+05
3.700000047683715820e+00,1.221536250000000000e+05
3.750000000000000000e+00,1.369833437500000000e+05
3.799999952316284180e+00,1.494331406250000000e+05
3.849999904632568359e+00,1.574930937500000000e+05
3.899999856948852539e+00,1.602198750000000000e+05
3.950000047683715820e+00,1.576512968750000000e+05
4.000000000000000000e+00,1.506514375000000000e+05
4.050000190734863281e+00,1.406763906250000000e+05
4.099999904632568359e+00,1.294857343750000000e+05
4.150000095367431641e+00,1.188484218750000000e+05
4.199999809265136719e+00,1.102846562500000000e+05
4.250000000000000000e+00,1.048773125000000000e+05
4.299999713897705078e+00,1.031882812500000000e+05
4.349999904632568359e+00,1.052579687500000000e+05
4.399999618530273438e+00,1.106981406250000000e+05
4.449999809265136719e+00,1.188245156250000000e+05
4.500000000000000000e+00,1.288620390625000000e+05
4.549999713897705078e+00,1.403728750000000000e+05
4.599999904632568359e+00,1.558622187500000000e+05
4.650000095367431641e+00,5.797963125000000000e+05
4.699999809265136719e+00,2.523415625000000000e+05
4.750000000000000000e+00,2.233190312500000000e+05
4.799999713897705078e+00,2.132977500000000000e+05
4.849999904632568359e+00,1.990287656250000000e+05
4.900000095367431641e+00,2.062839687500000000e+05
4.949999809265136719e+00,2.191289218750000000e+05
5.000000000000000000e+00,2.254851718750000000e+05
5.050000190734863281e+00,2.275796093750000000e+05
5.099999904632568359e+00,2.334751406250000000e+05
5.150000095367431641e+00,2.490305468750000000e+05
5.199999809265136719e+00,2.756246875000000000e+05
5.250000000000000000e+00,3.115870312500000000e+05
5.300000190734863281e+00,3.538003750000000000e+05
