# q,iq
1.000000000000000000e+00,2.830445000000000000e+05
1.049999952316284180e+00,3.192520000000000000e+05
1.100000023841857910e+00,5.966790000000000000e+05
1.149999976158142090e+00,2.822360000000000000e+05
1.200000047683715820e+00,2.264335000000000000e+05
1.250000000000000000e+00,4.440640000000000000e+05
1.299999952316284180e+00,3.104765000000000000e+05
1.350000023841857910e+00,2.091395000000000000e+05
1.399999976158142090e+00,3.177870000000000000e+05
1.449999928474426270e+00,2.555585000000000000e+05
1.500000000000000000e+00,1.903010000000000000e+05
1.549999952316284180e+00,3.058785000000000000e+05
1.600000023841857910e+00,3.172405000000000000e+05
1.649999976158142090e+00,2.333935000000000000e+05
1.699999928474426270e+00,2.621275000000000000e+05
1.750000000000000000e+00,2.921705000000000000e+05
1.799999952316284180e+00,2.606475000000000000e+05
1.849999904632568359e+00,2.888695000000000000e+05
1.899999976158142090e+00,3.350115000000000000e+05
1.949999928474426270e+00,3.244060000000000000e+05
2.000000000000000000e+00,3.424610000000000000e+05
2.049999952316284180e+00,4.166675000000000000e+05
2.099999904632568359e+00,4.693180000000000000e+05
2.149999856948852539e+00,5.236215000000000000e+05
2.200000047683715820e+00,6.419287500000000000e+05
2.250000000000000000e+00,7.110570000000000000e+05
2.299999952316284180e+00,6.999707500000000000e+05
2.350000143051147461e+00,9.586112500000000000e+05
2.400000095367431641e+00,1.468819250000000000e+06
2.450000047683715820e+00,1.599311000000000000e+06
2.500000000000000000e+00,2.522115000000000000e+06
2.549999952316284180e+00,7.984825500000000000e+06
2.599999904632568359e+00,1.844823600000000000e+07
2.649999856948852539e+00,2.652544600000000000e+07
2.699999809265136719e+00,2.442497000000000000e+07
2.750000000000000000e+00,1.444044800000000000e+07
2.799999952316284180e+00,5.652807500000000000e+06
2.849999904632568359e+00,2.273813000000000000e+06
2.899999856948852539e+00,2.092754625000000000e+06
2.949999809265136719e+00,3.896768750000000000e+06
3.000000000000000000e+00,8.474550000000000000e+06
3.049999952316284180e+00,1.334427600000000000e+07
3.099999904632568359e+00,1.370851400000000000e+07
3.150000095367431641e+00,9.043823000000000000e+06
3.200000047683715820e+00,3.772834500000000000e+06
3.250000000000000000e+00,1.248908000000000000e+06
3.299999952316284180e+00,8.218530000000000000e+05
3.349999904632568359e+00,7.083290000000000000e+05
3.400000095367431641e+00,4.853292500000000000e+05
3.450000047683715820e+00,3.884565000000000000e+05
3.500000000000000000e+00,3.583142500000000000e+05
3.550000190734863281e+00,3.055415000000000000e+05
3.600000143051147461e+00,2.859745000000000000e+05
3.650000095367431641e+00,2.876847500000000000e+05
3.700000047683715820e+00,2.711275000000000000e+05
3.750000000000000000e+00,2.614050000000000000e+05
3.799999952316284180e+00,2.647975000000000000e+05
3.849999904632568359e+00,2.826587500000000000e+05
3.899999856948852539e+00,3.273155000000000000e+05
3.950000047683715820e+00,3.420210000000000000e+05
4.000000000000000000e+00,3.408812500000000000e+05
4.050000190734863281e+00,4.827880000000000000e+05
4.099999904632568359e+00,6.731042500000000000e+05
4.150000095367431641e+00,6.915260000000000000e+05
4.199999809265136719e+00,1.303663750000000000e+06
4.250000000000000000e+00,4.002480250000000000e+06
4.299999713897705078e+00,8.327838000000000000e+06
4.349999904632568359e+00,1.091047400000000000e+07
4.399999618530273438e+00,9.203380000000000000e+06
4.449999809265136719e+00,4.924939000000000000e+06
4.500000000000000000e+00,1.717376000000000000e+06
4.549999713897705078e+00,7.469225000000000000e+05
4.599999904632568359e+00,7.028977500000000000e+05
4.650000095367431641e+00,6.158355000000000000e+05
4.699999809265136719e+00,5.194897500000000000e+05
4.750000000000000000e+00,5.094780000000000000e+05
4.799999713897705078e+00,6.392850000000000000e+05
4.849999904632568359e+00,8.530208750000000000e+05
4.900000095367431641e+00,9.001523750000000000e+05
4.949999809265136719e+00,1.580293000000000000e+06
5.000000000000000000e+00,4.834345000000000000e+06
5.050000190734863281e+00,1.033022000000000000e+07
5.099999904632568359e+00,1.379173100000000000e+07
5.150000095367431641e+00,1.187671800000000000e+07
5.199999809265136719e+00,7.028888000000000000e+06
5.250000000000000000e+00,4.188153000000000000e+06
5.300000190734863281e+00,4.325234000000000000e+06
5.349999904632568359e+00,4.558198000000000000e+06
5.400000095367431641e+00,3.226091000000000000e+06
5.450000286102294922e+00,1.488881250000000000e+06
5.500000000000000000e+00,6.135606250000000000e+05
5.550000190734863281e+00,4.225823750000000000e+05
5.599999904632568359e+00,3.467748750000000000e+05
5.650000095367431641e+00,2.739267500000000000e+05
5.700000286102294922e+00,2.524675000000000000e+05
5.750000000000000000e+00,2.403740000000000000e+05
5.800000190734863281e+00,2.183372500000000000e+05
5.850000381469726562e+00,2.202680000000000000e+05
5.900000095367431641e+00,2.436047500000000000e+05
5.950000286102294922e+00,2.496568750000000000e+05
6.000000000000000000e+00,3.334442500000000000e+05
6.050000190734863281e+00,7.645656250000000000e+05
6.100000381469726562e+00,1.542030875000000000e+06
6.150000095367431641e+00,2.075954375000000000e+06
6.199999809265136719e+00,1.839174250000000000e+06
6.250000000000000000e+00,1.111523375000000000e+06
6.299999713897705078e+00,5.344097500000000000e+05
6.349999904632568359e+00,3.262458750000000000e+05
6.399999618530273438e+00,3.715170000000000000e+05
6.449999809265136719e+00,4.926860000000000000e+05
6.500000000000000000e+00,4.997885000000000000e+05
6.549999713897705078e+00,7.227031250000000000e+05
6.599999904632568359e+00,2.061210000000000000e+06
6.650000095367431641e+00,4.440540000000000000e+06
6.699999809265136719e+00,6.174940500000000000e+06
6.750000000000000000e+00,6.223280000000000000e+06
6.799999713897705078e+00,5.737834000000000000e+06
6.849999904632568359e+00,5.880180500000000000e+06
6.900000095367431641e+00,5.757644000000000000e+06
6.949999809265136719e+00,4.203056500000000000e+06
7.000000000000000000e+00,2.003702125000000000e+06
7.050000190734863281e+00,7.028803750000000000e+05
7.099999904632568359e+00,4.566060000000000000e+05
7.150000095367431641e+00,4.316242500000000000e+05
7.199999809265136719e+00,3.163238750000000000e+05
7.250000000000000000e+00,3.201558750000000000e+05
7.300000190734863281e+00,3.852863750000000000e+05
7.349999904632568359e+00,3.738053750000000000e+05
7.400000095367431641e+00,6.970903750000000000e+05
7.450000286102294922e+00,1.887849625000000000e+06
7.500000000000000000e+00,3.500797000000000000e+06
7.550000190734863281e+00,4.192227500000000000e+06
7.599999904632568359e+00,3.278905000000000000e+06
7.650000095367431641e+00,1.659507750000000000e+06
7.700000286102294922e+00,6.597066875000000000e+05
7.750000000000000000e+00,4.682910000000000000e+05
7.800000190734863281e+00,4.617197500000000000e+05
7.850000381469726562e+00,6.667919375000000000e+05
7.900000095367431641e+00,1.768123500000000000e+06
7.950000286102294922e+00,3.564331000000000000e+06
8.000000000000000000e+00,4.575042500000000000e+06
8.050000190734863281e+00,3.794771250000000000e+06
8.100000381469726562e+00,2.011305500000000000e+06
8.150000572204589844e+00,7.010785000000000000e+05
8.199999809265136719e+00,3.065560000000000000e+05
8.250000000000000000e+00,2.890675000000000000e+05
8.300000190734863281e+00,2.382530000000000000e+05
8.349999427795410156e+00,1.802485000000000000e+05
8.399999618530273438e+00,1.788100000000000000e+05
8.449999809265136719e+00,1.931840000000000000e+05
8.500000000000000000e+00,1.923821250000000000e+05
8.550000190734863281e+00,2.396346250000000000e+05
8.600000381469726562e+00,5.052981250000000000e+05
