# q,iq
1.000000000000000000e+00,5.073042187500000000e+04
1.049999952316284180e+00,5.976250000000000000e+04
1.100000023841857910e+00,2.744529687500000000e+04
1.149999976158142090e+00,1.007162500000000000e+04
1.200000047683715820e+00,2.413532812500000000e+04
1.250000000000000000e+00,3.359376562500000000e+04
1.299999952316284180e+00,2.166575000000000000e+04
1.350000023841857910e+00,1.083054687500000000e+04
1.399999976158142090e+00,1.600478125000000000e+04
1.449999928474426270e+00,2.338800000000000000e+04
1.500000000000000000e+00,2.039570312500000000e+04
1.549999952316284180e+00,1.500806250000000000e+04
1.600000023841857910e+00,1.706585937500000000e+04
1.649999976158142090e+00,2.204292187500000000e+04
1.699999928474426270e+00,2.270010937500000000e+04
1.750000000000000000e+00,2.194006250000000000e+04
1.799999952316284180e+00,2.488140625000000000e+04
1.849999904632568359e+00,2.830001562500000000e+04
1.899999976158142090e+00,2.657284375000000000e+04
1.949999928474426270e+00,2.167740625000000000e+04
2.000000000000000000e+00,1.985810937500000000e+04
2.049999952316284180e+00,2.250725000000000000e+04
2.099999904632568359e+00,2.648035937500000000e+04
2.149999856948852539e+00,3.035785937500000000e+04
2.200000047683715820e+00,3.459698437500000000e+04
2.250000000000000000e+00,3.746900000000000000e+04
2.299999952316284180e+00,3.671059375000000000e+04
2.350000143051147461e+00,3.538467187500000000e+04
2.400000095367431641e+00,4.198717187500000000e+04
2.450000047683715820e+00,6.360067187500000000e+04
2.500000000000000000e+00,9.997328125000000000e+04
2.549999952316284180e+00,1.422100625000000000e+05
2.599999904632568359e+00,1.753854218750000000e+05
2.649999856948852539e+00,1.887758906250000000e+05
2.699999809265136719e+00,1.944549531250000000e+05
2.750000000000000000e+00,2.359522343750000000e+05
2.799999952316284180e+00,3.620505625000000000e+05
2.849999904632568359e+00,5.734371250000000000e+05
2.899999856948852539e+00,7.930400625000000000e+05
2.949999809265136719e+00,9.041279375000000000e+05
3.000000000000000000e+00,8.353993125000000000e+05
3.049999952316284180e+00,6.178421250000000000e+05
3.099999904632568359e+00,3.599996250000000000e+05
3.150000095367431641e+00,1.662358750000000000e+05
3.200000047683715820e+00,7.265260937500000000e+04
3.250000000000000000e+00,4.859034375000000000e+04
3.299999952316284180e+00,4.511551562500000000e+04
3.349999904632568359e+00,3.697670312500000000e+04
3.400000095367431641e+00,2.676581250000000000e+04
3.450000047683715820e+00,2.345592187500000000e+04
3.500000000000000000e+00,2.592722656250000000e+04
3.550000190734863281e+00,2.653110937500000000e+04
3.600000143051147461e+00,2.481281250000000000e+04
3.650000095367431641e+00,3.260130468750000000e+04
3.700000047683715820e+00,6.316527343750000000e+04
3.750000000000000000e+00,1.148575078125000000e+05
3.799999952316284180e+00,1.663763125000000000e+05
3.849999904632568359e+00,1.901825781250000000e+05
3.899999856948852539e+00,1.729724218750000000e+05
3.950000047683715820e+00,1.251682968750000000e+05
4.000000000000000000e+00,7.201509375000000000e+04
4.050000190734863281e+00,3.542297656250000000e+04
4.099999904632568359e+00,2.165403125000000000e+04
4.150000095367431641e+00,2.220094531250000000e+04
4.199999809265136719e+00,2.442978906250000000e+04
4.250000000000000000e+00,2.346347656250000000e+04
4.299999713897705078e+00,2.705067968750000000e+04
4.349999904632568359e+00,4.883849218750000000e+04
4.399999618530273438e+00,9.364020312500000000e+04
4.449999809265136719e+00,1.473710781250000000e+05
4.500000000000000000e+00,1.833788750000000000e+05
4.549999713897705078e+00,1.819640468750000000e+05
4.599999904632568359e+00,1.453270000000000000e+05
4.650000095367431641e+00,9.421466406250000000e+04
4.699999809265136719e+00,5.183650390625000000e+04
4.750000000000000000e+00,3.199818750000000000e+04
4.799999713897705078e+00,3.897896093750000000e+04
4.849999904632568359e+00,7.098154687500000000e+04
4.900000095367431641e+00,1.184399218750000000e+05
4.949999809265136719e+00,1.615989218750000000e+05
5.000000000000000000e+00,1.778380781250000000e+05
5.050000190734863281e+00,1.581005625000000000e+05
5.099999904632568359e+00,1.178175000000000000e+05
5.150000095367431641e+00,8.939813281250000000e+04
5.199999809265136719e+00,9.980367968750000000e+04
5.250000000000000000e+00,1.503794375000000000e+05
5.300000190734863281e+00,2.144893750000000000e+05
5.349999904632568359e+00,2.547492656250000000e+05
5.400000095367431641e+00,2.475662187500000000e+05
5.450000286102294922e+00,1.976301250000000000e+05
5.500000000000000000e+00,1.322283750000000000e+05
5.550000190734863281e+00,8.044706250000000000e+04
5.599999904632568359e+00,5.430025000000000000e+04
5.650000095367431641e+00,4.637577343750000000e+04
5.700000286102294922e+00,4.299928125000000000e+04
5.750000000000000000e+00,3.814749609375000000e+04
5.800000190734863281e+00,3.525061328125000000e+04
5.850000381469726562e+00,3.839819531250000000e+04
5.900000095367431641e+00,4.493207031250000000e+04
5.950000286102294922e+00,4.751061718750000000e+04
6.000000000000000000e+00,4.195179687500000000e+04
6.050000190734863281e+00,3.143817187500000000e+04
6.100000381469726562e+00,2.296314062500000000e+04
6.150000095367431641e+00,2.057219921875000000e+04
6.199999809265136719e+00,2.243886328125000000e+04
6.250000000000000000e+00,2.382583593750000000e+04
6.299999713897705078e+00,2.192888281250000000e+04
6.349999904632568359e+00,1.762928906250000000e+04
6.399999618530273438e+00,1.338182421875000000e+04
6.449999809265136719e+00,1.073881250000000000e+04
6.500000000000000000e+00,1.061156250000000000e+04
6.549999713897705078e+00,1.498669140625000000e+04
6.599999904632568359e+00,2.618789843750000000e+04
6.650000095367431641e+00,4.300416406250000000e+04
6.699999809265136719e+00,5.855234765625000000e+04
6.750000000000000000e+00,6.467989453125000000e+04
6.799999713897705078e+00,6.017545312500000000e+04
6.849999904632568359e+00,5.371492187500000000e+04
6.900000095367431641e+00,5.660100781250000000e+04
6.949999809265136719e+00,7.181570312500000000e+04
7.000000000000000000e+00,9.106953125000000000e+04
7.050000190734863281e+00,1.030982187500000000e+05
7.099999904632568359e+00,1.038962031250000000e+05
7.150000095367431641e+00,9.802395312500000000e+04
7.199999809265136719e+00,9.126203125000000000e+04
7.250000000000000000e+00,8.462200000000000000e+04
7.300000190734863281e+00,7.638635156250000000e+04
7.349999904632568359e+00,6.772782812500000000e+04
7.400000095367431641e+00,6.324425781250000000e+04
7.450000286102294922e+00,6.523891406250000000e+04
7.500000000000000000e+00,6.940281250000000000e+04
7.550000190734863281e+00,6.818516406250000000e+04
