# q,sq
1.000000000000000000e+00,-2.545009255409240723e-01
1.049999952316284180e+00,-3.172337412834167480e-01
1.100000023841857910e+00,-3.562473058700561523e-01
1.149999976158142090e+00,-3.788934648036956787e-01
1.200000047683715820e+00,-3.898576498031616211e-01
1.250000000000000000e+00,-3.917497396469116211e-01
1.299999952316284180e+00,-3.857870399951934814e-01
1.350000023841857910e+00,-3.724581599235534668e-01
1.399999976158142090e+00,-3.520788550376892090e-01
1.449999928474426270e+00,-3.251842558383941650e-01
1.500000000000000000e+00,-2.927452325820922852e-01
1.549999952316284180e+00,-2.562137544155120850e-01
1.600000023841857910e+00,-2.174354195594787598e-01
1.649999976158142090e+00,-1.784740090370178223e-01
1.699999928474426270e+00,-1.413977891206741333e-01
1.750000000000000000e+00,-1.080732792615890503e-01
1.799999952316284180e+00,-7.999943196773529053e-02
1.849999904632568359e+00,-5.819973349571228027e-02
1.899999976158142090e+00,-4.318368062376976013e-02
1.949999928474426270e+00,-3.496550023555755615e-02
2.000000000000000000e+00,-3.313191980123519897e-02
2.049999952316284180e+00,-3.693844005465507507e-02
2.099999904632568359e+00,-4.541898146271705627e-02
2.149999856948852539e+00,-5.749037861824035645e-02
2.200000047683715820e+00,-7.204556465148925781e-02
2.250000000000000000e+00,-8.802607655525207520e-02
2.299999952316284180e+00,-1.044760346412658691e-01
2.350000143051147461e+00,-1.205757409334182739e-01
2.400000095367431641e+00,-1.356616169214248657e-01
2.450000047683715820e+00,-1.492343395948410034e-01
2.500000000000000000e+00,-1.609572917222976685e-01
2.549999952316284180e+00,-1.706493049860000610e-01
2.599999904632568359e+00,-1.782682985067367554e-01
2.649999856948852539e+00,-1.838878393173217773e-01
2.699999809265136719e+00,-1.876645684242248535e-01
2.750000000000000000e+00,-1.897976696491241455e-01
2.799999952316284180e+00,-1.904807537794113159e-01
2.849999904632568359e+00,-1.898509711027145386e-01
2.899999856948852539e+00,-1.879420578479766846e-01
2.949999809265136719e+00,-1.846448481082916260e-01
3.000000000000000000e+00,-1.796865761280059814e-01
3.049999952316284180e+00,-1.726320534944534302e-01
3.099999904632568359e+00,-1.629137098789215088e-01
3.150000095367431641e+00,-1.498887687921524048e-01
3.200000047683715820e+00,-1.329223662614822388e-01
3.250000000000000000e+00,-1.114881113171577454e-01
3.299999952316284180e+00,-8.527462184429168701e-02
3.349999904632568359e+00,-5.428502708673477173e-02
3.400000095367431641e+00,-1.891226693987846375e-02
3.450000047683715820e+00,2.002058364450931549e-02
3.500000000000000000e+00,6.126863136887550354e-02
3.550000190734863281e+00,1.032252907752990723e-01
3.600000143051147461e+00,1.440328955650329590e-01
3.650000095367431641e+00,1.817370802164077759e-01
3.700000047683715820e+00,2.144637107849121094e-01
3.750000000000000000e+00,2.406072318553924561e-01
3.799999952316284180e+00,2.589965164661407471e-01
3.849999904632568359e+00,2.690237760543823242e-01
3.899999856948852539e+00,2.707144916057586670e-01
3.950000047683715820e+00,2.647248506546020508e-01
4.000000000000000000e+00,2.522685825824737549e-01
4.050000190734863281e+00,2.349741607904434204e-01
4.099999904632568359e+00,2.146940529346466064e-01
4.150000095367431641e+00,1.932857334613800049e-01
