# q,iq
1.000000000000000000e+00,1.122919843750000000e+05
1.049999952316284180e+00,9.864989062500000000e+04
1.100000023841857910e+00,8.727298437500000000e+04
1.149999976158142090e+00,7.667429687500000000e+04
1.200000047683715820e+00,6.696225000000000000e+04
1.250000000000000000e+00,5.885751562500000000e+04
1.299999952316284180e+00,5.276859375000000000e+04
1.350000023841857910e+00,4.842107812500000000e+04
1.399999976158142090e+00,4.507962500000000000e+04
1.449999928474426270e+00,4.204626562500000000e+04
1.500000000000000000e+00,3.904359375000000000e+04
1.549999952316284180e+00,3.625929687500000000e+04
1.600000023841857910e+00,3.408159375000000000e+04
1.649999976158142090e+00,3.274292187500000000e+04
1.699999928474426270e+00,3.211778125000000000e+04
1.750000000000000000e+00,3.179128125000000000e+04
1.799999952316284180e+00,3.133687500000000000e+04
1.849999904632568359e+00,3.061662500000000000e+04
1.899999976158142090e+00,2.990415625000000000e+04
1.949999928474426270e+00,2.974646875000000000e+04
2.000000000000000000e+00,3.063054687500000000e+04
2.049999952316284180e+00,3.264940625000000000e+04
2.099999904632568359e+00,3.538826562500000000e+04
2.149999856948852539e+00,3.816082812500000000e+04
2.200000047683715820e+00,4.055215625000000000e+04
2.250000000000000000e+00,4.305712500000000000e+04
2.299999952316284180e+00,4.750450000000000000e+04
2.350000143051147461e+00,5.699468750000000000e+04
2.400000095367431641e+00,7.523722656250000000e+04
2.450000047683715820e+00,1.054179062500000000e+05
2.500000000000000000e+00,1.489353125000000000e+05
2.549999952316284180e+00,2.044499218750000000e+05
2.599999904632568359e+00,2.676399687500000000e+05
2.649999856948852539e+00,3.318229062500000000e+05
2.699999809265136719e+00,3.893274687500000000e+05
2.750000000000000000e+00,4.332183125000000000e+05
2.799999952316284180e+00,4.588605000000000000e+05
2.849999904632568359e+00,4.648533125000000000e+05
2.899999856948852539e+00,4.530829687500000000e+05
2.949999809265136719e+00,4.279385937500000000e+05
3.000000000000000000e+00,3.949914375000000000e+05
3.049999952316284180e+00,3.595776875000000000e+05
3.099999904632568359e+00,3.256962812500000000e+05
3.150000095367431641e+00,2.954733750000000000e+05
3.200000047683715820e+00,2.692393750000000000e+05
3.250000000000000000e+00,2.460574375000000000e+05
3.299999952316284180e+00,2.244572500000000000e+05
3.349999904632568359e+00,2.031130156250000000e+05
3.400000095367431641e+00,1.812890781250000000e+05
3.450000047683715820e+00,1.589866250000000000e+05
3.500000000000000000e+00,1.368257500000000000e+05
3.550000190734863281e+00,1.157676093750000000e+05
3.600000143051147461e+00,9.679118750000000000e+04
3.650000095367431641e+00,8.063003125000000000e+04
3.700000047683715820e+00,6.763211718750000000e+04
3.750000000000000000e+00,5.775173437500000000e+04
3.799999952316284180e+00,5.064762500000000000e+04
3.849999904632568359e+00,4.582846875000000000e+04
3.899999856948852539e+00,4.278260156250000000e+04
3.950000047683715820e+00,4.106165625000000000e+04
4.000000000000000000e+00,4.031159375000000000e+04
4.050000190734863281e+00,4.029147656250000000e+04
4.099999904632568359e+00,4.091565625000000000e+04
4.150000095367431641e+00,4.233708593750000000e+04
4.199999809265136719e+00,4.503700781250000000e+04
4.250000000000000000e+00,4.984365625000000000e+04
4.299999713897705078e+00,5.779605468750000000e+04
4.349999904632568359e+00,6.981978125000000000e+04
4.399999618530273438e+00,8.627400000000000000e+04
4.449999809265136719e+00,1.065200468750000000e+05
4.500000000000000000e+00,1.287119843750000000e+05
4.549999713897705078e+00,1.499599687500000000e+05
4.599999904632568359e+00,1.669003125000000000e+05
4.650000095367431641e+00,1.765342812500000000e+05
4.699999809265136719e+00,1.770844843750000000e+05
4.750000000000000000e+00,1.685704843750000000e+05
4.799999713897705078e+00,1.529004375000000000e+05
4.849999904632568359e+00,1.334423750000000000e+05
4.900000095367431641e+00,1.142208750000000000e+05
4.949999809265136719e+00,9.900404687500000000e+04
5.000000000000000000e+00,9.055936718750000000e+04
5.050000190734863281e+00,9.025590625000000000e+04
5.099999904632568359e+00,9.804343750000000000e+04
5.150000095367431641e+00,1.127079062500000000e+05
5.199999809265136719e+00,1.322421093750000000e+05
5.250000000000000000e+00,1.541997500000000000e+05
5.300000190734863281e+00,1.759728906250000000e+05
5.349999904632568359e+00,1.950189375000000000e+05
5.400000095367431641e+00,2.090880468750000000e+05
5.450000286102294922e+00,2.164760000000000000e+05
5.500000000000000000e+00,2.162764218750000000e+05
5.550000190734863281e+00,2.085449062500000000e+05
5.599999904632568359e+00,1.942931250000000000e+05
5.650000095367431641e+00,1.752781875000000000e+05
5.700000286102294922e+00,1.536315468750000000e+05
5.750000000000000000e+00,1.314399062500000000e+05
5.800000190734863281e+00,1.104027343750000000e+05
5.850000381469726562e+00,9.166038281250000000e+04
5.900000095367431641e+00,7.579948437500000000e+04
5.950000286102294922e+00,6.298247656250000000e+04
6.000000000000000000e+00,5.311189453125000000e+04
6.050000190734863281e+00,4.595206640625000000e+04
6.100000381469726562e+00,4.118739453125000000e+04
6.150000095367431641e+00,3.843569921875000000e+04
6.199999809265136719e+00,3.726239843750000000e+04
6.250000000000000000e+00,3.722100781250000000e+04
6.299999713897705078e+00,3.791605859375000000e+04
6.349999904632568359e+00,3.904960156250000000e+04
6.399999618530273438e+00,4.042191015625000000e+04
6.449999809265136719e+00,4.188039843750000000e+04
6.500000000000000000e+00,4.325663281250000000e+04
6.549999713897705078e+00,4.434931250000000000e+04
6.599999904632568359e+00,4.499662109375000000e+04
6.650000095367431641e+00,4.523039843750000000e+04
6.699999809265136719e+00,4.544004687500000000e+04
6.750000000000000000e+00,4.644630859375000000e+04
6.799999713897705078e+00,4.939626562500000000e+04
6.849999904632568359e+00,5.546512890625000000e+04
6.900000095367431641e+00,6.543961718750000000e+04
6.949999809265136719e+00,7.932674218750000000e+04
7.000000000000000000e+00,9.614990625000000000e+04
7.050000190734863281e+00,1.140304140625000000e+05
7.099999904632568359e+00,1.305591250000000000e+05
7.150000095367431641e+00,1.433471718750000000e+05
7.199999809265136719e+00,1.505798437500000000e+05
7.250000000000000000e+00,1.514043750000000000e+05
7.300000190734863281e+00,1.460442812500000000e+05
7.349999904632568359e+00,1.356386562500000000e+05
7.400000095367431641e+00,1.218929218750000000e+05
7.450000286102294922e+00,1.066773515625000000e+05
7.500000000000000000e+00,9.169843750000000000e+04
7.550000190734863281e+00,7.830580468750000000e+04
7.599999904632568359e+00,6.743923437500000000e+04
7.650000095367431641e+00,5.965742187500000000e+04
7.700000286102294922e+00,5.518507812500000000e+04
7.750000000000000000e+00,5.393525000000000000e+04
7.800000190734863281e+00,5.550781250000000000e+04
7.850000381469726562e+00,5.919803125000000000e+04
7.900000095367431641e+00,6.405878515625000000e+04
7.950000286102294922e+00,6.904021875000000000e+04
8.000000000000000000e+00,7.318789843750000000e+04
8.050000190734863281e+00,7.584505468750000000e+04
8.100000381469726562e+00,7.678824218750000000e+04
8.150000572204589844e+00,7.624470312500000000e+04
8.199999809265136719e+00,7.477367968750000000e+04
8.250000000000000000e+00,7.305343750000000000e+04
8.300000190734863281e+00,7.164200000000000000e+04
8.349999427795410156e+00,7.079678125000000000e+04
8.399999618530273438e+00,7.040787500000000000e+04
8.449999809265136719e+00,7.006074218750000000e+04
8.500000000000000000e+00,6.919562500000000000e+04
8.550000190734863281e+00,6.730014843750000000e+04
8.600000381469726562e+00,6.407101171875000000e+04
8.650000572204589844e+00,5.949742578125000000e+04
8.700000762939453125e+00,5.385667578125000000e+04
8.750000000000000000e+00,4.764104687500000000e+04
8.800000190734863281e+00,4.145090625000000000e+04
8.850000381469726562e+00,3.588795312500000000e+04
8.900000572204589844e+00,3.146607226562500000e+04
8.950000762939453125e+00,2.854523046875000000e+04
9.000000000000000000e+00,2.728660546875000000e+04
9.050000190734863281e+00,2.763157617187500000e+04
9.100000381469726562e+00,2.931628515625000000e+04
9.149999618530273438e+00,3.193377929687500000e+04
9.199999809265136719e+00,3.504555859375000000e+04
9.250000000000000000e+00,3.832094531250000000e+04
9.300000190734863281e+00,4.165930078125000000e+04
9.350000381469726562e+00,4.524042578125000000e+04
9.399999618530273438e+00,4.946303906250000000e+04
9.449999809265136719e+00,5.477378906250000000e+04
9.500000000000000000e+00,6.143100781250000000e+04
9.549999237060546875e+00,6.929278125000000000e+04
9.599999427795410156e+00,7.771678125000000000e+04
9.649999618530273438e+00,8.562914843750000000e+04
9.699999809265136719e+00,9.176007812500000000e+04
9.750000000000000000e+00,9.497735156250000000e+04
9.800000190734863281e+00,9.460712500000000000e+04
9.850000381469726562e+00,9.063363281250000000e+04
9.900000572204589844e+00,8.371035937500000000e+04
9.949999809265136719e+00,7.498160937500000000e+04
1.000000000000000000e+01,6.578014062500000000e+04
1.005000019073486328e+01,5.730447656250000000e+04
1.010000038146972656e+01,5.037435937500000000e+04
1.015000057220458984e+01,4.532926562500000000e+04
1.019999980926513672e+01,4.207596484375000000e+04
1.025000000000000000e+01,4.024459765625000000e+04
1.030000019073486328e+01,3.938142578125000000e+04
1.034999942779541016e+01,3.911105468750000000e+04
1.039999961853027344e+01,3.922213281250000000e+04
1.044999980926513672e+01,3.966646093750000000e+04
1.050000000000000000e+01,4.049068750000000000e+04
1.055000019073486328e+01,4.173739453125000000e+04
1.060000038146972656e+01,4.335615625000000000e+04
1.065000057220458984e+01,4.515573046875000000e+04
1.070000076293945312e+01,4.681251562500000000e+04
1.075000000000000000e+01,4.793334765625000000e+04
1.080000019073486328e+01,4.815178515625000000e+04
1.085000038146972656e+01,4.723088671875000000e+04
1.090000057220458984e+01,4.513566015625000000e+04
1.095000076293945312e+01,4.205389453125000000e+04
1.100000000000000000e+01,3.835368359375000000e+04
1.105000019073486328e+01,3.449259375000000000e+04
1.110000038146972656e+01,3.090887109375000000e+04
1.114999961853027344e+01,2.793398046875000000e+04
1.119999980926513672e+01,2.575516210937500000e+04
1.125000000000000000e+01,2.443781250000000000e+04
1.130000019073486328e+01,2.398723242187500000e+04
1.135000038146972656e+01,2.441327343750000000e+04
1.139999961853027344e+01,2.575943750000000000e+04
1.144999980926513672e+01,2.807505468750000000e+04
1.150000000000000000e+01,3.134002734375000000e+04
1.154999923706054688e+01,3.537776953125000000e+04
1.159999942779541016e+01,3.980676953125000000e+04
1.164999961853027344e+01,4.406459765625000000e+04
1.169999980926513672e+01,4.751634765625000000e+04
1.175000000000000000e+01,4.961522656250000000e+04
1.180000019073486328e+01,5.006266406250000000e+04
1.185000038146972656e+01,4.890839062500000000e+04
1.190000057220458984e+01,4.655150000000000000e+04
1.194999980926513672e+01,4.363896484375000000e+04
1.200000000000000000e+01,4.089546875000000000e+04
1.205000019073486328e+01,3.894037890625000000e+04
1.210000038146972656e+01,3.814853515625000000e+04
1.215000057220458984e+01,3.859099218750000000e+04
1.219999980926513672e+01,4.006250000000000000e+04
1.225000000000000000e+01,4.217248828125000000e+04
1.230000019073486328e+01,4.446084765625000000e+04
1.234999942779541016e+01,4.650151953125000000e+04
1.239999961853027344e+01,4.796788671875000000e+04
1.244999980926513672e+01,4.865482031250000000e+04
1.250000000000000000e+01,4.846815234375000000e+04
1.255000019073486328e+01,4.739827343750000000e+04
1.260000038146972656e+01,4.549491015625000000e+04
1.265000057220458984e+01,4.285201171875000000e+04
1.270000076293945312e+01,3.960299218750000000e+04
1.275000000000000000e+01,3.592164062500000000e+04
1.280000019073486328e+01,3.202047656250000000e+04
1.285000038146972656e+01,2.814300781250000000e+04
1.290000057220458984e+01,2.454654101562500000e+04
1.295000076293945312e+01,2.147871093750000000e+04
1.300000000000000000e+01,1.915125390625000000e+04
1.305000019073486328e+01,1.771507812500000000e+04
1.310000038146972656e+01,1.724092187500000000e+04
1.314999961853027344e+01,1.770762890625000000e+04
1.319999980926513672e+01,1.900050781250000000e+04
1.325000000000000000e+01,2.092047265625000000e+04
1.330000019073486328e+01,2.320451367187500000e+04
1.335000038146972656e+01,2.555563867187500000e+04
1.339999961853027344e+01,2.768032031250000000e+04
1.344999980926513672e+01,2.932806445312500000e+04
1.350000000000000000e+01,3.032771484375000000e+04
1.354999923706054688e+01,3.061328515625000000e+04
1.359999942779541016e+01,3.023431835937500000e+04
1.364999961853027344e+01,2.934707421875000000e+04
1.369999980926513672e+01,2.818704492187500000e+04
1.375000000000000000e+01,2.702764062500000000e+04
1.380000019073486328e+01,2.613207617187500000e+04
1.385000038146972656e+01,2.570711523437500000e+04
1.390000057220458984e+01,2.586799414062500000e+04
1.394999980926513672e+01,2.661861718750000000e+04
1.400000000000000000e+01,2.785127343750000000e+04
1.405000019073486328e+01,2.936375781250000000e+04
1.410000038146972656e+01,3.089155468750000000e+04
1.415000057220458984e+01,3.215061523437500000e+04
1.419999980926513672e+01,3.288498046875000000e+04
1.425000000000000000e+01,3.291280468750000000e+04
1.430000019073486328e+01,3.216375195312500000e+04
1.434999942779541016e+01,3.070010937500000000e+04
1.439999961853027344e+01,2.871541601562500000e+04
1.444999980926513672e+01,2.650831835937500000e+04
1.450000000000000000e+01,2.443381054687500000e+04
1.455000019073486328e+01,2.283983789062500000e+04
1.460000038146972656e+01,2.200189453125000000e+04
1.465000057220458984e+01,2.206957226562500000e+04
1.470000076293945312e+01,2.303600195312500000e+04
1.475000000000000000e+01,2.473675390625000000e+04
1.480000019073486328e+01,2.687862109375000000e+04
1.485000038146972656e+01,2.909149609375000000e+04
1.490000057220458984e+01,3.099342187500000000e+04
1.495000076293945312e+01,3.225733789062500000e+04
1.500000000000000000e+01,3.266692578125000000e+04
1.505000019073486328e+01,3.215188281250000000e+04
1.510000038146972656e+01,3.079546484375000000e+04
1.514999961853027344e+01,2.881240234375000000e+04
1.519999980926513672e+01,2.650020507812500000e+04
1.525000000000000000e+01,2.417488281250000000e+04
1.530000019073486328e+01,2.210507226562500000e+04
