# q,iq
1.000000000000000000e+00,1.012366500000000000e+06
1.049999952316284180e+00,9.646610000000000000e+05
1.100000023841857910e+00,4.644170000000000000e+05
1.149999976158142090e+00,4.434965000000000000e+05
1.200000047683715820e+00,4.016155000000000000e+05
1.250000000000000000e+00,2.582265000000000000e+05
1.299999952316284180e+00,3.708385000000000000e+05
1.350000023841857910e+00,4.081415000000000000e+05
1.399999976158142090e+00,2.738855000000000000e+05
1.449999928474426270e+00,2.570590000000000000e+05
1.500000000000000000e+00,2.745820000000000000e+05
1.549999952316284180e+00,2.297065000000000000e+05
1.600000023841857910e+00,2.461225000000000000e+05
1.649999976158142090e+00,2.818920000000000000e+05
1.699999928474426270e+00,2.955500000000000000e+05
1.750000000000000000e+00,3.556160000000000000e+05
1.799999952316284180e+00,3.514625000000000000e+05
1.849999904632568359e+00,2.707150000000000000e+05
1.899999976158142090e+00,3.185335000000000000e+05
1.949999928474426270e+00,3.839595000000000000e+05
2.000000000000000000e+00,3.138930000000000000e+05
2.049999952316284180e+00,3.659515000000000000e+05
2.099999904632568359e+00,5.175525000000000000e+05
2.149999856948852539e+00,4.830765000000000000e+05
2.200000047683715820e+00,5.953065000000000000e+05
2.250000000000000000e+00,9.910620000000000000e+05
2.299999952316284180e+00,1.007583500000000000e+06
2.350000143051147461e+00,1.007933000000000000e+06
2.400000095367431641e+00,1.895241500000000000e+06
2.450000047683715820e+00,2.359706750000000000e+06
2.500000000000000000e+00,2.521406000000000000e+06
2.549999952316284180e+00,8.550500000000000000e+06
2.599999904632568359e+00,2.333166600000000000e+07
2.649999856948852539e+00,3.574098400000000000e+07
2.699999809265136719e+00,3.260100000000000000e+07
2.750000000000000000e+00,1.769801400000000000e+07
2.799999952316284180e+00,5.889337500000000000e+06
2.849999904632568359e+00,2.824828750000000000e+06
2.899999856948852539e+00,3.051466000000000000e+06
2.949999809265136719e+00,4.332023500000000000e+06
3.000000000000000000e+00,1.005320200000000000e+07
3.049999952316284180e+00,1.760024800000000000e+07
3.099999904632568359e+00,1.830199800000000000e+07
3.150000095367431641e+00,1.111406000000000000e+07
3.200000047683715820e+00,3.975797250000000000e+06
3.250000000000000000e+00,1.353815000000000000e+06
3.299999952316284180e+00,1.052308750000000000e+06
3.349999904632568359e+00,8.792077500000000000e+05
3.400000095367431641e+00,6.755640000000000000e+05
3.450000047683715820e+00,5.073532500000000000e+05
3.500000000000000000e+00,4.164362500000000000e+05
3.550000190734863281e+00,4.274187500000000000e+05
3.600000143051147461e+00,4.118152500000000000e+05
3.650000095367431641e+00,3.460695000000000000e+05
3.700000047683715820e+00,3.029855000000000000e+05
3.750000000000000000e+00,3.126680000000000000e+05
3.799999952316284180e+00,3.393322500000000000e+05
3.849999904632568359e+00,3.407010000000000000e+05
3.899999856948852539e+00,3.550657500000000000e+05
3.950000047683715820e+00,3.802340000000000000e+05
4.000000000000000000e+00,3.773190000000000000e+05
4.050000190734863281e+00,5.141432500000000000e+05
4.099999904632568359e+00,8.095685000000000000e+05
4.150000095367431641e+00,8.304697500000000000e+05
4.199999809265136719e+00,1.239674750000000000e+06
4.250000000000000000e+00,4.500739000000000000e+06
4.299999713897705078e+00,1.073655000000000000e+07
4.349999904632568359e+00,1.477652000000000000e+07
4.399999618530273438e+00,1.221302300000000000e+07
4.449999809265136719e+00,5.939787000000000000e+06
4.500000000000000000e+00,1.761725625000000000e+06
4.549999713897705078e+00,8.632985000000000000e+05
4.599999904632568359e+00,8.645052500000000000e+05
4.650000095367431641e+00,6.884100000000000000e+05
4.699999809265136719e+00,7.001815000000000000e+05
4.750000000000000000e+00,7.349485000000000000e+05
4.799999713897705078e+00,6.852150000000000000e+05
4.849999904632568359e+00,9.760812500000000000e+05
4.900000095367431641e+00,1.252298500000000000e+06
4.949999809265136719e+00,1.730505500000000000e+06
5.000000000000000000e+00,5.395391000000000000e+06
5.050000190734863281e+00,1.314194300000000000e+07
5.099999904632568359e+00,1.856485600000000000e+07
5.150000095367431641e+00,1.554624400000000000e+07
5.199999809265136719e+00,8.163517500000000000e+06
5.250000000000000000e+00,4.682731500000000000e+06
5.300000190734863281e+00,5.735905000000000000e+06
5.349999904632568359e+00,6.122983000000000000e+06
5.400000095367431641e+00,3.976086000000000000e+06
5.450000286102294922e+00,1.649948750000000000e+06
5.500000000000000000e+00,7.012907500000000000e+05
5.550000190734863281e+00,5.447092500000000000e+05
5.599999904632568359e+00,4.472870000000000000e+05
5.650000095367431641e+00,3.406340000000000000e+05
5.700000286102294922e+00,3.056875000000000000e+05
5.750000000000000000e+00,3.072862500000000000e+05
5.800000190734863281e+00,2.840230000000000000e+05
5.850000381469726562e+00,2.671790000000000000e+05
5.900000095367431641e+00,3.204590000000000000e+05
5.950000286102294922e+00,3.556870000000000000e+05
6.000000000000000000e+00,3.827042500000000000e+05
6.050000190734863281e+00,8.424505000000000000e+05
6.100000381469726562e+00,1.915282000000000000e+06
6.150000095367431641e+00,2.738031250000000000e+06
6.199999809265136719e+00,2.389908000000000000e+06
6.250000000000000000e+00,1.306584375000000000e+06
6.299999713897705078e+00,5.799702500000000000e+05
6.349999904632568359e+00,4.277057500000000000e+05
6.399999618530273438e+00,4.624397500000000000e+05
6.449999809265136719e+00,5.772261250000000000e+05
6.500000000000000000e+00,6.339205000000000000e+05
6.549999713897705078e+00,7.462660000000000000e+05
6.599999904632568359e+00,2.232058750000000000e+06
6.650000095367431641e+00,5.633950000000000000e+06
6.699999809265136719e+00,8.320156500000000000e+06
6.750000000000000000e+00,8.021544000000000000e+06
6.799999713897705078e+00,6.909626500000000000e+06
6.849999904632568359e+00,7.441102000000000000e+06
6.900000095367431641e+00,7.663918000000000000e+06
6.949999809265136719e+00,5.347224000000000000e+06
7.000000000000000000e+00,2.266013500000000000e+06
7.050000190734863281e+00,7.902392500000000000e+05
7.099999904632568359e+00,5.862915000000000000e+05
7.150000095367431641e+00,5.133343750000000000e+05
7.199999809265136719e+00,3.918573750000000000e+05
7.250000000000000000e+00,3.928232500000000000e+05
7.300000190734863281e+00,4.646556250000000000e+05
7.349999904632568359e+00,4.589233750000000000e+05
7.400000095367431641e+00,7.403911250000000000e+05
7.450000286102294922e+00,2.209764000000000000e+06
7.500000000000000000e+00,4.561922500000000000e+06
7.550000190734863281e+00,5.655378000000000000e+06
7.599999904632568359e+00,4.263563000000000000e+06
7.650000095367431641e+00,1.922323125000000000e+06
7.700000286102294922e+00,6.782342500000000000e+05
7.750000000000000000e+00,6.039597500000000000e+05
7.800000190734863281e+00,6.177671250000000000e+05
7.850000381469726562e+00,6.974958750000000000e+05
7.900000095367431641e+00,2.014926625000000000e+06
7.950000286102294922e+00,4.576648500000000000e+06
8.000000000000000000e+00,6.122713500000000000e+06
8.050000190734863281e+00,4.926932500000000000e+06
8.100000381469726562e+00,2.343582000000000000e+06
8.150000572204589844e+00,7.232411250000000000e+05
8.199999809265136719e+00,3.968385000000000000e+05
8.250000000000000000e+00,3.689252500000000000e+05
8.300000190734863281e+00,2.564708750000000000e+05
8.349999427795410156e+00,2.186940000000000000e+05
8.399999618530273438e+00,2.468272500000000000e+05
8.449999809265136719e+00,2.517458750000000000e+05
8.500000000000000000e+00,2.278612500000000000e+05
8.550000190734863281e+00,2.552446250000000000e+05
8.600000381469726562e+00,5.709016250000000000e+05
8.650000572204589844e+00,1.280107750000000000e+06
8.700000762939453125e+00,1.882249125000000000e+06
8.750000000000000000e+00,1.723110250000000000e+06
8.800000190734863281e+00,1.025163000000000000e+06
8.850000381469726562e+00,5.724622500000000000e+05
8.900000572204589844e+00,4.835918750000000000e+05
8.950000762939453125e+00,6.346261250000000000e+05
9.000000000000000000e+00,1.745492500000000000e+06
9.050000190734863281e+00,4.122040500000000000e+06
9.100000381469726562e+00,6.232522000000000000e+06
9.149999618530273438e+00,6.579571000000000000e+06
9.199999809265136719e+00,5.630385000000000000e+06
9.250000000000000000e+00,4.356822500000000000e+06
9.300000190734863281e+00,2.853947000000000000e+06
9.350000381469726562e+00,1.352943375000000000e+06
9.399999618530273438e+00,5.136615000000000000e+05
9.449999809265136719e+00,3.720817500000000000e+05
9.500000000000000000e+00,4.008098750000000000e+05
9.549999237060546875e+00,3.448726250000000000e+05
9.599999427795410156e+00,4.397938750000000000e+05
9.649999618530273438e+00,1.081182500000000000e+06
9.699999809265136719e+00,2.070457125000000000e+06
9.750000000000000000e+00,2.454145000000000000e+06
9.800000190734863281e+00,1.809110500000000000e+06
9.850000381469726562e+00,8.842786250000000000e+05
