# q,iq
1.000000000000000000e+00,1.962251250000000000e+05
1.049999952316284180e+00,3.186820000000000000e+05
1.100000023841857910e+00,3.104766250000000000e+05
1.149999976158142090e+00,1.885601250000000000e+05
1.200000047683715820e+00,6.674900000000000000e+04
1.250000000000000000e+00,3.286150000000000000e+04
1.299999952316284180e+00,8.050837500000000000e+04
1.350000023841857910e+00,1.373048750000000000e+05
1.399999976158142090e+00,1.413570000000000000e+05
1.449999928474426270e+00,9.197612500000000000e+04
1.500000000000000000e+00,3.820362500000000000e+04
1.549999952316284180e+00,2.627050000000000000e+04
1.600000023841857910e+00,5.728450000000000000e+04
1.649999976158142090e+00,9.180312500000000000e+04
1.699999928474426270e+00,9.211175000000000000e+04
1.750000000000000000e+00,6.010812500000000000e+04
1.799999952316284180e+00,3.720862500000000000e+04
1.849999904632568359e+00,6.964612500000000000e+04
1.899999976158142090e+00,1.702001250000000000e+05
1.949999928474426270e+00,3.052175000000000000e+05
2.000000000000000000e+00,4.153083750000000000e+05
2.049999952316284180e+00,4.557480000000000000e+05
2.099999904632568359e+00,4.282291875000000000e+05
2.149999856948852539e+00,3.768185000000000000e+05
2.200000047683715820e+00,3.480830000000000000e+05
2.250000000000000000e+00,3.532295625000000000e+05
2.299999952316284180e+00,3.736148125000000000e+05
2.350000143051147461e+00,4.001288125000000000e+05
2.400000095367431641e+00,4.490318125000000000e+05
2.450000047683715820e+00,5.272206250000000000e+05
2.500000000000000000e+00,6.076441875000000000e+05
2.549999952316284180e+00,6.925392500000000000e+05
2.599999904632568359e+00,9.253548750000000000e+05
2.649999856948852539e+00,1.587031500000000000e+06
2.699999809265136719e+00,2.873292000000000000e+06
2.750000000000000000e+00,4.595971000000000000e+06
2.799999952316284180e+00,6.121160500000000000e+06
2.849999904632568359e+00,6.706699500000000000e+06
2.899999856948852539e+00,6.021051500000000000e+06
2.949999809265136719e+00,4.401871000000000000e+06
3.000000000000000000e+00,2.613805000000000000e+06
3.049999952316284180e+00,1.316484625000000000e+06
3.099999904632568359e+00,6.971378750000000000e+05
3.150000095367431641e+00,5.238301250000000000e+05
3.200000047683715820e+00,4.705193125000000000e+05
3.250000000000000000e+00,3.769002500000000000e+05
3.299999952316284180e+00,2.649730625000000000e+05
3.349999904632568359e+00,2.024191875000000000e+05
3.400000095367431641e+00,1.984441875000000000e+05
3.450000047683715820e+00,2.116559375000000000e+05
3.500000000000000000e+00,2.108728750000000000e+05
3.550000190734863281e+00,1.994640625000000000e+05
3.600000143051147461e+00,1.863300000000000000e+05
3.650000095367431641e+00,1.603860625000000000e+05
3.700000047683715820e+00,1.156944375000000000e+05
3.750000000000000000e+00,9.634881250000000000e+04
3.799999952316284180e+00,1.881619375000000000e+05
3.849999904632568359e+00,4.436833750000000000e+05
3.899999856948852539e+00,8.164801875000000000e+05
3.950000047683715820e+00,1.178438125000000000e+06
4.000000000000000000e+00,1.400126250000000000e+06
4.050000190734863281e+00,1.415380500000000000e+06
4.099999904632568359e+00,1.232853500000000000e+06
4.150000095367431641e+00,9.193188750000000000e+05
4.199999809265136719e+00,5.773710000000000000e+05
4.250000000000000000e+00,3.090939375000000000e+05
4.299999713897705078e+00,1.701775000000000000e+05
4.349999904632568359e+00,1.513290000000000000e+05
4.399999618530273438e+00,2.058180625000000000e+05
4.449999809265136719e+00,2.885754375000000000e+05
4.500000000000000000e+00,3.659061250000000000e+05
4.549999713897705078e+00,4.080919375000000000e+05
4.599999904632568359e+00,4.069462812500000000e+05
4.650000095367431641e+00,4.170529375000000000e+05
4.699999809265136719e+00,5.617049375000000000e+05
4.750000000000000000e+00,9.586458125000000000e+05
4.799999713897705078e+00,1.603599250000000000e+06
4.849999904632568359e+00,2.313275000000000000e+06
4.900000095367431641e+00,2.799362500000000000e+06
4.949999809265136719e+00,2.838611000000000000e+06
5.000000000000000000e+00,2.414875000000000000e+06
5.050000190734863281e+00,1.723770625000000000e+06
5.099999904632568359e+00,1.041260500000000000e+06
5.150000095367431641e+00,5.635749375000000000e+05
5.199999809265136719e+00,3.320655312500000000e+05
5.250000000000000000e+00,2.690103750000000000e+05
5.300000190734863281e+00,2.654935000000000000e+05
5.349999904632568359e+00,2.508402500000000000e+05
5.400000095367431641e+00,2.173074375000000000e+05
5.450000286102294922e+00,2.089277812500000000e+05
5.500000000000000000e+00,2.864156562500000000e+05
5.550000190734863281e+00,4.782643125000000000e+05
5.599999904632568359e+00,7.421455625000000000e+05
5.650000095367431641e+00,9.703846250000000000e+05
5.700000286102294922e+00,1.049613000000000000e+06
5.750000000000000000e+00,9.379112500000000000e+05
5.800000190734863281e+00,6.976953125000000000e+05
5.850000381469726562e+00,4.520027500000000000e+05
5.900000095367431641e+00,2.960391562500000000e+05
5.950000286102294922e+00,2.381888125000000000e+05
6.000000000000000000e+00,2.209548750000000000e+05
6.050000190734863281e+00,1.990386250000000000e+05
6.100000381469726562e+00,1.975158750000000000e+05
6.150000095367431641e+00,2.929075000000000000e+05
6.199999809265136719e+00,5.356033125000000000e+05
6.250000000000000000e+00,8.871447500000000000e+05
6.299999713897705078e+00,1.227680750000000000e+06
6.349999904632568359e+00,1.423184500000000000e+06
6.399999618530273438e+00,1.397902500000000000e+06
6.449999809265136719e+00,1.167646250000000000e+06
6.500000000000000000e+00,8.254707500000000000e+05
6.549999713897705078e+00,4.944641250000000000e+05
6.599999904632568359e+00,2.692588437500000000e+05
6.650000095367431641e+00,1.746362500000000000e+05
6.699999809265136719e+00,1.692803750000000000e+05
6.750000000000000000e+00,1.947043437500000000e+05
6.799999713897705078e+00,2.259582812500000000e+05
6.849999904632568359e+00,2.741849062500000000e+05
6.900000095367431641e+00,3.439101875000000000e+05
6.949999809265136719e+00,4.033695937500000000e+05
7.000000000000000000e+00,4.099313750000000000e+05
7.050000190734863281e+00,3.590757187500000000e+05
7.099999904632568359e+00,2.915430312500000000e+05
7.150000095367431641e+00,2.486350312500000000e+05
7.199999809265136719e+00,2.369006875000000000e+05
7.250000000000000000e+00,2.506660625000000000e+05
7.300000190734863281e+00,3.188463750000000000e+05
7.349999904632568359e+00,5.024430937500000000e+05
7.400000095367431641e+00,8.270848125000000000e+05
7.450000286102294922e+00,1.218921750000000000e+06
7.500000000000000000e+00,1.519993500000000000e+06
7.550000190734863281e+00,1.583600500000000000e+06
7.599999904632568359e+00,1.373854750000000000e+06
7.650000095367431641e+00,9.895034375000000000e+05
7.700000286102294922e+00,5.958872500000000000e+05
7.750000000000000000e+00,3.216342500000000000e+05
7.800000190734863281e+00,1.983891250000000000e+05
7.850000381469726562e+00,1.784091875000000000e+05
7.900000095367431641e+00,1.971878125000000000e+05
7.950000286102294922e+00,2.195922500000000000e+05
8.000000000000000000e+00,2.395884531250000000e+05
8.050000190734863281e+00,2.550678750000000000e+05
