# q,fq
1.000000000000000000e+00,-3.953690826892852783e-01
1.049999952316284180e+00,-4.242678582668304443e-01
1.100000023841857910e+00,-4.696430861949920654e-01
1.149999976158142090e+00,-5.146428942680358887e-01
1.200000047683715820e+00,-5.526987910270690918e-01
1.250000000000000000e+00,-5.826174616813659668e-01
1.299999952316284180e+00,-6.018806695938110352e-01
1.350000023841857910e+00,-6.136354207992553711e-01
1.399999976158142090e+00,-6.321526169776916504e-01
1.449999928474426270e+00,-6.699150800704956055e-01
1.500000000000000000e+00,-7.191424965858459473e-01
1.549999952316284180e+00,-7.554584145545959473e-01
1.600000023841857910e+00,-7.653195261955261230e-01
1.649999976158142090e+00,-7.649132013320922852e-01
1.699999928474426270e+00,-7.839114665985107422e-01
1.750000000000000000e+00,-8.302174806594848633e-01
1.799999952316284180e+00,-8.785074949264526367e-01
1.849999904632568359e+00,-8.992762565612792969e-01
1.899999976158142090e+00,-8.952120542526245117e-01
1.949999928474426270e+00,-8.996130228042602539e-01
2.000000000000000000e+00,-9.358073472976684570e-01
2.049999952316284180e+00,-9.854296445846557617e-01
2.099999904632568359e+00,-1.006177663803100586e+00
2.149999856948852539e+00,-9.810924530029296875e-01
2.200000047683715820e+00,-9.402724504470825195e-01
2.250000000000000000e+00,-9.250075221061706543e-01
2.299999952316284180e+00,-9.343196153640747070e-01
2.350000143051147461e+00,-9.210741519927978516e-01
2.400000095367431641e+00,-8.502399921417236328e-01
2.450000047683715820e+00,-7.506673932075500488e-01
2.500000000000000000e+00,-6.817105412483215332e-01
2.549999952316284180e+00,-6.241238713264465332e-01
2.599999904632568359e+00,-4.070440232753753662e-01
2.649999856948852539e+00,2.163148075342178345e-01
2.699999809265136719e+00,1.357617616653442383e+00
2.750000000000000000e+00,2.806087732315063477e+00
2.799999952316284180e+00,4.046656131744384766e+00
2.849999904632568359e+00,4.522759914398193359e+00
2.899999856948852539e+00,3.984166860580444336e+00
2.949999809265136719e+00,2.674196958541870117e+00
3.000000000000000000e+00,1.214517951011657715e+00
3.049999952316284180e+00,2.595189511775970459e-01
3.099999904632568359e+00,1.480064988136291504e-01
3.150000095367431641e+00,7.643572688102722168e-01
3.200000047683715820e+00,1.662670731544494629e+00
3.250000000000000000e+00,2.337868928909301758e+00
3.299999952316284180e+00,2.466259717941284180e+00
3.349999904632568359e+00,2.002101182937622070e+00
3.400000095367431641e+00,1.128546237945556641e+00
3.450000047683715820e+00,1.333606988191604614e-01
3.500000000000000000e+00,-7.173472642898559570e-01
3.550000190734863281e+00,-1.266577959060668945e+00
3.600000143051147461e+00,-1.500281333923339844e+00
3.650000095367431641e+00,-1.523066520690917969e+00
3.700000047683715820e+00,-1.485737562179565430e+00
3.750000000000000000e+00,-1.499667644500732422e+00
3.799999952316284180e+00,-1.587042927742004395e+00
3.849999904632568359e+00,-1.696319341659545898e+00
3.899999856948852539e+00,-1.764477491378784180e+00
3.950000047683715820e+00,-1.772953391075134277e+00
4.000000000000000000e+00,-1.753698706626892090e+00
4.050000190734863281e+00,-1.749012947082519531e+00
4.099999904632568359e+00,-1.769452810287475586e+00
4.150000095367431641e+00,-1.791668534278869629e+00
4.199999809265136719e+00,-1.794757723808288574e+00
4.250000000000000000e+00,-1.788881421089172363e+00
4.299999713897705078e+00,-1.790905237197875977e+00
4.349999904632568359e+00,-1.755285263061523438e+00
4.399999618530273438e+00,-1.531720399856567383e+00
4.449999809265136719e+00,-9.263644814491271973e-01
4.500000000000000000e+00,1.379913091659545898e-01
4.549999713897705078e+00,1.475686073303222656e+00
4.599999904632568359e+00,2.649961233139038086e+00
4.650000095367431641e+00,3.182206392288208008e+00
