# r,gr
0.000000000000000000e+00,0.000000000000000000e+00
9.999999776482582092e-03,1.785172335803508759e-02
1.999999955296516418e-02,3.493260219693183899e-02
2.999999932944774628e-02,5.049909651279449463e-02
3.999999910593032837e-02,6.386268138885498047e-02
5.000000074505805969e-02,7.441411167383193970e-02
5.999999865889549255e-02,8.164542168378829956e-02
7.000000029802322388e-02,8.516746759414672852e-02
7.999999821186065674e-02,8.472763746976852417e-02
8.999999612569808960e-02,8.021408319473266602e-02
1.000000014901161194e-01,7.166450470685958862e-02
1.099999994039535522e-01,5.926243588328361511e-02
1.199999973177909851e-01,4.333257675170898438e-02
1.299999952316284180e-01,2.432922832667827606e-02
1.400000005960464478e-01,2.819388173520565033e-03
1.499999910593032837e-01,-2.053587324917316437e-02
1.599999964237213135e-01,-4.500550776720046997e-02
1.700000017881393433e-01,-6.981614977121353149e-02
1.799999922513961792e-01,-9.417490661144256592e-02
1.899999976158142090e-01,-1.173055171966552734e-01
2.000000029802322388e-01,-1.384708434343338013e-01
2.099999934434890747e-01,-1.570002734661102295e-01
2.199999988079071045e-01,-1.723188012838363647e-01
2.299999892711639404e-01,-1.839620321989059448e-01
2.399999946355819702e-01,-1.915996670722961426e-01
2.500000000000000000e-01,-1.950456649065017700e-01
2.599999904632568359e-01,-1.942654997110366821e-01
2.699999809265136719e-01,-1.893793642520904541e-01
2.800000011920928955e-01,-1.806596964597702026e-01
2.899999916553497314e-01,-1.685226559638977051e-01
2.999999821186065674e-01,-1.535118669271469116e-01
3.100000023841857910e-01,-1.362809538841247559e-01
3.199999928474426270e-01,-1.175712868571281433e-01
3.299999833106994629e-01,-9.818497300148010254e-02
3.400000035762786865e-01,-7.895606011152267456e-02
3.499999940395355225e-01,-6.072065606713294983e-02
3.599999845027923584e-01,-4.428579658269882202e-02
3.700000047683715820e-01,-3.039800189435482025e-02
3.799999952316284180e-01,-1.971816644072532654e-02
3.899999856948852539e-01,-1.279637776315212250e-02
4.000000059604644775e-01,-1.004612632095813751e-02
4.099999964237213135e-01,-1.173181738704442978e-02
4.200000166893005371e-01,-1.795710809528827667e-02
4.300000071525573730e-01,-2.865549735724925995e-02
4.399999976158142090e-01,-4.359768331050872803e-02
4.500000178813934326e-01,-6.238844245672225952e-02
4.600000083446502686e-01,-8.448988199234008789e-02
4.699999988079071045e-01,-1.092313006520271301e-01
4.799999892711639404e-01,-1.358368992805480957e-01
4.899999797344207764e-01,-1.634521484375000000e-01
5.000000000000000000e-01,-1.911743283271789551e-01
5.099999904632568359e-01,-2.180860340595245361e-01
5.199999809265136719e-01,-2.432877570390701294e-01
5.299999713897705078e-01,-2.659347057342529297e-01
5.399999618530273438e-01,-2.852651178836822510e-01
5.500000119209289551e-01,-3.006342947483062744e-01
5.600000023841857910e-01,-3.115343451499938965e-01
5.699999928474426270e-01,-3.176218569278717041e-01
5.799999833106994629e-01,-3.187296390533447266e-01
5.899999737739562988e-01,-3.148735761642456055e-01
6.000000238418579102e-01,-3.062591552734375000e-01
6.100000143051147461e-01,-2.932754158973693848e-01
6.200000047683715820e-01,-2.764768004417419434e-01
6.299999952316284180e-01,-2.565745413303375244e-01
6.399999856948852539e-01,-2.344062626361846924e-01
6.499999761581420898e-01,-2.109085917472839355e-01
6.599999666213989258e-01,-1.870776712894439697e-01
6.699999570846557617e-01,-1.639421433210372925e-01
6.800000071525573730e-01,-1.425183564424514771e-01
6.899999976158142090e-01,-1.237703487277030945e-01
6.999999880790710449e-01,-1.085780933499336243e-01
7.099999785423278809e-01,-9.769909083843231201e-02
7.200000286102294922e-01,-9.173700958490371704e-02
7.300000190734863281e-01,-9.112042188644409180e-02
7.400000095367431641e-01,-9.607662260532379150e-02
7.500000000000000000e-01,-1.066266447305679321e-01
7.600000500679016113e-01,-1.225778684020042419e-01
7.700000405311584473e-01,-1.435284912586212158e-01
7.800000309944152832e-01,-1.688784360885620117e-01
7.900000214576721191e-01,-1.978487968444824219e-01
8.000000119209289551e-01,-2.295114547014236450e-01
8.100000023841857910e-01,-2.628178596496582031e-01
8.199999928474426270e-01,-2.966386377811431885e-01
8.299999833106994629e-01,-3.298080861568450928e-01
8.400000333786010742e-01,-3.611655831336975098e-01
8.500000238418579102e-01,-3.895975351333618164e-01
8.600000143051147461e-01,-4.140866398811340332e-01
8.700000047683715820e-01,-4.337503910064697266e-01
8.799999952316284180e-01,-4.478763937950134277e-01
8.899999856948852539e-01,-4.559519290924072266e-01
8.999999761581420898e-01,-4.576919376850128174e-01
9.099999666213989258e-01,-4.530476331710815430e-01
9.200000166893005371e-01,-4.422184526920318604e-01
9.300000071525573730e-01,-4.256467223167419434e-01
9.399999976158142090e-01,-4.040011167526245117e-01
9.499999880790710449e-01,-3.781635165214538574e-01
9.599999785423278809e-01,-3.491923511028289795e-01
9.699999690055847168e-01,-3.182861804962158203e-01
9.799999594688415527e-01,-2.867415845394134521e-01
9.899999499320983887e-01,-2.559024691581726074e-01
1.000000000000000000e+00,-2.271108031272888184e-01
1.009999990463256836e+00,-2.016545385122299194e-01
1.019999980926513672e+00,-1.807159781455993652e-01
1.029999971389770508e+00,-1.653222888708114624e-01
1.039999961853027344e+00,-1.563061475753784180e-01
1.049999952316284180e+00,-1.542679369449615479e-01
1.059999942779541016e+00,-1.595446765422821045e-01
1.069999933242797852e+00,-1.721975207328796387e-01
1.079999923706054688e+00,-1.920007318258285522e-01
1.089999914169311523e+00,-2.184439003467559814e-01
1.099999904632568359e+00,-2.507475316524505615e-01
1.110000014305114746e+00,-2.878907024860382080e-01
1.120000004768371582e+00,-3.286391198635101318e-01
1.129999995231628418e+00,-3.715950250625610352e-01
1.139999985694885254e+00,-4.152480959892272949e-01
1.149999976158142090e+00,-4.580285251140594482e-01
1.159999966621398926e+00,-4.983712732791900635e-01
1.169999957084655762e+00,-5.347732305526733398e-01
1.179999947547912598e+00,-5.658550262451171875e-01
1.190000057220458984e+00,-5.904225707054138184e-01
1.200000047683715820e+00,-6.075097322463989258e-01
1.210000038146972656e+00,-6.164200305938720703e-01
1.220000028610229492e+00,-6.167737841606140137e-01
1.230000019073486328e+00,-6.085108518600463867e-01
1.240000009536743164e+00,-5.919154286384582520e-01
1.250000000000000000e+00,-5.676038861274719238e-01
1.259999990463256836e+00,-5.365033149719238281e-01
1.270000100135803223e+00,-4.998341202735900879e-01
1.279999971389770508e+00,-4.590662419795989990e-01
1.289999961853027344e+00,-4.158505201339721680e-01
1.299999952316284180e+00,-3.719768226146697998e-01
1.309999942779541016e+00,-3.293038606643676758e-01
1.319999933242797852e+00,-2.896758019924163818e-01
1.329999923706054688e+00,-2.548608779907226562e-01
1.339999914169311523e+00,-2.264738976955413818e-01
1.350000023841857910e+00,-2.059170156717300415e-01
1.360000014305114746e+00,-1.943054348230361938e-01
1.370000004768371582e+00,-1.924315094947814941e-01
1.379999995231628418e+00,-2.007236629724502563e-01
1.389999985694885254e+00,-2.192062288522720337e-01
1.399999976158142090e+00,-2.475103288888931274e-01
1.409999966621398926e+00,-2.848664224147796631e-01
1.419999957084655762e+00,-3.301297426223754883e-01
1.430000066757202148e+00,-3.818173110485076904e-01
1.440000057220458984e+00,-4.381498396396636963e-01
1.450000047683715820e+00,-4.971312880516052246e-01
1.460000038146972656e+00,-5.566096901893615723e-01
1.470000028610229492e+00,-6.143599748611450195e-01
1.480000019073486328e+00,-6.681777238845825195e-01
1.490000009536743164e+00,-7.159587144851684570e-01
1.500000000000000000e+00,-7.557893991470336914e-01
1.510000109672546387e+00,-7.860256433486938477e-01
1.519999980926513672e+00,-8.053618669509887695e-01
1.529999971389770508e+00,-8.128988146781921387e-01
1.539999961853027344e+00,-8.081805109977722168e-01
1.549999952316284180e+00,-7.912292480468750000e-01
1.559999942779541016e+00,-7.625556588172912598e-01
1.569999933242797852e+00,-7.231451869010925293e-01
1.579999923706054688e+00,-6.744413971900939941e-01
1.590000033378601074e+00,-6.182916164398193359e-01
1.600000023841857910e+00,-5.568899512290954590e-01
1.610000014305114746e+00,-4.926942586898803711e-01
1.620000004768371582e+00,-4.283382892608642578e-01
1.629999995231628418e+00,-3.665303885936737061e-01
1.639999985694885254e+00,-3.099534511566162109e-01
1.649999976158142090e+00,-2.611463665962219238e-01
1.659999966621398926e+00,-2.224117815494537354e-01
1.670000076293945312e+00,-1.957080364227294922e-01
1.679999947547912598e+00,-1.825709939002990723e-01
1.689999938011169434e+00,-1.840335130691528320e-01
1.699999928474426270e+00,-2.005744576454162598e-01
1.709999918937683105e+00,-2.320846766233444214e-01
1.719999909400939941e+00,-2.778514325618743896e-01
1.729999899864196777e+00,-3.365786671638488770e-01
1.739999890327453613e+00,-4.064080715179443359e-01
1.750000000000000000e+00,-4.849874973297119141e-01
1.759999990463256836e+00,-5.695441961288452148e-01
1.769999980926513672e+00,-6.569898128509521484e-01
1.779999971389770508e+00,-7.440263032913208008e-01
1.789999961853027344e+00,-8.272771835327148438e-01
1.799999952316284180e+00,-9.034115672111511230e-01
1.809999942779541016e+00,-9.692878723144531250e-01
1.819999933242797852e+00,-1.022075653076171875e+00
1.830000042915344238e+00,-1.059387683868408203e+00
1.840000033378601074e+00,-1.079370617866516113e+00
1.850000023841857910e+00,-1.080818295478820801e+00
1.860000014305114746e+00,-1.063224911689758301e+00
1.870000004768371582e+00,-1.026827692985534668e+00
1.879999995231628418e+00,-9.726333022117614746e-01
1.889999985694885254e+00,-9.023823142051696777e-01
1.899999976158142090e+00,-8.185232877731323242e-01
1.910000085830688477e+00,-7.241286635398864746e-01
1.919999957084655762e+00,-6.227999925613403320e-01
1.929999947547912598e+00,-5.185318589210510254e-01
1.939999938011169434e+00,-4.155754745006561279e-01
1.949999928474426270e+00,-3.182780742645263672e-01
1.959999918937683105e+00,-2.309117615222930908e-01
1.969999909400939941e+00,-1.574989259243011475e-01
1.979999899864196777e+00,-1.016521081328392029e-01
1.990000009536743164e+00,-6.640210747718811035e-02
2.000000000000000000e+00,-5.407414957880973816e-02
2.009999990463256836e+00,-6.615743786096572876e-02
2.019999980926513672e+00,-1.032175123691558838e-01
2.029999971389770508e+00,-1.648442894220352173e-01
2.039999961853027344e+00,-2.496308833360671997e-01
2.049999952316284180e+00,-3.551816642284393311e-01
2.059999942779541016e+00,-4.781827628612518311e-01
2.069999933242797852e+00,-6.144887208938598633e-01
2.079999923706054688e+00,-7.592518329620361328e-01
2.089999914169311523e+00,-9.070964455604553223e-01
2.099999904632568359e+00,-1.052295923233032227e+00
2.109999895095825195e+00,-1.188988804817199707e+00
2.119999885559082031e+00,-1.311409592628479004e+00
2.129999876022338867e+00,-1.414105176925659180e+00
2.139999866485595703e+00,-1.492185592651367188e+00
2.149999856948852539e+00,-1.541512012481689453e+00
2.160000085830688477e+00,-1.558913111686706543e+00
2.170000076293945312e+00,-1.542338728904724121e+00
2.180000066757202148e+00,-1.491001725196838379e+00
2.190000057220458984e+00,-1.405456662178039551e+00
2.200000047683715820e+00,-1.287645220756530762e+00
2.210000038146972656e+00,-1.140886545181274414e+00
2.220000028610229492e+00,-9.698110818862915039e-01
2.230000019073486328e+00,-7.802401185035705566e-01
2.240000009536743164e+00,-5.790369510650634766e-01
2.250000000000000000e+00,-3.738726377487182617e-01
2.259999990463256836e+00,-1.729881167411804199e-01
2.269999980926513672e+00,1.510488707572221756e-02
2.279999971389770508e+00,1.819179803133010864e-01
2.289999961853027344e+00,3.193328976631164551e-01
2.299999952316284180e+00,4.199057519435882568e-01
2.309999942779541016e+00,4.772060215473175049e-01
2.319999933242797852e+00,4.861021041870117188e-01
2.329999923706054688e+00,4.430373311042785645e-01
2.339999914169311523e+00,3.462394177913665771e-01
2.349999904632568359e+00,1.959066689014434814e-01
2.359999895095825195e+00,-5.687422584742307663e-03
2.369999885559082031e+00,-2.541543543338775635e-01
2.379999876022338867e+00,-5.430098772048950195e-01
2.389999866485595703e+00,-8.637801408767700195e-01
2.400000095367431641e+00,-1.206184983253479004e+00
2.410000085830688477e+00,-1.558342337608337402e+00
2.420000076293945312e+00,-1.907124876976013184e+00
2.430000066757202148e+00,-2.238504409790039062e+00
2.440000057220458984e+00,-2.537939786911010742e+00
2.450000047683715820e+00,-2.790865898132324219e+00
2.460000038146972656e+00,-2.983115673065185547e+00
2.470000028610229492e+00,-3.101423025131225586e+00
2.480000019073486328e+00,-3.133867979049682617e+00
2.490000009536743164e+00,-3.070338726043701172e+00
2.500000000000000000e+00,-2.902901887893676758e+00
2.509999990463256836e+00,-2.626180410385131836e+00
2.519999980926513672e+00,-2.237623691558837891e+00
2.529999971389770508e+00,-1.737706303596496582e+00
2.539999961853027344e+00,-1.130056023597717285e+00
2.549999952316284180e+00,-4.214791059494018555e-01
2.559999942779541016e+00,3.781168162822723389e-01
2.569999933242797852e+00,1.255870461463928223e+00
2.579999923706054688e+00,2.196244239807128906e+00
2.589999914169311523e+00,3.181355953216552734e+00
2.599999904632568359e+00,4.191421508789062500e+00
2.609999895095825195e+00,5.205227375030517578e+00
2.619999885559082031e+00,6.200697898864746094e+00
2.629999876022338867e+00,7.155483722686767578e+00
2.640000104904174805e+00,8.047564506530761719e+00
2.650000095367431641e+00,8.855808258056640625e+00
2.660000085830688477e+00,9.560685157775878906e+00
2.670000076293945312e+00,1.014473247528076172e+01
2.680000066757202148e+00,1.059311294555664062e+01
2.690000057220458984e+00,1.089403343200683594e+01
2.700000047683715820e+00,1.103912734985351562e+01
2.710000038146972656e+00,1.102370166778564453e+01
2.720000028610229492e+00,1.084692859649658203e+01
2.730000019073486328e+00,1.051188087463378906e+01
2.740000009536743164e+00,1.002548408508300781e+01
2.750000000000000000e+00,9.398340225219726562e+00
2.759999990463256836e+00,8.644479751586914062e+00
2.769999980926513672e+00,7.780954837799072266e+00
2.779999971389770508e+00,6.827390670776367188e+00
2.789999961853027344e+00,5.805455207824707031e+00
2.799999952316284180e+00,4.738255023956298828e+00
2.809999942779541016e+00,3.649701356887817383e+00
2.819999933242797852e+00,2.563850164413452148e+00
2.829999923706054688e+00,1.504239678382873535e+00
2.839999914169311523e+00,4.932446777820587158e-01
2.849999904632568359e+00,-4.485136270523071289e-01
2.859999895095825195e+00,-1.302732586860656738e+00
2.869999885559082031e+00,-2.053898811340332031e+00
2.880000114440917969e+00,-2.689687728881835938e+00
2.890000104904174805e+00,-3.201203346252441406e+00
2.900000095367431641e+00,-3.583240985870361328e+00
2.910000085830688477e+00,-3.834307193756103516e+00
2.920000076293945312e+00,-3.956591129302978516e+00
2.930000066757202148e+00,-3.955818414688110352e+00
2.940000057220458984e+00,-3.840980291366577148e+00
2.950000047683715820e+00,-3.624000787734985352e+00
2.960000038146972656e+00,-3.319284200668334961e+00
2.970000028610229492e+00,-2.943218946456909180e+00
2.980000019073486328e+00,-2.513622522354125977e+00
2.990000009536743164e+00,-2.049134254455566406e+00
3.000000000000000000e+00,-1.568638086318969727e+00
3.009999990463256836e+00,-1.090638756752014160e+00
3.019999980926513672e+00,-6.326982975006103516e-01
3.029999971389770508e+00,-2.109034806489944458e-01
3.039999961853027344e+00,1.606238782405853271e-01
3.049999952316284180e+00,4.700973033905029297e-01
3.059999942779541016e+00,7.084025740623474121e-01
3.069999933242797852e+00,8.693109154701232910e-01
3.079999923706054688e+00,9.495905637741088867e-01
3.089999914169311523e+00,9.490287899971008301e-01
3.099999904632568359e+00,8.703421354293823242e-01
3.109999895095825195e+00,7.190003395080566406e-01
3.119999885559082031e+00,5.029501914978027344e-01
3.129999876022338867e+00,2.322608828544616699e-01
3.139999866485595703e+00,-8.127917349338531494e-02
3.149999856948852539e+00,-4.246371388435363770e-01
3.159999847412109375e+00,-7.840278744697570801e-01
3.169999837875366211e+00,-1.145429611206054688e+00
3.179999828338623047e+00,-1.495099663734436035e+00
3.189999818801879883e+00,-1.820043444633483887e+00
3.200000047683715820e+00,-2.108505010604858398e+00
3.210000038146972656e+00,-2.350317478179931641e+00
3.220000028610229492e+00,-2.537294149398803711e+00
3.230000019073486328e+00,-2.663448810577392578e+00
3.240000009536743164e+00,-2.725196838378906250e+00
3.250000000000000000e+00,-2.721413373947143555e+00
3.259999990463256836e+00,-2.653468847274780273e+00
3.269999980926513672e+00,-2.525104999542236328e+00
3.279999971389770508e+00,-2.342272043228149414e+00
3.289999961853027344e+00,-2.112880706787109375e+00
3.299999952316284180e+00,-1.846476912498474121e+00
3.309999942779541016e+00,-1.553863167762756348e+00
3.319999933242797852e+00,-1.246683239936828613e+00
3.329999923706054688e+00,-9.370084404945373535e-01
3.339999914169311523e+00,-6.368553042411804199e-01
3.349999904632568359e+00,-3.577628731727600098e-01
3.359999895095825195e+00,-1.103813201189041138e-01
3.369999885559082031e+00,9.592681378126144409e-02
3.379999876022338867e+00,2.534003257751464844e-01
3.389999866485595703e+00,3.561553359031677246e-01
3.399999856948852539e+00,4.003779292106628418e-01
3.409999847412109375e+00,3.844493329524993896e-01
3.419999837875366211e+00,3.089783191680908203e-01
3.429999828338623047e+00,1.767698377370834351e-01
3.440000057220458984e+00,-7.302382495254278183e-03
3.450000047683715820e+00,-2.364640235900878906e-01
3.460000038146972656e+00,-5.023196935653686523e-01
3.470000028610229492e+00,-7.951666712760925293e-01
3.480000019073486328e+00,-1.104322910308837891e+00
3.490000009536743164e+00,-1.418528079986572266e+00
3.500000000000000000e+00,-1.726329684257507324e+00
3.509999990463256836e+00,-2.016495704650878906e+00
3.519999980926513672e+00,-2.278404474258422852e+00
3.529999971389770508e+00,-2.502376317977905273e+00
3.539999961853027344e+00,-2.680027961730957031e+00
3.549999952316284180e+00,-2.804525136947631836e+00
3.559999942779541016e+00,-2.870793342590332031e+00
3.569999933242797852e+00,-2.875685691833496094e+00
3.579999923706054688e+00,-2.818026065826416016e+00
3.589999914169311523e+00,-2.698642730712890625e+00
3.599999904632568359e+00,-2.520310878753662109e+00
3.609999895095825195e+00,-2.287576675415039062e+00
3.619999885559082031e+00,-2.006628751754760742e+00
3.629999876022338867e+00,-1.685023665428161621e+00
3.639999866485595703e+00,-1.331402301788330078e+00
3.649999856948852539e+00,-9.551844596862792969e-01
3.659999847412109375e+00,-5.662391185760498047e-01
3.669999837875366211e+00,-1.745396405458450317e-01
3.680000066757202148e+00,2.101797163486480713e-01
3.690000057220458984e+00,5.786935091018676758e-01
3.700000047683715820e+00,9.226269721984863281e-01
3.710000038146972656e+00,1.234662055969238281e+00
3.720000028610229492e+00,1.508751392364501953e+00
3.730000019073486328e+00,1.740255594253540039e+00
3.740000009536743164e+00,1.926012754440307617e+00
3.750000000000000000e+00,2.064424514770507812e+00
3.759999990463256836e+00,2.155343532562255859e+00
3.769999980926513672e+00,2.200050115585327148e+00
3.779999971389770508e+00,2.201106786727905273e+00
3.789999961853027344e+00,2.162160158157348633e+00
3.799999952316284180e+00,2.087742328643798828e+00
3.809999942779541016e+00,1.983046174049377441e+00
3.819999933242797852e+00,1.853657126426696777e+00
3.829999923706054688e+00,1.705308914184570312e+00
3.839999914169311523e+00,1.543646335601806641e+00
3.849999904632568359e+00,1.373964428901672363e+00
3.859999895095825195e+00,1.201052188873291016e+00
3.869999885559082031e+00,1.029002666473388672e+00
3.879999876022338867e+00,8.610793948173522949e-01
3.889999866485595703e+00,6.996521949768066406e-01
3.899999856948852539e+00,5.461639761924743652e-01
3.909999847412109375e+00,4.011319875717163086e-01
3.920000076293945312e+00,2.642281353473663330e-01
3.930000066757202148e+00,1.343785077333450317e-01
3.940000057220458984e+00,9.893073700368404388e-03
3.950000047683715820e+00,-1.113531365990638733e-01
3.960000038146972656e+00,-2.317348718643188477e-01
3.970000028610229492e+00,-3.536742329597473145e-01
3.980000019073486328e+00,-4.794279336929321289e-01
3.990000009536743164e+00,-6.109238266944885254e-01
4.000000000000000000e+00,-7.495290040969848633e-01
4.010000228881835938e+00,-8.959736824035644531e-01
4.019999980926513672e+00,-1.050175189971923828e+00
4.030000209808349609e+00,-1.211204051971435547e+00
4.039999961853027344e+00,-1.377254486083984375e+00
4.050000190734863281e+00,-1.545652627944946289e+00
4.059999942779541016e+00,-1.712935924530029297e+00
4.070000171661376953e+00,-1.874977469444274902e+00
4.079999923706054688e+00,-2.027130603790283203e+00
4.090000152587890625e+00,-2.164441108703613281e+00
4.099999904632568359e+00,-2.281854391098022461e+00
4.110000133514404297e+00,-2.374475240707397461e+00
4.119999885559082031e+00,-2.437814235687255859e+00
4.130000114440917969e+00,-2.468026876449584961e+00
4.139999866485595703e+00,-2.462159872055053711e+00
4.150000095367431641e+00,-2.418364048004150391e+00
4.159999847412109375e+00,-2.336052894592285156e+00
4.170000076293945312e+00,-2.216037034988403320e+00
4.179999828338623047e+00,-2.060632467269897461e+00
4.190000057220458984e+00,-1.873597264289855957e+00
4.199999809265136719e+00,-1.660196661949157715e+00
