561
{'Au': 561}
# q,sq
1.000000000000000000e+00,3.432417500000000000e+05
1.049999952316284180e+00,3.127662500000000000e+05
1.100000023841857910e+00,2.366305000000000000e+05
1.149999976158142090e+00,1.688781250000000000e+05
1.200000047683715820e+00,1.259626250000000000e+05
1.250000000000000000e+00,1.075831250000000000e+05
1.299999952316284180e+00,1.165938750000000000e+05
1.350000023841857910e+00,1.421125000000000000e+05
1.399999976158142090e+00,1.503568750000000000e+05
1.449999928474426270e+00,1.169442500000000000e+05
1.500000000000000000e+00,6.282125000000000000e+04
1.549999952316284180e+00,3.818762500000000000e+04
1.600000023841857910e+00,6.511087500000000000e+04
1.649999976158142090e+00,1.084726250000000000e+05
1.699999928474426270e+00,1.148097500000000000e+05
1.750000000000000000e+00,7.492012500000000000e+04
1.799999952316284180e+00,3.465087500000000000e+04
1.849999904632568359e+00,3.999437500000000000e+04
1.899999976158142090e+00,8.219637500000000000e+04
1.949999928474426270e+00,1.092021250000000000e+05
2.000000000000000000e+00,8.983262500000000000e+04
2.049999952316284180e+00,5.352687500000000000e+04
2.099999904632568359e+00,5.732962500000000000e+04
2.149999856948852539e+00,1.188716250000000000e+05
2.200000047683715820e+00,1.957328750000000000e+05
2.250000000000000000e+00,2.373577500000000000e+05
2.299999952316284180e+00,2.480276250000000000e+05
2.350000143051147461e+00,2.830616875000000000e+05
2.400000095367431641e+00,3.781008125000000000e+05
2.450000047683715820e+00,4.974586250000000000e+05
2.500000000000000000e+00,5.784250625000000000e+05
2.549999952316284180e+00,6.431917500000000000e+05
2.599999904632568359e+00,8.570227500000000000e+05
2.649999856948852539e+00,1.437226000000000000e+06
2.699999809265136719e+00,2.453797500000000000e+06
2.750000000000000000e+00,3.683833250000000000e+06
2.799999952316284180e+00,4.666994000000000000e+06
2.849999904632568359e+00,4.957816000000000000e+06
2.899999856948852539e+00,4.407872500000000000e+06
2.949999809265136719e+00,3.276006250000000000e+06
3.000000000000000000e+00,2.086796375000000000e+06
3.049999952316284180e+00,1.336083375000000000e+06
3.099999904632568359e+00,1.238488125000000000e+06
3.150000095367431641e+00,1.662650250000000000e+06
3.200000047683715820e+00,2.260157250000000000e+06
3.250000000000000000e+00,2.676343000000000000e+06
