# q,sq
1.000000000000000000e+00,-3.953690826892852783e-01
1.049999952316284180e+00,-4.040646553039550781e-01
1.100000023841857910e+00,-4.269482493400573730e-01
1.149999976158142090e+00,-4.475155472755432129e-01
1.200000047683715820e+00,-4.605822861194610596e-01
1.250000000000000000e+00,-4.660939872264862061e-01
1.299999952316284180e+00,-4.629851281642913818e-01
1.350000023841857910e+00,-4.545447528362274170e-01
1.399999976158142090e+00,-4.515375792980194092e-01
1.449999928474426270e+00,-4.620104134082794189e-01
1.500000000000000000e+00,-4.794283211231231689e-01
1.549999952316284180e+00,-4.873925447463989258e-01
1.600000023841857910e+00,-4.783246815204620361e-01
1.649999976158142090e+00,-4.635837674140930176e-01
1.699999928474426270e+00,-4.611244201660156250e-01
1.750000000000000000e+00,-4.744099974632263184e-01
1.799999952316284180e+00,-4.880597293376922607e-01
1.849999904632568359e+00,-4.860953092575073242e-01
1.899999976158142090e+00,-4.711642563343048096e-01
1.949999928474426270e+00,-4.613400399684906006e-01
2.000000000000000000e+00,-4.679036736488342285e-01
2.049999952316284180e+00,-4.806973934173583984e-01
2.099999904632568359e+00,-4.791322350502014160e-01
2.149999856948852539e+00,-4.563221037387847900e-01
2.200000047683715820e+00,-4.273965656757354736e-01
2.250000000000000000e+00,-4.111144542694091797e-01
2.299999952316284180e+00,-4.062259197235107422e-01
2.350000143051147461e+00,-3.919464349746704102e-01
2.400000095367431641e+00,-3.542666435241699219e-01
2.450000047683715820e+00,-3.063948452472686768e-01
2.500000000000000000e+00,-2.726842164993286133e-01
2.549999952316284180e+00,-2.447544634342193604e-01
2.599999904632568359e+00,-1.565553992986679077e-01
2.649999856948852539e+00,8.162823319435119629e-02
2.699999809265136719e+00,5.028213858604431152e-01
2.750000000000000000e+00,1.020395517349243164e+00
2.799999952316284180e+00,1.445234417915344238e+00
2.849999904632568359e+00,1.586933374404907227e+00
2.899999856948852539e+00,1.373850703239440918e+00
2.949999809265136719e+00,9.065074920654296875e-01
3.000000000000000000e+00,4.048393070697784424e-01
3.049999952316284180e+00,8.508818596601486206e-02
3.099999904632568359e+00,4.774403199553489685e-02
3.150000095367431641e+00,2.426531016826629639e-01
3.200000047683715820e+00,5.195845961570739746e-01
3.250000000000000000e+00,7.193443179130554199e-01
3.299999952316284180e+00,7.473514676094055176e-01
3.349999904632568359e+00,5.976421833038330078e-01
3.400000095367431641e+00,3.319253623485565186e-01
3.450000047683715820e+00,3.865527361631393433e-02
3.500000000000000000e+00,-2.049563676118850708e-01
3.550000190734863281e+00,-3.567824959754943848e-01
3.600000143051147461e+00,-4.167447984218597412e-01
3.650000095367431641e+00,-4.172784984111785889e-01
3.700000047683715820e+00,-4.015506803989410400e-01
3.750000000000000000e+00,-3.999113738536834717e-01
3.799999952316284180e+00,-4.176428914070129395e-01
3.849999904632568359e+00,-4.406024515628814697e-01
3.899999856948852539e+00,-4.524301290512084961e-01
3.950000047683715820e+00,-4.488489627838134766e-01
4.000000000000000000e+00,-4.384246766567230225e-01
4.050000190734863281e+00,-4.318550229072570801e-01
4.099999904632568359e+00,-4.315738677978515625e-01
4.150000095367431641e+00,-4.317273497581481934e-01
4.199999809265136719e+00,-4.273232817649841309e-01
4.250000000000000000e+00,-4.209132790565490723e-01
