# q,iq
1.000000000000000000e+00,2.747871875000000000e+04
1.049999952316284180e+00,5.319728125000000000e+04
1.100000023841857910e+00,9.645309375000000000e+04
1.149999976158142090e+00,1.287354375000000000e+05
1.200000047683715820e+00,1.346901250000000000e+05
1.250000000000000000e+00,1.142004375000000000e+05
1.299999952316284180e+00,7.837103125000000000e+04
1.350000023841857910e+00,4.242134375000000000e+04
1.399999976158142090e+00,1.880146875000000000e+04
1.449999928474426270e+00,1.294543750000000000e+04
1.500000000000000000e+00,2.257237500000000000e+04
1.549999952316284180e+00,3.999556250000000000e+04
1.600000023841857910e+00,5.597390625000000000e+04
1.649999976158142090e+00,6.342062500000000000e+04
1.699999928474426270e+00,5.970721875000000000e+04
1.750000000000000000e+00,4.700640625000000000e+04
1.799999952316284180e+00,3.088721875000000000e+04
1.849999904632568359e+00,1.789712500000000000e+04
1.899999976158142090e+00,1.306881250000000000e+04
1.949999928474426270e+00,1.819178125000000000e+04
2.000000000000000000e+00,3.132284375000000000e+04
2.049999952316284180e+00,4.760753125000000000e+04
2.099999904632568359e+00,6.109918750000000000e+04
2.149999856948852539e+00,6.701581250000000000e+04
2.200000047683715820e+00,6.376253125000000000e+04
2.250000000000000000e+00,5.411837500000000000e+04
2.299999952316284180e+00,4.518065625000000000e+04
2.350000143051147461e+00,4.698690625000000000e+04
2.400000095367431641e+00,7.008731250000000000e+04
2.450000047683715820e+00,1.226717343750000000e+05
2.500000000000000000e+00,2.080034843750000000e+05
2.549999952316284180e+00,3.228400625000000000e+05
2.599999904632568359e+00,4.573046250000000000e+05
2.649999856948852539e+00,5.962731875000000000e+05
2.699999809265136719e+00,7.220726250000000000e+05
2.750000000000000000e+00,8.179760000000000000e+05
2.799999952316284180e+00,8.718376875000000000e+05
2.849999904632568359e+00,8.790410000000000000e+05
2.899999856948852539e+00,8.438996250000000000e+05
2.949999809265136719e+00,7.788405000000000000e+05
3.000000000000000000e+00,7.012072500000000000e+05
3.049999952316284180e+00,6.283423750000000000e+05
3.099999904632568359e+00,5.724362500000000000e+05
3.150000095367431641e+00,5.370021250000000000e+05
3.200000047683715820e+00,5.164761875000000000e+05
3.250000000000000000e+00,4.992399375000000000e+05
3.299999952316284180e+00,4.729028750000000000e+05
3.349999904632568359e+00,4.296109375000000000e+05
3.400000095367431641e+00,3.690942500000000000e+05
3.450000047683715820e+00,2.982444687500000000e+05
3.500000000000000000e+00,2.276720000000000000e+05
3.550000190734863281e+00,1.671130156250000000e+05
3.600000143051147461e+00,1.219176562500000000e+05
3.650000095367431641e+00,9.209417187500000000e+04
3.700000047683715820e+00,7.390590625000000000e+04
3.750000000000000000e+00,6.270182812500000000e+04
3.799999952316284180e+00,5.525653125000000000e+04
3.849999904632568359e+00,5.046837500000000000e+04
3.899999856948852539e+00,4.843490625000000000e+04
3.950000047683715820e+00,4.893115625000000000e+04
4.000000000000000000e+00,5.053545312500000000e+04
4.050000190734863281e+00,5.109375000000000000e+04
4.099999904632568359e+00,4.922323437500000000e+04
4.150000095367431641e+00,4.584550000000000000e+04
4.199999809265136719e+00,4.466865625000000000e+04
4.250000000000000000e+00,5.114351562500000000e+04
4.299999713897705078e+00,7.028810937500000000e+04
4.349999904632568359e+00,1.043923906250000000e+05
4.399999618530273438e+00,1.516690312500000000e+05
4.449999809265136719e+00,2.064118125000000000e+05
4.500000000000000000e+00,2.605170937500000000e+05
4.549999713897705078e+00,3.056513750000000000e+05
4.599999904632568359e+00,3.352243437500000000e+05
4.650000095367431641e+00,3.455674687500000000e+05
4.699999809265136719e+00,3.361991250000000000e+05
4.750000000000000000e+00,3.094119375000000000e+05
4.799999713897705078e+00,2.695900937500000000e+05
4.849999904632568359e+00,2.225555156250000000e+05
4.900000095367431641e+00,1.750233125000000000e+05
4.949999809265136719e+00,1.340506250000000000e+05
5.000000000000000000e+00,1.063358046875000000e+05
5.050000190734863281e+00,9.730509375000000000e+04
5.099999904632568359e+00,1.101079375000000000e+05
5.150000095367431641e+00,1.447813437500000000e+05
5.199999809265136719e+00,1.978755937500000000e+05
5.250000000000000000e+00,2.627454375000000000e+05
5.300000190734863281e+00,3.305200000000000000e+05
5.349999904632568359e+00,3.915880000000000000e+05
5.400000095367431641e+00,4.372780000000000000e+05
5.450000286102294922e+00,4.613631875000000000e+05
5.500000000000000000e+00,4.610869687500000000e+05
5.550000190734863281e+00,4.374853125000000000e+05
5.599999904632568359e+00,3.949625625000000000e+05
5.650000095367431641e+00,3.402303750000000000e+05
5.700000286102294922e+00,2.808595937500000000e+05
5.750000000000000000e+00,2.237894687500000000e+05
5.800000190734863281e+00,1.741301875000000000e+05
5.850000381469726562e+00,1.345344218750000000e+05
5.900000095367431641e+00,1.052203046875000000e+05
5.950000286102294922e+00,8.457348437500000000e+04
6.000000000000000000e+00,7.009313281250000000e+04
6.050000190734863281e+00,5.937325000000000000e+04
6.100000381469726562e+00,5.084846875000000000e+04
6.150000095367431641e+00,4.411535937500000000e+04
6.199999809265136719e+00,3.978410937500000000e+04
6.250000000000000000e+00,3.894056250000000000e+04
6.299999713897705078e+00,4.241597656250000000e+04
6.349999904632568359e+00,5.011742968750000000e+04
6.399999618530273438e+00,6.069085937500000000e+04
6.449999809265136719e+00,7.168666406250000000e+04
6.500000000000000000e+00,8.024117968750000000e+04
6.549999713897705078e+00,8.406717187500000000e+04
6.599999904632568359e+00,8.238727343750000000e+04
6.650000095367431641e+00,7.642326562500000000e+04
6.699999809265136719e+00,6.919746875000000000e+04
6.750000000000000000e+00,6.469561718750000000e+04
6.799999713897705078e+00,6.670042187500000000e+04
6.849999904632568359e+00,7.774110156250000000e+04
6.900000095367431641e+00,9.851781250000000000e+04
6.949999809265136719e+00,1.279002031250000000e+05
7.000000000000000000e+00,1.633509843750000000e+05
7.050000190734863281e+00,2.014641562500000000e+05
7.099999904632568359e+00,2.383966406250000000e+05
7.150000095367431641e+00,2.701444375000000000e+05
7.199999809265136719e+00,2.928041562500000000e+05
7.250000000000000000e+00,3.030070000000000000e+05
7.300000190734863281e+00,2.985721875000000000e+05
7.349999904632568359e+00,2.792173437500000000e+05
7.400000095367431641e+00,2.470068437500000000e+05
7.450000286102294922e+00,2.062482031250000000e+05
7.500000000000000000e+00,1.627551406250000000e+05
7.550000190734863281e+00,1.226448906250000000e+05
7.599999904632568359e+00,9.106339843750000000e+04
7.650000095367431641e+00,7.121594531250000000e+04
7.700000286102294922e+00,6.395287890625000000e+04
7.750000000000000000e+00,6.792431250000000000e+04
7.800000190734863281e+00,8.014865625000000000e+04
7.850000381469726562e+00,9.676793750000000000e+04
7.900000095367431641e+00,1.138111796875000000e+05
7.950000286102294922e+00,1.278680703125000000e+05
8.000000000000000000e+00,1.366238125000000000e+05
8.050000190734863281e+00,1.392101250000000000e+05
8.100000381469726562e+00,1.363009531250000000e+05
8.150000572204589844e+00,1.298904531250000000e+05
8.199999809265136719e+00,1.227365859375000000e+05
8.250000000000000000e+00,1.175813828125000000e+05
8.300000190734863281e+00,1.163428281250000000e+05
8.349999427795410156e+00,1.195275468750000000e+05
8.399999618530273438e+00,1.260527343750000000e+05
8.449999809265136719e+00,1.335415156250000000e+05
8.500000000000000000e+00,1.390043906250000000e+05
8.550000190734863281e+00,1.396938593750000000e+05
8.600000381469726562e+00,1.338834218750000000e+05
8.650000572204589844e+00,1.213509375000000000e+05
8.700000762939453125e+00,1.034521484375000000e+05
8.750000000000000000e+00,8.278605468750000000e+04
8.800000190734863281e+00,6.255556250000000000e+04
8.850000381469726562e+00,4.580158203125000000e+04
8.900000572204589844e+00,3.470075000000000000e+04
8.950000762939453125e+00,3.010307031250000000e+04
9.000000000000000000e+00,3.142300000000000000e+04
9.050000190734863281e+00,3.691026171875000000e+04
9.100000381469726562e+00,4.422797656250000000e+04
9.149999618530273438e+00,5.117956250000000000e+04
9.199999809265136719e+00,5.637216406250000000e+04
9.250000000000000000e+00,5.962234375000000000e+04
9.300000190734863281e+00,6.197854687500000000e+04
9.350000381469726562e+00,6.535584375000000000e+04
9.399999618530273438e+00,7.189260937500000000e+04
9.449999809265136719e+00,8.322916406250000000e+04
9.500000000000000000e+00,9.990359375000000000e+04
9.549999237060546875e+00,1.210341875000000000e+05
9.599999427795410156e+00,1.443571875000000000e+05
9.649999618530273438e+00,1.666072187500000000e+05
9.699999809265136719e+00,1.841617343750000000e+05
9.750000000000000000e+00,1.938186875000000000e+05
9.800000190734863281e+00,1.935434218750000000e+05
9.850000381469726562e+00,1.830138437500000000e+05
9.900000572204589844e+00,1.638059375000000000e+05
9.949999809265136719e+00,1.391233906250000000e+05
1.000000000000000000e+01,1.130958437500000000e+05
1.005000019073486328e+01,8.981044531250000000e+04
1.010000038146972656e+01,7.234335156250000000e+04
1.015000057220458984e+01,6.209425781250000000e+04
1.019999980926513672e+01,5.862880468750000000e+04
1.025000000000000000e+01,6.007081640625000000e+04
1.030000019073486328e+01,6.388102343750000000e+04
1.034999942779541016e+01,6.774015625000000000e+04
1.039999961853027344e+01,7.022829687500000000e+04
1.044999980926513672e+01,7.109564843750000000e+04
1.050000000000000000e+01,7.108333593750000000e+04
1.055000019073486328e+01,7.141035937500000000e+04
1.060000038146972656e+01,7.314454687500000000e+04
1.065000057220458984e+01,7.668973437500000000e+04
1.070000076293945312e+01,8.155680468750000000e+04
1.075000000000000000e+01,8.648242968750000000e+04
1.080000019073486328e+01,8.983601562500000000e+04
1.085000038146972656e+01,9.017082812500000000e+04
1.090000057220458984e+01,8.671518750000000000e+04
1.095000076293945312e+01,7.963714843750000000e+04
