# q,iq
1.000000000000000000e+00,3.428931250000000000e+04
1.049999952316284180e+00,2.319387500000000000e+04
1.100000023841857910e+00,1.151996875000000000e+05
1.149999976158142090e+00,1.915795000000000000e+05
1.200000047683715820e+00,1.800660625000000000e+05
1.250000000000000000e+00,1.011465000000000000e+05
1.299999952316284180e+00,2.900587500000000000e+04
1.350000023841857910e+00,1.792337500000000000e+04
1.399999976158142090e+00,6.072581250000000000e+04
1.449999928474426270e+00,1.062498125000000000e+05
1.500000000000000000e+00,1.100722500000000000e+05
1.549999952316284180e+00,7.077900000000000000e+04
1.600000023841857910e+00,2.429600000000000000e+04
1.649999976158142090e+00,7.679625000000000000e+03
1.699999928474426270e+00,2.720000000000000000e+04
1.750000000000000000e+00,5.705950000000000000e+04
1.799999952316284180e+00,6.609700000000000000e+04
1.849999904632568359e+00,4.658625000000000000e+04
1.899999976158142090e+00,1.999518750000000000e+04
1.949999928474426270e+00,1.631662500000000000e+04
2.000000000000000000e+00,4.639037500000000000e+04
2.049999952316284180e+00,9.172943750000000000e+04
2.099999904632568359e+00,1.205117500000000000e+05
2.149999856948852539e+00,1.159890625000000000e+05
2.200000047683715820e+00,9.320306250000000000e+04
2.250000000000000000e+00,8.995331250000000000e+04
2.299999952316284180e+00,1.395551250000000000e+05
2.350000143051147461e+00,2.483398437500000000e+05
2.400000095367431641e+00,3.971785625000000000e+05
2.450000047683715820e+00,5.663288750000000000e+05
2.500000000000000000e+00,7.624084375000000000e+05
2.549999952316284180e+00,1.021996000000000000e+06
2.599999904632568359e+00,1.382758000000000000e+06
2.649999856948852539e+00,1.838731250000000000e+06
2.699999809265136719e+00,2.312283250000000000e+06
2.750000000000000000e+00,2.668624500000000000e+06
2.799999952316284180e+00,2.772479000000000000e+06
2.849999904632568359e+00,2.557921500000000000e+06
2.899999856948852539e+00,2.070658750000000000e+06
2.949999809265136719e+00,1.455910250000000000e+06
3.000000000000000000e+00,8.959806875000000000e+05
3.049999952316284180e+00,5.305343125000000000e+05
3.099999904632568359e+00,4.016149375000000000e+05
3.150000095367431641e+00,4.500604375000000000e+05
3.200000047683715820e+00,5.602145625000000000e+05
3.250000000000000000e+00,6.243588750000000000e+05
3.299999952316284180e+00,5.912263750000000000e+05
3.349999904632568359e+00,4.764738437500000000e+05
3.400000095367431641e+00,3.369471250000000000e+05
3.450000047683715820e+00,2.297795312500000000e+05
3.500000000000000000e+00,1.816569375000000000e+05
3.550000190734863281e+00,1.827598437500000000e+05
3.600000143051147461e+00,2.027922812500000000e+05
3.650000095367431641e+00,2.142639062500000000e+05
3.700000047683715820e+00,2.072679375000000000e+05
3.750000000000000000e+00,1.889023437500000000e+05
3.799999952316284180e+00,1.719302500000000000e+05
3.849999904632568359e+00,1.634511562500000000e+05
3.899999856948852539e+00,1.619641875000000000e+05
3.950000047683715820e+00,1.632461875000000000e+05
4.000000000000000000e+00,1.682057187500000000e+05
4.050000190734863281e+00,1.847802500000000000e+05
4.099999904632568359e+00,2.214101250000000000e+05
4.150000095367431641e+00,2.772323750000000000e+05
4.199999809265136719e+00,3.377227812500000000e+05
4.250000000000000000e+00,3.810831250000000000e+05
4.299999713897705078e+00,3.923805312500000000e+05
4.349999904632568359e+00,3.757151250000000000e+05
4.399999618530273438e+00,3.548131250000000000e+05
4.449999809265136719e+00,3.600286250000000000e+05
4.500000000000000000e+00,4.094950312500000000e+05
4.549999713897705078e+00,4.968880312500000000e+05
4.599999904632568359e+00,5.942504375000000000e+05
4.650000095367431641e+00,6.681374375000000000e+05
4.699999809265136719e+00,6.984394375000000000e+05
4.750000000000000000e+00,6.878376250000000000e+05
4.799999713897705078e+00,6.568703750000000000e+05
4.849999904632568359e+00,6.295426875000000000e+05
4.900000095367431641e+00,6.200280625000000000e+05
4.949999809265136719e+00,6.286328750000000000e+05
5.000000000000000000e+00,6.474098750000000000e+05
5.050000190734863281e+00,6.689329375000000000e+05
5.099999904632568359e+00,6.907993750000000000e+05
5.150000095367431641e+00,7.133210625000000000e+05
5.199999809265136719e+00,7.339845000000000000e+05
5.250000000000000000e+00,7.446141250000000000e+05
5.300000190734863281e+00,7.342943750000000000e+05
5.349999904632568359e+00,6.959270000000000000e+05
5.400000095367431641e+00,6.312599375000000000e+05
5.450000286102294922e+00,5.505570000000000000e+05
5.500000000000000000e+00,4.672903750000000000e+05
5.550000190734863281e+00,3.917587500000000000e+05
5.599999904632568359e+00,3.277681875000000000e+05
5.650000095367431641e+00,2.737686875000000000e+05
5.700000286102294922e+00,2.266638437500000000e+05
5.750000000000000000e+00,1.851806562500000000e+05
5.800000190734863281e+00,1.507954375000000000e+05
5.850000381469726562e+00,1.262971406250000000e+05
5.900000095367431641e+00,1.135128125000000000e+05
5.950000286102294922e+00,1.117663906250000000e+05
6.000000000000000000e+00,1.178160312500000000e+05
6.050000190734863281e+00,1.270990937500000000e+05
6.100000381469726562e+00,1.356037187500000000e+05
6.150000095367431641e+00,1.414847500000000000e+05
6.199999809265136719e+00,1.456085468750000000e+05
6.250000000000000000e+00,1.506270937500000000e+05
6.299999713897705078e+00,1.590517031250000000e+05
6.349999904632568359e+00,1.716028281250000000e+05
6.399999618530273438e+00,1.871444218750000000e+05
6.449999809265136719e+00,2.044319218750000000e+05
6.500000000000000000e+00,2.243169218750000000e+05
6.549999713897705078e+00,2.503480468750000000e+05
6.599999904632568359e+00,2.867295000000000000e+05
6.650000095367431641e+00,3.347888750000000000e+05
6.699999809265136719e+00,3.906938125000000000e+05
6.750000000000000000e+00,4.465794375000000000e+05
6.799999713897705078e+00,4.946463125000000000e+05
6.849999904632568359e+00,5.312065625000000000e+05
6.900000095367431641e+00,5.573268750000000000e+05
6.949999809265136719e+00,5.752807500000000000e+05
7.000000000000000000e+00,5.836170000000000000e+05
7.050000190734863281e+00,5.752705000000000000e+05
7.099999904632568359e+00,5.412462500000000000e+05
7.150000095367431641e+00,4.780388750000000000e+05
7.199999809265136719e+00,3.935450312500000000e+05
7.250000000000000000e+00,3.065221875000000000e+05
7.300000190734863281e+00,2.388108750000000000e+05
7.349999904632568359e+00,2.046235937500000000e+05
7.400000095367431641e+00,2.035580937500000000e+05
7.450000286102294922e+00,2.217270625000000000e+05
7.500000000000000000e+00,2.401729531250000000e+05
7.550000190734863281e+00,2.451840781250000000e+05
7.599999904632568359e+00,2.343526718750000000e+05
7.650000095367431641e+00,2.154903593750000000e+05
7.700000286102294922e+00,2.002612812500000000e+05
7.750000000000000000e+00,1.972718593750000000e+05
7.800000190734863281e+00,2.086867343750000000e+05
7.850000381469726562e+00,2.312377968750000000e+05
7.900000095367431641e+00,2.594424375000000000e+05
7.950000286102294922e+00,2.880534687500000000e+05
8.000000000000000000e+00,3.123928750000000000e+05
8.050000190734863281e+00,3.275411250000000000e+05
8.100000381469726562e+00,3.283576875000000000e+05
8.150000572204589844e+00,3.113257500000000000e+05
8.199999809265136719e+00,2.772283125000000000e+05
8.250000000000000000e+00,2.324725937500000000e+05
8.300000190734863281e+00,1.874977656250000000e+05
8.349999427795410156e+00,1.526636718750000000e+05
8.399999618530273438e+00,1.338484375000000000e+05
8.449999809265136719e+00,1.303120781250000000e+05
8.500000000000000000e+00,1.359665625000000000e+05
8.550000190734863281e+00,1.431351875000000000e+05
8.600000381469726562e+00,1.464998750000000000e+05
8.650000572204589844e+00,1.450997500000000000e+05
8.700000762939453125e+00,1.416652031250000000e+05
8.750000000000000000e+00,1.402056718750000000e+05
8.800000190734863281e+00,1.435850625000000000e+05
8.850000381469726562e+00,1.524777656250000000e+05
8.900000572204589844e+00,1.659624687500000000e+05
8.950000762939453125e+00,1.829495625000000000e+05
9.000000000000000000e+00,2.032406875000000000e+05
9.050000190734863281e+00,2.274588125000000000e+05
9.100000381469726562e+00,2.559232968750000000e+05
9.149999618530273438e+00,2.872831562500000000e+05
9.199999809265136719e+00,3.178715937500000000e+05
9.250000000000000000e+00,3.423204375000000000e+05
