# q,iq
1.000000000000000000e+00,4.462459375000000000e+04
1.049999952316284180e+00,1.003125312500000000e+05
1.100000023841857910e+00,1.443192500000000000e+05
1.149999976158142090e+00,1.547841250000000000e+05
1.200000047683715820e+00,1.306322187500000000e+05
1.250000000000000000e+00,8.647471875000000000e+04
1.299999952316284180e+00,4.265628125000000000e+04
1.350000023841857910e+00,1.543496875000000000e+04
1.399999976158142090e+00,1.105256250000000000e+04
1.449999928474426270e+00,2.514034375000000000e+04
1.500000000000000000e+00,4.655078125000000000e+04
1.549999952316284180e+00,6.321228125000000000e+04
1.600000023841857910e+00,6.729803125000000000e+04
1.649999976158142090e+00,5.781050000000000000e+04
1.699999928474426270e+00,4.000912500000000000e+04
1.750000000000000000e+00,2.241903125000000000e+04
1.799999952316284180e+00,1.291528125000000000e+04
1.849999904632568359e+00,1.549056250000000000e+04
1.899999976158142090e+00,2.883656250000000000e+04
1.949999928474426270e+00,4.709934375000000000e+04
2.000000000000000000e+00,6.239528125000000000e+04
2.049999952316284180e+00,6.812531250000000000e+04
2.099999904632568359e+00,6.194403125000000000e+04
2.149999856948852539e+00,4.740034375000000000e+04
2.200000047683715820e+00,3.370171875000000000e+04
2.250000000000000000e+00,3.361721875000000000e+04
2.299999952316284180e+00,6.006643750000000000e+04
2.350000143051147461e+00,1.223146562500000000e+05
2.400000095367431641e+00,2.228204375000000000e+05
2.450000047683715820e+00,3.556335625000000000e+05
2.500000000000000000e+00,5.068519375000000000e+05
2.549999952316284180e+00,6.571221250000000000e+05
2.599999904632568359e+00,7.856459375000000000e+05
2.649999856948852539e+00,8.747397500000000000e+05
2.699999809265136719e+00,9.138388750000000000e+05
2.750000000000000000e+00,9.019228750000000000e+05
2.799999952316284180e+00,8.476696250000000000e+05
2.849999904632568359e+00,7.671703750000000000e+05
2.899999856948852539e+00,6.796558750000000000e+05
2.949999809265136719e+00,6.022952500000000000e+05
3.000000000000000000e+00,5.455463125000000000e+05
3.049999952316284180e+00,5.105681562500000000e+05
3.099999904632568359e+00,4.896990625000000000e+05
3.150000095367431641e+00,4.700104687500000000e+05
3.200000047683715820e+00,4.387500625000000000e+05
3.250000000000000000e+00,3.886132187500000000e+05
