# q,iq
1.000000000000000000e+00,2.159495000000000000e+05
1.049999952316284180e+00,2.830372500000000000e+05
1.100000023841857910e+00,3.324606250000000000e+05
1.149999976158142090e+00,3.011033750000000000e+05
1.200000047683715820e+00,2.075751250000000000e+05
1.250000000000000000e+00,1.234921250000000000e+05
1.299999952316284180e+00,1.028828750000000000e+05
1.350000023841857910e+00,1.357650000000000000e+05
1.399999976158142090e+00,1.699001250000000000e+05
1.449999928474426270e+00,1.656290000000000000e+05
1.500000000000000000e+00,1.251357500000000000e+05
1.549999952316284180e+00,8.140650000000000000e+04
1.600000023841857910e+00,6.727025000000000000e+04
1.649999976158142090e+00,8.787000000000000000e+04
1.699999928474426270e+00,1.169297500000000000e+05
1.750000000000000000e+00,1.234215000000000000e+05
1.799999952316284180e+00,1.028761250000000000e+05
1.849999904632568359e+00,7.820287500000000000e+04
1.899999976158142090e+00,7.223725000000000000e+04
1.949999928474426270e+00,8.764475000000000000e+04
2.000000000000000000e+00,1.115626250000000000e+05
2.049999952316284180e+00,1.288006250000000000e+05
2.099999904632568359e+00,1.301292500000000000e+05
2.149999856948852539e+00,1.197392500000000000e+05
2.200000047683715820e+00,1.180160000000000000e+05
2.250000000000000000e+00,1.453467500000000000e+05
2.299999952316284180e+00,1.978213750000000000e+05
2.350000143051147461e+00,2.506033750000000000e+05
2.400000095367431641e+00,2.948978750000000000e+05
2.450000047683715820e+00,3.634800000000000000e+05
2.500000000000000000e+00,5.102462500000000000e+05
2.549999952316284180e+00,7.734550625000000000e+05
2.599999904632568359e+00,1.173204500000000000e+06
2.649999856948852539e+00,1.735423375000000000e+06
2.699999809265136719e+00,2.483909000000000000e+06
2.750000000000000000e+00,3.377988500000000000e+06
2.799999952316284180e+00,4.254026000000000000e+06
2.849999904632568359e+00,4.851725000000000000e+06
2.899999856948852539e+00,4.940897000000000000e+06
2.949999809265136719e+00,4.472723000000000000e+06
3.000000000000000000e+00,3.639716000000000000e+06
3.049999952316284180e+00,2.778541500000000000e+06
3.099999904632568359e+00,2.167997000000000000e+06
3.150000095367431641e+00,1.872313750000000000e+06
3.200000047683715820e+00,1.754186250000000000e+06
3.250000000000000000e+00,1.632569750000000000e+06
3.299999952316284180e+00,1.430713125000000000e+06
3.349999904632568359e+00,1.190388000000000000e+06
3.400000095367431641e+00,9.797897500000000000e+05
3.450000047683715820e+00,8.176855000000000000e+05
3.500000000000000000e+00,6.810638125000000000e+05
3.550000190734863281e+00,5.530482500000000000e+05
3.600000143051147461e+00,4.409435625000000000e+05
3.650000095367431641e+00,3.564153750000000000e+05
3.700000047683715820e+00,2.979104375000000000e+05
3.750000000000000000e+00,2.560804375000000000e+05
3.799999952316284180e+00,2.252963125000000000e+05
3.849999904632568359e+00,2.041063125000000000e+05
3.899999856948852539e+00,1.906733750000000000e+05
3.950000047683715820e+00,1.837726250000000000e+05
4.000000000000000000e+00,1.853705000000000000e+05
4.050000190734863281e+00,1.974131250000000000e+05
4.099999904632568359e+00,2.178665625000000000e+05
4.150000095367431641e+00,2.446343125000000000e+05
4.199999809265136719e+00,2.826094375000000000e+05
4.250000000000000000e+00,3.418437500000000000e+05
4.299999713897705078e+00,4.274153125000000000e+05
4.349999904632568359e+00,5.346131250000000000e+05
4.399999618530273438e+00,6.550306250000000000e+05
