# q,fq
1.000000000000000000e+00,-4.156744480133056641e-01
1.049999952316284180e+00,-3.404655754566192627e-01
1.100000023841857910e+00,-3.975954949855804443e-01
1.149999976158142090e+00,-5.284378528594970703e-01
1.200000047683715820e+00,-5.717251300811767578e-01
1.250000000000000000e+00,-5.118129253387451172e-01
1.299999952316284180e+00,-4.844671785831451416e-01
1.350000023841857910e+00,-5.638069510459899902e-01
1.399999976158142090e+00,-6.566025614738464355e-01
1.449999928474426270e+00,-6.439446806907653809e-01
1.500000000000000000e+00,-5.556702017784118652e-01
1.549999952316284180e+00,-5.289228558540344238e-01
1.600000023841857910e+00,-6.032652258872985840e-01
1.649999976158142090e+00,-6.338474154472351074e-01
1.699999928474426270e+00,-4.673254489898681641e-01
1.750000000000000000e+00,-1.824297755956649780e-01
1.799999952316284180e+00,-7.070180773735046387e-02
1.849999904632568359e+00,-3.160055577754974365e-01
1.899999976158142090e+00,-7.235918641090393066e-01
1.949999928474426270e+00,-8.602316379547119141e-01
2.000000000000000000e+00,-5.142518877983093262e-01
2.049999952316284180e+00,2.846782468259334564e-02
2.099999904632568359e+00,2.412724643945693970e-01
2.149999856948852539e+00,-1.010884344577789307e-01
2.200000047683715820e+00,-6.877813339233398438e-01
2.250000000000000000e+00,-1.003664970397949219e+00
2.299999952316284180e+00,-8.529504537582397461e-01
2.350000143051147461e+00,-5.072463750839233398e-01
2.400000095367431641e+00,-3.622894287109375000e-01
2.450000047683715820e+00,-5.270878672599792480e-01
2.500000000000000000e+00,-7.812995314598083496e-01
2.549999952316284180e+00,-8.712283372879028320e-01
2.599999904632568359e+00,-7.590852975845336914e-01
2.649999856948852539e+00,-5.748893618583679199e-01
2.699999809265136719e+00,-4.063025414943695068e-01
2.750000000000000000e+00,-2.105969786643981934e-01
2.799999952316284180e+00,8.113385736942291260e-02
2.849999904632568359e+00,4.472456276416778564e-01
2.899999856948852539e+00,7.987186908721923828e-01
2.949999809265136719e+00,1.077076554298400879e+00
