# q,iq
1.000000000000000000e+00,7.439313750000000000e+05
1.049999952316284180e+00,6.664188750000000000e+05
1.100000023841857910e+00,3.476110000000000000e+05
1.149999976158142090e+00,1.963067500000000000e+05
1.200000047683715820e+00,2.757320000000000000e+05
1.250000000000000000e+00,3.017690000000000000e+05
1.299999952316284180e+00,1.715342500000000000e+05
1.350000023841857910e+00,1.055792500000000000e+05
1.399999976158142090e+00,2.274722500000000000e+05
1.449999928474426270e+00,3.472022500000000000e+05
1.500000000000000000e+00,2.941337500000000000e+05
1.549999952316284180e+00,1.967202500000000000e+05
1.600000023841857910e+00,2.544437500000000000e+05
1.649999976158142090e+00,4.152326250000000000e+05
1.699999928474426270e+00,4.672225000000000000e+05
1.750000000000000000e+00,3.495890000000000000e+05
1.799999952316284180e+00,2.021745000000000000e+05
1.849999904632568359e+00,1.466005000000000000e+05
1.899999976158142090e+00,1.641167500000000000e+05
1.949999928474426270e+00,2.012562500000000000e+05
2.000000000000000000e+00,2.789571250000000000e+05
2.049999952316284180e+00,4.383602500000000000e+05
2.099999904632568359e+00,6.442718750000000000e+05
2.149999856948852539e+00,8.156328750000000000e+05
2.200000047683715820e+00,9.354675000000000000e+05
2.250000000000000000e+00,1.080212625000000000e+06
2.299999952316284180e+00,1.347443000000000000e+06
2.350000143051147461e+00,1.791991125000000000e+06
2.400000095367431641e+00,2.410788250000000000e+06
2.450000047683715820e+00,3.122166750000000000e+06
2.500000000000000000e+00,3.751575250000000000e+06
2.549999952316284180e+00,4.117336000000000000e+06
2.599999904632568359e+00,4.202363000000000000e+06
2.649999856948852539e+00,4.218610500000000000e+06
2.699999809265136719e+00,4.410470000000000000e+06
2.750000000000000000e+00,4.738836000000000000e+06
2.799999952316284180e+00,4.821427000000000000e+06
2.849999904632568359e+00,4.318082500000000000e+06
2.899999856948852539e+00,3.408703500000000000e+06
2.949999809265136719e+00,2.744728000000000000e+06
3.000000000000000000e+00,2.785067500000000000e+06
3.049999952316284180e+00,3.256013000000000000e+06
3.099999904632568359e+00,3.446730000000000000e+06
3.150000095367431641e+00,3.013916000000000000e+06
3.200000047683715820e+00,2.290684000000000000e+06
3.250000000000000000e+00,1.779935875000000000e+06
3.299999952316284180e+00,1.590905875000000000e+06
3.349999904632568359e+00,1.503464875000000000e+06
3.400000095367431641e+00,1.366772000000000000e+06
3.450000047683715820e+00,1.202903750000000000e+06
3.500000000000000000e+00,1.029692125000000000e+06
3.550000190734863281e+00,8.248243750000000000e+05
3.600000143051147461e+00,6.471246875000000000e+05
3.650000095367431641e+00,6.011841875000000000e+05
3.700000047683715820e+00,6.699136250000000000e+05
3.750000000000000000e+00,7.308750625000000000e+05
3.799999952316284180e+00,7.424953750000000000e+05
3.849999904632568359e+00,7.703133125000000000e+05
3.899999856948852539e+00,8.221028125000000000e+05
3.950000047683715820e+00,8.109686250000000000e+05
4.000000000000000000e+00,7.184378125000000000e+05
4.050000190734863281e+00,6.547713750000000000e+05
4.099999904632568359e+00,6.995475000000000000e+05
4.150000095367431641e+00,7.953175625000000000e+05
4.199999809265136719e+00,8.579122500000000000e+05
4.250000000000000000e+00,8.918811875000000000e+05
4.299999713897705078e+00,9.358253125000000000e+05
4.349999904632568359e+00,9.845937500000000000e+05
4.399999618530273438e+00,1.030697125000000000e+06
4.449999809265136719e+00,1.102723000000000000e+06
4.500000000000000000e+00,1.201119250000000000e+06
4.549999713897705078e+00,1.279880500000000000e+06
4.599999904632568359e+00,1.362929750000000000e+06
4.650000095367431641e+00,1.584090750000000000e+06
4.699999809265136719e+00,1.995564500000000000e+06
4.750000000000000000e+00,2.396667500000000000e+06
4.799999713897705078e+00,2.497443250000000000e+06
4.849999904632568359e+00,2.260252750000000000e+06
4.900000095367431641e+00,1.962187250000000000e+06
4.949999809265136719e+00,1.878866625000000000e+06
5.000000000000000000e+00,1.994910250000000000e+06
5.050000190734863281e+00,2.085148375000000000e+06
5.099999904632568359e+00,2.011708000000000000e+06
5.150000095367431641e+00,1.846943750000000000e+06
5.199999809265136719e+00,1.716126125000000000e+06
5.250000000000000000e+00,1.614141750000000000e+06
5.300000190734863281e+00,1.435420250000000000e+06
5.349999904632568359e+00,1.153548750000000000e+06
5.400000095367431641e+00,9.041051250000000000e+05
5.450000286102294922e+00,8.566076250000000000e+05
5.500000000000000000e+00,1.019875000000000000e+06
5.550000190734863281e+00,1.207562875000000000e+06
5.599999904632568359e+00,1.214650125000000000e+06
5.650000095367431641e+00,1.020611875000000000e+06
5.700000286102294922e+00,7.997353750000000000e+05
5.750000000000000000e+00,7.289655000000000000e+05
5.800000190734863281e+00,8.093196250000000000e+05
5.850000381469726562e+00,8.950045625000000000e+05
5.900000095367431641e+00,8.754666250000000000e+05
5.950000286102294922e+00,7.842966250000000000e+05
6.000000000000000000e+00,7.248251250000000000e+05
6.050000190734863281e+00,7.371821250000000000e+05
6.100000381469726562e+00,7.745748750000000000e+05
6.150000095367431641e+00,7.852271875000000000e+05
6.199999809265136719e+00,7.727172500000000000e+05
6.250000000000000000e+00,7.730123750000000000e+05
6.299999713897705078e+00,8.019659375000000000e+05
6.349999904632568359e+00,8.382007500000000000e+05
6.399999618530273438e+00,8.476024375000000000e+05
6.449999809265136719e+00,8.195721250000000000e+05
6.500000000000000000e+00,7.819478125000000000e+05
6.549999713897705078e+00,7.772192500000000000e+05
6.599999904632568359e+00,8.217426250000000000e+05
6.650000095367431641e+00,8.941317500000000000e+05
6.699999809265136719e+00,9.622963125000000000e+05
6.750000000000000000e+00,1.009328437500000000e+06
6.799999713897705078e+00,1.033835187500000000e+06
6.849999904632568359e+00,1.044043562500000000e+06
6.900000095367431641e+00,1.056461125000000000e+06
6.949999809265136719e+00,1.081829375000000000e+06
7.000000000000000000e+00,1.105095125000000000e+06
7.050000190734863281e+00,1.095672250000000000e+06
7.099999904632568359e+00,1.044667750000000000e+06
7.150000095367431641e+00,9.775957500000000000e+05
7.199999809265136719e+00,9.248306250000000000e+05
7.250000000000000000e+00,8.924691250000000000e+05
7.300000190734863281e+00,8.655393125000000000e+05
7.349999904632568359e+00,8.284278125000000000e+05
7.400000095367431641e+00,7.824348750000000000e+05
7.450000286102294922e+00,7.532265000000000000e+05
7.500000000000000000e+00,7.738601250000000000e+05
7.550000190734863281e+00,8.472485000000000000e+05
7.599999904632568359e+00,9.367024375000000000e+05
7.650000095367431641e+00,1.009210250000000000e+06
7.700000286102294922e+00,1.068691625000000000e+06
7.750000000000000000e+00,1.120120250000000000e+06
7.800000190734863281e+00,1.123605875000000000e+06
7.850000381469726562e+00,1.031008875000000000e+06
7.900000095367431641e+00,8.644956250000000000e+05
7.950000286102294922e+00,7.116823125000000000e+05
8.000000000000000000e+00,6.319396875000000000e+05
8.050000190734863281e+00,6.059315000000000000e+05
