# q,sq
1.000000000000000000e+00,-4.156744480133056641e-01
1.049999952316284180e+00,-3.242529332637786865e-01
1.100000023841857910e+00,-3.614504337310791016e-01
1.149999976158142090e+00,-4.595111906528472900e-01
1.200000047683715820e+00,-4.764375984668731689e-01
1.250000000000000000e+00,-4.094503223896026611e-01
1.299999952316284180e+00,-3.726670742034912109e-01
1.350000023841857910e+00,-4.176347553730010986e-01
1.399999976158142090e+00,-4.690018296241760254e-01
1.449999928474426270e+00,-4.440997838973999023e-01
1.500000000000000000e+00,-3.704468011856079102e-01
1.549999952316284180e+00,-3.412405550479888916e-01
1.600000023841857910e+00,-3.770407736301422119e-01
1.649999976158142090e+00,-3.841499388217926025e-01
1.699999928474426270e+00,-2.748973369598388672e-01
1.750000000000000000e+00,-1.042455881834030151e-01
1.799999952316284180e+00,-3.927878290414810181e-02
1.849999904632568359e+00,-1.708138287067413330e-01
1.899999976158142090e+00,-3.808378279209136963e-01
1.949999928474426270e+00,-4.411444365978240967e-01
2.000000000000000000e+00,-2.571259438991546631e-01
2.049999952316284180e+00,1.388674415647983551e-02
2.099999904632568359e+00,1.148916557431221008e-01
2.149999856948852539e+00,-4.701787978410720825e-02
2.200000047683715820e+00,-3.126278817653656006e-01
2.250000000000000000e+00,-4.460732936859130859e-01
2.299999952316284180e+00,-3.708480298519134521e-01
2.350000143051147461e+00,-2.158495038747787476e-01
2.400000095367431641e+00,-1.509539186954498291e-01
2.450000047683715820e+00,-2.151378989219665527e-01
2.500000000000000000e+00,-3.125198185443878174e-01
2.549999952316284180e+00,-3.416581749916076660e-01
2.599999904632568359e+00,-2.919558882713317871e-01
2.649999856948852539e+00,-2.169394046068191528e-01
2.699999809265136719e+00,-1.504824310541152954e-01
2.750000000000000000e+00,-7.658071815967559814e-02
2.799999952316284180e+00,2.897637709975242615e-02
2.849999904632568359e+00,1.569283008575439453e-01
2.899999856948852539e+00,2.754202485084533691e-01
2.949999809265136719e+00,3.651107251644134521e-01
3.000000000000000000e+00,4.241307079792022705e-01
3.049999952316284180e+00,4.432100355625152588e-01
3.099999904632568359e+00,3.996889293193817139e-01
3.150000095367431641e+00,2.906168401241302490e-01
3.200000047683715820e+00,1.617806851863861084e-01
3.250000000000000000e+00,8.408097922801971436e-02
3.299999952316284180e+00,9.407317638397216797e-02
3.349999904632568359e+00,1.654775738716125488e-01
3.400000095367431641e+00,2.439560890197753906e-01
3.450000047683715820e+00,3.008353710174560547e-01
3.500000000000000000e+00,3.419252336025238037e-01
3.550000190734863281e+00,3.698450326919555664e-01
3.600000143051147461e+00,3.602323830127716064e-01
3.650000095367431641e+00,2.915094494819641113e-01
3.700000047683715820e+00,1.904694437980651855e-01
3.750000000000000000e+00,1.244939267635345459e-01
3.799999952316284180e+00,1.330257505178451538e-01
3.849999904632568359e+00,1.737480312585830688e-01
3.899999856948852539e+00,1.559553891420364380e-01
3.950000047683715820e+00,3.742991387844085693e-02
