# q,iq
1.000000000000000000e+00,2.026715937500000000e+05
1.049999952316284180e+00,1.725673125000000000e+05
1.100000023841857910e+00,1.416494218750000000e+05
1.149999976158142090e+00,1.144151640625000000e+05
1.200000047683715820e+00,9.388077343750000000e+04
1.250000000000000000e+00,8.100346093750000000e+04
1.299999952316284180e+00,7.482971875000000000e+04
1.350000023841857910e+00,7.313084375000000000e+04
1.399999976158142090e+00,7.324777343750000000e+04
1.449999928474426270e+00,7.288004687500000000e+04
1.500000000000000000e+00,7.062829687500000000e+04
1.549999952316284180e+00,6.619456250000000000e+04
1.600000023841857910e+00,6.024295312500000000e+04
1.649999976158142090e+00,5.401300000000000000e+04
1.699999928474426270e+00,4.883167187500000000e+04
1.750000000000000000e+00,4.567264062500000000e+04
1.799999952316284180e+00,4.487939062500000000e+04
1.849999904632568359e+00,4.610925000000000000e+04
1.899999976158142090e+00,4.848888281250000000e+04
1.949999928474426270e+00,5.092763281250000000e+04
2.000000000000000000e+00,5.250206250000000000e+04
2.049999952316284180e+00,5.281181250000000000e+04
2.099999904632568359e+00,5.221882031250000000e+04
2.149999856948852539e+00,5.190289062500000000e+04
2.200000047683715820e+00,5.371214843750000000e+04
2.250000000000000000e+00,5.983814843750000000e+04
2.299999952316284180e+00,7.240276562500000000e+04
2.350000143051147461e+00,9.306327343750000000e+04
2.400000095367431641e+00,1.227239218750000000e+05
2.450000047683715820e+00,1.613898906250000000e+05
2.500000000000000000e+00,2.081342656250000000e+05
2.549999952316284180e+00,2.611160625000000000e+05
2.599999904632568359e+00,3.176100000000000000e+05
2.649999856948852539e+00,3.740646875000000000e+05
2.699999809265136719e+00,4.262738750000000000e+05
2.750000000000000000e+00,4.697556250000000000e+05
2.799999952316284180e+00,5.003732500000000000e+05
2.849999904632568359e+00,5.151088750000000000e+05
2.899999856948852539e+00,5.127752500000000000e+05
2.949999809265136719e+00,4.944096250000000000e+05
3.000000000000000000e+00,4.631518750000000000e+05
3.049999952316284180e+00,4.235875000000000000e+05
3.099999904632568359e+00,3.807246875000000000e+05
3.150000095367431641e+00,3.389255625000000000e+05
3.200000047683715820e+00,3.011248125000000000e+05
3.250000000000000000e+00,2.685452187500000000e+05
3.299999952316284180e+00,2.409376875000000000e+05
3.349999904632568359e+00,2.171732187500000000e+05
3.400000095367431641e+00,1.959263906250000000e+05
3.450000047683715820e+00,1.762017187500000000e+05
3.500000000000000000e+00,1.575659062500000000e+05
3.550000190734863281e+00,1.400953437500000000e+05
3.600000143051147461e+00,1.241448828125000000e+05
3.650000095367431641e+00,1.100852109375000000e+05
3.700000047683715820e+00,9.812434375000000000e+04
3.750000000000000000e+00,8.825092187500000000e+04
3.799999952316284180e+00,8.028392187500000000e+04
3.849999904632568359e+00,7.397292968750000000e+04
3.899999856948852539e+00,6.909256250000000000e+04
3.950000047683715820e+00,6.550702343750000000e+04
4.000000000000000000e+00,6.319380468750000000e+04
4.050000190734863281e+00,6.224283593750000000e+04
4.099999904632568359e+00,6.283824218750000000e+04
4.150000095367431641e+00,6.522957812500000000e+04
4.199999809265136719e+00,6.968909375000000000e+04
4.250000000000000000e+00,7.645021875000000000e+04
4.299999713897705078e+00,8.562631250000000000e+04
4.349999904632568359e+00,9.712107812500000000e+04
4.399999618530273438e+00,1.105484843750000000e+05
4.449999809265136719e+00,1.251898828125000000e+05
4.500000000000000000e+00,1.400138593750000000e+05
4.549999713897705078e+00,1.537737500000000000e+05
4.599999904632568359e+00,1.651815937500000000e+05
4.650000095367431641e+00,1.731285937500000000e+05
4.699999809265136719e+00,1.769122812500000000e+05
4.750000000000000000e+00,1.764132500000000000e+05
4.799999713897705078e+00,1.721765937500000000e+05
4.849999904632568359e+00,1.653689218750000000e+05
4.900000095367431641e+00,1.576110156250000000e+05
4.949999809265136719e+00,1.507118125000000000e+05
5.000000000000000000e+00,1.463537812500000000e+05
5.050000190734863281e+00,1.457884843750000000e+05
5.099999904632568359e+00,1.496047500000000000e+05
5.150000095367431641e+00,1.576172968750000000e+05
5.199999809265136719e+00,1.689023906250000000e+05
5.250000000000000000e+00,1.819735468750000000e+05
5.300000190734863281e+00,1.950572500000000000e+05
5.349999904632568359e+00,2.064020781250000000e+05
