# q,iq
1.000000000000000000e+00,7.609565000000000000e+05
1.049999952316284180e+00,9.863260000000000000e+05
1.100000023841857910e+00,1.078056000000000000e+06
1.149999976158142090e+00,9.117850000000000000e+05
1.200000047683715820e+00,6.030660000000000000e+05
1.250000000000000000e+00,3.733050000000000000e+05
1.299999952316284180e+00,3.413805000000000000e+05
1.350000023841857910e+00,4.510000000000000000e+05
1.399999976158142090e+00,5.507755000000000000e+05
1.449999928474426270e+00,5.228385000000000000e+05
1.500000000000000000e+00,3.837345000000000000e+05
1.549999952316284180e+00,2.364960000000000000e+05
1.600000023841857910e+00,1.921995000000000000e+05
1.649999976158142090e+00,2.583245000000000000e+05
1.699999928474426270e+00,3.625365000000000000e+05
1.750000000000000000e+00,3.994190000000000000e+05
1.799999952316284180e+00,3.401535000000000000e+05
1.849999904632568359e+00,2.340390000000000000e+05
1.899999976158142090e+00,1.779535000000000000e+05
1.949999928474426270e+00,2.203985000000000000e+05
2.000000000000000000e+00,3.267920000000000000e+05
2.049999952316284180e+00,4.072010000000000000e+05
2.099999904632568359e+00,3.893255000000000000e+05
2.149999856948852539e+00,2.962140000000000000e+05
2.200000047683715820e+00,2.163330000000000000e+05
2.250000000000000000e+00,2.602285000000000000e+05
2.299999952316284180e+00,4.371585000000000000e+05
2.350000143051147461e+00,6.725795000000000000e+05
2.400000095367431641e+00,8.127055000000000000e+05
2.450000047683715820e+00,8.055235000000000000e+05
2.500000000000000000e+00,8.013555000000000000e+05
2.549999952316284180e+00,1.106457500000000000e+06
2.599999904632568359e+00,2.292274750000000000e+06
2.649999856948852539e+00,5.064836500000000000e+06
2.699999809265136719e+00,1.058268800000000000e+07
2.750000000000000000e+00,1.885700000000000000e+07
2.799999952316284180e+00,2.671662400000000000e+07
2.849999904632568359e+00,3.025064000000000000e+07
2.899999856948852539e+00,2.709522800000000000e+07
2.949999809265136719e+00,1.906090800000000000e+07
3.000000000000000000e+00,1.203457200000000000e+07
