# q,iq
1.000000000000000000e+00,9.257398750000000000e+05
1.049999952316284180e+00,8.311225000000000000e+05
1.100000023841857910e+00,6.996473750000000000e+05
1.149999976158142090e+00,5.464528750000000000e+05
1.200000047683715820e+00,4.004920000000000000e+05
1.250000000000000000e+00,2.884206250000000000e+05
1.299999952316284180e+00,2.179892500000000000e+05
1.350000023841857910e+00,1.797012500000000000e+05
1.399999976158142090e+00,1.600567500000000000e+05
1.449999928474426270e+00,1.504902500000000000e+05
1.500000000000000000e+00,1.479562500000000000e+05
1.549999952316284180e+00,1.528476250000000000e+05
1.600000023841857910e+00,1.670475000000000000e+05
1.649999976158142090e+00,1.906731250000000000e+05
1.699999928474426270e+00,2.189253750000000000e+05
1.750000000000000000e+00,2.432523125000000000e+05
1.799999952316284180e+00,2.560943750000000000e+05
1.849999904632568359e+00,2.535330000000000000e+05
1.899999976158142090e+00,2.343891875000000000e+05
1.949999928474426270e+00,2.007530000000000000e+05
2.000000000000000000e+00,1.610793750000000000e+05
2.049999952316284180e+00,1.290741250000000000e+05
2.099999904632568359e+00,1.149392500000000000e+05
2.149999856948852539e+00,1.177951250000000000e+05
2.200000047683715820e+00,1.299052500000000000e+05
2.250000000000000000e+00,1.483475625000000000e+05
2.299999952316284180e+00,1.787443750000000000e+05
2.350000143051147461e+00,2.265823750000000000e+05
2.400000095367431641e+00,2.917168750000000000e+05
2.450000047683715820e+00,3.823726250000000000e+05
2.500000000000000000e+00,5.405216875000000000e+05
2.549999952316284180e+00,8.474415000000000000e+05
2.599999904632568359e+00,1.386075625000000000e+06
2.649999856948852539e+00,2.173480000000000000e+06
2.699999809265136719e+00,3.110617500000000000e+06
2.750000000000000000e+00,3.994517750000000000e+06
2.799999952316284180e+00,4.597525000000000000e+06
2.849999904632568359e+00,4.770326000000000000e+06
2.899999856948852539e+00,4.508228000000000000e+06
2.949999809265136719e+00,3.945458000000000000e+06
3.000000000000000000e+00,3.287220500000000000e+06
3.049999952316284180e+00,2.721043500000000000e+06
3.099999904632568359e+00,2.351076250000000000e+06
3.150000095367431641e+00,2.178937500000000000e+06
3.200000047683715820e+00,2.128809000000000000e+06
3.250000000000000000e+00,2.096441375000000000e+06
3.299999952316284180e+00,1.997164375000000000e+06
3.349999904632568359e+00,1.794921500000000000e+06
3.400000095367431641e+00,1.505906500000000000e+06
3.450000047683715820e+00,1.181036625000000000e+06
3.500000000000000000e+00,8.781973750000000000e+05
3.550000190734863281e+00,6.382042500000000000e+05
3.600000143051147461e+00,4.745721250000000000e+05
3.650000095367431641e+00,3.783846250000000000e+05
3.700000047683715820e+00,3.306534375000000000e+05
