# q,iq
1.000000000000000000e+00,1.926419062500000000e+05
1.049999952316284180e+00,2.098464062500000000e+05
1.100000023841857910e+00,1.710707187500000000e+05
1.149999976158142090e+00,1.055127187500000000e+05
1.200000047683715820e+00,5.117012500000000000e+04
1.250000000000000000e+00,3.069562500000000000e+04
1.299999952316284180e+00,4.258809375000000000e+04
1.350000023841857910e+00,6.806203125000000000e+04
1.399999976158142090e+00,8.559559375000000000e+04
1.449999928474426270e+00,8.332987500000000000e+04
1.500000000000000000e+00,6.327568750000000000e+04
1.549999952316284180e+00,3.719500000000000000e+04
1.600000023841857910e+00,1.837246875000000000e+04
1.649999976158142090e+00,1.447478125000000000e+04
1.699999928474426270e+00,2.478203125000000000e+04
1.750000000000000000e+00,4.205184375000000000e+04
1.799999952316284180e+00,5.703712500000000000e+04
1.849999904632568359e+00,6.302634375000000000e+04
1.899999976158142090e+00,5.849346875000000000e+04
1.949999928474426270e+00,4.723534375000000000e+04
2.000000000000000000e+00,3.635081250000000000e+04
2.049999952316284180e+00,3.302853125000000000e+04
2.099999904632568359e+00,4.130909375000000000e+04
2.149999856948852539e+00,6.002393750000000000e+04
2.200000047683715820e+00,8.290784375000000000e+04
2.250000000000000000e+00,1.013248125000000000e+05
2.299999952316284180e+00,1.090108750000000000e+05
2.350000143051147461e+00,1.071041562500000000e+05
2.400000095367431641e+00,1.070019375000000000e+05
2.450000047683715820e+00,1.289725937500000000e+05
2.500000000000000000e+00,1.959779843750000000e+05
2.549999952316284180e+00,3.243565625000000000e+05
2.599999904632568359e+00,5.149323750000000000e+05
2.649999856948852539e+00,7.485143125000000000e+05
2.699999809265136719e+00,9.884947500000000000e+05
2.750000000000000000e+00,1.190420625000000000e+06
2.799999952316284180e+00,1.315500250000000000e+06
2.849999904632568359e+00,1.343095750000000000e+06
2.899999856948852539e+00,1.277404750000000000e+06
2.949999809265136719e+00,1.145715500000000000e+06
3.000000000000000000e+00,9.888602500000000000e+05
3.049999952316284180e+00,8.474901875000000000e+05
3.099999904632568359e+00,7.492821250000000000e+05
3.150000095367431641e+00,7.015846875000000000e+05
3.200000047683715820e+00,6.917612500000000000e+05
3.250000000000000000e+00,6.944431250000000000e+05
3.299999952316284180e+00,6.824390000000000000e+05
3.349999904632568359e+00,6.370086250000000000e+05
3.400000095367431641e+00,5.538436250000000000e+05
3.450000047683715820e+00,4.430887812500000000e+05
3.500000000000000000e+00,3.241100937500000000e+05
3.550000190734863281e+00,2.176227031250000000e+05
3.600000143051147461e+00,1.384286875000000000e+05
3.650000095367431641e+00,9.140431250000000000e+04
3.700000047683715820e+00,7.177525000000000000e+04
3.750000000000000000e+00,6.887125000000000000e+04
3.799999952316284180e+00,7.131212500000000000e+04
3.849999904632568359e+00,7.126771875000000000e+04
3.899999856948852539e+00,6.619971875000000000e+04
3.950000047683715820e+00,5.788475000000000000e+04
4.000000000000000000e+00,4.978831250000000000e+04
4.050000190734863281e+00,4.452140625000000000e+04
4.099999904632568359e+00,4.279125000000000000e+04
4.150000095367431641e+00,4.426165625000000000e+04
4.199999809265136719e+00,4.953809375000000000e+04
4.250000000000000000e+00,6.179064062500000000e+04
4.299999713897705078e+00,8.666867187500000000e+04
4.349999904632568359e+00,1.301025781250000000e+05
4.399999618530273438e+00,1.948319375000000000e+05
4.449999809265136719e+00,2.773542500000000000e+05
4.500000000000000000e+00,3.670316250000000000e+05
4.549999713897705078e+00,4.481558437500000000e+05
4.599999904632568359e+00,5.044231875000000000e+05
4.650000095367431641e+00,5.240646562500000000e+05
4.699999809265136719e+00,5.035600625000000000e+05
4.750000000000000000e+00,4.484512187500000000e+05
4.799999713897705078e+00,3.711332187500000000e+05
4.849999904632568359e+00,2.867985000000000000e+05
4.900000095367431641e+00,2.094031250000000000e+05
4.949999809265136719e+00,1.492130781250000000e+05
5.000000000000000000e+00,1.125065468750000000e+05
5.050000190734863281e+00,1.027616562500000000e+05
5.099999904632568359e+00,1.219830781250000000e+05
5.150000095367431641e+00,1.709500781250000000e+05
5.199999809265136719e+00,2.480458281250000000e+05
5.250000000000000000e+00,3.474104687500000000e+05
5.300000190734863281e+00,4.577995000000000000e+05
5.349999904632568359e+00,5.633831250000000000e+05
5.400000095367431641e+00,6.467862500000000000e+05
5.450000286102294922e+00,6.934816250000000000e+05
5.500000000000000000e+00,6.958820625000000000e+05
5.550000190734863281e+00,6.554126250000000000e+05
5.599999904632568359e+00,5.817128750000000000e+05
5.650000095367431641e+00,4.893283125000000000e+05
5.700000286102294922e+00,3.932793125000000000e+05
5.750000000000000000e+00,3.052450625000000000e+05
5.800000190734863281e+00,2.316253437500000000e+05
5.850000381469726562e+00,1.738096406250000000e+05
5.900000095367431641e+00,1.299736796875000000e+05
5.950000286102294922e+00,9.726525000000000000e+04
6.000000000000000000e+00,7.335671875000000000e+04
6.050000190734863281e+00,5.692034375000000000e+04
6.100000381469726562e+00,4.726367187500000000e+04
6.150000095367431641e+00,4.371171875000000000e+04
6.199999809265136719e+00,4.527550000000000000e+04
6.250000000000000000e+00,5.076884375000000000e+04
6.299999713897705078e+00,5.914879687500000000e+04
6.349999904632568359e+00,6.968476562500000000e+04
6.399999618530273438e+00,8.174384375000000000e+04
6.449999809265136719e+00,9.429453906250000000e+04
6.500000000000000000e+00,1.055323593750000000e+05
6.549999713897705078e+00,1.130294609375000000e+05
6.599999904632568359e+00,1.145525390625000000e+05
6.650000095367431641e+00,1.092811406250000000e+05
6.699999809265136719e+00,9.884914062500000000e+04
6.750000000000000000e+00,8.763015625000000000e+04
6.799999713897705078e+00,8.196070312500000000e+04
6.849999904632568359e+00,8.845744531250000000e+04
6.900000095367431641e+00,1.119848750000000000e+05
6.949999809265136719e+00,1.539580781250000000e+05
7.000000000000000000e+00,2.115669375000000000e+05
7.050000190734863281e+00,2.781274062500000000e+05
7.099999904632568359e+00,3.444305937500000000e+05
7.150000095367431641e+00,4.006632500000000000e+05
7.199999809265136719e+00,4.383805625000000000e+05
7.250000000000000000e+00,4.520859062500000000e+05
7.300000190734863281e+00,4.401171250000000000e+05
7.349999904632568359e+00,4.047305625000000000e+05
7.400000095367431641e+00,3.514437500000000000e+05
7.450000286102294922e+00,2.878531250000000000e+05
7.500000000000000000e+00,2.222461250000000000e+05
7.550000190734863281e+00,1.623091093750000000e+05
7.599999904632568359e+00,1.142007968750000000e+05
7.650000095367431641e+00,8.204689062500000000e+04
7.700000286102294922e+00,6.777712500000000000e+04
7.750000000000000000e+00,7.111589843750000000e+04
7.800000190734863281e+00,8.960401562500000000e+04
7.850000381469726562e+00,1.186797656250000000e+05
7.900000095367431641e+00,1.520294062500000000e+05
7.950000286102294922e+00,1.824553281250000000e+05
8.000000000000000000e+00,2.033261250000000000e+05
8.050000190734863281e+00,2.103415937500000000e+05
8.100000381469726562e+00,2.030101718750000000e+05
8.150000572204589844e+00,1.851472500000000000e+05
8.199999809265136719e+00,1.639265312500000000e+05
8.250000000000000000e+00,1.476027343750000000e+05
8.300000190734863281e+00,1.426168125000000000e+05
8.349999427795410156e+00,1.511840312500000000e+05
8.399999618530273438e+00,1.703638437500000000e+05
8.449999809265136719e+00,1.930468906250000000e+05
8.500000000000000000e+00,2.105070000000000000e+05
8.550000190734863281e+00,2.154964843750000000e+05
8.600000381469726562e+00,2.046650625000000000e+05
8.650000572204589844e+00,1.794085156250000000e+05
8.700000762939453125e+00,1.449699062500000000e+05
8.750000000000000000e+00,1.083504843750000000e+05
8.800000190734863281e+00,7.599224218750000000e+04
8.850000381469726562e+00,5.214362500000000000e+04
8.900000572204589844e+00,3.834168750000000000e+04
8.950000762939453125e+00,3.388443750000000000e+04
9.000000000000000000e+00,3.677192968750000000e+04
9.050000190734863281e+00,4.455826562500000000e+04
9.100000381469726562e+00,5.482500000000000000e+04
9.149999618530273438e+00,6.535314062500000000e+04
9.199999809265136719e+00,7.427412500000000000e+04
9.250000000000000000e+00,8.044110937500000000e+04
9.300000190734863281e+00,8.398125000000000000e+04
9.350000381469726562e+00,8.671275000000000000e+04
9.399999618530273438e+00,9.200749218750000000e+04
9.449999809265136719e+00,1.038840937500000000e+05
9.500000000000000000e+00,1.254735390625000000e+05
9.549999237060546875e+00,1.574182343750000000e+05
9.599999427795410156e+00,1.968955312500000000e+05
9.649999618530273438e+00,2.377937812500000000e+05
9.699999809265136719e+00,2.721309687500000000e+05
9.750000000000000000e+00,2.922941875000000000e+05
9.800000190734863281e+00,2.933209687500000000e+05
9.850000381469726562e+00,2.744309375000000000e+05
9.900000572204589844e+00,2.392903750000000000e+05
9.949999809265136719e+00,1.949551875000000000e+05
1.000000000000000000e+01,1.498965468750000000e+05
1.005000019073486328e+01,1.117787265625000000e+05
1.010000038146972656e+01,8.565579687500000000e+04
1.015000057220458984e+01,7.306771875000000000e+04
1.019999980926513672e+01,7.217850000000000000e+04
1.025000000000000000e+01,7.880764843750000000e+04
1.030000019073486328e+01,8.796005468750000000e+04
1.034999942779541016e+01,9.539258593750000000e+04
1.039999961853027344e+01,9.876934375000000000e+04
1.044999980926513672e+01,9.810710937500000000e+04
1.050000000000000000e+01,9.542144531250000000e+04
1.055000019073486328e+01,9.371367187500000000e+04
1.060000038146972656e+01,9.564749218750000000e+04
1.065000057220458984e+01,1.023759609375000000e+05
1.070000076293945312e+01,1.129368437500000000e+05
1.075000000000000000e+01,1.244534843750000000e+05
1.080000019073486328e+01,1.330807812500000000e+05
1.085000038146972656e+01,1.353616406250000000e+05
1.090000057220458984e+01,1.294719531250000000e+05
1.095000076293945312e+01,1.158880390625000000e+05
1.100000000000000000e+01,9.720861718750000000e+04
1.105000019073486328e+01,7.722210937500000000e+04
1.110000038146972656e+01,5.960616406250000000e+04
1.114999961853027344e+01,4.679519531250000000e+04
1.119999980926513672e+01,3.945856250000000000e+04
1.125000000000000000e+01,3.676701562500000000e+04
1.130000019073486328e+01,3.725427343750000000e+04
1.135000038146972656e+01,3.982789062500000000e+04
1.139999961853027344e+01,4.442279296875000000e+04
1.144999980926513672e+01,5.196674609375000000e+04
1.150000000000000000e+01,6.366970312500000000e+04
1.154999923706054688e+01,7.998054687500000000e+04
1.159999942779541016e+01,9.974949218750000000e+04
1.164999961853027344e+01,1.200487343750000000e+05
1.169999980926513672e+01,1.368434531250000000e+05
1.175000000000000000e+01,1.462884218750000000e+05
1.180000019073486328e+01,1.461409375000000000e+05
1.185000038146972656e+01,1.366864062500000000e+05
1.190000057220458984e+01,1.207642265625000000e+05
1.194999980926513672e+01,1.028568906250000000e+05
1.200000000000000000e+01,8.760276562500000000e+04
1.205000019073486328e+01,7.833496875000000000e+04
1.210000038146972656e+01,7.621382812500000000e+04
1.215000057220458984e+01,8.024602343750000000e+04
1.219999980926513672e+01,8.808827343750000000e+04
1.225000000000000000e+01,9.720051562500000000e+04
1.230000019073486328e+01,1.058013125000000000e+05
1.234999942779541016e+01,1.132341171875000000e+05
1.239999961853027344e+01,1.196604062500000000e+05
